,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Tihomir Sabinov Kostadinov. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1116881052,10.1029/2018gl080689,,,Contrasting ENSO Types With Satellite‐Derived Ocean Phytoplankton Biomass in the Tropical Pacific,Geophysical Research Letters,,,2019-06-10,2019,46,11,5987-5996,Closed,Article,"Sharma, Priya; Singh, A.; Marinov, I.; Kostadinov, T.",,"Sharma, Priya (University of Pennsylvania; University of the South Pacific); Singh, A. (University of the South Pacific); Marinov, I. (University of Pennsylvania); Kostadinov, T. (California State University, San Marcos)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116881052,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
2,100,pub.1112851104,10.1029/2018gl079684,,,Increasing Biomass in the Warm Oceans: Unexpected New Insights From SeaWiFS,Geophysical Research Letters,,,2019-04-16,2019,46,7,3900-3910,Closed,Article,"Sharma, P.; Marinov, I.; Cabre, A.; Kostadinov, T.; Singh, A.",,"Sharma, P. (University of Pennsylvania; University of the South Pacific); Marinov, I. (University of Pennsylvania); Cabre, A. (); Kostadinov, T. (California State University, San Marcos); Singh, A. (University of the South Pacific)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112851104,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,100,pub.1110831345,10.1016/j.rse.2018.11.037,,,Watershed-scale mapping of fractional snow cover under conifer forest canopy using lidar,Remote Sensing of Environment,,,2019-03,2019,222,Water Resour. Res. 52 2016,34-49,Closed,Article,"Kostadinov, Tihomir S.; Schumer, Rina; Hausner, Mark; Bormann, Kat J.; Gaffney, Rowan; McGwire, Kenneth; Painter, Thomas H.; Tyler, Scott; Harpold, Adrian A.","Kostadinov, Tihomir S.","Kostadinov, Tihomir S. (California State University, San Marcos); Schumer, Rina (Desert Research Institute); Hausner, Mark (Desert Research Institute); Bormann, Kat J. (Jet Propulsion Lab); Gaffney, Rowan (University of Nevada Reno); McGwire, Kenneth (Desert Research Institute); Painter, Thomas H. (Jet Propulsion Lab); Tyler, Scott (University of Nevada Reno); Harpold, Adrian A. (University of Nevada Reno)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110831345,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
4,100,pub.1099640198,10.3389/fmars.2017.00378,,,Intercomparison of Ocean Color Algorithms for Picophytoplankton Carbon in the Ocean,Frontiers in Marine Science,,,2017-12-11,2017,4,,378,All OA; Gold,Article,"Martínez-Vicente, Víctor; Evers-King, Hayley; Roy, Shovonlal; Kostadinov, Tihomir S.; Tarran, Glen A.; Graff, Jason R.; Brewin, Robert J. W.; Dall'Olmo, Giorgio; Jackson, Tom; Hickman, Anna E.; Röttgers, Rüdiger; Krasemann, Hajo; Marañón, Emilio; Platt, Trevor; Sathyendranath, Shubha",,"Martínez-Vicente, Víctor (Plymouth Marine Laboratory); Evers-King, Hayley (Plymouth Marine Laboratory); Roy, Shovonlal (University of Reading); Kostadinov, Tihomir S. (University of Richmond; Desert Research Institute); Tarran, Glen A. (Plymouth Marine Laboratory); Graff, Jason R. (Oregon State University); Brewin, Robert J. W. (Plymouth Marine Laboratory); Dall'Olmo, Giorgio (Plymouth Marine Laboratory); Jackson, Tom (Plymouth Marine Laboratory); Hickman, Anna E. (University of Southampton); Röttgers, Rüdiger (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Krasemann, Hajo (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Marañón, Emilio (University of Vigo); Platt, Trevor (Plymouth Marine Laboratory); Sathyendranath, Shubha (Plymouth Marine Laboratory)",4,4,,1.24,https://www.frontiersin.org/articles/10.3389/fmars.2017.00378/pdf,https://app.dimensions.ai/details/publication/pub.1099640198,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1091104683,10.3389/fmars.2017.00251,,,Validation and Intercomparison of Ocean Color Algorithms for Estimating Particulate Organic Carbon in the Oceans,Frontiers in Marine Science,,,2017-08-09,2017,4,,251,All OA; Gold,Article,"Evers-King, Hayley; Martinez-Vicente, Victor; Brewin, Robert J. W.; Dall'Olmo, Giorgio; Hickman, Anna E.; Jackson, Thomas; Kostadinov, Tihomir S.; Krasemann, Hajo; Loisel, Hubert; Röttgers, Rüdiger; Roy, Shovonlal; Stramski, Dariusz; Thomalla, Sandy; Platt, Trevor; Sathyendranath, Shubha",,"Evers-King, Hayley (Plymouth Marine Laboratory); Martinez-Vicente, Victor (Plymouth Marine Laboratory); Brewin, Robert J. W. (Plymouth Marine Laboratory); Dall'Olmo, Giorgio (Plymouth Marine Laboratory; Natural Environment Research Council); Hickman, Anna E. (University of Southampton); Jackson, Thomas (Plymouth Marine Laboratory); Kostadinov, Tihomir S. (University of Richmond); Krasemann, Hajo (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Loisel, Hubert (Laboratoire d’Océanologie et de Géosciences); Röttgers, Rüdiger (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Roy, Shovonlal (University of Reading); Stramski, Dariusz (University of California, San Diego); Thomalla, Sandy (Council for Scientific and Industrial Research; University of Cape Town); Platt, Trevor (Plymouth Marine Laboratory); Sathyendranath, Shubha (Plymouth Marine Laboratory; Natural Environment Research Council)",8,7,,2.49,https://www.frontiersin.org/articles/10.3389/fmars.2017.00251/pdf,https://app.dimensions.ai/details/publication/pub.1091104683,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,100,pub.1007053956,10.1016/j.rse.2016.11.014,,,Inter-comparison of phytoplankton functional type phenology metrics derived from ocean color algorithms and Earth System Models,Remote Sensing of Environment,,,2017-03,2017,190,Deep-Sea Res. I Oceanogr. Res. Pap. 52 11 2005,162-177,"All OA; Green, Published",Article,"Kostadinov, Tihomir S.; Cabré, Anna; Vedantham, Harish; Marinov, Irina; Bracher, Astrid; Brewin, Robert J.W.; Bricaud, Annick; Hirata, Takafumi; Hirawake, Toru; Hardman-Mountford, Nick J.; Mouw, Colleen; Roy, Shovonlal; Uitz, Julia","Kostadinov, Tihomir S.","Kostadinov, Tihomir S. (University of Richmond); Cabré, Anna (University of Pennsylvania); Vedantham, Harish (University of Groningen); Marinov, Irina (University of Pennsylvania); Bracher, Astrid (Alfred Wegener Institute for Polar and Marine Research; University of Bremen); Brewin, Robert J.W. (Plymouth Marine Laboratory); Bricaud, Annick (); Hirata, Takafumi (Hokkaido University; Japan Science and Technology Agency); Hirawake, Toru (Hokkaido University); Hardman-Mountford, Nick J. (); Mouw, Colleen (Michigan Technological University); Roy, Shovonlal (University of Reading); Uitz, Julia ()",24,19,,7.46,https://epic.awi.de/id/eprint/43371/1/2017_Kostadinov_et_al_RSE.pdf,https://app.dimensions.ai/details/publication/pub.1007053956,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,100,pub.1083897203,10.3389/fmars.2017.00041,,,A Consumer's Guide to Satellite Remote Sensing of Multiple Phytoplankton Groups in the Global Ocean,Frontiers in Marine Science,,,2017-02-21,2017,4,,41,All OA; Gold,Article,"Mouw, Colleen B.; Hardman-Mountford, Nick J.; Alvain, Séverine; Bracher, Astrid; Brewin, Robert J. W.; Bricaud, Annick; Ciotti, Aurea M.; Devred, Emmanuel; Fujiwara, Amane; Hirata, Takafumi; Hirawake, Toru; Kostadinov, Tihomir S.; Roy, Shovonlal; Uitz, Julia",,"Mouw, Colleen B. (University of Rhode Island); Hardman-Mountford, Nick J. (); Alvain, Séverine (Laboratoire d’Océanologie et de Géosciences); Bracher, Astrid (Alfred Wegener Institute for Polar and Marine Research; University of Bremen); Brewin, Robert J. W. (Plymouth Marine Laboratory); Bricaud, Annick (); Ciotti, Aurea M. (University of Sao Paulo); Devred, Emmanuel (Fisheries and Oceans Canada); Fujiwara, Amane (Japan Agency for Marine-Earth Science and Technology); Hirata, Takafumi (Hokkaido University; Japan Science and Technology Agency); Hirawake, Toru (Hokkaido University); Kostadinov, Tihomir S. (University of Richmond); Roy, Shovonlal (University of Reading); Uitz, Julia ()",40,29,,17.62,https://www.frontiersin.org/articles/10.3389/fmars.2017.00041/pdf,https://app.dimensions.ai/details/publication/pub.1083897203,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
8,100,pub.1072678702,10.5194/os-12-561-2016,,,Carbon-based phytoplankton size classes retrieved via ocean color estimates of the particle size distribution,Ocean Science,,,2016-04-18,2016,12,2,561-575,All OA; Gold,Article,"Kostadinov, Tihomir S.; Milutinović, Svetlana; Marinov, Irina; Cabré, Anna",,"Kostadinov, Tihomir S. (University of Richmond); Milutinović, Svetlana (University of Pennsylvania); Marinov, Irina (University of Pennsylvania); Cabré, Anna (University of Pennsylvania)",22,15,,4.75,https://www.ocean-sci.net/12/561/2016/os-12-561-2016.pdf,https://app.dimensions.ai/details/publication/pub.1072678702,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
9,100,pub.1000545464,10.3389/fmars.2016.00039,,,Phenology of Size-Partitioned Phytoplankton Carbon-Biomass from Ocean Color Remote Sensing and CMIP5 Models,Frontiers in Marine Science,,,2016-03-30,2016,3,,39,All OA; Gold,Article,"Cabré, Anna; Shields, David; Marinov, Irina; Kostadinov, Tihomir S.",,"Cabré, Anna (University of Pennsylvania); Shields, David (University of Pennsylvania); Marinov, Irina (University of Pennsylvania); Kostadinov, Tihomir S. (University of Richmond)",6,4,,2.1,https://www.frontiersin.org/articles/10.3389/fmars.2016.00039/pdf,https://app.dimensions.ai/details/publication/pub.1000545464,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
