,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Tom W Bell. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1119739980,10.3389/fmars.2019.00413,,,Spatial Variability in the Resistance and Resilience of Giant Kelp in Southern and Baja California to a Multiyear Heatwave,Frontiers in Marine Science,,,2019-07-23,2019,6,,413,All OA; Gold,Article,"Cavanaugh, Kyle C.; Reed, Daniel C.; Bell, Tom W.; Castorani, Max C. N.; Beas-Luna, Rodrigo",,"Cavanaugh, Kyle C. (University of California Los Angeles); Reed, Daniel C. (University of California, Santa Barbara); Bell, Tom W. (University of California, Santa Barbara); Castorani, Max C. N. (University of Virginia); Beas-Luna, Rodrigo (Autonomous University of Baja California)",1,1,,,https://www.frontiersin.org/articles/10.3389/fmars.2019.00413/pdf,https://app.dimensions.ai/details/publication/pub.1119739980,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1116663127,10.3389/fmars.2019.00253,,,Spatial Planning of Marine Aquaculture Under Climate Decadal Variability: A Case Study for Mussel Farms in Southern California,Frontiers in Marine Science,,,2019-06-04,2019,6,,253,All OA; Gold,Article,"Sainz, Jade F.; Di Lorenzo, Emanuele; Bell, Tom W.; Gaines, Steve; Lenihan, Hunter; Miller, Robert J.",,"Sainz, Jade F. (University of California, Santa Barbara; Georgia Institute of Technology); Di Lorenzo, Emanuele (Georgia Institute of Technology); Bell, Tom W. (University of California, Santa Barbara); Gaines, Steve (University of California, Santa Barbara); Lenihan, Hunter (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",0,0,,,https://www.frontiersin.org/articles/10.3389/fmars.2019.00253/pdf,https://app.dimensions.ai/details/publication/pub.1116663127,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,500,pub.1101244831,10.1038/s41467-018-03249-1,29507321,PMC5838171,Marine spatial planning makes room for offshore aquaculture in crowded coastal waters,Nature Communications,,Aquaculture; Conservation of Natural Resources; Ecosystem; Geography; Seawater,2018-12,2018,9,1,945,All OA; Gold,Article,"Lester, S. E.; Stevens, J. M.; Gentry, R. R.; Kappel, C. V.; Bell, T. W.; Costello, C. J.; Gaines, S. D.; Kiefer, D. A.; Maue, C. C.; Rensel, J. E.; Simons, R. D.; Washburn, L.; White, C.","Lester, S. E.","Lester, S. E. (Florida State University); Stevens, J. M. (California Polytechnic State University); Gentry, R. R. (University of California, Santa Barbara); Kappel, C. V. (University of California, Santa Barbara); Bell, T. W. (University of California, Santa Barbara); Costello, C. J. (University of California, Santa Barbara); Gaines, S. D. (University of California, Santa Barbara); Kiefer, D. A. (University of Southern California); Maue, C. C. (Stanford University); Rensel, J. E. (); Simons, R. D. (University of California, Santa Barbara); Washburn, L. (University of California, Santa Barbara); White, C. (California Polytechnic State University)",16,16,,,https://www.nature.com/articles/s41467-018-03249-1.pdf,https://app.dimensions.ai/details/publication/pub.1101244831,0602 Ecology; 0405 Oceanography; 0704 Fisheries Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0704 Fisheries Sciences,04 Earth Sciences,06 Biological Sciences
4,100,pub.1105289347,10.1016/j.rse.2018.06.039,,,Three decades of variability in California's giant kelp forests from the Landsat satellites,Remote Sensing of Environment,,,2018-07,2018,,Remote Sens. 6 2014,110811,Closed,Article,"Bell, Tom W.; Allen, James G.; Cavanaugh, Kyle C.; Siegel, David A.","Bell, Tom W.","Bell, Tom W. (University of California, Santa Barbara); Allen, James G. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Siegel, David A. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1105289347,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
5,500,pub.1092517052,10.1007/s00442-017-3994-1,29101467,,Scale-specific drivers of kelp forest communities,Oecologia,,Animals; Biodiversity; California; Ecosystem; Forests; Kelp,2018-01,2018,186,1,217-233,Closed,Article,"Lamy, Thomas; Reed, Daniel C.; Rassweiler, Andrew; Siegel, David A.; Kui, Li; Bell, Tom W.; Simons, Rachel D.; Miller, Robert J.","Lamy, Thomas","Lamy, Thomas (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara; Florida State University); Siegel, David A. (University of California, Santa Barbara); Kui, Li (University of California, Santa Barbara); Bell, Tom W. (University of California, Santa Barbara); Simons, Rachel D. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092517052,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,100,pub.1093075534,10.1002/lno.10753,,,Regional patterns of physiological condition determine giant kelp net primary production dynamics,Limnology and Oceanography,,,2018-01,2018,63,1,472-483,All OA; Gold,Article,"Bell, Tom W.; Reed, Daniel C.; Nelson, Norman B.; Siegel, David A.",,"Bell, Tom W. (); Reed, Daniel C. (); Nelson, Norman B. (); Siegel, David A. ()",2,2,,,https://doi.org/10.1002/lno.10753,https://app.dimensions.ai/details/publication/pub.1093075534,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
7,100,pub.1084252736,10.1186/s13750-017-0084-0,,,"What are the type, direction, and strength of species, community, and ecosystem responses to warming in aquatic mesocosm studies and their dependency on experimental characteristics? A systematic review protocol",Environmental Evidence,,,2017-12,2017,6,1,6,All OA; Gold,Article,"Guy-Haim, Tamar; Alexander, Harriet; Bell, Tom W.; Bier, Raven L.; Bortolotti, Lauren E.; Briseño-Avena, Christian; Dong, Xiaoli; Flanagan, Alison M.; Grosse, Julia; Grossmann, Lars; Hasnain, Sarah; Hovel, Rachel; Johnston, Cora A.; Miller, Dan R.; Muscarella, Mario; Noto, Akana E.; Reisinger, Alexander J.; Smith, Heidi J.; Stamieszkin, Karen","Guy-Haim, Tamar","Guy-Haim, Tamar (GEOMAR Helmholtz Centre for Ocean Research Kiel; Israel Oceanographic and Limnological Research); Alexander, Harriet (University of California, Davis); Bell, Tom W. (University of California, Santa Barbara); Bier, Raven L. (Uppsala University); Bortolotti, Lauren E. (Ducks Unlimited Canada); Briseño-Avena, Christian (Oregon State University); Dong, Xiaoli (Duke University); Flanagan, Alison M. (Stony Brook University); Grosse, Julia (GEOMAR Helmholtz Centre for Ocean Research Kiel); Grossmann, Lars (University of Duisburg-Essen); Hasnain, Sarah (Queen's University); Hovel, Rachel (); Johnston, Cora A. (University of Maryland, College Park); Miller, Dan R. (Bar-Ilan University); Muscarella, Mario (University of Illinois at Urbana Champaign); Noto, Akana E. (); Reisinger, Alexander J. (Cary Institute of Ecosystem Studies); Smith, Heidi J. (Montana State University); Stamieszkin, Karen (Bigelow Laboratory For Ocean Sciences)",1,0,,0.42,https://environmentalevidencejournal.biomedcentral.com/track/pdf/10.1186/s13750-017-0084-0,https://app.dimensions.ai/details/publication/pub.1084252736,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
8,500,pub.1084212714,10.1111/gcb.13686,28295911,,CO2 exchange and evapotranspiration across dryland ecosystems of southwestern North America,Global Change Biology,,Carbon Dioxide; Ecosystem; Forests; North America; Temperature,2017-10,2017,23,10,4204-4221,All OA; Gold,Article,"Biederman, Joel A.; Scott, Russell L.; Bell, Tom W.; Bowling, David R.; Dore, Sabina; Garatuza‐Payan, Jaime; Kolb, Thomas E.; Krishnan, Praveena; Krofcheck, Dan J.; Litvak, Marcy E.; Maurer, Gregory E.; Meyers, Tilden P.; Oechel, Walter C.; Papuga, Shirley A.; Ponce‐Campos, Guillermo E.; Rodriguez, Julio C.; Smith, William K.; Vargas, Rodrigo; Watts, Christopher J.; Yepez, Enrico A.; Goulden, Michael L.",,"Biederman, Joel A. (Agricultural Research Service); Scott, Russell L. (Agricultural Research Service); Bell, Tom W. (University of California, Santa Barbara); Bowling, David R. (University of Utah); Dore, Sabina (Northern Arizona University); Garatuza‐Payan, Jaime (Sonora Institute of Technology); Kolb, Thomas E. (Northern Arizona University); Krishnan, Praveena (Air Resources Laboratory); Krofcheck, Dan J. (University of New Mexico); Litvak, Marcy E. (University of New Mexico); Maurer, Gregory E. (University of New Mexico); Meyers, Tilden P. (Air Resources Laboratory); Oechel, Walter C. (San Diego State University); Papuga, Shirley A. (University of Arizona); Ponce‐Campos, Guillermo E. (Agricultural Research Service); Rodriguez, Julio C. (University of Sonora); Smith, William K. (University of Arizona); Vargas, Rodrigo (University of Delaware); Watts, Christopher J. (University of Sonora); Yepez, Enrico A. (Sonora Institute of Technology); Goulden, Michael L. (University of California, Irvine)",32,31,1.01,13.33,https://doi.org/10.1111/gcb.13686,https://app.dimensions.ai/details/publication/pub.1084212714,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
9,200,pub.1085084692,10.1002/lob.10180,,,Ecological Dissertations in the Aquatic Sciences: An Effective Networking and Professional Development Opportunity for Early Career Aquatic Scientists,Limnology and Oceanography Bulletin,,,2017-05,2017,26,2,25-30,"All OA; Green, Published",Article,"Kelly, Patrick T.; Bell, Tom; Reisinger, Alexander J.; Spanbauer, Trisha L.; Bortolotti, Lauren E.; Brentrup, Jennifer A.; Briseño‐Avena, Christian; Dong, Xiaoli; Flanagan, Alison M.; Follett, Elizabeth M.; Grosse, Julia; Guy‐Haim, Tamar; Holgerson, Meredith A.; Hovel, Rachel A.; Luo, Jessica Y.; Millette, Nicole C.; Mine, Aric; Muscarella, Mario E.; Oliver, Samantha K.; Smith, Heidi J.",,"Kelly, Patrick T. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Bell, Tom (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Reisinger, Alexander J. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Spanbauer, Trisha L. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Bortolotti, Lauren E. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Brentrup, Jennifer A. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Briseño‐Avena, Christian (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Dong, Xiaoli (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Flanagan, Alison M. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Follett, Elizabeth M. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Grosse, Julia (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Guy‐Haim, Tamar (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Holgerson, Meredith A. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Hovel, Rachel A. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Luo, Jessica Y. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Millette, Nicole C. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Mine, Aric (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Muscarella, Mario E. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Oliver, Samantha K. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University); Smith, Heidi J. (University of California, Santa Barbara; Cary Institute of Ecosystem Studies; The University of Texas at Austin; Ducks Unlimited Canada; Miami University; Duke University; Boston College; GEOMAR Helmholtz Centre for Ocean Research Kiel; Portland State University; University of Washington; Climate and Global Dynamics Laboratory; Mississippi State University; California State University, Fresno; University of Illinois at Urbana Champaign; University of Wisconsin–Madison; Montana State University)",2,2,,,https://escholarship.org/content/qt3mp8907f/qt3mp8907f.pdf?t=pdigln,https://app.dimensions.ai/details/publication/pub.1085084692,,,,,,
