,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Tommy D Dickey. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1107728335,10.1016/b978-0-12-409548-9.11552-0,,,Inherent Optical Properties and Irradiance☆,,Encyclopedia of Ocean Sciences,,2019,2019,,Continental Shelf Research 14 1994,109-119,Closed,Chapter,"Dickey, T.D.; Ma, Kun",,"Dickey, T.D. (University of California, Santa Barbara); Ma, Kun (Skidaway Institute of Oceanography)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107728335,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
2,100,pub.1020644725,10.1093/icesjms/fsu241,,,Phytoplankton bloom phenomena in the North Atlantic Ocean and Arabian Sea,ICES Journal of Marine Science,,,2015-08,2015,72,6,2021-2028,All OA; Gold,Article,"Marra, John F.; Dickey, Tommy D.; Plueddemann, Albert J.; Weller, Robert A.; Kinkade, Christopher S.; Stramska, Malgorzata",,"Marra, John F. (Brooklyn College); Dickey, Tommy D. (University of California, Santa Barbara); Plueddemann, Albert J. (Woods Hole Oceanographic Institution); Weller, Robert A. (Woods Hole Oceanographic Institution); Kinkade, Christopher S. (National Ocean Service); Stramska, Malgorzata (Institute of Oceanology)",6,2,,0.95,https://academic.oup.com/icesjms/article-pdf/72/6/2021/5104179/fsu241.pdf,https://app.dimensions.ai/details/publication/pub.1020644725,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,100,pub.1091583861,10.21236/ada572754,,,"High Resolution Time Series Observations and Modeling of Radiance, Optical Properties, and Physical Processes as Part of RaDyO",,,,2012-09,2012,,,,All OA; Gold,Article,"Dickey, Tommy D",,"Dickey, Tommy D ()",0,0,,0,http://www.dtic.mil/dtic/tr/fulltext/u2/a572754.pdf,https://app.dimensions.ai/details/publication/pub.1091583861,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1040960719,10.1029/2011jc007354,,,Three‐dimensional oceanic eddy analysis in the Southern California Bight from a numerical product,Journal of Geophysical Research,,,2012-07,2012,117,C7,n/a-n/a,All OA; Gold,Article,"Dong, Changming; Lin, Xiayan; Liu, Yu; Nencioli, Francesco; Chao, Yi; Guan, Yuping; Chen, Dake; Dickey, Tommy; McWilliams, James C.",,"Dong, Changming (University of California Los Angeles); Lin, Xiayan (South China Sea Institute Of Oceanology; University of Chinese Academy of Sciences); Liu, Yu (South China Sea Institute Of Oceanology; University of Chinese Academy of Sciences); Nencioli, Francesco (Aix-Marseille University); Chao, Yi (California Institute of Technology; University of California Los Angeles); Guan, Yuping (South China Sea Institute Of Oceanology); Chen, Dake (Second Institute of Oceanography); Dickey, Tommy (University of California, Santa Barbara); McWilliams, James C. (University of California Los Angeles)",45,15,,5.12,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JC007354,https://app.dimensions.ai/details/publication/pub.1040960719,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1031332329,10.1029/2011jc007336,,,An overview of sea state conditions and air‐sea fluxes during RaDyO,Journal of Geophysical Research,,,2012-07,2012,117,C7,n/a-n/a,All OA; Gold,Article,"Zappa, Christopher J.; Banner, Michael L.; Schultz, Howard; Gemmrich, Johannes R.; Morison, Russel P.; LeBel, Deborah A.; Dickey, Tommy",,"Zappa, Christopher J. (Lamont-Doherty Earth Observatory); Banner, Michael L. (UNSW Sydney); Schultz, Howard (University of Massachusetts System); Gemmrich, Johannes R. (University of Victoria); Morison, Russel P. (UNSW Sydney); LeBel, Deborah A. (Lamont-Doherty Earth Observatory); Dickey, Tommy (University of California, Santa Barbara)",36,9,,4.09,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JC007336,https://app.dimensions.ai/details/publication/pub.1031332329,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,100,pub.1091776001,10.21236/ada557231,,,"High Resolution Time Series Observations and Modeling of Radiance, Optical Properties, and Physical Processes as Part of RaDyO",,,,2011-09,2011,,,,All OA; Gold,Article,"Dickey, Tommy D",,"Dickey, Tommy D ()",0,0,,0,http://www.dtic.mil/dtic/tr/fulltext/u2/a557231.pdf,https://app.dimensions.ai/details/publication/pub.1091776001,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,200,pub.1057978599,10.1063/1.3580492,,,Shedding new light on light in the ocean,Physics Today,,,2011-04,2011,64,4,44-49,Closed,Article,"Dickey, Tommy D.; Kattawar, George W.; Voss, Kenneth J.",,"Dickey, Tommy D. (); Kattawar, George W. (); Voss, Kenneth J. ()",35,4,,,,https://app.dimensions.ai/details/publication/pub.1057978599,01 Mathematical Sciences; 02 Physical Sciences,01 Mathematical Sciences,02 Physical Sciences,,,
8,100,pub.1012316573,10.1175/2009jtecho725.1,,,A Vector Geometry–Based Eddy Detection Algorithm and Its Application to a High-Resolution Numerical Model Product and High-Frequency Radar Surface Velocities in the Southern California Bight,Journal of Atmospheric and Oceanic Technology,,,2010-03,2010,27,3,564-579,"All OA; Green, Accepted & Submitted",Article,"Nencioli, Francesco; Dong, Changming; Dickey, Tommy; Washburn, Libe; McWilliams, James C.",,"Nencioli, Francesco (); Dong, Changming (); Dickey, Tommy (); Washburn, Libe (); McWilliams, James C. ()",169,59,,35,http://www.opl.ucsb.edu/tommy/pubs/frans2009JTECHO725.pdf,https://app.dimensions.ai/details/publication/pub.1012316573,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
9,200,pub.1088892932,10.1093/acprof:oso/9780199558025.003.0006,,,Dynamics of marine ecosystems: observation and experimentation,,Marine Ecosystems and Global Change,,2010-02-11,2010,,,129-178,Closed,Chapter,"Harris, Roger P.; Buckley, Lawrence J.; Campbell, Robert G.; Chiba, Sanae; Costa, Daniel P.; Dickey, Tommy D.; Irigoien, Xabier; Kiørboe, Thomas; Möllmann, Christian; Ohman, Mark D.; Runge, Jeffrey A.; Saiz, Enric; Wiebe, Peter H.",,"Harris, Roger P. (); Buckley, Lawrence J. (); Campbell, Robert G. (); Chiba, Sanae (); Costa, Daniel P. (); Dickey, Tommy D. (); Irigoien, Xabier (); Kiørboe, Thomas (); Möllmann, Christian (); Ohman, Mark D. (); Runge, Jeffrey A. (); Saiz, Enric (); Wiebe, Peter H. ()",4,0,,,,https://app.dimensions.ai/details/publication/pub.1088892932,,,,,,
10,100,pub.1028670068,10.5194/bg-7-151-2010,,,Optical Characterization of an Eddy-induced Diatom Bloom West of the Island of Hawaii,Biogeosciences,,,2010-01-13,2010,7,1,151-162,All OA; Gold,Article,"Nencioli, F.; Chang, G.; Twardowski, M.; Dickey, T. D.",,"Nencioli, F. (University of California, Santa Barbara); Chang, G. (); Twardowski, M. (); Dickey, T. D. (University of California, Santa Barbara)",7,0,,1.08,https://www.biogeosciences.net/7/151/2010/bg-7-151-2010.pdf,https://app.dimensions.ai/details/publication/pub.1028670068,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
11,100,pub.1027120208,10.5194/bg-7-57-2010,,,Increased ocean carbon export in the Sargasso Sea linked to climate variability is countered by its enhanced mesopelagic attenuation,Biogeosciences,,,2010-01-05,2010,7,1,57-70,All OA; Gold,Article,"Lomas, M. W.; Steinberg, D. K.; Dickey, T.; Carlson, C. A.; Nelson, N. B.; Condon, R. H.; Bates, N. R.",,"Lomas, M. W. (Bermuda Institute of Ocean Sciences); Steinberg, D. K. (William & Mary); Dickey, T. (University of California, Santa Barbara); Carlson, C. A. (University of California, Santa Barbara); Nelson, N. B. (University of California, Santa Barbara); Condon, R. H. (Bermuda Institute of Ocean Sciences); Bates, N. R. (Bermuda Institute of Ocean Sciences)",86,12,,8.14,https://www.biogeosciences.net/7/57/2010/bg-7-57-2010.pdf,https://app.dimensions.ai/details/publication/pub.1027120208,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
12,100,pub.1027134989,10.1016/j.dsr.2009.08.009,,,Application of underwater optical data to estimation of primary productivity,Deep Sea Research Part I Oceanographic Research Papers,,,2009-12,2009,56,12,2281-2292,Closed,Article,"Honda, Makio C.; Sasaoka, Kosei; Kawakami, Hajime; Matsumoto, Kazuhiko; Watanabe, Shuichi; Dickey, Tommy","Honda, Makio C.","Honda, Makio C. (Japan Agency for Marine-Earth Science and Technology); Sasaoka, Kosei (Japan Agency for Marine-Earth Science and Technology); Kawakami, Hajime (Japan Agency for Marine-Earth Science and Technology); Matsumoto, Kazuhiko (Japan Agency for Marine-Earth Science and Technology); Watanabe, Shuichi (Japan Agency for Marine-Earth Science and Technology); Dickey, Tommy (University of California, Santa Barbara)",13,2,,1.06,,https://app.dimensions.ai/details/publication/pub.1027134989,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
13,100,pub.1026963944,10.5194/bgd-6-9547-2009,,,Increased ocean carbon export in the Sargasso Sea is countered by its enhanced mesopelagic attenuation,Biogeosciences Discussions,,,2009-10-06,2009,6,5,9547-9582,All OA; Gold,Article,"Lomas, M. W.; Steinberg, D. K.; Dickey, T.; Carlson, C. A.; Nelson, N. B.; Condon, R. H.; Bates, N. R.",,"Lomas, M. W. (Bermuda Institute of Ocean Sciences); Steinberg, D. K. (William & Mary); Dickey, T. (University of California, Santa Barbara); Carlson, C. A. (University of California, Santa Barbara); Nelson, N. B. (University of California, Santa Barbara); Condon, R. H. (Bermuda Institute of Ocean Sciences); Bates, N. R. (Bermuda Institute of Ocean Sciences)",6,1,,0.49,https://doi.org/10.5194/bgd-6-9547-2009,https://app.dimensions.ai/details/publication/pub.1026963944,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
14,100,pub.1010293855,10.5194/bgd-6-8075-2009,,,Optical characterization of an eddy-induced diatom bloom west of the island of Hawaii,Biogeosciences Discussions,,,2009-08-07,2009,6,4,8075-8100,All OA; Gold,Article,"Nencioli, F.; Chang, G.; Twardowski, M.; Dickey, T. D.",,"Nencioli, F. (University of California, Santa Barbara); Chang, G. (); Twardowski, M. (); Dickey, T. D. (University of California, Santa Barbara)",1,0,,0.08,http://www.opl.ucsb.edu/tommy/pubs/bg-7-151-2010.pdf,https://app.dimensions.ai/details/publication/pub.1010293855,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
15,200,pub.1073067785,10.5670/oceanog.2009.47,,,The NOPP O-SCOPE and MOSEAN Projects: Advanced Sensing for Ocean Observing Systems,Oceanography,,,2009-06-01,2009,22,2,168-181,All OA; Gold,Article,"Dickey, Tommy; Bates, Nick; Byrne, Robert; Chang, Grace; Chavez, Francisco; Feely, Richard; Hanson, Alfred; Karl, David; Manov, Derek; Moore, Casey; Sabine, Christopher; Wanninkhof, Rik",,"Dickey, Tommy (); Bates, Nick (); Byrne, Robert (); Chang, Grace (); Chavez, Francisco (); Feely, Richard (); Hanson, Alfred (); Karl, David (); Manov, Derek (); Moore, Casey (); Sabine, Christopher (); Wanninkhof, Rik ()",9,0,,0.73,https://tos.org/oceanography/assets/docs/22-2_dickey.pdf,https://app.dimensions.ai/details/publication/pub.1073067785,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
16,200,pub.1036342390,10.1117/12.818068,,,Progress in multidisciplinary sensing of the 4-dimensional ocean,Proceedings of SPIE,Ocean Sensing and Monitoring,,2009-05-01,2009,7317,,731702-731702-13,"All OA; Green, Accepted & Submitted",Proceeding,"Dickey, Tommy",,"Dickey, Tommy (University of California, Santa Barbara)",2,1,,,http://www.opl.ucsb.edu/tommy/pubs/SPIE_09_Paper_2009_v7pdf.pdf,https://app.dimensions.ai/details/publication/pub.1036342390,,,,,,
