,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Toshiro Tanimoto. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1116012502,10.1029/2018jb017132,,,Theory for Deriving Shallow Elasticity Structure From Colocated Seismic and Pressure Data,Journal of Geophysical Research Solid Earth,,,2019-05-30,2019,124,6,5811-5835,Closed,Article,"Tanimoto, Toshiro; Wang, Jiong",,"Tanimoto, Toshiro (University of California, Santa Barbara); Wang, Jiong (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116012502,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
2,100,pub.1105200834,10.1029/2018jb015519,,,Low‐Frequency Seismic Noise Characteristics From the Analysis of Co‐Located Seismic and Pressure Data,Journal of Geophysical Research Solid Earth,,,2018-07,2018,123,7,5853-5885,All OA; Gold,Article,"Tanimoto, Toshiro; Wang, Jiong",,"Tanimoto, Toshiro (University of California, Santa Barbara); Wang, Jiong (University of California, Santa Barbara)",6,6,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018JB015519,https://app.dimensions.ai/details/publication/pub.1105200834,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
3,100,pub.1092333915,10.1002/2017gl074185,,,Modeling the Excitation of Seismic Waves by the Joplin Tornado,Geophysical Research Letters,,,2017-10-28,2017,44,20,"10,256-10,261",Closed,Article,"Valovcin, Anne; Tanimoto, Toshiro",,"Valovcin, Anne (University of California, Santa Barbara); Tanimoto, Toshiro (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1092333915,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
4,100,pub.1038655935,10.1002/2016gl070858,,,Existence of the threshold pressure for seismic excitation by atmospheric disturbances,Geophysical Research Letters,,,2016-11-16,2016,43,21,"11,202-11,208",All OA; Gold,Article,"Tanimoto, Toshiro; Valovcin, Anne",,"Tanimoto, Toshiro (University of California, Santa Barbara); Valovcin, Anne (University of California, Santa Barbara)",5,4,,1.02,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GL070858,https://app.dimensions.ai/details/publication/pub.1038655935,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
5,100,pub.1037826384,10.1002/2016gl071133,,,"Estimate of Rayleigh‐to‐Love wave ratio in the secondary microseism by a small array at Piñon Flat observatory, California",Geophysical Research Letters,,,2016-11-16,2016,43,21,"11,173-11,181","All OA; Green, Accepted & Submitted",Article,"Tanimoto, Toshiro; Lin, Chin‐Jen; Hadziioannou, Céline; Igel, Heiner; Vernon, Frank",,"Tanimoto, Toshiro (University of California, Santa Barbara); Lin, Chin‐Jen (Academia Sinica; Ludwig Maximilian University of Munich); Hadziioannou, Céline (Ludwig Maximilian University of Munich); Igel, Heiner (Ludwig Maximilian University of Munich); Vernon, Frank (Scripps Institution of Oceanography)",5,4,,2.45,https://escholarship.org/content/qt9vp7k1j5/qt9vp7k1j5.pdf?t=ojx3a5,https://app.dimensions.ai/details/publication/pub.1037826384,0911 Maritime Engineering; 09 Engineering,0911 Maritime Engineering,09 Engineering,,,
6,100,pub.1019865551,10.1002/2016jb012885,,,Seasonal variations in the Rayleigh‐to‐Love wave ratio in the secondary microseism from colocated ring laser and seismograph,Journal of Geophysical Research Solid Earth,,,2016-04,2016,121,4,2447-2459,All OA; Gold,Article,"Tanimoto, Toshiro; Hadziioannou, Céline; Igel, Heiner; Wassermann, Joachim; Schreiber, Ulrich; Gebauer, André; Chow, Bryant",,"Tanimoto, Toshiro (University of California, Santa Barbara); Hadziioannou, Céline (Ludwig Maximilian University of Munich); Igel, Heiner (Ludwig Maximilian University of Munich); Wassermann, Joachim (Ludwig Maximilian University of Munich); Schreiber, Ulrich (Technical University Munich); Gebauer, André (Technical University Munich); Chow, Bryant (Ludwig Maximilian University of Munich)",6,3,,2.94,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JB012885,https://app.dimensions.ai/details/publication/pub.1019865551,0911 Maritime Engineering; 09 Engineering,0911 Maritime Engineering,09 Engineering,,,
7,100,pub.1021392687,10.1002/2015jb012177,,,Stochastic excitation of seismic waves by a hurricane,Journal of Geophysical Research Solid Earth,,,2015-11,2015,120,11,7713-7728,"All OA; Green, Accepted & Submitted",Article,"Tanimoto, Toshiro; Valovcin, Anne",,"Tanimoto, Toshiro (University of California, Santa Barbara); Valovcin, Anne (University of California, Santa Barbara)",8,7,,1.96,https://escholarship.org/content/qt8w50h9wx/qt8w50h9wx.pdf?t=nwb9mg,https://app.dimensions.ai/details/publication/pub.1021392687,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
8,100,pub.1027731107,10.1002/2015gl063637,,,Estimate of Rayleigh‐to‐Love wave ratio in the secondary microseism by colocated ring laser and seismograph,Geophysical Research Letters,,,2015-04-28,2015,42,8,2650-2655,All OA; Gold,Article,"Tanimoto, Toshiro; Hadziioannou, Céline; Igel, Heiner; Wasserman, Joachim; Schreiber, Ulrich; Gebauer, André",,"Tanimoto, Toshiro (University of California, Santa Barbara); Hadziioannou, Céline (Ludwig Maximilian University of Munich); Igel, Heiner (Ludwig Maximilian University of Munich); Wasserman, Joachim (Ludwig Maximilian University of Munich); Schreiber, Ulrich (); Gebauer, André ()",23,11,,9.88,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GL063637,https://app.dimensions.ai/details/publication/pub.1027731107,0911 Maritime Engineering; 09 Engineering,0911 Maritime Engineering,09 Engineering,,,
9,100,pub.1008757172,10.1016/j.epsl.2015.01.016,,,Unified Structural Representation of the southern California crust and upper mantle,Earth and Planetary Science Letters,,,2015-04,2015,415,Earthq. Spectra 17 2 2001,1-15,"All OA; Green, Accepted & Submitted",Article,"Shaw, John H.; Plesch, Andreas; Tape, Carl; Suess, M. Peter; Jordan, Thomas H.; Ely, Geoffrey; Hauksson, Egill; Tromp, Jeroen; Tanimoto, Toshiro; Graves, Robert; Olsen, Kim; Nicholson, Craig; Maechling, Philip J.; Rivero, Carlos; Lovely, Peter; Brankman, Charles M.; Munster, Jason","Shaw, John H.","Shaw, John H. (Harvard University); Plesch, Andreas (Harvard University); Tape, Carl (Harvard University; University of Alaska Fairbanks); Suess, M. Peter (University of Tübingen); Jordan, Thomas H. (University of Southern California); Ely, Geoffrey (University of Southern California); Hauksson, Egill (California Institute of Technology); Tromp, Jeroen (Princeton University); Tanimoto, Toshiro (University of California, Santa Barbara); Graves, Robert (United States Geological Survey); Olsen, Kim (San Diego State University); Nicholson, Craig (University of California, Santa Barbara); Maechling, Philip J. (University of Southern California); Rivero, Carlos (); Lovely, Peter (); Brankman, Charles M. (); Munster, Jason (Harvard University)",50,24,,11.19,https://escholarship.org/content/qt9fv151w5/qt9fv151w5.pdf?t=ntzs07,https://app.dimensions.ai/details/publication/pub.1008757172,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
