,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Uta Desy Elisabeth Passow. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117624038,10.1007/978-3-030-11605-7_12,,,Marine Oil Snow Sedimentation and Flocculent Accumulation (MOSSFA) Events: Learning from the Past to Predict the Future,,Deep Oil Spills,,2020,2020,,,196-220,Closed,Chapter,"Quigg, Antonietta; Passow, Uta; Daly, Kendra L.; Burd, Adrian; Hollander, David J.; Schwing, Patrick T.; Lee, Kenneth","Quigg, Antonietta","Quigg, Antonietta (Texas A&M University at Galveston); Passow, Uta (Memorial University of Newfoundland); Daly, Kendra L. (University of South Florida); Burd, Adrian (University of Georgia); Hollander, David J. (University of South Florida); Schwing, Patrick T. (University of South Florida); Lee, Kenneth (Fisheries and Oceans Canada)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1117624038,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
2,200,pub.1111945171,10.3354/meps12881,,,Incorporation of oil into diatom aggregates,Marine Ecology Progress Series,,,2019-03-07,2019,612,,65-86,All OA; Gold,Article,"Passow, U; Sweet, J; Francis, S; Xu, C; Dissanayake, AL; Lin, YY; Santschi, PH; Quigg, A",,"Passow, U (); Sweet, J (); Francis, S (); Xu, C (); Dissanayake, AL (); Lin, YY (); Santschi, PH (); Quigg, A ()",3,3,,,https://www.int-res.com/articles/meps_oa/m612p065.pdf,https://app.dimensions.ai/details/publication/pub.1111945171,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
3,500,pub.1111750967,10.1016/j.heliyon.2019.e01174,30775571,PMC6356114,Inter-laboratory calibration of estimated oil equivalent (EOE) concentrations of a water accommodated fraction (WAF) of oil and a chemically enhanced WAF (CEWAF),Heliyon,,,2019-01,2019,5,1,e01174,All OA; Gold,Article,"Bera, Gopal; Gold-Bouchot, Gerardo; Passow, Uta; Wade, Terry L.; Shi, Dawei; Morales-McDevitt, Maya; Ramirez-Miss, Noemi; Knap, Anthony H.; Quigg, Antonietta","Bera, Gopal","Bera, Gopal (Texas A&M University); Gold-Bouchot, Gerardo (Texas A&M University); Passow, Uta (Memorial University of Newfoundland); Wade, Terry L. (Texas A&M University); Shi, Dawei (Texas A&M University); Morales-McDevitt, Maya (Texas A&M University); Ramirez-Miss, Noemi (Texas A&M University); Knap, Anthony H. (Texas A&M University); Quigg, Antonietta ()",1,1,,,http://www.heliyon.com/article/e01174/pdf,https://app.dimensions.ai/details/publication/pub.1111750967,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
4,500,pub.1108041005,10.1016/j.aquatox.2018.11.004,30448744,,Response of natural phytoplankton communities exposed to crude oil and chemical dispersants during a mesocosm experiment,Aquatic Toxicology,,"Animals; Diatoms; Gulf of Mexico; Lipids; Petroleum; Petroleum Pollution; Phytoplankton; Seawater; Water Pollutants, Chemical",2019-01,2019,206,Oceanography 24 2011,43-53,Closed,Article,"Bretherton, Laura; Kamalanathan, Manoj; Genzer, Jennifer; Hillhouse, Jessica; Setta, Samantha; Liang, Yue; Brown, Chris M.; Xu, Chen; Sweet, Julia; Passow, Uta; Finkel, Zoe V.; Irwin, Andrew J.; Santschi, Peter H.; Quigg, Antonietta","Bretherton, Laura","Bretherton, Laura (); Kamalanathan, Manoj (); Genzer, Jennifer (); Hillhouse, Jessica (); Setta, Samantha (); Liang, Yue (Mount Allison University); Brown, Chris M. (Mount Allison University); Xu, Chen (); Sweet, Julia (University of California, Santa Barbara); Passow, Uta (University of California, Santa Barbara); Finkel, Zoe V. (Mount Allison University); Irwin, Andrew J. (Mount Allison University); Santschi, Peter H. (Texas A&M University); Quigg, Antonietta (Texas A&M University)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1108041005,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
5,500,pub.1105307925,10.1016/j.scitotenv.2018.06.300,30189567,,Effects of salinity and transparent exopolymer particles on formation of aquatic aggregates and their association with norovirus,The Science of The Total Environment,,"Animals; Bivalvia; Humans; Mice; Norovirus; Polysaccharides, Bacterial; Salinity; Shellfish",2018-12,2018,643,Prog. Oceanogr. 20 1 1988,1514-1521,Closed,Article,"Hanley, Kaitlyn T.; Wuertz, Stefan; Schriewer, Alexander; Passow, Uta; Smith, Woutrina; Olin, Paul; Shapiro, Karen","Shapiro, Karen","Hanley, Kaitlyn T. (University of California, Davis); Wuertz, Stefan (University of California, Davis; Nanyang Technological University); Schriewer, Alexander (University of California, Davis); Passow, Uta (University of California, Santa Barbara); Smith, Woutrina (University of California, Davis); Olin, Paul (); Shapiro, Karen (University of California, Davis)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105307925,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
6,200,pub.1107127544,10.1016/j.marchem.2018.09.007,,,Partitioning of oil compounds into marine oil snow: Insights into prevailing mechanisms and dispersant effects,Marine Chemistry,,,2018-10,2018,206,Mar. Chem. 168 2015,62-73,Closed,Article,"Wirth, Marisa A.; Passow, Uta; Jeschek, Jenny; Hand, Ines; Schulz-Bull, Detlef E.","Passow, Uta","Wirth, Marisa A. (Leibniz Institute for Baltic Sea Research); Passow, Uta (University of California, Santa Barbara); Jeschek, Jenny (Leibniz Institute for Baltic Sea Research); Hand, Ines (Leibniz Institute for Baltic Sea Research); Schulz-Bull, Detlef E. (Leibniz Institute for Baltic Sea Research)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1107127544,0405 Oceanography; 0402 Geochemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences
7,100,pub.1106782964,10.1002/lom3.10268,,,An updated method for the calibration of transparent exopolymer particle measurements,Limnology and Oceanography Methods,,,2018-10,2018,16,10,621-628,All OA; Gold,Article,"Bittar, Thais B.; Passow, Uta; Hamaraty, Liti; Bidle, Kay D.; Harvey, Elizabeth L.",,"Bittar, Thais B. (Skidaway Institute of Oceanography); Passow, Uta (University of California, Santa Barbara); Hamaraty, Liti (Rutgers, The State University of New Jersey); Bidle, Kay D. (Rutgers, The State University of New Jersey); Harvey, Elizabeth L. (Skidaway Institute of Oceanography)",5,5,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lom3.10268,https://app.dimensions.ai/details/publication/pub.1106782964,04 Earth Sciences; 06 Biological Sciences,04 Earth Sciences,06 Biological Sciences,,,
8,200,pub.1106050058,10.3389/fmicb.2018.01822,30135683,PMC6092484,"Editorial: Microbial Exopolymers: Sources, Chemico-Physiological Properties, and Ecosystem Effects in the Marine Environment",Frontiers in Microbiology,,,2018-08-08,2018,9,,1822,All OA; Gold,Article,"Gutierrez, Tony; Teske, Andreas; Ziervogel, Kai; Passow, Uta; Quigg, Antonietta",,"Gutierrez, Tony (Heriot-Watt University); Teske, Andreas (University of North Carolina at Chapel Hill); Ziervogel, Kai (University of New Hampshire); Passow, Uta (University of California, Santa Barbara; Memorial University of Newfoundland); Quigg, Antonietta (Texas A&M University at Galveston)",1,1,,,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01822/pdf,https://app.dimensions.ai/details/publication/pub.1106050058,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
9,100,pub.1104009548,10.1029/2018jc013790,,,"Numerical Modeling of the Interactions of Oil, Marine Snow, and Riverine Sediments in the Ocean",Journal of Geophysical Research Oceans,,,2018-08,2018,123,8,5388-5405,Closed,Article,"Dissanayake, Anusha L.; Burd, Adrian B.; Daly, Kendra L.; Francis, Simone; Passow, Uta",,"Dissanayake, Anusha L. (University of Georgia; Applied Science Associates (United States)); Burd, Adrian B. (University of Georgia); Daly, Kendra L. (University of South Florida); Francis, Simone (University of California, Santa Barbara); Passow, Uta (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1104009548,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
