,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Vamsi Ganti. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1115170589,10.1073/pnas.1901642116,31118286,PMC6575162,"Low-gradient, single-threaded rivers prior to greening of the continents",Proceedings of the National Academy of Sciences,,,2019-05-22,2019,116,24,11652-11657,"All OA; Green, Accepted & Submitted",Article,"Ganti, Vamsi; Whittaker, Alexander C.; Lamb, Michael P.; Fischer, Woodward W.",,"Ganti, Vamsi (University of California System); Whittaker, Alexander C. (Imperial College London); Lamb, Michael P. (California Institute of Technology); Fischer, Woodward W. (California Institute of Technology)",0,0,,,https://authors.library.caltech.edu/95729/2/pnas.1901642116.sapp.pdf,https://app.dimensions.ai/details/publication/pub.1115170589,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1106892577,10.1029/2018je005618,,,Degradation of 100‐m‐Scale Rocky Ejecta Craters at the InSight Landing Site on Mars and Implications for Surface Processes and Erosion Rates in the Hesperian and Amazonian,Journal of Geophysical Research Planets,,,2018-10,2018,123,10,2732-2759,Closed,Article,"Sweeney, J.; Warner, N. H.; Ganti, V.; Golombek, M. P.; Lamb, M. P.; Fergason, R.; Kirk, R.",,"Sweeney, J. (SUNY Geneseo); Warner, N. H. (SUNY Geneseo); Ganti, V. (Imperial College London; University of California, Santa Barbara); Golombek, M. P. (Jet Propulsion Lab); Lamb, M. P. (California Institute of Technology); Fergason, R. (); Kirk, R. ()",2,2,,,,https://app.dimensions.ai/details/publication/pub.1106892577,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
3,100,pub.1105549977,10.1130/g40273.1,,,"Erosional surfaces in the Upper Cretaceous Castlegate Sandstone (Utah, USA): Sequence boundaries or autogenic scour from backwater hydrodynamics?",Geology,,,2018-08-01,2018,46,8,707-710,Closed,Article,"Trower, Elizabeth J.; Ganti, Vamsi; Fischer, Woodward W.; Lamb, Michael P.",,"Trower, Elizabeth J. (University of Colorado Boulder); Ganti, Vamsi (University of California, Santa Barbara); Fischer, Woodward W. (California Institute of Technology); Lamb, Michael P. (California Institute of Technology)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1105549977,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,100,pub.1101553099,10.1146/annurev-earth-082517-010129,,,Time Not Our Time: Physical Controls on the Preservation and Measurement of Geologic Time,Annual Review of Earth and Planetary Sciences,,,2018-05-30,2018,46,1,1-30,Closed,Article,"Paola, Chris; Ganti, Vamsi; Mohrig, David; Runkel, Anthony C.; Straub, Kyle M.",,"Paola, Chris (University of Minnesota); Ganti, Vamsi (Imperial College London); Mohrig, David (The University of Texas at Austin); Runkel, Anthony C. (); Straub, Kyle M. (Tulane University)",12,12,,,,https://app.dimensions.ai/details/publication/pub.1101553099,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,200,pub.1110408205,10.1130/abs/2018am-322333,,,DEGRADATION OF ONE-HUNDRED-METER-SCALE ROCKY EJECTA CRATERS AT THE INSIGHT LANDING SITE ON MARS AND IMPLICATIONS FOR SURFACE PROCESSES AND EROSION RATES,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Warner, Nicholas H.; Sweeney, Julianne; Ganti, Vamsi; Golombek, Matthew P.; Lamb, Michael P.; Fergason, Robin L.; Kirk, Randolph",,"Warner, Nicholas H. (); Sweeney, Julianne (); Ganti, Vamsi (); Golombek, Matthew P. (); Lamb, Michael P. (); Fergason, Robin L. (); Kirk, Randolph ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110408205,,,,,,
6,100,pub.1092532732,10.5194/esurf-5-711-2017,,,Model predictions of long-lived storage of organic carbon in river deposits,Earth Surface Dynamics,,,2017-11-03,2017,5,4,711-730,All OA; Gold,Article,"Torres, Mark A.; Limaye, Ajay B.; Ganti, Vamsi; Lamb, Michael P.; West, A. Joshua; Fischer, Woodward W.",,"Torres, Mark A. (California Institute of Technology); Limaye, Ajay B. (University of Minnesota); Ganti, Vamsi (Imperial College London); Lamb, Michael P. (California Institute of Technology); West, A. Joshua (University of Southern California); Fischer, Woodward W. (California Institute of Technology)",5,5,,1.65,https://www.earth-surf-dynam.net/5/711/2017/esurf-5-711-2017.pdf,https://app.dimensions.ai/details/publication/pub.1092532732,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0402 Geochemistry,,
7,100,pub.1085419113,10.5194/esurf-2017-29,,,Model predictions of long-lived storage of organic carbon in river deposits,Earth Surface Dynamics Discussions,,,2017-05-15,2017,,,1-40,All OA; Gold,Article,"Torres, Mark A.; Limaye, Ajay B.; Ganti, Vamsi; Lamb, Michael P.; West, A. Joshua; Fischer, Woodward W.",,"Torres, Mark A. (California Institute of Technology); Limaye, Ajay B. (University of Minnesota); Ganti, Vamsi (Imperial College London); Lamb, Michael P. (California Institute of Technology); West, A. Joshua (University of Southern California); Fischer, Woodward W. (California Institute of Technology)",1,1,,0.33,https://doi.org/10.5194/esurf-2017-29,https://app.dimensions.ai/details/publication/pub.1085419113,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0402 Geochemistry,,
8,100,pub.1084006623,10.1002/2016jf003970,,,"Slope, grain size, and roughness controls on dry sediment transport and storage on steep hillslopes",Journal of Geophysical Research Earth Surface,,,2017-04,2017,122,4,941-960,All OA; Gold,Article,"DiBiase, Roman A.; Lamb, Michael P.; Ganti, Vamsi; Booth, Adam M.",,"DiBiase, Roman A. (Pennsylvania State University); Lamb, Michael P. (California Institute of Technology); Ganti, Vamsi (Imperial College London); Booth, Adam M. (Portland State University)",11,11,,4.6,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JF003970,https://app.dimensions.ai/details/publication/pub.1084006623,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
9,200,pub.1099588790,10.1130/abs/2017am-301049,,,DEGRADATION OF SMALL IMPACT CRATERS: EROSION RATES AND MARS CLIMATE,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Golombek, M.P.; Warner, N.H.; Ganti, Vamsi; Sweeney, Julianne",,"Golombek, M.P. (); Warner, N.H. (); Ganti, Vamsi (); Sweeney, Julianne ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099588790,,,,,,
