,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Vena W Chu. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1099689168,10.1073/pnas.1707743114,29208716,PMC5740616,Direct measurements of meltwater runoff on the Greenland ice sheet surface,Proceedings of the National Academy of Sciences,,,2017-12-12,2017,114,50,e10622-e10631,All OA; Gold,Article,"Smith, Laurence C.; Yang, Kang; Pitcher, Lincoln H; Overstreet, Brandon T.; Chu, Vena W.; Rennermalm, Åsa K.; Ryan, Jonathan C.; Cooper, Matthew G.; Gleason, Colin J.; Tedesco, Marco; Jeyaratnam, Jeyavinoth; van As, Dirk; van den Broeke, Michiel R.; van de Berg, Willem Jan; Noël, Brice; Langen, Peter L.; Cullather, Richard I.; Zhao, Bin; Willis, Michael J.; Hubbard, Alun; Box, Jason E.; Jenner, Brittany A.; Behar, Alberto E.",,"Smith, Laurence C. (University of California Los Angeles); Yang, Kang (Nanjing University); Pitcher, Lincoln H (University of California Los Angeles); Overstreet, Brandon T. (University of Wyoming); Chu, Vena W. (University of California, Santa Barbara); Rennermalm, Åsa K. (Rutgers, The State University of New Jersey); Ryan, Jonathan C. (University of California Los Angeles; Brown University); Cooper, Matthew G. (University of California Los Angeles); Gleason, Colin J. (); Tedesco, Marco (Lamont-Doherty Earth Observatory); Jeyaratnam, Jeyavinoth (City College of New York); van As, Dirk (Geological Survey of Denmark and Greenland); van den Broeke, Michiel R. (Utrecht University); van de Berg, Willem Jan (Utrecht University); Noël, Brice (Utrecht University); Langen, Peter L. (Danish Meteorological Institute); Cullather, Richard I. (University of Maryland, College Park; Goddard Space Flight Center); Zhao, Bin (Goddard Space Flight Center); Willis, Michael J. (Cooperative Institute for Research in Environmental Sciences); Hubbard, Alun (The Arctic University of Norway; Aberystwyth University); Box, Jason E. (Geological Survey of Denmark and Greenland); Jenner, Brittany A. (); Behar, Alberto E. ()",18,18,0,6.83,https://www.pnas.org/content/pnas/114/50/E10622.full.pdf,https://app.dimensions.ai/details/publication/pub.1099689168,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
2,100,pub.1036687682,10.1002/esp.3977,,,Characterizing supraglacial meltwater channel hydraulics on the Greenland Ice Sheet from in situ observations,Earth Surface Processes and Landforms,,,2016-11,2016,41,14,2111-2122,Closed,Article,"Gleason, Colin J.; Smith, Laurence C.; Chu, Vena W.; Legleiter, Carl J.; Pitcher, Lincoln H.; Overstreet, Brandon T.; Rennermalm, Asa K.; Forster, Richard R.; Yang, Kang",,"Gleason, Colin J. (University of Massachusetts Amherst); Smith, Laurence C. (University of California Los Angeles); Chu, Vena W. (University of California, Berkeley); Legleiter, Carl J. (United States Geological Survey; University of Wyoming); Pitcher, Lincoln H. (University of California Los Angeles); Overstreet, Brandon T. (University of Wyoming); Rennermalm, Asa K. (Rutgers, The State University of New Jersey); Forster, Richard R. (University of Utah); Yang, Kang (University of California Los Angeles)",12,9,,2.96,,https://app.dimensions.ai/details/publication/pub.1036687682,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
3,100,pub.1009197467,10.1080/15481603.2016.1162345,,,Fluvial morphometry of supraglacial river networks on the southwest Greenland Ice Sheet,GIScience & Remote Sensing,,,2016-07-03,2016,53,4,1-24,Closed,Article,"Yang, Kang; Smith, Laurence C.; Chu, Vena W.; Pitcher, Lincoln H.; Gleason, Colin J.; Rennermalm, Asa K.; Li, Manchun",,"Yang, Kang (); Smith, Laurence C. (); Chu, Vena W. (); Pitcher, Lincoln H. (); Gleason, Colin J. (); Rennermalm, Asa K. (); Li, Manchun ()",15,7,,3.7,,https://app.dimensions.ai/details/publication/pub.1009197467,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
4,100,pub.1061333956,10.1109/jstars.2015.2483483,,,A Caution on the Use of Surface Digital Elevation Models to Simulate Supraglacial Hydrology of the Greenland Ice Sheet,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2015-11,2015,8,11,5212-5224,Closed,Article,"Yang, Kang; Smith, Laurence C.; Chu, Vena W.; Gleason, Colin J.; Li, Manchun",,"Yang, Kang (Nanjing University); Smith, Laurence C. (University of California Los Angeles; Cornell University); Chu, Vena W. (University of California, Berkeley; University of California Los Angeles); Gleason, Colin J. (University of California Los Angeles; SUNY College of Environmental Science and Forestry); Li, Manchun (Nanjing University)",28,11,,5.23,,https://app.dimensions.ai/details/publication/pub.1061333956,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1030664004,10.5194/hess-19-2963-2015,,,"Technical Note: Semi-automated effective width extraction from time-lapse RGB imagery of a remote, braided Greenlandic river",Hydrology and Earth System Sciences,,,2015-06-26,2015,19,6,2963-2969,All OA; Gold,Article,"Gleason, C. J.; Smith, L. C.; Finnegan, D. C.; LeWinter, A. L.; Pitcher, L. H; Chu, V. W.",,"Gleason, C. J. (University of California Los Angeles); Smith, L. C. (University of California Los Angeles); Finnegan, D. C. (Cold Regions Research and Engineering Laboratory); LeWinter, A. L. (Cold Regions Research and Engineering Laboratory); Pitcher, L. H (University of California Los Angeles); Chu, V. W. (University of California Los Angeles)",7,4,,1.59,https://www.hydrol-earth-syst-sci.net/19/2963/2015/hess-19-2963-2015.pdf,https://app.dimensions.ai/details/publication/pub.1030664004,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
6,100,pub.1052884511,10.5194/hessd-12-1311-2015,,,Technical Note: Semi-automated classification of time-lapse RGB imagery for a remote Greenlandic river,Hydrology and Earth System Sciences Discussions,,,2015-01-29,2015,12,1,1311-1327,All OA; Gold,Article,"Gleason, C. J.; Smith, L. C.; Finnegan, D. C.; LeWinter, A. L.; Pitcher, L. H.; Chu, V. W.",,"Gleason, C. J. (University of California Los Angeles); Smith, L. C. (University of California Los Angeles); Finnegan, D. C. (Cold Regions Research and Engineering Laboratory); LeWinter, A. L. (Cold Regions Research and Engineering Laboratory); Pitcher, L. H. (University of California Los Angeles); Chu, V. W. (University of California Los Angeles)",0,0,,0,https://doi.org/10.5194/hessd-12-1311-2015,https://app.dimensions.ai/details/publication/pub.1052884511,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
7,400,pub.1049834564,10.1073/pnas.1413024112,25583477,PMC4313838,Efficient meltwater drainage through supraglacial streams and rivers on the southwest Greenland ice sheet,Proceedings of the National Academy of Sciences,,,2015-01-27,2015,112,4,1001-1006,All OA; Gold,Article,"Smith, Laurence C.; Chu, Vena W.; Yang, Kang; Gleason, Colin J.; Pitcher, Lincoln H.; Rennermalm, Asa K.; Legleiter, Carl J.; Behar, Alberto E.; Overstreet, Brandon T.; Moustafa, Samiah E.; Tedesco, Marco; Forster, Richard R.; LeWinter, Adam L.; Finnegan, David C.; Sheng, Yongwei; Balog, James",,"Smith, Laurence C. (University of California Los Angeles); Chu, Vena W. (University of California Los Angeles); Yang, Kang (University of California Los Angeles); Gleason, Colin J. (University of California Los Angeles); Pitcher, Lincoln H. (University of California Los Angeles); Rennermalm, Asa K. (Rutgers, The State University of New Jersey); Legleiter, Carl J. (University of Wyoming); Behar, Alberto E. (); Overstreet, Brandon T. (University of Wyoming); Moustafa, Samiah E. (Rutgers, The State University of New Jersey); Tedesco, Marco (City College of New York); Forster, Richard R. (University of Utah); LeWinter, Adam L. (Cold Regions Research and Engineering Laboratory); Finnegan, David C. (Cold Regions Research and Engineering Laboratory); Sheng, Yongwei (University of California Los Angeles); Balog, James ()",94,39,0.37,17.55,http://www.pnas.org/content/112/4/1001.full.pdf,https://app.dimensions.ai/details/publication/pub.1049834564,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
8,100,pub.1063815743,10.1177/0309133313507075,,,Greenland ice sheet hydrology,Progress in Physical Geography Earth and Environment,,,2014-02,2014,38,1,19-54,Closed,Article,"Chu, Vena W.",,"Chu, Vena W. ()",74,33,,10.9,,https://app.dimensions.ai/details/publication/pub.1063815743,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
9,100,pub.1036039893,10.5194/tc-7-1433-2013,,,Evidence of meltwater retention within the Greenland ice sheet,The Cryosphere,,,2013-09-23,2013,7,5,1433-1445,All OA; Gold,Article,"Rennermalm, A. K.; Smith, L. C.; Chu, V. W.; Box, J. E.; Forster, R. R.; Van den Broeke, M. R.; Van As, D.; Moustafa, S. E.",,"Rennermalm, A. K. (Rutgers, The State University of New Jersey); Smith, L. C. (University of California Los Angeles); Chu, V. W. (University of California Los Angeles); Box, J. E. (Geological Survey of Denmark and Greenland); Forster, R. R. (University of Utah); Van den Broeke, M. R. (Utrecht University); Van As, D. (Geological Survey of Denmark and Greenland); Moustafa, S. E. (Rutgers, The State University of New Jersey)",46,12,,6.77,https://www.the-cryosphere.net/7/1433/2013/tc-7-1433-2013.pdf,https://app.dimensions.ai/details/publication/pub.1036039893,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
