,"""About the data: Exported on Nov 06, 2019. Criteria: Researcher is Werner Kuhn. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112701837,10.1002/asi.24194,,,Places in Information Science,Journal of the Association for Information Science and Technology,,,2019-11,2019,70,11,1173-1182,All OA; Gold,Article,"Purves, Ross S.; Winter, Stephan; Kuhn, Werner",,"Purves, Ross S. (University of Zurich); Winter, Stephan (University of Melbourne); Kuhn, Werner (University of California, Santa Barbara)",2,2,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/asi.24194,https://app.dimensions.ai/details/publication/pub.1112701837,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0801 Artificial Intelligence and Image Processing
2,200,pub.1105929849,10.1080/13658816.2018.1503277,,,Special section in honor of Andrew U. Frank,International Journal of Geographical Information Science,,,2018-12-02,2018,32,12,1-4,All OA; Gold,Article,"Winter, Stephan; Egenhofer, Max; Kuhn, Werner; Raubal, Martin",,"Winter, Stephan (University of Melbourne); Egenhofer, Max (University of Maine); Kuhn, Werner (University of California, Santa Barbara); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",0,0,,,https://www.tandfonline.com/doi/pdf/10.1080/13658816.2018.1503277?needAccess=true,https://app.dimensions.ai/details/publication/pub.1105929849,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
3,100,pub.1100916304,10.1111/tgis.12318,,,Computing with cognitive spatial frames of reference in GIS,Transactions in GIS,,,2018-10,2018,22,5,1083-1104,All OA; Gold,Article,"Scheider, Simon; Hahn, Jürgen; Weiser, Paul; Kuhn, Werner",,"Scheider, Simon (Utrecht University; Swiss Federal Institute of Technology in Zurich); Hahn, Jürgen (TU Wien); Weiser, Paul (Swiss Federal Institute of Technology in Zurich); Kuhn, Werner (University of California, Santa Barbara)",1,1,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/tgis.12318,https://app.dimensions.ai/details/publication/pub.1100916304,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
4,100,pub.1030219415,10.1080/13658816.2014.933480,,,A formal model to infer geographic events from sensor observations,International Journal of Geographical Information Science,,,2015-01-02,2015,29,1,1-27,"All OA; Green, Accepted & Submitted",Article,"Devaraju, Anusuriya; Kuhn, Werner; Renschler, Chris S.",,"Devaraju, Anusuriya (Jülich Research Centre); Kuhn, Werner (University of Münster); Renschler, Chris S. (University at Buffalo, State University of New York)",10,3,,4.94,https://escholarship.org/content/qt63p8v927/qt63p8v927.pdf?t=nve7bb,https://app.dimensions.ai/details/publication/pub.1030219415,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
5,100,pub.1035299667,10.1007/978-3-319-15021-5_6,,,How to Talk to Each Other via Computers: Semantic Interoperability as Conceptual Imitation,,Applications of Conceptual Spaces,,2015,2015,,,97-122,Closed,Chapter,"Scheider, Simon; Kuhn, Werner","Scheider, Simon","Scheider, Simon (University of Münster); Kuhn, Werner (University of Münster)",3,0,,1.48,,https://app.dimensions.ai/details/publication/pub.1035299667,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
6,100,pub.1007497527,10.1080/13658816.2014.882513,,,An event abstraction layer for the integration of geosensor data,International Journal of Geographical Information Science,,,2014-05-04,2014,28,5,1085-1106,"All OA; Green, Accepted & Submitted",Article,"Llaves, Alejandro; Kuhn, Werner",,"Llaves, Alejandro (Technical University of Madrid); Kuhn, Werner (University of California, Santa Barbara)",6,2,,1.49,https://escholarship.org/content/qt5452871b/qt5452871b.pdf?t=nve7gx,https://app.dimensions.ai/details/publication/pub.1007497527,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
7,100,pub.1008268585,10.1016/j.envsoft.2013.09.006,,,Meaningful spatial prediction and aggregation,Environmental Modelling & Software,,,2014-01,2014,51,,149-165,All OA; Gold,Article,"Stasch, Christoph; Scheider, Simon; Pebesma, Edzer; Kuhn, Werner","Stasch, Christoph","Stasch, Christoph (University of Münster); Scheider, Simon (University of Münster); Pebesma, Edzer (University of Münster); Kuhn, Werner (University of Münster)",18,8,,7.79,https://doi.org/10.1016/j.envsoft.2013.09.006,https://app.dimensions.ai/details/publication/pub.1008268585,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
8,100,pub.1036948224,10.1007/978-3-319-11593-1_12,,,Linked Data - A Paradigm Shift for Geographic Information Science,Lecture Notes in Computer Science,Geographic Information Science,,2014,2014,8728,,173-186,"All OA; Green, Accepted & Submitted",Chapter,"Kuhn, Werner; Kauppinen, Tomi; Janowicz, Krzysztof",,"Kuhn, Werner (University of California, Santa Barbara); Kauppinen, Tomi (University of Bremen; Aalto University); Janowicz, Krzysztof (University of California, Santa Barbara)",27,9,,11.7,http://geog.ucsb.edu/~jano/GIScience2014.pdf,https://app.dimensions.ai/details/publication/pub.1036948224,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
9,100,pub.1021487511,10.1007/978-3-319-03611-3_20,,,Making the Web of Data Available Via Web Feature Services,Lecture Notes in Geoinformation and Cartography,Connecting a Digital Europe Through Location and Place,,2014,2014,,,341-361,Closed,Chapter,"Jones, Jim; Kuhn, Werner; Keßler, Carsten; Scheider, Simon","Keßler, Carsten","Jones, Jim (University of Münster); Kuhn, Werner (University of California, Santa Barbara); Keßler, Carsten (Queens College, City University of New York); Scheider, Simon (University of Münster)",12,5,,3.83,,https://app.dimensions.ai/details/publication/pub.1021487511,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
