,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5,filename
35,100,pub.1003197197,10.1002/2014gl062249,,,Phytoplankton plasticity drives large variability in carbon fixation efficiency,Geophysical Research Letters,,,12/28/14,2014,41,24,8994-9000,All OA; Gold,Article,"Ayata, Sakina‐Dorothée; Lévy, Marina; Aumont, Olivier; Resplandy, Laure; Tagliabue, Alessandro; Sciandra, Antoine; Bernard, Olivier",,"Ayata, Sakina‐Dorothée (Villefranche Oceanographic Laboratory); Lévy, Marina (); Aumont, Olivier (); Resplandy, Laure (University of California, San Diego); Tagliabue, Alessandro (University of Liverpool); Sciandra, Antoine (Villefranche Oceanographic Laboratory); Bernard, Olivier (Villefranche Oceanographic Laboratory)",9,4,,2.02,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GL062249,https://app.dimensions.ai/details/publication/pub.1003197197,0607 Plant Biology,0607 Plant Biology,06 Biological Sciences,,,,Marina-Levy.csv
36,100,pub.1043313783,10.1002/2014gl059608,,,Oceanic mesoscale turbulence drives large biogeochemical interannual variability at middle and high latitudes,Geophysical Research Letters,,,4/16/14,2014,41,7,2467-2474,All OA; Gold,Article,"Lévy, Marina; Resplandy, Laure; Lengaigne, Matthieu",,"Lévy, Marina (French National Centre for Scientific Research); Resplandy, Laure (Scripps Institution of Oceanography); Lengaigne, Matthieu (French National Centre for Scientific Research)",9,5,,1.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GL059608,https://app.dimensions.ai/details/publication/pub.1043313783,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
37,100,pub.1012267747,10.1215/21573689-2768549,,,Phytoplankton diversity and community structure affected by oceanic dispersal and mesoscale turbulence,Limnology & Oceanography Fluids & Environments,,,2014-04,2014,4,1,67-84,All OA; Gold,Article,"Lévy, Marina; Jahn, Oliver; Dutkiewicz, Stephanie; Follows, Michael J.",,"Lévy, Marina (Sorbonne University); Jahn, Oliver (Massachusetts Institute of Technology); Dutkiewicz, Stephanie (Massachusetts Institute of Technology); Follows, Michael J. (Massachusetts Institute of Technology)",30,12,,4.45,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1215/21573689-2768549,https://app.dimensions.ai/details/publication/pub.1012267747,0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,,Marina-Levy.csv
38,100,pub.1004500323,10.1038/ngeo2101,,,Surface-water iron supplies in the Southern Ocean sustained by deep winter mixing,Nature Geoscience,,,2014-04,2014,7,4,314-320,Closed,Article,"Tagliabue, Alessandro; Sallée, Jean-Baptiste; Bowie, Andrew R.; Lévy, Marina; Swart, Sebastiaan; Boyd, Philip W.","Tagliabue, Alessandro","Tagliabue, Alessandro (University of Liverpool; Council for Scientific and Industrial Research); Sallée, Jean-Baptiste (Sorbonne University; French National Centre for Scientific Research; British Antarctic Survey); Bowie, Andrew R. (University of Tasmania); Lévy, Marina (Sorbonne University; French National Centre for Scientific Research); Swart, Sebastiaan (Council for Scientific and Industrial Research; University of Cape Town); Boyd, Philip W. (University of Otago; University of Tasmania)",121,50,,16.63,,https://app.dimensions.ai/details/publication/pub.1004500323,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
39,100,pub.1043032528,10.1016/j.csr.2013.11.015,,,Intraseasonal variability of nearshore productivity in the Northern Humboldt Current System: The role of coastal trapped waves,Continental Shelf Research,,,2014-02,2014,73,,14-30,"All OA; Green, Published",Article,"Echevin, Vincent; Albert, Aurélie; Lévy, Marina; Graco, Michelle; Aumont, Olivier; Piétri, Alice; Garric, Gilles","Echevin, Vincent","Echevin, Vincent (Institut Pierre-Simon Laplace); Albert, Aurélie (Institut Pierre-Simon Laplace); Lévy, Marina (Institut Pierre-Simon Laplace); Graco, Michelle (Instituto del Mar del Peru); Aumont, Olivier (); Piétri, Alice (); Garric, Gilles (Mercator Ocean (France))",22,11,,3.26,https://archimer.ifremer.fr/doc/00166/27692/25885.pdf,https://app.dimensions.ai/details/publication/pub.1043032528,0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,,Marina-Levy.csv
40,100,pub.1039638085,10.1002/gbc.20092,,,Physical pathways for carbon transfers between the surface mixed layer and the ocean interior,Global Biogeochemical Cycles,,,2013-12,2013,27,4,1001-1012,All OA; Gold,Article,"Levy, M.; Bopp, L.; Karleskind, P.; Resplandy, L.; Ethe, C.; Pinsard, F.",,"Levy, M. (French National Centre for Scientific Research); Bopp, L. (); Karleskind, P. (); Resplandy, L. (); Ethe, C. (French National Centre for Scientific Research); Pinsard, F. (French National Centre for Scientific Research)",32,19,,3.83,http://onlinelibrary.wiley.com/doi/10.1002/gbc.20092/pdf,https://app.dimensions.ai/details/publication/pub.1039638085,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
41,100,pub.1021487011,10.1002/2012gb004518,,,The influence of mesoscale and submesoscale heterogeneity on ocean biogeochemical reactions,Global Biogeochemical Cycles,,,2013-12,2013,27,4,1139-1150,All OA; Gold,Article,"Levy, M.; Martin, A. P.",,"Levy, M. (French National Centre for Scientific Research); Martin, A. P. (National Oceanography Centre)",23,10,,2.77,http://onlinelibrary.wiley.com/doi/10.1002/2012GB004518/pdf,https://app.dimensions.ai/details/publication/pub.1021487011,0401 Atmospheric Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,0402 Geochemistry,,Marina-Levy.csv
42,100,pub.1002639683,10.1016/j.jmarsys.2012.12.010,,,Phytoplankton growth formulation in marine ecosystem models: Should we take into account photo-acclimation and variable stoichiometry in oligotrophic areas?,Journal of Marine Systems,,,2013-09,2013,125,,29-40,"All OA; Green, Published",Article,"Ayata, S.-D.; Lévy, M.; Aumont, O.; Sciandra, A.; Sainte-Marie, J.; Tagliabue, A.; Bernard, O.","Ayata, S.-D.","Ayata, S.-D. (Villefranche Oceanographic Laboratory; Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Aumont, O. (); Sciandra, A. (Villefranche Oceanographic Laboratory); Sainte-Marie, J. (); Tagliabue, A. (University of Liverpool); Bernard, O. (Villefranche Oceanographic Laboratory; French Institute for Research in Computer Science and Automation)",20,2,,2.39,https://archimer.ifremer.fr/doc/00159/27071/25460.pdf,https://app.dimensions.ai/details/publication/pub.1002639683,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
43,100,pub.1012572508,10.1016/j.rse.2012.11.025,,,Reconstruction of satellite chlorophyll images under heavy cloud coverage using a neural classification method,Remote Sensing of Environment,,,2013-04,2013,131,,232-246,Closed,Article,"Jouini, Manel; Lévy, Marina; Crépon, Michel; Thiria, Sylvie","Jouini, Manel","Jouini, Manel (); Lévy, Marina (); Crépon, Michel (); Thiria, Sylvie ()",16,5,,3.76,,https://app.dimensions.ai/details/publication/pub.1012572508,0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,,Marina-Levy.csv
44,100,pub.1034566738,10.5194/bg-9-5095-2012,,,Controlling factors of the oxygen balance in the Arabian Sea's OMZ,Biogeosciences,,,12/13/12,2012,9,12,5095-5109,All OA; Gold,Article,"Resplandy, L.; Lévy, M.; Bopp, L.; Echevin, V.; Pous, S.; Sarma, V. V. S. S.; Kumar, D.",,"Resplandy, L. (French National Centre for Scientific Research); Lévy, M. (); Bopp, L. (French National Centre for Scientific Research); Echevin, V. (); Pous, S. (National Museum of Natural History); Sarma, V. V. S. S. (National Institute of Oceanography); Kumar, D. (National Institute of Oceanography)",40,20,,4.49,https://www.biogeosciences.net/9/5095/2012/bg-9-5095-2012.pdf,https://app.dimensions.ai/details/publication/pub.1034566738,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
