,division,group,label,count
0,Biological Sciences,0602 Ecology,602,857
1,Environmental Sciences, 0502 Environmental Science and Management,502,515
2,Earth Sciences,0403 Geology,403,455
3,Earth Sciences,0406 Physical Geography and Environmental Geoscience,406,382
4,Engineering,0909 Geomatic Engineering,909,297
6,Earth Sciences, 0402 Geochemistry,402,181
7,Earth Sciences,0405 Oceanography,405,175
8,Biological Sciences,0604 Genetics,604,150
11,Engineering,0905 Civil Engineering,905,136
12,Environmental Sciences, 0501 Ecological Applications,501,130
14,Engineering, 0907 Environmental Engineering,907,116
16,Biological Sciences, 06 Biological Sciences,6,106
17,Biological Sciences,0605 Microbiology,605,105
18,Earth Sciences,0401 Atmospheric Sciences,401,99
19,Biological Sciences, 0603 Evolutionary Biology,603,99
20,Biological Sciences,0607 Plant Biology,607,99
21,Earth Sciences, 0404 Geophysics,404,96
22,Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,801,96
23,Environmental Sciences,0503 Soil Sciences,503,86
24,Economics,1402 Applied Economics,1402,83
25,Information and Computing Sciences,0806 Information Systems,806,77
27,Studies in Human Society,1604 Human Geography,1604,64
29,Medical and Health Sciences,1117 Public Health and Health Services,1117,55
32,Environmental Sciences,05 Environmental Sciences,5,52
35,Built Environment and Design, 1205 Urban and Regional Planning,1205,46
37,Biological Sciences, 0699 Other Biological Sciences,699,41
38,Earth Sciences,04 Earth Sciences,4,40
40,Engineering, 0915 Interdisciplinary Engineering,915,38
39,Chemical Sciences,0306 Physical Chemistry (incl. Structural),306,38
42,Agricultural and Veterinary Sciences, 07 Agricultural and Veterinary Sciences,7,36
43,Biological Sciences,0601 Biochemistry and Cell Biology,601,36
45,Engineering,0912 Materials Engineering,912,34
46,Agricultural and Veterinary Sciences,0704 Fisheries Sciences,704,33
50,Biological Sciences, 0608 Zoology,608,31
51,Chemical Sciences, 0399 Other Chemical Sciences,399,31
52,Psychology and Cognitive Sciences,1701 Psychology,1701,29
56,Chemical Sciences,0301 Analytical Chemistry,301,25
57,Medical and Health Sciences,11 Medical and Health Sciences,11,25
59,Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,703,24
62,Physical Sciences, 0203 Classical Physics,203,23
63,Mathematical Sciences,0102 Applied Mathematics,102,22
66,Information and Computing Sciences,08 Information and Computing Sciences,8,20
65,Studies in Human Society,1605 Policy and Administration,1605,20
67,Mathematical Sciences,0104 Statistics,104,19
70,Agricultural and Veterinary Sciences, 0705 Forestry Sciences,705,18
68,Studies in Human Society,1608 Sociology,1608,18
72,Physical Sciences,0299 Other Physical Sciences,299,17
73,Studies in Human Society, 1606 Political Science,1606,17
74,Law and Legal Studies,1801 Law,1801,16
75,Engineering,09 Engineering,9,16
78,Engineering, 0906 Electrical and Electronic Engineering,906,15
79,"Commerce, Management, Tourism and Services", 1507 Transportation and Freight Services,1507,14
81,Medical and Health Sciences,1108 Medical Microbiology,1108,13
82,Chemical Sciences,03 Chemical Sciences,3,13
86,Technology,1005 Communications Technologies,1005,12
88,Economics, 1499 Other Economics,1499,11
89,Information and Computing Sciences,0803 Computer Software,803,10
90,Medical and Health Sciences,1109 Neurosciences,1109,10
95,Mathematical Sciences, 01 Mathematical Sciences,1,9
94,Engineering,0914 Resources Engineering and Extractive Metallurgy,914,9
92,Engineering, 0904 Chemical Engineering,904,9
91,Built Environment and Design, 1202 Building,1202,9
96,Economics,1403 Econometrics,1403,8
97,Earth Sciences, 0499 Other Earth Sciences,499,8
98,Physical Sciences,02 Physical Sciences,2,8
100,Engineering,0911 Maritime Engineering,911,8
105,Chemical Sciences,0302 Inorganic Chemistry,302,7
104,Chemical Sciences,0303 Macromolecular and Materials Chemistry,303,7
109,Physical Sciences,0201 Astronomical and Space Sciences,201,6
110,Economics,14 Economics,14,6
111,Information and Computing Sciences, 0804 Data Format,804,6
112,Technology,1007 Nanotechnology,1007,6
107,Studies in Human Society,16 Studies in Human Society,16,6
120,Physical Sciences," 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",202,5
119,Agricultural and Veterinary Sciences,0707 Veterinary Sciences,707,5
118,"Commerce, Management, Tourism and Services"," 15 Commerce, Management, Tourism and Services",15,5
115,"Commerce, Management, Tourism and Services",1503 Business and Management,1503,5
116,Psychology and Cognitive Sciences,17 Psychology and Cognitive Sciences,17,5
114,Agricultural and Veterinary Sciences, 0799 Other Agricultural and Veterinary Sciences,799,5
125,Medical and Health Sciences,1103 Clinical Sciences,1103,4
127,Engineering, 0910 Manufacturing Engineering,910,4
121,Built Environment and Design,12 Built Environment and Design,12,4
124,History and Archaeology,2101 Archaeology,2101,4
123,Mathematical Sciences, 0103 Numerical and Computational Mathematics,103,4
122,Studies in Human Society, 1601 Anthropology,1601,4
137,Biological Sciences,0606 Physiology,606,3
141,Physical Sciences,0205 Optical Physics,205,3
140,Medical and Health Sciences,1111 Nutrition and Dietetics,1111,3
132,Engineering, 0913 Mechanical Engineering,913,3
136,Medical and Health Sciences,1199 Other Medical and Health Sciences,1199,3
133,Agricultural and Veterinary Sciences," 0701 Agriculture, Land and Farm Management",701,3
128,Technology,1003 Industrial Biotechnology,1003,3
131,Psychology and Cognitive Sciences,1702 Cognitive Sciences,1702,3
130,Medical and Health Sciences,1113 Ophthalmology and Optometry,1113,3
135,Education,1303 Specialist Studies In Education,1303,3
163,Built Environment and Design, 1203 Design Practice and Management,1203,2
164,"Commerce, Management, Tourism and Services",1505 Marketing,1505,2
165,Economics, 1401 Economic Theory,1401,2
168,"Language, Communication, and Culture",2004 Linguistics,2004,2
171,Chemical Sciences,0307 Theoretical and Computational Chemistry,307,2
172,Engineering, 0903 Biomedical Engineering,903,2
160,Studies in Human Society,1603 Demography,1603,2
161,"Commerce, Management, Tourism and Services",1506 Tourism,1506,2
159,"Language, Communication, and Culture",2002 Cultural Studies,2002,2
158,Information and Computing Sciences, 0802 Computation Theory and Mathematics,802,2
147,Built Environment and Design,1201 Architecture,1201,2
150,Philosophy and Religious Studies, 2202 History and Philosophy of Specific Fields,2202,2
153,Medical and Health Sciences,1107 Immunology,1107,2
156,Studies in Human Society, 1607 Social Work,1607,2
198,Chemical Sciences, 0304 Medicinal and Biomolecular Chemistry,304,1
192,Philosophy and Religious Studies, 2204 Religion and Religious Studies,2204,1
193,Engineering, 0908 Food Sciences,908,1
195,History and Archaeology,2102 Curatorial and Related Studies,2102,1
196,Education, 1302 Curriculum and Pedagogy,1302,1
199,Chemical Sciences,0305 Organic Chemistry,305,1
200,Studies in Human Society,1699 Other Studies In Human Society,1699,1
202,Medical and Health Sciences,1114 Paediatrics and Reproductive Medicine,1114,1
190,Philosophy and Religious Studies,2203 Philosophy,2203,1
189,Technology, 10 Technology,10,1
173,Medical and Health Sciences,1102 Cardiorespiratory Medicine and Haematology,1102,1
174,History and Archaeology,2103 Historical Studies,2103,1
177,Philosophy and Religious Studies, 22 Philosophy and Religious Studies,22,1
178,"Language, Communication, and Culture",2005 Literary Studies,2005,1
188,Agricultural and Veterinary Sciences,0706 Horticultural Production,706,1
183,Medical and Health Sciences,1115 Pharmacology and Pharmaceutical Sciences,1115,1
186,Environmental Sciences, 0599 Other Environmental Sciences,599,1
187,Technology,1001 Agricultural Biotechnology,1001,1
