,division,group,label,count_14_19,count_09_14,difference,norm_09_14,norm_14_19,norm_diff
0,Biological Sciences,0602 Ecology,602,857.0,466.0,391.0,0.12767123287671234,0.1540258806613947,0.026354647784682356
1,Environmental Sciences, 0502 Environmental Science and Management,502,515.0,251.0,264.0,0.06876712328767123,0.09255930984902948,0.023792186561358245
2,Earth Sciences,0403 Geology,403,455.0,305.0,150.0,0.08356164383561644,0.08177570093457943,-0.0017859429010370076
3,Earth Sciences,0406 Physical Geography and Environmental Geoscience,406,382.0,229.0,153.0,0.06273972602739726,0.06865564342199856,0.005915917394601303
4,Engineering,0909 Geomatic Engineering,909,297.0,154.0,143.0,0.04219178082191781,0.053378864126527675,0.011187083304609866
5,Earth Sciences, 0402 Geochemistry,402,181.0,107.0,74.0,0.029315068493150687,0.03253055355859094,0.0032154850654402545
6,Earth Sciences,0405 Oceanography,405,175.0,126.0,49.0,0.03452054794520548,0.03145219266714594,-0.0030683552780595424
7,Biological Sciences,0604 Genetics,604,150.0,28.0,122.0,0.007671232876712329,0.02695902228612509,0.019287789409412764
8,Engineering,0905 Civil Engineering,905,136.0,32.0,104.0,0.008767123287671232,0.024442846872753415,0.015675723585082183
9,Environmental Sciences, 0501 Ecological Applications,501,130.0,63.0,67.0,0.01726027397260274,0.02336448598130841,0.006104212008705669
10,Engineering, 0907 Environmental Engineering,907,116.0,59.0,57.0,0.016164383561643837,0.020848310567936738,0.004683927006292901
11,Biological Sciences, 06 Biological Sciences,6,106.0,90.0,16.0,0.024657534246575342,0.019051042415528397,-0.005606491831046945
12,Biological Sciences,0605 Microbiology,605,105.0,67.0,38.0,0.018356164383561645,0.018871315600287562,0.0005151512167259169
13,Earth Sciences,0401 Atmospheric Sciences,401,99.0,61.0,38.0,0.016712328767123287,0.01779295470884256,0.0010806259417192737
14,Biological Sciences, 0603 Evolutionary Biology,603,99.0,18.0,81.0,0.004931506849315068,0.01779295470884256,0.012861447859527492
15,Biological Sciences,0607 Plant Biology,607,99.0,51.0,48.0,0.013972602739726028,0.01779295470884256,0.003820351969116533
16,Earth Sciences, 0404 Geophysics,404,96.0,44.0,52.0,0.012054794520547946,0.017253774263120056,0.005198979742572111
17,Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,801,96.0,44.0,52.0,0.012054794520547946,0.017253774263120056,0.005198979742572111
18,Environmental Sciences,0503 Soil Sciences,503,86.0,68.0,18.0,0.01863013698630137,0.015456506110711718,-0.0031736308755896513
19,Economics,1402 Applied Economics,1402,83.0,52.0,31.0,0.014246575342465753,0.014917325664989217,0.000670750322523464
20,Information and Computing Sciences,0806 Information Systems,806,77.0,42.0,35.0,0.011506849315068493,0.013838964773544214,0.00233211545847572
21,Studies in Human Society,1604 Human Geography,1604,64.0,29.0,35.0,0.007945205479452055,0.011502516175413372,0.0035573106959613174
22,Medical and Health Sciences,1117 Public Health and Health Services,1117,55.0,21.0,34.0,0.005753424657534247,0.009884974838245866,0.00413155018071162
23,Environmental Sciences,05 Environmental Sciences,5,52.0,30.0,22.0,0.00821917808219178,0.009345794392523364,0.0011266163103315838
24,Built Environment and Design, 1205 Urban and Regional Planning,1205,46.0,10.0,36.0,0.0027397260273972603,0.00826743350107836,0.0055277074736811
25,Biological Sciences, 0699 Other Biological Sciences,699,41.0,21.0,20.0,0.005753424657534247,0.007368799424874191,0.0016153747673399443
26,Earth Sciences,04 Earth Sciences,4,40.0,34.0,6.0,0.009315068493150684,0.007189072609633357,-0.0021259958835173273
27,Engineering, 0915 Interdisciplinary Engineering,915,38.0,33.0,5.0,0.00904109589041096,0.006829618979151689,-0.00221147691125927
28,Chemical Sciences,0306 Physical Chemistry (incl. Structural),306,38.0,154.0,-116.0,0.04219178082191781,0.006829618979151689,-0.035362161842766124
29,Agricultural and Veterinary Sciences, 07 Agricultural and Veterinary Sciences,7,36.0,21.0,15.0,0.005753424657534247,0.006470165348670022,0.0007167406911357749
