,division,group,label,count
0,Earth Sciences, 0405 Oceanography,405,30
1,Biological Sciences, 06 Biological Sciences,6,22
2,Earth Sciences,04 Earth Sciences,4,21
3,Biological Sciences,0602 Ecology,602,11
5,Environmental Sciences, 0502 Environmental Science and Management,502,8
7,Earth Sciences, 0402 Geochemistry,402,7
8,Environmental Sciences,05 Environmental Sciences,5,5
10,Biological Sciences,0604 Genetics,604,3
11,Earth Sciences, 0403 Geology,403,3
12,Biological Sciences, 0608 Zoology,608,3
13,Agricultural and Veterinary Sciences, 07 Agricultural and Veterinary Sciences,7,3
19,Engineering,0915 Interdisciplinary Engineering,915,2
18,Biological Sciences,0607 Plant Biology,607,2
15,Earth Sciences, 0401 Atmospheric Sciences,401,2
16,Engineering, 09 Engineering,9,2
14,Agricultural and Veterinary Sciences, 0704 Fisheries Sciences,704,2
20,Earth Sciences, 0404 Geophysics,404,1
21,Medical and Health Sciences,11 Medical and Health Sciences,11,1
23,Earth Sciences,0406 Physical Geography and Environmental Geoscience,406,1
24,Physical Sciences, 0205 Optical Physics,205,1
25,Earth Sciences, 0499 Other Earth Sciences,499,1
26,Engineering, 0906 Electrical and Electronic Engineering,906,1
27,Engineering, 0913 Mechanical Engineering,913,1
28,Biological Sciences,0601 Biochemistry and Cell Biology,601,1
29,Physical Sciences, 02 Physical Sciences,2,1
