,new_column,Last Name,Name,School,Researcher,Home Dept,Areas of expertise from webpage,Sub-Headings,Start Year,Depart Year,Profile,Keywords
0,RCP0c0kAAAAJ,Anderson,Sarah E. Anderson, UCSB,Sarah E. Anderson UCSB,Bren,Environmental Politics ,Environmental Politics,2007.0,,,
1,RzT0j3EAAAAJ,Buntaine,Mark Buntaine, UCSB,Mark Buntaine UCSB,Bren,International Relations and Environmental Policy,Environmental Politics,2013.0,,,
2,BV2TtRkAAAAJ,C. Meng,Kyle Meng, UCSB,Kyle Meng UCSB,Bren,Environmental Economics; Climate Change,Environmental Economics,2014.0,,,
3,38CdyQoAAAAJ,Costello,Christopher Costello, UCSB,Christopher Costello UCSB,Bren,Environmental economics - regulation and natural resource management under uncertainty,Environmental Economics; Conservation,,,,
4,FgUUzKkAAAAJ,Davis,Frank W Davis, UCSB,Frank W Davis UCSB,Bren,"Landscape Ecology, Conservation Planning",Biogeography/Landscape Ecology; LULCC; Conservation,,2023.0,,
5,xf0GIdEAAAAJ,Dozier,Jeff Dozier, UCSB,Jeff Dozier UCSB,Bren,"Snow Hydrology, Earth System Science, Remote Sensing",Cryospheric Sciences; Hydrology,,2018.0,,
6,C1BC1sIAAAAJ,Dunne,Thomas Dunne, UCSB,Thomas Dunne UCSB,Bren,"Geomorphology, Hydrology","Geomorphology, hydrology",,2018.0,,
7,nxF4XdQAAAAJ,Frew,James Frew, UCSB,James Frew UCSB,Bren,"Environmental Information Management, digital libraries, snow hydrology",GIScience,1997.0,,,
8,L_VT3-cAAAAJ,Gaines,Steve Gaines, UCSB,Steve Gaines UCSB,Bren,"Marine Science, Sustainable Fisheries",Population Ecology; Community Ecology; Conservation; Marine Ecology,,,,
9,YhCLK5kAAAAJ,Geyer,Roland Geyer, UCSB,Roland Geyer UCSB,Bren,"Industrial Ecology, Production and Operations Management",Industrial Ecology,2003.0,,,
10,6XVuz14AAAAJ,Halpern,Benjamin S. Halpern, UCSB,Benjamin S. Halpern UCSB,Bren,Marine ecology and conservation biology,"Landscape, Marine and Spatial Ecology; Conservation",2013.0,,,
11,UgmA89cAAAAJ,Holden,Patricia Holden, UCSB,Patricia Holden UCSB,Bren,"Environmental Microbiology – soil science, water quality",Soils; Env Microbiology,,,,
12,RaYb-oMAAAAJ,Jack,Kelsey Jack, UCSB,Kelsey Jack UCSB,Bren,Environment and Development Economics,Environmental Economics,2018.0,,,
13,9lzSDgcAAAAJ,Jasechko,Scott Jasechko, UCSB,Scott Jasechko UCSB,Bren,Freshwater Resources,"Hydrology, Water Resources",2017.0,,,
14,zXQpymQAAAAJ,Keller,Arturo A. Keller, UCSB,Arturo A. Keller UCSB,Bren,"Fate & Transport, Watershed Mgmt, Remediation, Pollution Prevention, nanotechnology",Hydrology; Limnology/Aquatic Ecosystems ,,,,
15,sD8YzJgAAAAJ,Kendall,Bruce Kendall, UCSB,Bruce Kendall UCSB,Bren,"Theoretical ecology, spatial ecology, ",Population & Spatial Ecology,,,,
16,jycJQRMAAAAJ,Larsen,Ashley E. Larsen, UCSB,Ashley E. Larsen UCSB,Bren,"Agricultural Ecology, Land Use, Landscape Ecology",Landscape Ecology; LULLC; Food Systems,2017.0,,,
17,i7R7100AAAAJ,Lenihan,Hunter S. Lenihan, UCSB,Hunter S. Lenihan UCSB,Bren,"Applied Marine Ecology, Coastal Marine Resources Management",Community Ecology; Conservation; Marine Ecology,,,,
18,SxcotMcAAAAJ,Libecap,Gary Libecap, UCSB,Gary Libecap UCSB,Bren,Corporate Environmental Management,Environmental Economics,,2019.0,,
19,Vvo98qYAAAAJ,Melack,John Melack, UCSB,John Melack UCSB,Bren,"Biology, Ecology, Limnology",Limnology/Aquatic Ecosystems; Ecosystem Ecology; Hydrology;,,2021.0,,
20,mmfntE0AAAAJ,Plantinga,Andrew Plantinga, UCSB,Andrew Plantinga UCSB,Bren,Natural Resource Economics and Policy,Environmental Economics,2013.0,,,
21,mruBPJUAAAAJ,Potoski,Matthew Potoski, UCSB,Matthew Potoski UCSB,Bren,Corporate Environmental Management,Environmental Politics,2011.0,,,
22,qD5L-u0AAAAJ,Salzman,James Salzman, UCSB,James Salzman UCSB,Bren,Environmental Law,Environmental Law,2015.0,,,
23,y_uuPP0AAAAJ,Suh,Sangwon Suh, UCSB,Sangwon Suh UCSB,Bren,"Corporate Environmental Management, Industrial Ecology, Life Cycle Assessment",Industrial Ecology,2011.0,,,
24,YqRA7csAAAAJ,Tague,"
Christina Tague", UCSB,"
Christina Tague UCSB",Bren,"Hydrology and ecosystem processes, modeling eco-hydrologic systems as altered by land use and climate",Ecosystem Ecology; Hydrology; LULCC,,,,
25,xlfT8vcAAAAJ,Tilman,David Tilman, UCSB,David Tilman UCSB,Bren,"Ecology, Biodiversity, Ecosystem Functioning",Population Ecology; Community Ecology; Conservation,,2022.0,,
26,9t14TKcAAAAJ,Stucky,Galen Stucky, UCSB,Galen Stucky UCSB,Chemistry & Biochemistry,"Inorganic Chemistry, Materials Chemistry",Materials,,2022.0,,
27,Vj8zKdEAAAAJ,Archuleta,Ralph Archuleta, UCSB,Ralph Archuleta UCSB,Earth Science,"Seismic Source Studies, Strong Motion Seismology",Geophysics,,2014.0,,
28,none,Awramik,Stanley Awramik, UCSB,Stanley Awramik UCSB,Earth Science,Pre-Phanerozoic Biogeology,Paleobiology,,2022.0,,
29,Y_DNpx4AAAAJ,Burbank,Douglas Burbank, UCSB,Douglas Burbank UCSB,Earth Science,"Tectonic Geomorphology, Collisional Orogens, Sedimentation and Tectonics, Surface Processes",Geomorphology; Tectonics; Cryospheric Sciences,,2017.0,,
30,none,Busby,Cathy Busby, UCSB,Cathy Busby UCSB,Earth Science,Sedimentology and Stratigraphy of Active Margins,"Sedimentology, Tectonics; Volcanology",,2014.0,,
31,4UIEFcIAAAAJ,Clark,Jordan Clark, UCSB,Jordan Clark UCSB,Earth Science,"Hydrogeology, Aqueous Geochemistry",Hydrology; Limnology,,,,
