Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year
Anderson,Sarah E. Anderson, UCSB,Sarah E. Anderson UCSB,Bren,Environmental Politics ,Environmental Politics,2007,
Buntaine,Mark Buntaine, UCSB,Mark Buntaine UCSB,Bren,International Relations and Environmental Policy,Environmental Politics,2013,
C. Meng,Kyle Meng, UCSB,Kyle Meng UCSB,Bren,Environmental Economics; Climate Change,Environmental Economics,2014,
Costello,Christopher Costello, UCSB,Christopher Costello UCSB,Bren,Environmental economics - regulation and natural resource management under uncertainty,Environmental Economics; Conservation,,
Davis,Frank W Davis, UCSB,Frank W Davis UCSB,Bren,"Landscape Ecology, Conservation Planning",Biogeography/Landscape Ecology; LULCC; Conservation,,2023
Dozier,Jeff Dozier, UCSB,Jeff Dozier UCSB,Bren,"Snow Hydrology, Earth System Science, Remote Sensing",Cryospheric Sciences; Hydrology,,2018
Dunne,Thomas Dunne, UCSB,Thomas Dunne UCSB,Bren,"Geomorphology, Hydrology","Geomorphology, hydrology",,2018
Frew,James Frew, UCSB,James Frew UCSB,Bren,"Environmental Information Management, digital libraries, snow hydrology",GIScience,1997,
Gaines,Steve Gaines, UCSB,Steve Gaines UCSB,Bren,"Marine Science, Sustainable Fisheries",Population Ecology; Community Ecology; Conservation; Marine Ecology,,
Geyer,Roland Geyer, UCSB,Roland Geyer UCSB,Bren,"Industrial Ecology, Production and Operations Management",Industrial Ecology,2003,
Halpern,Benjamin S. Halpern, UCSB,Benjamin S. Halpern UCSB,Bren,Marine ecology and conservation biology,"Landscape, Marine and Spatial Ecology; Conservation",2013,
Holden,Patricia Holden, UCSB,Patricia Holden UCSB,Bren,"Environmental Microbiology – soil science, water quality",Soils; Env Microbiology,,
Jack,Kelsey Jack, UCSB,Kelsey Jack UCSB,Bren,Environment and Development Economics,Environmental Economics,2018,
Jasechko,Scott Jasechko, UCSB,Scott Jasechko UCSB,Bren,Freshwater Resources,"Hydrology, Water Resources",2017,
Keller,Arturo A. Keller, UCSB,Arturo A. Keller UCSB,Bren,"Fate & Transport, Watershed Mgmt, Remediation, Pollution Prevention, nanotechnology",Hydrology; Limnology/Aquatic Ecosystems ,,
Kendall,Bruce Kendall, UCSB,Bruce Kendall UCSB,Bren,"Theoretical ecology, spatial ecology, ",Population & Spatial Ecology,,
Larsen,Ashley E. Larsen, UCSB,Ashley E. Larsen UCSB,Bren,"Agricultural Ecology, Land Use, Landscape Ecology",Landscape Ecology; LULLC; Food Systems,2017,
Lenihan,Hunter S. Lenihan, UCSB,Hunter S. Lenihan UCSB,Bren,"Applied Marine Ecology, Coastal Marine Resources Management",Community Ecology; Conservation; Marine Ecology,,
Libecap,Gary Libecap, UCSB,Gary Libecap UCSB,Bren,Corporate Environmental Management,Environmental Economics,,2019
