,Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year,Scholar_Identifier,Scholar_Url,Scholar_Keywords
0,Anderson,Sarah E. Anderson, UCSB,Sarah E. Anderson UCSB,Bren,Environmental Politics ,Environmental Politics,2007.0,,RCP0c0kAAAAJ,https://scholar.google.com/citations?user=RCP0c0kAAAAJ&view_op=list_works&sortby=pubdate,"['environmental politics', 'legislative politics', 'wildfire']"
1,Buntaine,Mark Buntaine, UCSB,Mark Buntaine UCSB,Bren,International Relations and Environmental Policy,Environmental Politics,2013.0,,RzT0j3EAAAAJ,https://scholar.google.com/citations?user=RzT0j3EAAAAJ&view_op=list_works&sortby=pubdate,"['environmental politics', 'governance', 'foreign aid', 'international organizations', 'accountability']"
2,C. Meng,Kyle Meng, UCSB,Kyle Meng UCSB,Bren,Environmental Economics; Climate Change,Environmental Economics,2014.0,,BV2TtRkAAAAJ,https://scholar.google.com/citations?user=BV2TtRkAAAAJ&view_op=list_works&sortby=pubdate,"['environmental economics', 'climate change', 'political economy']"
3,Costello,Christopher Costello, UCSB,Christopher Costello UCSB,Bren,Environmental economics - regulation and natural resource management under uncertainty,Environmental Economics; Conservation,,,38CdyQoAAAAJ,https://scholar.google.com/citations?user=38CdyQoAAAAJ&view_op=list_works&sortby=pubdate,"['Natural resource economics', 'fisheries', 'uncertainty']"
4,Davis,Frank W Davis, UCSB,Frank W Davis UCSB,Bren,"Landscape Ecology, Conservation Planning",Biogeography/Landscape Ecology; LULCC; Conservation,,2023.0,FgUUzKkAAAAJ,https://scholar.google.com/citations?user=FgUUzKkAAAAJ&view_op=list_works&sortby=pubdate,['Frank W Davis']
5,Dozier,Jeff Dozier, UCSB,Jeff Dozier UCSB,Bren,"Snow Hydrology, Earth System Science, Remote Sensing",Cryospheric Sciences; Hydrology,,2018.0,xf0GIdEAAAAJ,https://scholar.google.com/citations?user=xf0GIdEAAAAJ&view_op=list_works&sortby=pubdate,['Jeff Dozier']
6,Dunne,Thomas Dunne, UCSB,Thomas Dunne UCSB,Bren,"Geomorphology, Hydrology","Geomorphology, hydrology",,2018.0,C1BC1sIAAAAJ,https://scholar.google.com/citations?user=C1BC1sIAAAAJ&view_op=list_works&sortby=pubdate,['Tom Dunne']
7,Frew,James Frew, UCSB,James Frew UCSB,Bren,"Environmental Information Management, digital libraries, snow hydrology",GIScience,1997.0,,nxF4XdQAAAAJ,https://scholar.google.com/citations?user=nxF4XdQAAAAJ&view_op=list_works&sortby=pubdate,['environmental informatics']
8,Gaines,Steve Gaines, UCSB,Steve Gaines UCSB,Bren,"Marine Science, Sustainable Fisheries",Population Ecology; Community Ecology; Conservation; Marine Ecology,,,L_VT3-cAAAAJ,https://scholar.google.com/citations?user=L_VT3-cAAAAJ&view_op=list_works&sortby=pubdate,"['Conservation Biology', 'Marine Ecology']"
9,Geyer,Roland Geyer, UCSB,Roland Geyer UCSB,Bren,"Industrial Ecology, Production and Operations Management",Industrial Ecology,2003.0,,YhCLK5kAAAAJ,https://scholar.google.com/citations?user=YhCLK5kAAAAJ&view_op=list_works&sortby=pubdate,['Roland Geyer']
10,Halpern,Benjamin S. Halpern, UCSB,Benjamin S. Halpern UCSB,Bren,Marine ecology and conservation biology,"Landscape, Marine and Spatial Ecology; Conservation",2013.0,,6XVuz14AAAAJ,https://scholar.google.com/citations?user=6XVuz14AAAAJ&view_op=list_works&sortby=pubdate,"['Marine ecology', 'conservation biology']"
11,Holden,Patricia Holden, UCSB,Patricia Holden UCSB,Bren,"Environmental Microbiology – soil science, water quality",Soils; Env Microbiology,,,UgmA89cAAAAJ,https://scholar.google.com/citations?user=UgmA89cAAAAJ&view_op=list_works&sortby=pubdate,"['Water Quality', 'Soil Processes', 'Pollution']"
12,Jack,Kelsey Jack, UCSB,Kelsey Jack UCSB,Bren,Environment and Development Economics,Environmental Economics,2018.0,,RaYb-oMAAAAJ,https://scholar.google.com/citations?user=RaYb-oMAAAAJ&view_op=list_works&sortby=pubdate,"['Microeconomics', 'Field Experiments', 'Environmental Economics', 'Development Economics']"
13,Jasechko,Scott Jasechko, UCSB,Scott Jasechko UCSB,Bren,Freshwater Resources,"Hydrology, Water Resources",2017.0,,9lzSDgcAAAAJ,https://scholar.google.com/citations?user=9lzSDgcAAAAJ&view_op=list_works&sortby=pubdate,"['water resources', 'large data', 'geochemistry', 'hydrology', 'global change']"
14,Keller,Arturo A. Keller, UCSB,Arturo A. Keller UCSB,Bren,"Fate & Transport, Watershed Mgmt, Remediation, Pollution Prevention, nanotechnology",Hydrology; Limnology/Aquatic Ecosystems ,,,zXQpymQAAAAJ,https://scholar.google.com/citations?user=zXQpymQAAAAJ&view_op=list_works&sortby=pubdate,"['Environment', 'Water Resources Management']"
15,Kendall,Bruce Kendall, UCSB,Bruce Kendall UCSB,Bren,"Theoretical ecology, spatial ecology, ",Population & Spatial Ecology,,,sD8YzJgAAAAJ,https://scholar.google.com/citations?user=sD8YzJgAAAAJ&view_op=list_works&sortby=pubdate,"['Theoretical Ecology', 'Conservation Biology', 'Population Ecology', 'Fisheries Management']"
16,Larsen,Ashley E. Larsen, UCSB,Ashley E. Larsen UCSB,Bren,"Agricultural Ecology, Land Use, Landscape Ecology",Landscape Ecology; LULLC; Food Systems,2017.0,,jycJQRMAAAAJ,https://scholar.google.com/citations?user=jycJQRMAAAAJ&view_op=list_works&sortby=pubdate,"['Sustainable agriculture', 'Ecology', 'Global change', 'Land use', 'Applied econometrics']"
17,Lenihan,Hunter S. Lenihan, UCSB,Hunter S. Lenihan UCSB,Bren,"Applied Marine Ecology, Coastal Marine Resources Management",Community Ecology; Conservation; Marine Ecology,,,i7R7100AAAAJ,https://scholar.google.com/citations?user=i7R7100AAAAJ&view_op=list_works&sortby=pubdate,['Applied Marine Ecology and Fisheries …']
18,Libecap,Gary Libecap, UCSB,Gary Libecap UCSB,Bren,Corporate Environmental Management,Environmental Economics,,2019.0,SxcotMcAAAAJ,https://scholar.google.com/citations?user=SxcotMcAAAAJ&view_op=list_works&sortby=pubdate,['Gary Libecap']
19,Melack,John Melack, UCSB,John Melack UCSB,Bren,"Biology, Ecology, Limnology",Limnology/Aquatic Ecosystems; Ecosystem Ecology; Hydrology;,,2021.0,Vvo98qYAAAAJ,https://scholar.google.com/citations?user=Vvo98qYAAAAJ&view_op=list_works&sortby=pubdate,['Limnology']
20,Plantinga,Andrew Plantinga, UCSB,Andrew Plantinga UCSB,Bren,Natural Resource Economics and Policy,Environmental Economics,2013.0,,mmfntE0AAAAJ,https://scholar.google.com/citations?user=mmfntE0AAAAJ&view_op=list_works&sortby=pubdate,['Environmental economics']
21,Potoski,Matthew Potoski, UCSB,Matthew Potoski UCSB,Bren,Corporate Environmental Management,Environmental Politics,2011.0,,mruBPJUAAAAJ,https://scholar.google.com/citations?user=mruBPJUAAAAJ&view_op=list_works&sortby=pubdate,['Matthew Potoski']
22,Salzman,James Salzman, UCSB,James Salzman UCSB,Bren,Environmental Law,Environmental Law,2015.0,,qD5L-u0AAAAJ,https://scholar.google.com/citations?user=qD5L-u0AAAAJ&view_op=list_works&sortby=pubdate,"['environmental law', 'environmental policy', 'environmental economics']"
23,Suh,Sangwon Suh, UCSB,Sangwon Suh UCSB,Bren,"Corporate Environmental Management, Industrial Ecology, Life Cycle Assessment",Industrial Ecology,2011.0,,y_uuPP0AAAAJ,https://scholar.google.com/citations?user=y_uuPP0AAAAJ&view_op=list_works&sortby=pubdate,"['Industrial Ecology', 'Life Cycle Assessment', 'Sustainability']"
24,Tague,"
Christina Tague", UCSB,"
Christina Tague UCSB",Bren,"Hydrology and ecosystem processes, modeling eco-hydrologic systems as altered by land use and climate",Ecosystem Ecology; Hydrology; LULCC,,,YqRA7csAAAAJ,https://scholar.google.com/citations?user=YqRA7csAAAAJ&view_op=list_works&sortby=pubdate,"['Hydrology', 'Ecosystems', 'Modeling', 'Informatics', 'Biogeochemical Cycling']"
25,Tilman,David Tilman, UCSB,David Tilman UCSB,Bren,"Ecology, Biodiversity, Ecosystem Functioning",Population Ecology; Community Ecology; Conservation,,2022.0,xlfT8vcAAAAJ,https://scholar.google.com/citations?user=xlfT8vcAAAAJ&view_op=list_works&sortby=pubdate,"['ecology', 'sustainability', 'biodiversity', 'diet-health', 'agriculture']"
26,Stucky,Galen Stucky, UCSB,Galen Stucky UCSB,Chemistry & Biochemistry,"Inorganic Chemistry, Materials Chemistry",Materials,,2022.0,9t14TKcAAAAJ,https://scholar.google.com/citations?user=9t14TKcAAAAJ&view_op=list_works&sortby=pubdate,['Galen Stucky']
27,Archuleta,Ralph Archuleta, UCSB,Ralph Archuleta UCSB,Earth Science,"Seismic Source Studies, Strong Motion Seismology",Geophysics,,2014.0,Vj8zKdEAAAAJ,https://scholar.google.com/citations?user=Vj8zKdEAAAAJ&view_op=list_works&sortby=pubdate,['Seismology']
28,Awramik,Stanley Awramik, UCSB,Stanley Awramik UCSB,Earth Science,Pre-Phanerozoic Biogeology,Paleobiology,,2022.0,none,none,none
29,Burbank,Douglas Burbank, UCSB,Douglas Burbank UCSB,Earth Science,"Tectonic Geomorphology, Collisional Orogens, Sedimentation and Tectonics, Surface Processes",Geomorphology; Tectonics; Cryospheric Sciences,,2017.0,Y_DNpx4AAAAJ,https://scholar.google.com/citations?user=Y_DNpx4AAAAJ&view_op=list_works&sortby=pubdate,['Douglas Burbank']
30,Busby,Cathy Busby, UCSB,Cathy Busby UCSB,Earth Science,Sedimentology and Stratigraphy of Active Margins,"Sedimentology, Tectonics; Volcanology",,2014.0,none,none,none
31,Clark,Jordan Clark, UCSB,Jordan Clark UCSB,Earth Science,"Hydrogeology, Aqueous Geochemistry",Hydrology; Limnology,,,4UIEFcIAAAAJ,https://scholar.google.com/citations?user=4UIEFcIAAAAJ&view_op=list_works&sortby=pubdate,"['geochemistry', 'geology', 'hydrology', 'oceanography']"
32,Cottle,John Cottle, UCSB,John Cottle UCSB,Earth Science,Tectonics and Geochronology,Tectonics ,,,xeUMyxAAAAAJ,https://scholar.google.com/citations?user=xeUMyxAAAAAJ&view_op=list_works&sortby=pubdate,"['Earth science', 'geochronology', 'tectonics']"
