,Code,Count,Label
0, 06 Biological Sciences,4034,06
1,04 Earth Sciences,2272,04
3,0602 Ecology,1722,0602
4, 0403 Geology,1600,0403
5, 0502 Environmental Science and Management,1445,0502
6,09 Engineering,1439,09
7, 05 Environmental Sciences,1241,05
9,0406 Physical Geography and Environmental Geoscience,952,0406
11, 0405 Oceanography,921,0405
12, 0909 Geomatic Engineering,780,0909
13,08 Information and Computing Sciences,559,08
14, 0402 Geochemistry,544,0402
17, 14 Economics,499,14
18, 0907 Environmental Engineering,482,0907
19,0604 Genetics,470,0604
20, 07 Agricultural and Veterinary Sciences,438,07
21, 0404 Geophysics,392,0404
22,0607 Plant Biology,340,0607
23,03 Chemical Sciences,333,03
24, 0401 Atmospheric Sciences,330,0401
25, 16 Studies in Human Society,303,16
26, 0603 Evolutionary Biology,298,0603
27, 0501 Ecological Applications,296,0501
29, 0806 Information Systems,288,0806
30, 1402 Applied Economics,269,1402
31, 0905 Civil Engineering,268,0905
32, 1604 Human Geography,246,1604
33,0605 Microbiology,243,0605
34,0503 Soil Sciences,236,0503
35, 0801 Artificial Intelligence and Image Processing,231,0801
37, 0306 Physical Chemistry (incl. Structural),224,0306
38, 1205 Urban and Regional Planning,198,1205
39, 0608 Zoology,182,0608
41, 02 Physical Sciences,170,02
43, 11 Medical and Health Sciences,163,11
44, 12 Built Environment and Design,162,12
46, 01 Mathematical Sciences,140,01
47," 15 Commerce, Management, Tourism and Services",135,15
50,0915 Interdisciplinary Engineering,118,0915
51,0601 Biochemistry and Cell Biology,116,0601
52, 0399 Other Chemical Sciences,112,0399
55, 0699 Other Biological Sciences,103,0699
58,17 Psychology and Cognitive Sciences,95,17
57, 1701 Psychology,95,1701
59,1117 Public Health and Health Services,94,1117
60, 0104 Statistics,90,0104
61, 1507 Transportation and Freight Services,90,1507
63, 0299 Other Physical Sciences,82,0299
66,0912 Materials Engineering,77,0912
67, 0906 Electrical and Electronic Engineering,74,0906
72, 10 Technology,60,10
73,0102 Applied Mathematics,59,0102
74, 0803 Computer Software,58,0803
76,0704 Fisheries Sciences,55,0704
78,1608 Sociology,55,1608
79,0703 Crop and Pasture Production,54,0703
80, 0301 Analytical Chemistry,53,0301
81,1606 Political Science,52,1606
82,1605 Policy and Administration,50,1605
83,0705 Forestry Sciences,48,0705
84, 0302 Inorganic Chemistry,46,0302
85, 21 History and Archaeology,45,21
88, 0303 Macromolecular and Materials Chemistry,44,0303
86, 0904 Chemical Engineering,44,0904
90,0914 Resources Engineering and Extractive Metallurgy,41,0914
93, 22 Philosophy and Religious Studies,36,22
94," 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",33,0202
97, 2202 History and Philosophy of Specific Fields,31,2202
99, 1007 Nanotechnology,29,1007
102,0911 Maritime Engineering,28,0911
103,1005 Communications Technologies,27,1005
