,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Alan T Murray. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117831681,10.1007/s10109-019-00302-5,,,Addressing risks and uncertainty in forest land use modeling,Journal of Geographical Systems,,,2019-09,2019,21,3,319-338,Closed,Article,"Murray, Alan T.; Wei, Ran; Church, Richard L.; Niblett, Matthew R.","Murray, Alan T.","Murray, Alan T. (University of California, Santa Barbara); Wei, Ran (University of California, Riverside); Church, Richard L. (University of California, Santa Barbara); Niblett, Matthew R. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117831681,09 Engineering; 16 Studies in Human Society; 0406 Physical Geography and Environmental Geoscience; 0909 Geomatic Engineering; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0406 Physical Geography and Environmental Geoscience,0909 Geomatic Engineering,1604 Human Geography
2,100,pub.1112237453,10.1177/0160017619827071,,,Evolving Regional Analytics in a Rural World,International Regional Science Review,,,2019-09,2019,42,5-6,374-399,Closed,Article,"Murray, Alan T.; Grubesic, Tony H.",,"Murray, Alan T. (University of California, Santa Barbara); Grubesic, Tony H. (Arizona State University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112237453,14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1605 Policy and Administration; 1402 Applied Economics,14 Economics,16 Studies in Human Society,1604 Human Geography,1605 Policy and Administration,1402 Applied Economics
3,100,pub.1116884779,10.1111/tgis.12545,,,"Spatial optimization for land acquisition problems: A review of models, solution methods, and GIS support",Transactions in GIS,,,2019-06-06,2019,23,4,645-671,Closed,Article,"Xiao, Ningchuan; Murray, Alan T.",,"Xiao, Ningchuan (The Ohio State University); Murray, Alan T. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116884779,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
4,100,pub.1114898494,10.1111/gean.12200,,,Anticipating the Next Half‐Century of Geographical Analysis,Geographical Analysis,,,2019-05-20,2019,,,,All OA; Gold,Article,"Murray, Alan T.",,"Murray, Alan T. (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/gean.12200,https://app.dimensions.ai/details/publication/pub.1114898494,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
5,100,pub.1111951551,10.1080/13658816.2019.1572898,,,Commercial GIS location analytics: capabilities and performance,International Journal of Geographical Information Science,,,2019-05-04,2019,33,5,1-25,Closed,Article,"Murray, Alan T.; Xu, Jing; Wang, Zifan; Church, Richard L.",,"Murray, Alan T. (University of California, Santa Barbara); Xu, Jing (University of California, Santa Barbara); Wang, Zifan (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111951551,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
6,100,pub.1113713644,10.1111/tgis.12531,,,Evaluation and development of sustainable urban land use plans through spatial optimization,Transactions in GIS,,,2019-04-25,2019,23,4,705-725,Closed,Article,"Yao, Jing; Murray, Alan T.; Wang, Jing; Zhang, Xiaoxiang",,"Yao, Jing (University of Glasgow); Murray, Alan T. (University of California, Santa Barbara); Wang, Jing (Wuhan University); Zhang, Xiaoxiang (Hohai University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113713644,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
7,100,pub.1107895492,10.1016/j.compenvurbsys.2018.10.006,,,Location optimization of urban fire stations: Access and service coverage,Computers Environment and Urban Systems,,,2019-01,2019,73,Interfaces 43 3 2013,184-190,Closed,Article,"Yao, Jing; Zhang, Xiaoxiang; Murray, Alan T.","Zhang, Xiaoxiang","Yao, Jing (University of Glasgow); Zhang, Xiaoxiang (Hohai University); Murray, Alan T. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107895492,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
8,100,pub.1107390812,10.1111/tgis.12476,,,Complexities in spatial center derivation,Transactions in GIS,,,2018-12,2018,22,6,1335-1350,Closed,Article,"Murray, Alan T.",,"Murray, Alan T. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107390812,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
9,100,pub.1091467933,10.1177/0160017617728551,,,Spatial Optimization for Land-use Allocation,International Regional Science Review,,,2018-11,2018,41,6,579-600,"All OA; Green, Accepted & Submitted",Article,"Yao, Jing; Zhang, Xiaoxiang; Murray, Alan T.",,"Yao, Jing (University of Glasgow); Zhang, Xiaoxiang (Hohai University); Murray, Alan T. (University of California, Santa Barbara)",6,6,,,http://eprints.gla.ac.uk/146759/1/146759.pdf,https://app.dimensions.ai/details/publication/pub.1091467933,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
10,100,pub.1100736353,10.1080/13658816.2018.1431838,,,A context-based geoprocessing framework for optimizing meetup location of multiple moving objects along road networks,International Journal of Geographical Information Science,,,2018-07-03,2018,32,7,1-23,"All OA; Green, Accepted & Submitted",Article,"Wang, Shaohua; Gao, Song; Feng, Xin; Murray, Alan T.; Zeng, Yuan",,"Wang, Shaohua (); Gao, Song (University of Wisconsin–Madison); Feng, Xin (University of California, Santa Barbara); Murray, Alan T. (University of California, Santa Barbara); Zeng, Yuan ()",4,4,,,http://arxiv.org/pdf/1812.03625,https://app.dimensions.ai/details/publication/pub.1100736353,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
11,100,pub.1105567371,10.1007/s10109-018-0274-5,,,Allocation using a heterogeneous space Voronoi diagram,Journal of Geographical Systems,,,2018-07,2018,20,3,207-226,Closed,Article,"Feng, Xin; Murray, Alan T.","Feng, Xin","Feng, Xin (University of California, Santa Barbara); Murray, Alan T. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1105567371,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
12,100,pub.1092576273,10.1111/gean.12146,,,Evolving Location Analytics for Service Coverage Modeling,Geographical Analysis,,,2018-07,2018,50,3,207-222,Closed,Article,"Murray, Alan T.",,"Murray, Alan T. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1092576273,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
13,100,pub.1103666491,10.1016/j.jtrangeo.2018.04.023,,,An optimization approach for equitable bicycle share station siting,Journal of Transport Geography,,,2018-05,2018,69,Transp. Res. Rec. 2314 2012,163-170,Closed,Article,"Conrow, Lindsey; Murray, Alan T.; Fischer, Heather A.","Conrow, Lindsey","Conrow, Lindsey (Arizona State University); Murray, Alan T. (University of California, Santa Barbara); Fischer, Heather A. (Arizona State University)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1103666491,"12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 1604 Human Geography; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",16 Studies in Human Society,1604 Human Geography,1507 Transportation and Freight Services
14,100,pub.1101696868,10.1016/j.trc.2018.02.017,,,A range-restricted recharging station coverage model for drone delivery service planning,Transportation Research Part C Emerging Technologies,,,2018-05,2018,90,IEICE Trans. (1976–1990) 68 9 1985,198-212,Closed,Article,"Hong, Insu; Kuby, Michael; Murray, Alan T.","Hong, Insu","Hong, Insu (West Virginia University); Kuby, Michael (Arizona State University); Murray, Alan T. (University of California, Santa Barbara)",13,13,,,,https://app.dimensions.ai/details/publication/pub.1101696868,"08 Information and Computing Sciences; 09 Engineering; 15 Commerce, Management, Tourism and Services",08 Information and Computing Sciences,09 Engineering,"15 Commerce, Management, Tourism and Services",,
15,100,pub.1085775139,10.1080/15502724.2017.1321486,,,Spatial Analytics for Enhancing Street Light Coverage of Public Spaces,LEUKOS The Journal of the Illuminating Engineering Society of North America,,,2018-01-02,2018,14,1,1-11,Closed,Article,"Feng, Xin; Murray, Alan T.",,"Feng, Xin (University of California, Santa Barbara); Murray, Alan T. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1085775139,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
16,200,pub.1110874954,10.1007/978-3-319-99846-6,,,"Location Covering Models, History, Applications and Advancements",Advances in Spatial Science,,,2018,2018,,,,Closed,Monograph,"Church, Richard L.; Murray, Alan",,"Church, Richard L. (University of California, Santa Barbara); Murray, Alan (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1110874954,,,,,,
17,100,pub.1093108735,10.1007/978-3-642-37896-6_12,,,Spatial Uncertainty Challenges in Location Modeling with Dispersion Requirements,Advances in Geographic Information Science,Spatial Analysis and Location Modeling in Urban and Regional Systems,,2018,2018,,,283-300,Closed,Chapter,"Wei, Ran; Murray, Alan T.","Wei, Ran","Wei, Ran (); Murray, Alan T. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1093108735,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
18,100,pub.1085720936,10.1016/j.landurbplan.2017.04.009,,,"Optimizing green space locations to reduce daytime and nighttime urban heat island effects in Phoenix, Arizona",Landscape and Urban Planning,,,2017-09,2017,165,,162-171,"All OA; Green, Published",Article,"Zhang, Yujia; Murray, Alan T.; Turner, B.L.","Zhang, Yujia","Zhang, Yujia (Arizona State University); Murray, Alan T. (University of California, Santa Barbara); Turner, B.L. (Arizona State University)",35,33,,15.42,https://repository.asu.edu/attachments/191078/content/Zhangetal2017.pdf,https://app.dimensions.ai/details/publication/pub.1085720936,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
19,100,pub.1090689907,10.1007/s12571-017-0703-1,,,A spatial analytic framework for assessing and improving food aid distribution in developing countries,Food Security,,,2017-08,2017,9,4,867-880,Closed,Article,"Grace, Kathryn; Wei, Ran; Murray, Alan T.","Grace, Kathryn","Grace, Kathryn (University of Minnesota); Wei, Ran (University of Utah); Murray, Alan T. (University of California, Santa Barbara)",1,1,,0.38,,https://app.dimensions.ai/details/publication/pub.1090689907,09 Engineering; 0703 Crop and Pasture Production; 0908 Food Sciences; 07 Agricultural and Veterinary Sciences,09 Engineering,0703 Crop and Pasture Production,0908 Food Sciences,07 Agricultural and Veterinary Sciences,
20,100,pub.1084803637,10.1007/s00168-017-0825-6,,,Regional analytics,The Annals of Regional Science,,,2017-07,2017,59,1,1-13,Closed,Article,"Murray, Alan T.","Murray, Alan T.","Murray, Alan T. (University of California, Santa Barbara)",3,3,,2.21,,https://app.dimensions.ai/details/publication/pub.1084803637,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
