,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Alexander Ray Simms. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113047176,10.1016/j.epsl.2019.03.017,,,Why estimates of deglacial ice loss should be biased low,Earth and Planetary Science Letters,,,2019-06,2019,515,Science 298 5599 Nov. 2002,112-124,Closed,Article,"Gebbie, Geoffrey; Simms, Alexander R.; Lisiecki, Lorraine E.","Gebbie, Geoffrey","Gebbie, Geoffrey (Woods Hole Oceanographic Institution); Simms, Alexander R. (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113047176,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
2,100,pub.1112091597,10.1029/2018gc007985,,,"“Petit Spot” Rejuvenated Volcanism Superimposed on Plume‐Derived Samoan Shield Volcanoes: Evidence From a 645‐m Drill Core From Tutuila Island, American Samoa",Geochemistry Geophysics Geosystems,,,2019-03,2019,20,3,1485-1507,Closed,Article,"Reinhard, Andrew A.; Jackson, Matthew G.; Blusztajn, Jerzy; Koppers, Anthony A. P.; Simms, Alexander R.; Konter, Jasper G.",,"Reinhard, Andrew A. (University of California, Santa Barbara); Jackson, Matthew G. (University of California, Santa Barbara); Blusztajn, Jerzy (Woods Hole Oceanographic Institution); Koppers, Anthony A. P. (Oregon State University); Simms, Alexander R. (University of California, Santa Barbara); Konter, Jasper G. (University of Hawaii at Manoa)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112091597,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1110805466,10.1016/j.quascirev.2018.12.018,,,Balancing the last glacial maximum (LGM) sea-level budget,Quaternary Science Reviews,,,2019-02,2019,205,Geophys. J. Int. 192 2013,143-153,Closed,Article,"Simms, Alexander R.; Lisiecki, Lorraine; Gebbie, Geoffrey; Whitehouse, Pippa L.; Clark, Jordan F.","Simms, Alexander R.","Simms, Alexander R. (University of California, Santa Barbara); Lisiecki, Lorraine (University of California, Santa Barbara); Gebbie, Geoffrey (Woods Hole Oceanographic Institution); Whitehouse, Pippa L. (Durham University); Clark, Jordan F. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1110805466,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
4,100,pub.1107201838,10.1016/j.quascirev.2018.09.017,,,"Late Holocene relative sea levels near Palmer Station, northern Antarctic Peninsula, strongly controlled by late Holocene ice-mass changes",Quaternary Science Reviews,,,2018-11,2018,199,Nat. Geosci. 6 2013,49-59,"All OA; Green, Accepted & Submitted",Article,"Simms, Alexander R.; Whitehouse, Pippa L.; Simkins, Lauren M.; Nield, Grace; DeWitt, Regina; Bentley, Michael J.","Simms, Alexander R.","Simms, Alexander R. (University of California, Santa Barbara); Whitehouse, Pippa L. (Durham University); Simkins, Lauren M. (University of Virginia); Nield, Grace (Durham University); DeWitt, Regina (East Carolina University); Bentley, Michael J. (Durham University)",4,4,,,https://escholarship.org/content/qt2n71h349/qt2n71h349.pdf?t=pihsyy,https://app.dimensions.ai/details/publication/pub.1107201838,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
5,100,pub.1105768774,10.1016/j.sedgeo.2018.07.004,,,Bayhead Deltas and Shorelines: Insights from Modern and Ancient Examples,Sedimentary Geology,,,2018-10,2018,374,Marine Chemistry 49 1995,17-35,Closed,Article,"Simms, Alexander R.; Rodriguez, Antonio B.; Anderson, John B.","Simms, Alexander R.","Simms, Alexander R. (University of California, Santa Barbara); Rodriguez, Antonio B. (University of North Carolina System); Anderson, John B. (Rice University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105768774,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0405 Oceanography,
6,100,pub.1100690841,10.1111/sed.12460,,,"Hyperpycnal delivery of sand to the continental shelf: Insights from the Jurassic Lajas Formation, Neuquén Basin, Argentina",Sedimentology,,,2018-10,2018,65,6,2149-2170,Closed,Article,"Steel, Elisabeth; Simms, Alexander R.; Steel, Ronald; Olariu, Cornel",,"Steel, Elisabeth (University of California, Santa Barbara); Simms, Alexander R. (University of California, Santa Barbara); Steel, Ronald (The University of Texas at Austin); Olariu, Cornel (The University of Texas at Austin)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1100690841,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,100,pub.1100917383,10.1016/j.margeo.2018.02.005,,,Coastal flooding and the 1861–2 California storm season,Marine Geology,,,2018-06,2018,400,,49-59,Closed,Article,"Reynolds, Laura C.; Simms, Alexander R.; Ejarque, Ana; King, Baird; Anderson, R. Scott; Carlin, Joseph A.; Bentz, J. Michael; Rockwell, Thomas K.; Peters, Robert","Reynolds, Laura C.","Reynolds, Laura C. (University of California, Santa Barbara); Simms, Alexander R. (University of California, Santa Barbara); Ejarque, Ana (Laboratoire de Géographie Physique et Environnementale); King, Baird (University of California, Santa Barbara); Anderson, R. Scott (Northern Arizona University); Carlin, Joseph A. (California State University, Fullerton); Bentz, J. Michael (University of California, Santa Barbara); Rockwell, Thomas K. (San Diego State University); Peters, Robert (San Diego State University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1100917383,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
8,100,pub.1101165980,10.1016/j.quascirev.2018.01.004,,,MIS 5e relative sea-level changes in the Mediterranean Sea: Contribution of isostatic disequilibrium,Quaternary Science Reviews,,,2018-04,2018,185,Rev. Geogr. Phys. Geol. Dyn. v XVIII 1976,122-134,"All OA; Green, Accepted & Submitted",Article,"Stocchi, Paolo; Vacchi, Matteo; Lorscheid, Thomas; de Boer, Bas; Simms, Alexander R.; van de Wal, Roderik S.W.; Vermeersen, Bert L.A.; Pappalardo, Marta; Rovere, Alessio","Stocchi, Paolo","Stocchi, Paolo (Royal Netherlands Institute for Sea Research); Vacchi, Matteo (University of Exeter); Lorscheid, Thomas (University of Bremen; Leibniz Center for Tropical Marine Ecology); de Boer, Bas (Utrecht University); Simms, Alexander R. (University of California, Santa Barbara); van de Wal, Roderik S.W. (Utrecht University); Vermeersen, Bert L.A. (Delft University of Technology); Pappalardo, Marta (University of Pisa); Rovere, Alessio (University of Bremen; Leibniz Center for Tropical Marine Ecology)",8,8,,,http://www.vliz.be/imisdocs/publications/72/313472.pdf,https://app.dimensions.ai/details/publication/pub.1101165980,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
9,100,pub.1101112005,10.1016/j.geobios.2018.02.007,,,Holocene vegetation and climate evolution of Corpus Christi and Trinity bays: Implications on coastal Texas source-to-sink deposition,Geobios,,,2018-04,2018,51,2,123-135,"All OA; Green, Accepted & Submitted",Article,"Ferguson, Shannon; Warny, Sophie; Anderson, John B.; Simms, Alexander R.; Escarguel, Gilles","Ferguson, Shannon","Ferguson, Shannon (Louisiana State University); Warny, Sophie (Louisiana State University); Anderson, John B. (Rice University); Simms, Alexander R. (University of California, Santa Barbara); Escarguel, Gilles (Claude Bernard University Lyon 1)",0,0,,,https://escholarship.org/content/qt0242h3qb/qt0242h3qb.pdf?t=pey0lj,https://app.dimensions.ai/details/publication/pub.1101112005,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
10,200,pub.1099939862,10.1130/g34387e.1,,,CORRIGENDUM: Holocene sea-level change derived from microbial mats,Geology,,,2018-01-01,2018,46,1,86-86,Closed,Article,"Livsey, Daniel; Simms, Alexander R.",,"Livsey, Daniel (); Simms, Alexander R. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099939862,04 Earth Sciences,04 Earth Sciences,,,,
11,100,pub.1100146158,10.1177/0959683617715697,,,"Breaching of Mustang Island in response to the 8.2 ka sea-level event and impact on Corpus Christi Bay, Gulf of Mexico: Implications for future coastal change",The Holocene,,,2018-01,2018,28,1,166-172,Closed,Article,"Ferguson, Shannon; Warny, Sophie; Anderson, John B; Simms, Alexander R; White, Crawford",,"Ferguson, Shannon (Louisiana State University); Warny, Sophie (Louisiana State University); Anderson, John B (Rice University); Simms, Alexander R (University of California, Santa Barbara); White, Crawford (Louisiana State University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1100146158,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,100,pub.1091117831,10.1016/j.margeo.2017.08.009,,,Coastal erosion and recovery from a Cascadia subduction zone earthquake and tsunami,Marine Geology,,,2017-10,2017,392,Earth Sci. Rev.1142012,30-40,"All OA; Green, Accepted & Submitted",Article,"Simms, Alexander R.; DeWitt, Regina; Zurbuchen, Julie; Vaughan, Patrick","Simms, Alexander R.","Simms, Alexander R. (University of California, Santa Barbara); DeWitt, Regina (East Carolina University); Zurbuchen, Julie (University of California, Santa Barbara); Vaughan, Patrick (California Department of Parks and Recreation)",1,1,,0.36,https://escholarship.org/content/qt7t4182ts/qt7t4182ts.pdf?t=ozstg5,https://app.dimensions.ai/details/publication/pub.1091117831,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
13,100,pub.1062734614,10.1130/g38446.1,,,The role of buoyancy reversal in turbidite deposition and submarine fan geometry,Geology,,,2017-01,2017,45,1,35-38,Closed,Article,"Steel, Elisabeth; Buttles, James; Simms, Alexander R.; Mohrig, David; Meiburg, Eckart",,"Steel, Elisabeth (University of California, Santa Barbara); Buttles, James (The University of Texas at Austin); Simms, Alexander R. (University of California, Santa Barbara); Mohrig, David (The University of Texas at Austin); Meiburg, Eckart (University of California, Santa Barbara)",5,4,,1.92,,https://app.dimensions.ai/details/publication/pub.1062734614,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1085136919,10.1007/978-3-319-55893-6_10,,,Population Structure and Life History Connectivity of Antarctic Silverfish (Pleuragramma antarctica) in the Southern Ocean Ecosystem,Advances in Polar Ecology,The Antarctic Silverfish: a Keystone Species in a Changing Ecosystem,,2017,2017,3,,193-234,Closed,Chapter,"Ashford, Julian; Zane, Lorenzo; Torres, Joseph J.; La Mesa, Mario; Simms, Alexander R.","Zane, Lorenzo","Ashford, Julian (Old Dominion University); Zane, Lorenzo (University of Padua); Torres, Joseph J. (University of South Florida); La Mesa, Mario (); Simms, Alexander R. (University of California, Santa Barbara)",8,4,,3.12,,https://app.dimensions.ai/details/publication/pub.1085136919,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
