,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Alyson E Santoro. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1106013868,10.1111/jeu.12679,30080299,,"A Revised Taxonomy of Diplonemids Including the Eupelagonemidae n. fam. and a Type Species, Eupelagonema oceanica n. gen. & sp.",Journal of Eukaryotic Microbiology,,,2019-05,2019,66,3,519-524,Closed,Article,"Okamoto, Noriko; Gawryluk, Ryan M.R.; Campo, Javier; Strassert, Jürgen F.H.; Lukeš, Julius; Richards, Thomas A.; Worden, Alexandra Z.; Santoro, Alyson E.; Keeling, Patrick J.",,"Okamoto, Noriko (University of British Columbia); Gawryluk, Ryan M.R. (University of British Columbia); Campo, Javier (University of British Columbia); Strassert, Jürgen F.H. (University of British Columbia); Lukeš, Julius (); Richards, Thomas A. (University of Exeter); Worden, Alexandra Z. (Monterey Bay Aquarium Research Institute); Santoro, Alyson E. (University of California, Santa Barbara); Keeling, Patrick J. (University of British Columbia)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106013868,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
2,200,pub.1110904406,10.1111/1758-2229.12721,30585419,,Crystal ball: the microbial map of the ocean,Environmental Microbiology Reports,,Ecosystem; Maps as Topic; Oceans and Seas; Seawater,2019-02,2019,11,1,35-37,All OA; Gold,Article,"Santoro, Alyson E.",,"Santoro, Alyson E. (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1758-2229.12721,https://app.dimensions.ai/details/publication/pub.1110904406,0605 Microbiology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0605 Microbiology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
3,500,pub.1106944862,10.1146/annurev-marine-121916-063141,30212260,,Planktonic Marine Archaea,Annual Review of Marine Science,,,2019-01-03,2019,11,1,1-28,Closed,Article,"Santoro, Alyson E; Richter, R Alexander; Dupont, Christopher L",,"Santoro, Alyson E (University of California, Santa Barbara); Richter, R Alexander (J. Craig Venter Institute); Dupont, Christopher L (J. Craig Venter Institute)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1106944862,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
4,100,pub.1106287298,10.1007/s12237-018-0441-4,,,Observations of Variable Ammonia Oxidation and Nitrous Oxide Flux in a Eutrophic Estuary,Chesapeake Science,,,2019-01,2019,42,1,33-44,Closed,Article,"Laperriere, Sarah M.; Nidzieko, Nicholas J.; Fox, Rebecca J.; Fisher, Alexander W.; Santoro, Alyson E.","Santoro, Alyson E.","Laperriere, Sarah M. (University of Maryland Center For Environmental Sciences; University of California, Santa Barbara); Nidzieko, Nicholas J. (University of Maryland Center For Environmental Sciences; University of California, Santa Barbara); Fox, Rebecca J. (University of Maryland Center For Environmental Sciences; Washington College); Fisher, Alexander W. (University of Maryland Center For Environmental Sciences; University of California, Santa Barbara); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences; University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106287298,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
5,500,pub.1109914578,10.1111/jeu.12701,30444565,,"Phylogeny, Evidence for a Cryptic Plastid, and Distribution of Chytriodinium Parasites (Dinophyceae) Infecting Copepods",Journal of Eukaryotic Microbiology,,,2018-12-11,2018,66,4,574-581,Closed,Article,"Strassert, Jürgen F.H.; Hehenberger, Elisabeth; Campo, Javier; Okamoto, Noriko; Kolisko, Martin; Richards, Thomas A.; Worden, Alexandra Z.; Santoro, Alyson E.; Keeling, Patrick J.",,"Strassert, Jürgen F.H. (University of British Columbia); Hehenberger, Elisabeth (University of British Columbia); Campo, Javier (University of British Columbia); Okamoto, Noriko (University of British Columbia); Kolisko, Martin (University of British Columbia); Richards, Thomas A. (University of Exeter); Worden, Alexandra Z. (Monterey Bay Aquarium Research Institute); Santoro, Alyson E. (University of California, Santa Barbara); Keeling, Patrick J. (University of British Columbia)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109914578,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
6,100,pub.1107409881,10.5194/bg-15-5891-2018,,,An intercomparison of oceanic methane and nitrous oxide measurements,Biogeosciences,,,2018-10-05,2018,15,19,5891-5907,All OA; Gold,Article,"Wilson, Samuel T.; Bange, Hermann W.; Arévalo-Martínez, Damian L.; Barnes, Jonathan; Borges, Alberto V.; Brown, Ian; Bullister, John L.; Burgos, Macarena; Capelle, David W.; Casso, Michael; de la Paz, Mercedes; Farías, Laura; Fenwick, Lindsay; Ferrón, Sara; Garcia, Gerardo; Glockzin, Michael; Karl, David M.; Kock, Annette; Laperriere, Sarah; Law, Cliff S.; Manning, Cara C.; Marriner, Andrew; Myllykangas, Jukka-Pekka; Pohlman, John W.; Rees, Andrew P.; Santoro, Alyson E.; Tortell, Philippe D.; Upstill-Goddard, Robert C.; Wisegarver, David P.; Zhang, Gui-Ling; Rehder, Gregor",,"Wilson, Samuel T. (University of Hawaii at Manoa); Bange, Hermann W. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Arévalo-Martínez, Damian L. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Barnes, Jonathan (Newcastle University); Borges, Alberto V. (University of Liège); Brown, Ian (Plymouth Marine Laboratory); Bullister, John L. (Pacific Marine Environmental Laboratory); Burgos, Macarena (University of Hawaii at Manoa; University of Cádiz); Capelle, David W. (University of British Columbia); Casso, Michael (United States Geological Survey); de la Paz, Mercedes (Spanish Institute of Oceanography); Farías, Laura (University of Concepción); Fenwick, Lindsay (University of British Columbia); Ferrón, Sara (University of Hawaii at Manoa); Garcia, Gerardo (University of Concepción); Glockzin, Michael (Leibniz Institute for Baltic Sea Research); Karl, David M. (University of Hawaii at Manoa); Kock, Annette (GEOMAR Helmholtz Centre for Ocean Research Kiel); Laperriere, Sarah (University of California, Santa Barbara); Law, Cliff S. (National Institute of Water and Atmospheric Research; University of Otago); Manning, Cara C. (University of British Columbia); Marriner, Andrew (National Institute of Water and Atmospheric Research); Myllykangas, Jukka-Pekka (University of Helsinki); Pohlman, John W. (United States Geological Survey); Rees, Andrew P. (Plymouth Marine Laboratory); Santoro, Alyson E. (University of California, Santa Barbara); Tortell, Philippe D. (University of British Columbia); Upstill-Goddard, Robert C. (Newcastle University); Wisegarver, David P. (Pacific Marine Environmental Laboratory); Zhang, Gui-Ling (); Rehder, Gregor (Leibniz Institute for Baltic Sea Research)",3,3,,,https://www.biogeosciences.net/15/5891/2018/bg-15-5891-2018.pdf,https://app.dimensions.ai/details/publication/pub.1107409881,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,100,pub.1107064259,10.1101/418467,,,"Phylogeny, evidence for a cryptic plastid, and distribution of Chytriodinium parasites (Dinophyceae) infecting copepods",bioRxiv,,,2018-09-14,2018,,,418467,"All OA; Green, Published",Preprint,"Strassert, Juergen F. H.; Hehenberger, Elisabeth; del Campo, Javier; Okamoto, Noriko; Kolisko, Martin; Richards, Thomas A.; Worden, Alexandra Z.; Santoro, Alyson E.; Keeling, Patrick J.",,"Strassert, Juergen F. H. (University of British Columbia); Hehenberger, Elisabeth (University of British Columbia); del Campo, Javier (University of British Columbia); Okamoto, Noriko (University of British Columbia); Kolisko, Martin (University of British Columbia); Richards, Thomas A. (University of Exeter); Worden, Alexandra Z. (Monterey Bay Aquarium Research Institute); Santoro, Alyson E. (University of California, Santa Barbara); Keeling, Patrick J. (University of British Columbia)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/09/14/418467.full.pdf,https://app.dimensions.ai/details/publication/pub.1107064259,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
8,100,pub.1104606048,10.5194/bg-2018-274,,,An intercomparison of oceanic methane and nitrous oxide measurements,Biogeosciences Discussions,,,2018-06-14,2018,,,1-37,All OA; Gold,Article,"Wilson, Samuel T.; Bange, Hermann W.; Arévalo-Martínez, Damian L.; Barnes, Jonathan; Borges, Alberto V.; Brown, Ian; Bullister, John L.; Burgos, Macarena; Capelle, David W.; Casso, Michael; de la Paz, Mercedes; Farías, Laura; Fenwick, Lindsay; Ferrón, Sara; Garcia, Gerardo; Glockzin, Michael; Karl, David M.; Kock, Annette; Laperriere, Sarah; Law, Cliff S.; Manning, Cara C.; Marriner, Andrew; Myllykangas, Jukka-Pekka; Pohlman, John W.; Rees, Andrew P.; Santoro, Alyson E.; Torres, Mabel; Tortell, Philippe D.; Upstill-Goddard, Robert C.; Wisegarver, David P.; Zhang, Guiling L.; Rehder, Gregor",,"Wilson, Samuel T. (University of Hawaii at Manoa); Bange, Hermann W. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Arévalo-Martínez, Damian L. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Barnes, Jonathan (Newcastle University); Borges, Alberto V. (University of Liège); Brown, Ian (Plymouth Marine Laboratory); Bullister, John L. (Pacific Marine Environmental Laboratory); Burgos, Macarena (University of Cádiz); Capelle, David W. (University of British Columbia); Casso, Michael (United States Geological Survey); de la Paz, Mercedes (Spanish Institute of Oceanography); Farías, Laura (University of Concepción); Fenwick, Lindsay (University of British Columbia); Ferrón, Sara (University of Hawaii at Manoa); Garcia, Gerardo (University of Concepción); Glockzin, Michael (Leibniz Institute for Baltic Sea Research); Karl, David M. (University of Hawaii at Manoa); Kock, Annette (GEOMAR Helmholtz Centre for Ocean Research Kiel); Laperriere, Sarah (University of California, Santa Barbara); Law, Cliff S. (National Institute of Water and Atmospheric Research; University of Otago); Manning, Cara C. (University of British Columbia); Marriner, Andrew (National Institute of Water and Atmospheric Research); Myllykangas, Jukka-Pekka (University of Helsinki); Pohlman, John W. (United States Geological Survey); Rees, Andrew P. (Plymouth Marine Laboratory); Santoro, Alyson E. (University of California, Santa Barbara); Torres, Mabel (University of Concepción); Tortell, Philippe D. (University of British Columbia); Upstill-Goddard, Robert C. (Newcastle University); Wisegarver, David P. (Pacific Marine Environmental Laboratory); Zhang, Guiling L. (Ocean University of China); Rehder, Gregor (Leibniz Institute for Baltic Sea Research)",0,0,,,http://oceanrep.geomar.de/44710/1/bg-15-5891-2018.pdf,https://app.dimensions.ai/details/publication/pub.1104606048,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
9,500,pub.1103189480,10.1111/1462-2920.14107,29626379,,Patterns of thaumarchaeal gene expression in culture and diverse marine environments,Environmental Microbiology,,"Ammonia; Aquatic Organisms; Archaea; Archaeal Proteins; Gene Expression Regulation, Archaeal; Gene Expression Regulation, Enzymologic; Nitrite Reductases; Nitrogen Cycle; Oxidation-Reduction; Oxidoreductases; Phylogeny; Urea; Urease",2018-06,2018,20,6,2112-2124,Closed,Article,"Carini, Paul; Dupont, Christopher L.; Santoro, Alyson E.",,"Carini, Paul (University of Maryland Center For Environmental Sciences); Dupont, Christopher L. (J. Craig Venter Institute); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences)",20,20,,,,https://app.dimensions.ai/details/publication/pub.1103189480,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
