,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Andr R Wyss. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1042251700,10.1017/jpa.2014.11,,,A mid-Oligocene (Whitneyan) rhinocerotid from northeastern California,Journal of Paleontology,,,2015-01,2015,89,1,135-139,Closed,Article,"Bright, Jen A.; Tiffney, Bruce H.; Wyss, Andr R.",,"Bright, Jen A. (University of California, Santa Barbara); Tiffney, Bruce H. (University of California, Santa Barbara); Wyss, Andr R. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1042251700,04 Earth Sciences; 0403 Geology; 06 Biological Sciences; 0603 Evolutionary Biology,04 Earth Sciences,0403 Geology,06 Biological Sciences,0603 Evolutionary Biology,
2,100,pub.1036620244,10.3158/2158-5520-5.1.112,,,Ontogeny in the Malagasy Traversodontid Dadadon isaloi and a Reconsideration of its Phylogenetic Relationships,Fieldiana Life and Earth Sciences,,,2012-10-18,2012,5,,112-125,"All OA; Green, Published",Article,"Kammerer, Christian F.; Flynn, John J.; Ranivoharimanana, Lovasoa; Wyss, Andr R.",,"Kammerer, Christian F. (American Museum of Natural History); Flynn, John J. (American Museum of Natural History); Ranivoharimanana, Lovasoa (University of Antananarivo); Wyss, Andr R. (University of California, Santa Barbara)",11,4,,1.84,http://www.bioone.org/doi/pdf/10.4202/app.00219.2015,https://app.dimensions.ai/details/publication/pub.1036620244,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1117731475,10.1080/039.031.0619,,,"New Material of Dadadon isaloi (Cynodontia, Traversodontidae) from the Triassic of Madagascar",Journal of Vertebrate Paleontology,,,2011-11,2011,31,6,1292-1302,Closed,Article,"Ranivoharimanana, Lovasoa; Kammerer, Christian F.; Flynn, John J.; Wyss, Andr R.",,"Ranivoharimanana, Lovasoa (University of Antananarivo); Kammerer, Christian F. (American Museum of Natural History); Flynn, John J. (American Museum of Natural History); Wyss, Andr R. (University of California, Santa Barbara)",1,1,,0.13,,https://app.dimensions.ai/details/publication/pub.1117731475,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,200,pub.1032327724,10.1080/02724634.2010.520784,,,The First Record of a Probainognathian (Cynodontia: Chiniquodontidae) from the Triassic of Madagascar,Journal of Vertebrate Paleontology,,,2010-12-02,2010,30,6,1889-1894,Closed,Article,"Kammerer, Christian F.; Flynn, John J.; Ranivoharimanana, Lovasoa; Wyss, Andr R.",,"Kammerer, Christian F. (American Museum of Natural History); Flynn, John J. (American Museum of Natural History); Ranivoharimanana, Lovasoa (University of Antananarivo); Wyss, Andr R. (University of California, Santa Barbara)",12,2,,1.34,,https://app.dimensions.ai/details/publication/pub.1032327724,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
5,100,pub.1038055455,10.1206/627.1,,,"Estimating body mass in New World monkeys (Platyrrhini, Primates), with a consideration of the Miocene platyrrhine, Chilecebus carrascoensis",American Museum Novitates,,,2008,2008,3617,1,1-29,"All OA; Green, Accepted & Submitted",Article,"Sears, Karen E.; Finarelli, John A.; Flynn, John J.; Wyss, Andr r",,"Sears, Karen E. (); Finarelli, John A. (); Flynn, John J. (); Wyss, Andr r ()",33,7,,23.9,http://digitallibrary.amnh.org/bitstream/2246/5922/1//v3/dspace/updateIngest/pdfs/N3617.pdf,https://app.dimensions.ai/details/publication/pub.1038055455,2102 Curatorial and Related Studies; 21 History and Archaeology,2102 Curatorial and Related Studies,21 History and Archaeology,,,
6,100,pub.1117731519,10.1671/0272-4634%282007%2927%5b781%3aanbgao%5d2.0.co%3b2,,,"A NEW BASAL GLYPTODONTID AND OTHER XENARTHRA OF THE EARLY MIOCENE CHUCAL FAUNA, NORTHERN CHILE",Journal of Vertebrate Paleontology,,,2007-12,2007,27,4,781-797,Closed,Article,"CROFT, DARIN A.; FLYNN, JOHN J.; WYSS, ANDR R.",,"CROFT, DARIN A. (Case Western Reserve University); FLYNN, JOHN J. (American Museum of Natural History); WYSS, ANDR R. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1117731519,06 Biological Sciences; 0603 Evolutionary Biology,06 Biological Sciences,0603 Evolutionary Biology,,,
7,100,pub.1030805647,10.1206/0003-0082(2006)3536[1:ppxfcc]2.0.co;2,,,Paleogene Pseudoglyptodont Xenarthrans from Central Chile and Argentine Patagonia,American Museum Novitates,,,2006,2006,3536,1,1-18,"All OA; Green, Accepted & Submitted",Article,"McKENNA, MALCOLM C.; WYSS, ANDR R.; FLYNN, JOHN J.",,"McKENNA, MALCOLM C. (); WYSS, ANDR R. (University of California, Santa Barbara); FLYNN, JOHN J. ()",57,10,,40.84,http://digitallibrary.amnh.org/bitstream/2246/5814/1//v3/dspace/updateIngest/pdfs//N3536.pdf,https://app.dimensions.ai/details/publication/pub.1030805647,2102 Curatorial and Related Studies; 21 History and Archaeology,2102 Curatorial and Related Studies,21 History and Archaeology,,,
8,100,pub.1018532414,10.1206/0003-0082(2006)3520[1:nbitnm]2.0.co;2,,,"New Basal Interatheriidae (Typotheria, Notoungulata, Mammalia) from the Paleogene of Central Chile",American Museum Novitates,,,2006,2006,3520,1,1-32,"All OA; Green, Accepted & Submitted",Article,"Hitz, Ralph B.; Flynn, John J.; Wyss, Andr R.",,"Hitz, Ralph B. (); Flynn, John J. (); Wyss, Andr R. ()",27,6,,19.35,http://digitallibrary.amnh.org/bitstream/2246/5797/1//v1/dspace/amnh/java/pdfFiles/N3520.pdf,https://app.dimensions.ai/details/publication/pub.1018532414,2102 Curatorial and Related Studies; 21 History and Archaeology,2102 Curatorial and Related Studies,21 History and Archaeology,,,
9,100,pub.1117727175,10.1671/0272-4634%282005%29025%5b0320%3admitai%5d2.0.co%3b2,,,DENTAL MICROWEAR IN TRIASSIC AMNIOTES: IMPLICATIONS FOR PALEOECOLOGY AND MASTICATORY MECHANICS,Journal of Vertebrate Paleontology,,,2005-06,2005,25,2,320-329,Closed,Article,"GOSWAMI, ANJALI; FLYNN, JOHN J.; RANIVOHARIMANANA, LOVASOA; WYSS, ANDR R.",,"GOSWAMI, ANJALI (Field Museum of Natural History); FLYNN, JOHN J. (Field Museum of Natural History); RANIVOHARIMANANA, LOVASOA (University of Antananarivo); WYSS, ANDR R. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1117727175,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
