,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Armand M Kuris. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112387611,10.1111/1365-2664.13369,,,Fish culling reduces tapeworm burden in Arctic charr by increasing parasite mortality rather than by reducing density‐dependent transmission,Journal of Applied Ecology,,,2019-06,2019,56,6,1482-1491,Closed,Article,"Henriksen, Eirik H.; Frainer, André; Knudsen, Rune; Kristoffersen, Roar; Kuris, Armand M.; Lafferty, Kevin D.; Amundsen, Per‐Arne",,"Henriksen, Eirik H. (The Arctic University of Norway); Frainer, André (The Arctic University of Norway; Norwegian Institute for Nature Research); Knudsen, Rune (The Arctic University of Norway); Kristoffersen, Roar (The Arctic University of Norway); Kuris, Armand M. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Amundsen, Per‐Arne (The Arctic University of Norway)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112387611,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1111540868,10.1007/s00338-019-01766-z,,,Parasites of coral reef fish larvae: its role in the pelagic larval stage,Coral Reefs,,,2019-04,2019,38,2,199-214,Closed,Article,"Duong, B.; Blomberg, S. P.; Cribb, T. H.; Cowman, P. F.; Kuris, A. M.; McCormick, M. I.; Warner, R. R.; Sun, D.; Grutter, A. S.","Duong, B.","Duong, B. (University of Queensland); Blomberg, S. P. (University of Queensland); Cribb, T. H. (University of Queensland); Cowman, P. F. (James Cook University); Kuris, A. M. (University of California, Santa Barbara); McCormick, M. I. (James Cook University); Warner, R. R. (University of California, Santa Barbara); Sun, D. (University of Queensland); Grutter, A. S. (University of Queensland)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111540868,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,500,pub.1113058515,10.3897/zookeys.833.30835,31048953,PMC6477860,"Parasitic copepods (Crustacea, Hexanauplia) on fishes from the lagoon flats of Palmyra Atoll, Central Pacific",ZooKeys,,,2019-03-27,2019,833,,85-106,All OA; Gold,Article,"Soler-Jiménez, Lilia C.; Morales-Serna, F. Neptalí; Aguirre-Macedo, Ma. Leopoldina; McLaughlin, John P.; Jaramillo, Alejandra G.; Shaw, Jenny C.; James, Anna K.; Hechinger, Ryan F.; Kuris, Armand M.; Lafferty, Kevin D.; Vidal-Martínez, Victor M.",,"Soler-Jiménez, Lilia C. (Autonomous University of Yucatán); Morales-Serna, F. Neptalí (Centro de Investigación en Alimentación y Desarrollo); Aguirre-Macedo, Ma. Leopoldina (Autonomous University of Yucatán); McLaughlin, John P. (); Jaramillo, Alejandra G. (); Shaw, Jenny C. (); James, Anna K. (); Hechinger, Ryan F. (University of California, San Diego); Kuris, Armand M. (); Lafferty, Kevin D. (); Vidal-Martínez, Victor M. (Autonomous University of Yucatán)",1,1,,,https://zookeys.pensoft.net/article/30835/download/pdf/,https://app.dimensions.ai/details/publication/pub.1113058515,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,500,pub.1107539006,10.1017/s0031182018001634,30301482,,Parasite and host biomass and reproductive output in barnacle populations in the rocky intertidal zone,Parasitology,,,2019-03,2019,146,3,407-412,Closed,Article,"Fong, Caitlin R.; Kuris, Armand M.; Hechinger, Ryan F.",,"Fong, Caitlin R. (); Kuris, Armand M. (); Hechinger, Ryan F. (University of California, San Diego)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107539006,07 Agricultural and Veterinary Sciences; 0707 Veterinary Sciences,07 Agricultural and Veterinary Sciences,0707 Veterinary Sciences,,,
5,500,pub.1112171265,10.1645/17-53,30807713,,"Acanthocephalan Parasites of the Oarfish, Regalecus russelii (Regalecidae), with a Description of a New Species of Gymnorhadinorhynchus (Acanthocephala: Gymnorhadinorhynchidae)",Journal of Parasitology,,,2019-02-15,2019,105,1,124-132,Closed,Article,"Steinauer, Michelle L; Garcia-Vedrenne, Ana E; Weinstein, Sara B; Kuris, Armand M",,"Steinauer, Michelle L (); Garcia-Vedrenne, Ana E (University of California, Santa Barbara); Weinstein, Sara B (University of California, Santa Barbara); Kuris, Armand M (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112171265,06 Biological Sciences; 0603 Evolutionary Biology,06 Biological Sciences,0603 Evolutionary Biology,,,
6,500,pub.1110224752,10.4269/ajtmh.18-0469,30479247,PMC6335894,Potential Biological Control of Schistosomiasis by Fishes in the Lower Senegal River Basin.,American Journal of Tropical Medicine and Hygiene,,Animals; Aquaculture; Biological Control Agents; Bulinus; Decapoda (Crustacea); Fishes; Predatory Behavior; Rivers; Schistosoma haematobium; Schistosomiasis; Senegal; Tilapia,2019-01-09,2019,100,1,117-126,"All OA; Green, Published",Article,"Arostegui, Martin C; Wood, Chelsea L; Jones, Isabel J; Chamberlin, Andrew J; Jouanard, Nicolas; Faye, Djibril S; Kuris, Armand M; Riveau, Gilles; De Leo, Giulio A; Sokolow, Susanne H",,"Arostegui, Martin C (University of Washington); Wood, Chelsea L (University of Washington); Jones, Isabel J (Stanford University); Chamberlin, Andrew J (Stanford University); Jouanard, Nicolas (Espoir pour la Sante); Faye, Djibril S (); Kuris, Armand M (University of California, Santa Barbara); Riveau, Gilles (Espoir pour la Sante); De Leo, Giulio A (Stanford University); Sokolow, Susanne H (Stanford University)",0,0,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6335894,https://app.dimensions.ai/details/publication/pub.1110224752,11 Medical and Health Sciences,11 Medical and Health Sciences,,,,
7,500,pub.1092580328,10.1016/j.pt.2017.10.002,29126819,PMC5819334,"To Reduce the Global Burden of Human Schistosomiasis, Use ‘Old Fashioned’ Snail Control",Trends in Parasitology,,Animals; Disease Eradication; Humans; Schistosomiasis; Snails,2018-01,2018,34,1,23-40,"All OA; Green, Accepted & Submitted",Article,"Sokolow, Susanne H.; Wood, Chelsea L.; Jones, Isabel J.; Lafferty, Kevin D.; Kuris, Armand M.; Hsieh, Michael H.; De Leo, Giulio A.","Sokolow, Susanne H.","Sokolow, Susanne H. (Stanford University; University of California, Santa Barbara); Wood, Chelsea L. (); Jones, Isabel J. (Stanford University); Lafferty, Kevin D. (University of California, Santa Barbara); Kuris, Armand M. (University of California, Santa Barbara); Hsieh, Michael H. (Children’s National Health System; George Washington University; Biomedical Research Institute); De Leo, Giulio A. (Stanford University)",14,14,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5819334,https://app.dimensions.ai/details/publication/pub.1092580328,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
8,500,pub.1092489519,10.3897/zookeys.713.14732,29134039,PMC5674209,Monogenea of fishes from the lagoon flats of Palmyra Atoll in the Central Pacific,ZooKeys,,,2017-11-02,2017,713,713,1-23,All OA; Gold,Article,"Vidal-Martínez, Víctor Manuel; Soler-Jiménez, Lilia Catherinne; Aguirre-Macedo, Ma. Leopoldina; Mclaughlin, John; Jaramillo, Alejandra G.; Shaw2, Jenny C.; James, Anna; Hechinger, Ryan F.; Kuris, Armand M.; Lafferty, Kevin D.",,"Vidal-Martínez, Víctor Manuel (Autonomous University of Yucatán); Soler-Jiménez, Lilia Catherinne (Autonomous University of Yucatán); Aguirre-Macedo, Ma. Leopoldina (Autonomous University of Yucatán); Mclaughlin, John (); Jaramillo, Alejandra G. (); Shaw2, Jenny C. (Autonomous University of Yucatán); James, Anna (); Hechinger, Ryan F. (University of California, San Diego); Kuris, Armand M. (); Lafferty, Kevin D. ()",1,1,0,0.39,https://zookeys.pensoft.net/article/14732/download/pdf/,https://app.dimensions.ai/details/publication/pub.1092489519,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,500,pub.1090648385,10.3201/eid2308.170222,28726612,PMC5547801,"Seroprevalence of Baylisascaris procyonis Infection among Humans, Santa Barbara County, California, USA, 2014–2016",Emerging Infectious Diseases,,"Animals; Ascaridida; Ascaridida Infections; California; Feces; Female; History, 21st Century; Humans; Male; Prevalence; Raccoons; Seroepidemiologic Studies; Zoonoses",2017-08,2017,23,8,1397-1399,All OA; Gold,Article,"Weinstein, Sara B.; Lake, Camille M.; Chastain, Holly M.; Fisk, David; Handali, Sukwan; Kahn, Philip L.; Montgomery, Susan P.; Wilkins, Patricia P.; Kuris, Armand M.; Lafferty, Kevin D.",,"Weinstein, Sara B. (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley); Lake, Camille M. (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley); Chastain, Holly M. (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley); Fisk, David (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley); Handali, Sukwan (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley); Kahn, Philip L. (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley); Montgomery, Susan P. (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley); Wilkins, Patricia P. (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley); Kuris, Armand M. (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley); Lafferty, Kevin D. (University of California, Santa Barbara; Centers for Disease Control and Prevention; University of California, Berkeley)",4,4,0.98,1.45,https://doi.org/10.3201/eid2308.170222,https://app.dimensions.ai/details/publication/pub.1090648385,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
