,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Barbara Herr Harthorn. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113647683,10.1080/13698575.2019.1601685,,,Health risk perception and shale development in the UK and US,Health Risk & Society,,,2019-02-17,2019,21,1-2,35-56,Closed,Article,"Harthorn, Barbara Herr; Halcomb, Laura; Partridge, Tristan; Thomas, Merryn; Enders, Catherine; Pidgeon, Nick",,"Harthorn, Barbara Herr (University of California, Santa Barbara); Halcomb, Laura (University of California, Santa Barbara); Partridge, Tristan (); Thomas, Merryn (Cardiff University); Enders, Catherine (University of California, Santa Barbara); Pidgeon, Nick (Cardiff University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113647683,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
2,200,pub.1117190265,10.3197/096327119x15579936382482,,,Disturbed Earth: Conceptions of the Deep Underground in Shale Extraction Deliberations in the US and UK,Environmental Values,,,2019,2019,,,,Closed,Article,"Partridge, Tristan; Thomas, Merryn; Pidgeon, Nick; Harthorn, Barbara Herr",,"Partridge, Tristan (University of California, Santa Barbara); Thomas, Merryn (Cardiff University); Pidgeon, Nick (Cardiff University); Harthorn, Barbara Herr (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117190265,16 Studies in Human Society; 22 Philosophy and Religious Studies,16 Studies in Human Society,22 Philosophy and Religious Studies,,,
3,100,pub.1105643991,10.1016/j.erss.2018.06.026,,,Using role play to explore energy perceptions in the United States and United Kingdom,Energy Research & Social Science,,,2018-11,2018,45,Glob. Environ. Change 34 2015,363-373,Closed,Article,"Thomas, Merryn; Partridge, Tristan; Pidgeon, Nick; Harthorn, Barbara Herr; Demski, Christina; Hasell, Ariel","Thomas, Merryn","Thomas, Merryn (Cardiff University); Partridge, Tristan (University of California, Santa Barbara; Autonomous University of Barcelona); Pidgeon, Nick (Cardiff University); Harthorn, Barbara Herr (University of California, Santa Barbara); Demski, Christina (Cardiff University); Hasell, Ariel (University of Michigan)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105643991,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
4,100,pub.1101838930,10.1016/j.erss.2018.03.018,,,Urgency in energy justice: Contestation and time in prospective shale extraction in the United States and United Kingdom,Energy Research & Social Science,,,2018-08,2018,42,Local Environ. 18 4 2013,138-146,"All OA; Green, Accepted & Submitted",Article,"Partridge, Tristan; Thomas, Merryn; Pidgeon, Nick; Harthorn, Barbara Herr","Harthorn, Barbara Herr","Partridge, Tristan (University of California, Santa Barbara; Autonomous University of Barcelona); Thomas, Merryn (Cardiff University); Pidgeon, Nick (Cardiff University); Harthorn, Barbara Herr (University of California, Santa Barbara)",8,8,,,http://orca.cf.ac.uk/110750/1/Thomas.%20Urgency%20in%20energy.pdf,https://app.dimensions.ai/details/publication/pub.1101838930,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
5,100,pub.1110872673,10.5751/es-10637-230447,,,"Perceiving resilience: understanding people’s intuitions about the qualities of air, water, and soil",Ecology and Society,,,2018,2018,23,4,,All OA; Gold,Article,"Satterfield, Terre; Collins, Mary; Harthorn, Barbara",,"Satterfield, Terre (); Collins, Mary (); Harthorn, Barbara ()",1,1,,,http://www.ecologyandsociety.org/vol23/iss4/art47/ES-2018-10637.pdf,https://app.dimensions.ai/details/publication/pub.1110872673,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
6,100,pub.1099628361,10.1002/9781118430873.est0257,,,Nanotechnology,,The Wiley-Blackwell Encyclopedia of Social Theory,,2017-12-04,2017,,,1-3,Closed,Chapter,"Harthorn, Barbara Herr",,"Harthorn, Barbara Herr (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1099628361,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
7,100,pub.1084777310,10.1038/nenergy.2017.54,,,"Deliberating the perceived risks, benefits, and societal implications of shale gas and oil extraction by hydraulic fracturing in the US and UK",Nature Energy,,,2017-05,2017,2,5,17054,"All OA; Green, Accepted & Submitted",Article,"Thomas, Merryn; Partridge, Tristan; Harthorn, Barbara Herr; Pidgeon, Nick","Pidgeon, Nick","Thomas, Merryn (Cardiff University); Partridge, Tristan (University of California, Santa Barbara); Harthorn, Barbara Herr (University of California, Santa Barbara); Pidgeon, Nick (Cardiff University)",33,30,,37.33,http://orca.cf.ac.uk/98853/8/Nature_Perceptions%20of%20Fracking_PostPrint_23Mar2017.pdf,https://app.dimensions.ai/details/publication/pub.1084777310,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
8,100,pub.1083741851,10.1002/wcc.450,,,Public perceptions of hydraulic fracturing for shale gas and oil in the United States and Canada,Wiley Interdisciplinary Reviews Climate Change,,,2017-05,2017,8,3,e450,"All OA; Green, Accepted & Submitted",Article,"Thomas, Merryn; Pidgeon, Nick; Evensen, Darrick; Partridge, Tristan; Hasell, Ariel; Enders, Catherine; Harthorn, Barbara Herr; Bradshaw, Michael",,"Thomas, Merryn (Cardiff University); Pidgeon, Nick (Cardiff University); Evensen, Darrick (Cardiff University); Partridge, Tristan (Cardiff University); Hasell, Ariel (Cardiff University); Enders, Catherine (Cardiff University); Harthorn, Barbara Herr (Cardiff University); Bradshaw, Michael (Cardiff University)",41,34,,43.57,http://orca.cf.ac.uk/95923/1/WCC-745Thomas%20et%20alPDF.pdf,https://app.dimensions.ai/details/publication/pub.1083741851,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
9,100,pub.1040515902,10.1016/j.gloenvcha.2016.11.002,,,"Seeing futures now: Emergent US and UK views on shale development, climate change and energy systems",Global Environmental Change,,,2017-01,2017,42,J. Petrol. Technol. 65 5 2013,1-12,All OA; Gold,Article,"Partridge, Tristan; Thomas, Merryn; Harthorn, Barbara Herr; Pidgeon, Nick; Hasell, Ariel; Stevenson, Louise; Enders, Catherine","Harthorn, Barbara Herr","Partridge, Tristan (); Thomas, Merryn (Cardiff University); Harthorn, Barbara Herr (); Pidgeon, Nick (Cardiff University); Hasell, Ariel (); Stevenson, Louise (); Enders, Catherine ()",29,23,,32.81,https://doi.org/10.1016/j.gloenvcha.2016.11.002,https://app.dimensions.ai/details/publication/pub.1040515902,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
