,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Bodo Bookhagen. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1114023719,10.1002/esp.4648,,,"Deep‐seated gravitational slope deformation (DSGSD) and slow‐moving landslides in the southern Tien Shan Mountains: new insights from InSAR, tectonic and geomorphic analysis",Earth Surface Processes and Landforms,,,2019-09-30,2019,44,12,2333-2348,All OA; Gold,Article,"Teshebaeva, Kanayim; Echtler, Helmut; Bookhagen, Bodo; Strecker, Manfred",,"Teshebaeva, Kanayim (VU University Amsterdam; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Echtler, Helmut (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences; University of Potsdam); Bookhagen, Bodo (University of Potsdam); Strecker, Manfred (University of Potsdam)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/esp.4648,https://app.dimensions.ai/details/publication/pub.1114023719,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1112095016,10.1016/j.nimb.2019.02.007,,,Attempts to understand potential deficiencies in chemical procedures for AMS: Cleaning and dissolving quartz for 10Be and 26Al analysis,Nuclear Instruments and Methods in Physics Research Section B Beam Interactions with Materials and Atoms,,,2019-09,2019,455,Quat. Sci. Rev. 20 2001,293-299,Closed,Article,"Merchel, Silke; Gärtner, Andreas; Beutner, Sabrina; Bookhagen, Bodo; Chabilan, Amelié","Merchel, Silke","Merchel, Silke (Research Center Dresden-Rossendorf); Gärtner, Andreas (); Beutner, Sabrina (Research Center Dresden-Rossendorf); Bookhagen, Bodo (University of Potsdam); Chabilan, Amelié (Research Center Dresden-Rossendorf)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112095016,"09 Engineering; 0402 Geochemistry; 0915 Interdisciplinary Engineering; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 04 Earth Sciences",09 Engineering,0402 Geochemistry,0915 Interdisciplinary Engineering,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences
3,100,pub.1117967915,10.3389/feart.2019.00172,,,"OSARIS, the “Open Source SAR Investigation System” for Automatized Parallel InSAR Processing of Sentinel-1 Time Series Data With Special Emphasis on Cryosphere Applications",Frontiers in Earth Science,,,2019-07-12,2019,7,,172,All OA; Gold,Article,"Loibl, David; Bookhagen, Bodo; Valade, Sébastien; Schneider, Christoph",,"Loibl, David (Humboldt University of Berlin); Bookhagen, Bodo (University of Potsdam); Valade, Sébastien (Technical University of Berlin); Schneider, Christoph (Humboldt University of Berlin)",0,0,,,https://www.frontiersin.org/articles/10.3389/feart.2019.00172/pdf,https://app.dimensions.ai/details/publication/pub.1117967915,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
4,100,pub.1117853133,10.3390/atmos10070379,,,Using Convective Available Potential Energy (CAPE) and Dew-Point Temperature to Characterize Rainfall-Extreme Events in the SOUTH- CENTRAL ANDES,Atmosphere,,,2019-07-08,2019,10,7,379,All OA; Gold,Article,"Ziarani, Maryam Ramezani; Bookhagen, Bodo; Schmidt, Torsten; Wickert, Jens; de la Torre, Alejandro; Hierro, Rodrigo",,"Ziarani, Maryam Ramezani (University of Potsdam; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Bookhagen, Bodo (University of Potsdam); Schmidt, Torsten (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Wickert, Jens (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences; Technical University of Berlin); de la Torre, Alejandro (National Scientific and Technical Research Council); Hierro, Rodrigo (National Scientific and Technical Research Council)",0,0,,,https://www.mdpi.com/2073-4433/10/7/379/pdf,https://app.dimensions.ai/details/publication/pub.1117853133,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
5,100,pub.1117873210,10.1029/2018jf004827,,,A Network‐Based Flow Accumulation Algorithm for Point Clouds: Facet‐Flow Networks (FFNs),Journal of Geophysical Research Earth Surface,,,2019-07,2019,124,7,2013-2033,Closed,Article,"Rheinwalt, Aljoscha; Goswami, Bedartha; Bookhagen, Bodo",,"Rheinwalt, Aljoscha (University of Potsdam); Goswami, Bedartha (University of Potsdam); Bookhagen, Bodo (University of Potsdam)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117873210,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
6,100,pub.1117358931,10.3390/rs11121447,,,Advances in the Derivation of Northeast Siberian Forest Metrics Using High-Resolution UAV-Based Photogrammetric Point Clouds,Remote Sensing,,,2019-06-18,2019,11,12,1447,All OA; Gold,Article,"Brieger, Frederic; Herzschuh, Ulrike; Pestryakova, Luidmila A.; Bookhagen, Bodo; Zakharov, Evgenii S.; Kruse, Stefan",,"Brieger, Frederic (University of Potsdam); Herzschuh, Ulrike (University of Potsdam); Pestryakova, Luidmila A. (North-Eastern Federal University); Bookhagen, Bodo (University of Potsdam); Zakharov, Evgenii S. (North-Eastern Federal University); Kruse, Stefan ()",1,1,,,https://www.mdpi.com/2072-4292/11/12/1447/pdf,https://app.dimensions.ai/details/publication/pub.1117358931,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
7,100,pub.1113858618,10.1029/2019jf005025,,,Clustering River Profiles to Classify Geomorphic Domains,Journal of Geophysical Research Earth Surface,,,2019-06,2019,124,6,1417-1439,Closed,Article,"Clubb, Fiona J.; Bookhagen, Bodo; Rheinwalt, Aljoscha",,"Clubb, Fiona J. (University of Potsdam); Bookhagen, Bodo (University of Potsdam); Rheinwalt, Aljoscha (University of Potsdam)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113858618,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
8,100,pub.1115985220,10.5194/esurf-7-475-2019,,,Determining the optimal grid resolution for topographic analysis on an airborne lidar dataset,Earth Surface Dynamics,,,2019-05-29,2019,7,2,475-489,All OA; Gold,Article,"Smith, Taylor; Rheinwalt, Aljoscha; Bookhagen, Bodo",,"Smith, Taylor (); Rheinwalt, Aljoscha (); Bookhagen, Bodo ()",1,1,,,https://www.earth-surf-dynam.net/7/475/2019/esurf-7-475-2019.pdf,https://app.dimensions.ai/details/publication/pub.1115985220,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
9,100,pub.1113881077,10.1029/2018gc008065,,,Enhanced Himalayan Glacial Melting During YD and H1 Recorded in the Northern Bay of Bengal,Geochemistry Geophysics Geosystems,,,2019-05-29,2019,20,5,2449-2461,Closed,Article,"Weldeab, Syee; Rühlemann, Carsten; Bookhagen, Bodo; Pausata, Francesco S. R.; Perez‐Lua, Fabiola M.",,"Weldeab, Syee (University of California, Santa Barbara); Rühlemann, Carsten (Federal Institute For Geosciences and Natural Resources); Bookhagen, Bodo (University of Potsdam; University of California, Santa Barbara); Pausata, Francesco S. R. (University of Quebec at Montreal); Perez‐Lua, Fabiola M. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113881077,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0401 Atmospheric Sciences,
