,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Brooke Kelsey Jack. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1105968991,10.1073/pnas.1802868115,30072433,PMC6431215,Self-selection into payments for ecosystem services programs,Proceedings of the National Academy of Sciences,,Conservation of Natural Resources; Cost-Benefit Analysis; Ecosystem; Forests; Humans; Malawi; Randomized Controlled Trials as Topic; Uganda,2019-03-19,2019,116,12,201802868,All OA; Gold,Article,"Jack, B. Kelsey; Jayachandran, Seema",,"Jack, B. Kelsey (Tufts University; National Bureau of Economic Research); Jayachandran, Seema (National Bureau of Economic Research; Northwestern University)",1,1,,,https://www.pnas.org/content/pnas/116/12/5326.full.pdf,https://app.dimensions.ai/details/publication/pub.1105968991,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
2,100,pub.1112527293,10.1162/rest_a_00823,,,Technology Adoption Under Uncertainty: Take-Up and Subsequent Investment in Zambia,Review of Economics and Statistics,,,2019-03-04,2019,,,1-42,"All OA; Green, Published",Article,"Oliva, Paulina; Jack, B. Kelsey; Bell, Samuel; Mettetal, Elizabeth; Severen, Christopher",,"Oliva, Paulina (University of Southern California); Jack, B. Kelsey (); Bell, Samuel (Oregon State University); Mettetal, Elizabeth (); Severen, Christopher ()",1,1,,,http://www.nber.org/papers/w21414.pdf,https://app.dimensions.ai/details/publication/pub.1112527293,1403 Econometrics; 1402 Applied Economics; 14 Economics,1403 Econometrics,1402 Applied Economics,14 Economics,,
3,100,pub.1092830919,10.1016/j.jdeveco.2017.11.002,,,Productivity in piece-rate labor markets: Evidence from rural Malawi,Journal of Development Economics,,,2018-03,2018,131,,42-61,Closed,Article,"Guiteras, Raymond P.; Jack, B. Kelsey",,"Guiteras, Raymond P. (); Jack, B. Kelsey ()",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092830919,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
4,200,pub.1091421073,10.1016/j.jeem.2017.08.007,,,Environmental economics in developing countries: An introduction to the special issue,Journal of Environmental Economics and Management,,,2017-11,2017,86,,1-7,Closed,Article,"Jack, B. Kelsey","Jack, B. Kelsey","Jack, B. Kelsey (Tufts University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1091421073,14 Economics; 1401 Economic Theory; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,1401 Economic Theory,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management
5,100,pub.1085051006,10.1016/j.landusepol.2016.03.028,,,The leakage and livelihood impacts of PES contracts: A targeting experiment in Malawi,Land Use Policy,,,2017-04,2017,63,,645-658,Closed,Article,"Jack, B. Kelsey; Santos, Elsa Cardona","Jack, B. Kelsey","Jack, B. Kelsey (Tufts University; National Bureau of Economic Research); Santos, Elsa Cardona (University of Bonn)",5,3,,5.31,,https://app.dimensions.ai/details/publication/pub.1085051006,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
6,100,pub.1101594091,10.2139/ssrn.3127092,,,Environmental Externalities and Free-Riding in the Household,SSRN Electronic Journal,,,2017,2017,,,,"All OA; Green, Accepted & Submitted",Preprint,"Jack, B. Kelsey; Jayachandran, Seema; Rao, Sarojini",,"Jack, B. Kelsey (); Jayachandran, Seema (); Rao, Sarojini (University of Chicago)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1101594091,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
7,200,pub.1064528188,10.1257/aer.p20151096,,,Pay as You Go: Prepaid Metering and Electricity Expenditures in South Africa,American Economic Review,,,2015-05,2015,105,5,237-241,"All OA; Green, Accepted & Submitted",Article,"Jack, B. Kelsey; Smith, Grant",,"Jack, B. Kelsey (); Smith, Grant ()",8,4,,,https://www.aeaweb.org/aer/app/10505/P2015_1096_app.pdf,https://app.dimensions.ai/details/publication/pub.1064528188,"14 Economics; 15 Commerce, Management, Tourism and Services",14 Economics,"15 Commerce, Management, Tourism and Services",,,
8,200,pub.1064529591,10.1257/jel.53.1.5,,,Envirodevonomics: A Research Agenda for an Emerging Field,Journal of Economic Literature,,,2015-03,2015,53,1,5-42,Closed,Article,"Greenstone, Michael; Jack, B. Kelsey",,"Greenstone, Michael (); Jack, B. Kelsey ()",42,23,,,,https://app.dimensions.ai/details/publication/pub.1064529591,14 Economics,14 Economics,,,,
9,100,pub.1039370005,10.1016/j.jpubeco.2014.10.003,,,Leadership and the voluntary provision of public goods: Field evidence from Bolivia,Journal of Public Economics,,,2015-02,2015,122,J. Public Econ. Theory 8 1 2006,80-93,All OA; Gold,Article,"Jack, B. Kelsey; Recalde, María P.","Jack, B. Kelsey","Jack, B. Kelsey (Tufts University); Recalde, María P. (International Food Policy Research Institute)",34,16,,22.34,https://doi.org/10.1016/j.jpubeco.2014.10.003,https://app.dimensions.ai/details/publication/pub.1039370005,1403 Econometrics; 1402 Applied Economics; 1401 Economic Theory; 14 Economics,1403 Econometrics,1402 Applied Economics,1401 Economic Theory,14 Economics,
