,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Bruce Haynes Tiffney. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1110972578,10.2478/acpa-2018-0008,,,"Two new species of Symplocos based on endocarps from the early Miocene Brandon Lignite of Vermont, USA",Acta Palaeobotanica,,,2018-12-01,2018,58,2,185-198,All OA; Gold,Article,"Tiffney, Bruce H.; Manchester, Steven R.; Fritsch, Peter W.",,"Tiffney, Bruce H. (University of California, Santa Barbara); Manchester, Steven R. (Florida Museum of Natural History); Fritsch, Peter W. (Botanical Research Institute of Texas)",0,0,,,https://content.sciendo.com/downloadpdf/journals/acpa/58/2/article-p185.pdf,https://app.dimensions.ai/details/publication/pub.1110972578,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1099654571,10.1007/978-3-319-69099-5_3,,,The Fossil History of Quercus,Tree Physiology,Oaks Physiological Ecology. Exploring the Functional Diversity of Genus Quercus L.,,2017,2017,7,,39-105,Closed,Chapter,"Barrón, Eduardo; Averyanova, Anna; Kvaček, Zlatko; Momohara, Arata; Pigg, Kathleen B.; Popova, Svetlana; Postigo-Mijarra, José María; Tiffney, Bruce H.; Utescher, Torsten; Zhou, Zhe Kun","Barrón, Eduardo","Barrón, Eduardo (Geological and Mining Institute of Spain); Averyanova, Anna (Botanical Institute VL Komarova); Kvaček, Zlatko (Charles University); Momohara, Arata (Chiba University); Pigg, Kathleen B. (Arizona State University); Popova, Svetlana (Botanical Institute VL Komarova); Postigo-Mijarra, José María (Technical University of Madrid); Tiffney, Bruce H. (University of California, Santa Barbara); Utescher, Torsten (Senckenberg Nature Research Society; University of Bonn); Zhou, Zhe Kun (Xishuangbanna Tropical Botanical Garden)",2,2,,0.77,,https://app.dimensions.ai/details/publication/pub.1099654571,0602 Ecology; 04 Earth Sciences; 0403 Geology; 06 Biological Sciences,0602 Ecology,04 Earth Sciences,0403 Geology,06 Biological Sciences,
3,200,pub.1046447783,10.1093/biosci/biv058,,,Seeds (and Fruits): Underwriting the Diversity of Terrestrial Life,BioScience,,,2015-06-01,2015,65,6,626-627,All OA; Gold,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. (University of California, Santa Barbara)",0,0,,,https://academic.oup.com/bioscience/article-pdf/65/6/626/865213/biv058.pdf,https://app.dimensions.ai/details/publication/pub.1046447783,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
4,100,pub.1042251700,10.1017/jpa.2014.11,,,A mid-Oligocene (Whitneyan) rhinocerotid from northeastern California,Journal of Paleontology,,,2015-01,2015,89,1,135-139,Closed,Article,"Bright, Jen A.; Tiffney, Bruce H.; Wyss, Andr R.",,"Bright, Jen A. (University of California, Santa Barbara); Tiffney, Bruce H. (University of California, Santa Barbara); Wyss, Andr R. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1042251700,04 Earth Sciences; 0403 Geology; 06 Biological Sciences; 0603 Evolutionary Biology,04 Earth Sciences,0403 Geology,06 Biological Sciences,0603 Evolutionary Biology,
5,100,pub.1068115109,10.1600/036364412x648724,,,Fruits of an Old World tribe (Phytocreneae; Icacinaceae) from the Paleogene of North and South America,Systematic Botany,,,2012-09-01,2012,37,3,784-794,Closed,Article,"Stull, Gregory W.; Herrera, Fabiany; Manchester, Steven R.; Jaramillo, Carlos; Tiffney, Bruce H.",,"Stull, Gregory W. (University of Florida); Herrera, Fabiany (University of Florida); Manchester, Steven R. (University of Florida); Jaramillo, Carlos (); Tiffney, Bruce H. (University of California, Santa Barbara)",14,6,,2.61,,https://app.dimensions.ai/details/publication/pub.1068115109,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
6,100,pub.1116007232,10.24524/jjpal.58.special_225,,,498 Biogeography and fossil history of the tropical angiosperm family Icacinaceae,日本花粉学会会誌,,,2012-08,2012,58,Special,225,Closed,Article,"Stull, Gregory W.; Manchester, Steven R.; Tiffney, Bruce H.",,"Stull, Gregory W. (University of Florida); Manchester, Steven R. (University of Florida); Tiffney, Bruce H. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116007232,,,,,,
7,100,pub.1041067261,10.1111/j.1095-8339.2012.01217.x,,,Fossil floral and fruit evidence for the evolution of unusual developmental characters in Fagales,Botanical Journal of the Linnean Society,,,2012-04,2012,168,4,353-376,All OA; Gold,Article,"TAYLOR, DAVID WINSHIP; HU, SHUSHENG; TIFFNEY, BRUCE H.",,"TAYLOR, DAVID WINSHIP (Indiana University Southeast); HU, SHUSHENG (Indiana University Southeast); TIFFNEY, BRUCE H. (University of California, Santa Barbara)",5,1,,0.93,https://academic.oup.com/botlinnean/article-pdf/168/4/353/14085847/j.1095-8339.2012.01217.x.pdf,https://app.dimensions.ai/details/publication/pub.1041067261,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
8,200,pub.1028188242,10.1525/bio.2009.59.8.19,,,The Encyclopedia of Fruits and Nuts,BioScience,,,2009-09,2009,59,8,716-716,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1028188242,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
9,100,pub.1028018834,10.3417/2006199,,,"Phylogeography, Fossils, and Northern Hemisphere Biogeography: The Role of Physiological Uniformitarianism1",Annals of the Missouri Botanical Garden,,,2008-03-11,2008,95,1,135-143,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. ()",47,8,,6.65,,https://app.dimensions.ai/details/publication/pub.1028018834,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
