,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Carol Anne Blanchette. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1113455682,10.1525/9780520962170-022,,,EIGHTEEN. Intertidal,,Ecosystems of California,,2019-12-31,2019,,,337-358,Closed,Chapter,"Blanchette, Carol A.; Denny, Mark W.; Engle, John M.; Helmuth, Brian; Miller, Luke P.; Nielsen, Karina J.; Smith, Jayson",,"Blanchette, Carol A. (); Denny, Mark W. (); Engle, John M. (); Helmuth, Brian (); Miller, Luke P. (); Nielsen, Karina J. (); Smith, Jayson ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113455682,,,,,,
2,100,pub.1110965127,10.3160/3850.1,,,Where the Weird Things are: A Collection of Species Range Extensions in the Southern California Bight,Bulletin Southern California Academy of Sciences,,,2018-12,2018,117,3,189-202,"All OA; Green, Accepted & Submitted",Article,"Williams, Jonathan P.; Williams, Chelsea M.; Blanchette, Carol A.; Claisse, JeremyT.; Pondella, Daniel J.; Caselle, Jennifer E.",,"Williams, Jonathan P. (Occidental College); Williams, Chelsea M. (Occidental College; California State Polytechnic University); Blanchette, Carol A. (University of California, Santa Barbara); Claisse, JeremyT. (Occidental College; California State Polytechnic University); Pondella, Daniel J. (Occidental College); Caselle, Jennifer E. (University of California, Santa Barbara)",2,2,,,https://scholar.oxy.edu/cgi/viewcontent.cgi?article=3850&context=scas,https://app.dimensions.ai/details/publication/pub.1110965127,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1104144294,10.1111/maec.12470,,,Citizen science monitoring of marine protected areas: Case studies and recommendations for integration into monitoring programs,Marine Ecology,,,2018-05,2018,39,,e12470,All OA; Gold,Article,"Freiwald, Jan; Meyer, Ryan; Caselle, Jennifer E.; Blanchette, Carol A.; Hovel, Kevin; Neilson, Doug; Dugan, Jenifer; Altstatt, Jessica; Nielsen, Karina; Bursek, Julie",,"Freiwald, Jan (Reef Check Foundation; University of California, Santa Cruz); Meyer, Ryan (University of California, Davis); Caselle, Jennifer E. (University of California, Santa Barbara); Blanchette, Carol A. (University of California, Santa Barbara); Hovel, Kevin (San Diego State University); Neilson, Doug (San Diego State University); Dugan, Jenifer (University of California, Santa Barbara); Altstatt, Jessica (University of California, Santa Barbara); Nielsen, Karina (San Francisco State University); Bursek, Julie ()",5,5,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/maec.12470,https://app.dimensions.ai/details/publication/pub.1104144294,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,100,pub.1104143673,10.1111/maec.12453,,,Biogeographic patterns of communities across diverse marine ecosystems in southern California,Marine Ecology,,,2018-05,2018,39,,e12453,All OA; Gold,Article,"Claisse, Jeremy T.; Blanchette, Carol A.; Dugan, Jenifer E.; Williams, Jonathan P.; Freiwald, Jan; Pondella, Daniel J.; Schooler, Nicholas K.; Hubbard, David M.; Davis, Kathryn; Zahn, Laurel A.; Williams, Chelsea M.; Caselle, Jennifer E.",,"Claisse, Jeremy T. (California State Polytechnic University; Occidental College); Blanchette, Carol A. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Williams, Jonathan P. (Occidental College); Freiwald, Jan (Reef Check Foundation; University of California, Santa Cruz); Pondella, Daniel J. (Occidental College); Schooler, Nicholas K. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Davis, Kathryn (University of California, Santa Barbara); Zahn, Laurel A. (Occidental College); Williams, Chelsea M. (California State Polytechnic University; Occidental College); Caselle, Jennifer E. (University of California, Santa Barbara)",3,3,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/maec.12453,https://app.dimensions.ai/details/publication/pub.1104143673,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,500,pub.1101635916,10.1371/journal.pone.0192870,29558484,PMC5860697,Large-scale impacts of sea star wasting disease (SSWD) on intertidal sea stars and implications for recovery,PLoS ONE,,Alaska; Animal Diseases; Animals; Population Dynamics; Starfish,2018-03-20,2018,13,3,e0192870,All OA; Gold,Article,"Miner, C. Melissa; Burnaford, Jennifer L.; Ambrose, Richard F.; Antrim, Liam; Bohlmann, Heath; Blanchette, Carol A.; Engle, John M.; Fradkin, Steven C.; Gaddam, Rani; Harley, Christopher D. G.; Miner, Benjamin G.; Murray, Steven N.; Smith, Jayson R.; Whitaker, Stephen G.; Raimondi, Peter T.",,"Miner, C. Melissa (University of California, Santa Cruz); Burnaford, Jennifer L. (California State University, Fullerton); Ambrose, Richard F. (University of California Los Angeles); Antrim, Liam (); Bohlmann, Heath (); Blanchette, Carol A. (University of California, Santa Barbara); Engle, John M. (University of California, Santa Barbara); Fradkin, Steven C. (); Gaddam, Rani (University of California, Santa Cruz); Harley, Christopher D. G. (University of British Columbia); Miner, Benjamin G. (Western Washington University); Murray, Steven N. (California State University, Fullerton); Smith, Jayson R. (California State Polytechnic University); Whitaker, Stephen G. (); Raimondi, Peter T. (University of California, Santa Cruz)",16,16,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0192870&type=printable,https://app.dimensions.ai/details/publication/pub.1101635916,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
6,500,pub.1085634151,10.1038/s41598-017-02777-y,28566727,PMC5451383,Persistent spatial structuring of coastal ocean acidification in the California Current System,Scientific Reports,,,2017-12,2017,7,1,2526,All OA; Gold,Article,"Chan, F.; Barth, J. A.; Blanchette, C. A.; Byrne, R. H.; Chavez, F.; Cheriton, O.; Feely, R. A.; Friederich, G.; Gaylord, B.; Gouhier, T.; Hacker, S.; Hill, T.; Hofmann, G.; McManus, M. A.; Menge, B. A.; Nielsen, K. J.; Russell, A.; Sanford, E.; Sevadjian, J.; Washburn, L.","Chan, F.","Chan, F. (Oregon State University); Barth, J. A. (Oregon State University); Blanchette, C. A. (University of California, Santa Barbara); Byrne, R. H. (University of South Florida); Chavez, F. (Monterey Bay Aquarium Research Institute); Cheriton, O. (); Feely, R. A. (Pacific Marine Environmental Laboratory); Friederich, G. (Monterey Bay Aquarium Research Institute); Gaylord, B. (University of California, Davis); Gouhier, T. (Northeastern University); Hacker, S. (Oregon State University); Hill, T. (University of California, Davis); Hofmann, G. (University of California, Santa Barbara); McManus, M. A. (University of Hawaii at Manoa); Menge, B. A. (Oregon State University); Nielsen, K. J. (San Francisco State University); Russell, A. (University of California, Davis); Sanford, E. (University of California, Davis); Sevadjian, J. (Monterey Bay Aquarium Research Institute); Washburn, L. (University of California, Santa Barbara)",35,34,3.09,13.63,https://www.nature.com/articles/s41598-017-02777-y.pdf,https://app.dimensions.ai/details/publication/pub.1085634151,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,100,pub.1028272325,10.1016/j.quaint.2015.10.018,,,Reconsidering evidence of human impacts: Implications of within-site variation of growth rates in Mytilus californianus along tidal gradients,Quaternary International,,,2017-01,2017,427,,151-159,Closed,Article,"Thakar, H.B.; Glassow, Michael A.; Blanchette, Carol","Thakar, H.B.","Thakar, H.B. (Temple University); Glassow, Michael A. (University of California, Santa Barbara); Blanchette, Carol ()",5,3,,2.25,,https://app.dimensions.ai/details/publication/pub.1028272325,2101 Archaeology; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,2101 Archaeology,0406 Physical Geography and Environmental Geoscience,0403 Geology,21 History and Archaeology,04 Earth Sciences
8,100,pub.1018993013,10.1016/j.quaint.2016.08.031,,,The forest and the trees: Small-scale ecological variability and archaeological interpretations of temporal changes in California mussel shell size,Quaternary International,,,2017-01,2017,427,,246-249,Closed,Article,"Thakar, Heather B.; Glassow, Michael A.; Blanchette, Carol A.","Thakar, Heather B.","Thakar, Heather B. (Texas A&M University); Glassow, Michael A. (University of California, Santa Barbara); Blanchette, Carol A. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1018993013,2101 Archaeology; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,2101 Archaeology,0406 Physical Geography and Environmental Geoscience,0403 Geology,21 History and Archaeology,04 Earth Sciences
9,100,pub.1030390709,10.1016/j.ecoinf.2016.08.005,,,Beyond the benchtop and the benthos: Dataset management planning and design for time series of ocean carbonate chemistry associated with Durafet®-based pH sensors,Ecological Informatics,,,2016-11,2016,36,Cont. Shelf Res. 45 2012,209-220,All OA; Gold,Article,"Rivest, Emily B.; O'Brien, Margaret; Kapsenberg, Lydia; Gotschalk, Chris C.; Blanchette, Carol A.; Hoshijima, Umihiko; Hofmann, Gretchen E.","Rivest, Emily B.","Rivest, Emily B. (University of California, Santa Barbara; William & Mary); O'Brien, Margaret (University of California, Santa Barbara); Kapsenberg, Lydia (University of California, Santa Barbara); Gotschalk, Chris C. (University of California, Santa Barbara); Blanchette, Carol A. (University of California, Santa Barbara); Hoshijima, Umihiko (University of California, Santa Barbara); Hofmann, Gretchen E. (University of California, Santa Barbara)",11,9,,6.32,https://doi.org/10.1016/j.ecoinf.2016.08.005,https://app.dimensions.ai/details/publication/pub.1030390709,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
