,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Chen Ji. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1107035186,10.1029/2017jb014899,,,"Was the 9 October 1995 Mw 8 Jalisco, Mexico, Earthquake a Near‐Trench Event?",Journal of Geophysical Research Solid Earth,,,2018-10,2018,123,10,8907-8925,Closed,Article,"Hjörleifsdóttir, Vala; Sánchez‐Reyes, H. S.; Ruiz‐Angulo, Angel; Ramírez‐Herrera, Maria Teresa; Castillo‐Aja, Rocio; Singh, Shri Krishna; Ji, Chen",,"Hjörleifsdóttir, Vala (National Autonomous University of Mexico); Sánchez‐Reyes, H. S. (French National Centre for Scientific Research); Ruiz‐Angulo, Angel (National Autonomous University of Mexico); Ramírez‐Herrera, Maria Teresa (National Autonomous University of Mexico); Castillo‐Aja, Rocio (National Autonomous University of Mexico); Singh, Shri Krishna (National Autonomous University of Mexico); Ji, Chen (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1107035186,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
2,100,pub.1105177675,10.1038/s41561-018-0183-8,,,Author Correction: Earthquake nucleation and fault slip complexity in the lower crust of central Alaska,Nature Geoscience,,,2018-08,2018,11,8,615-615,All OA; Gold,Article,"Tape, Carl; Holtkamp, Stephen; Silwal, Vipul; Hawthorne, Jessica; Kaneko, Yoshihiro; Ampuero, Jean Paul; Ji, Chen; Ruppert, Natalia; Smith, Kyle; West, Michael E.","Tape, Carl","Tape, Carl (University of Alaska Fairbanks); Holtkamp, Stephen (University of Alaska Fairbanks); Silwal, Vipul (University of Alaska Fairbanks); Hawthorne, Jessica (University of Oxford); Kaneko, Yoshihiro (GNS Science); Ampuero, Jean Paul (California Institute of Technology; French National Centre for Scientific Research); Ji, Chen (University of California, Santa Barbara); Ruppert, Natalia (University of Alaska Fairbanks); Smith, Kyle (University of Alaska Fairbanks); West, Michael E. (University of Alaska Fairbanks)",0,0,,,https://www.nature.com/articles/s41561-018-0183-8.pdf,https://app.dimensions.ai/details/publication/pub.1105177675,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
3,100,pub.1104356848,10.1038/s41561-018-0144-2,,,Earthquake nucleation and fault slip complexity in the lower crust of central Alaska,Nature Geoscience,,,2018-07,2018,11,7,536-541,"All OA; Green, Accepted & Submitted",Article,"Tape, Carl; Holtkamp, Stephen; Silwal, Vipul; Hawthorne, Jessica; Kaneko, Yoshihiro; Ampuero, Jean Paul; Ji, Chen; Ruppert, Natalia; Smith, Kyle; West, Michael E.","Tape, Carl","Tape, Carl (University of Alaska Fairbanks); Holtkamp, Stephen (University of Alaska Fairbanks); Silwal, Vipul (University of Alaska Fairbanks); Hawthorne, Jessica (University of Oxford); Kaneko, Yoshihiro (GNS Science); Ampuero, Jean Paul (California Institute of Technology; French National Centre for Scientific Research); Ji, Chen (University of California, Santa Barbara); Ruppert, Natalia (University of Alaska Fairbanks); Smith, Kyle (University of Alaska Fairbanks); West, Michael E. (University of Alaska Fairbanks)",15,15,,,https://authors.library.caltech.edu/85647/3/41561_2018_144_MOESM1_ESM.pdf,https://app.dimensions.ai/details/publication/pub.1104356848,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
4,100,pub.1068472313,10.1785/0220160050,,,Efficient Inversions for Earthquake Slip Distributions in 3D Structures,Seismological Research Letters,,,2016-11,2016,87,6,1342-1354,Closed,Article,"Hsieh, Ming‐Che; Zhao, Li; Ji, Chen; Ma, Kuo‐Fong",,"Hsieh, Ming‐Che (National Central University); Zhao, Li (Academia Sinica); Ji, Chen (University of California, Santa Barbara); Ma, Kuo‐Fong (National Central University)",6,5,,1.81,,https://app.dimensions.ai/details/publication/pub.1068472313,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
5,100,pub.1007412950,10.1785/0120150055,,,"Transtensional Tectonics of the Minto Flats Fault Zone and Nenana Basin, Central AlaskaTranstensional Tectonics of the Minto Flats Fault Zone and Nenana Basin, Central Alaska",Bulletin of the Seismological Society of America,,,2015-08,2015,105,4,2081-2100,Closed,Article,"Tape, Carl; Silwal, Vipul; Ji, Chen; Keyson, Laura; West, Michael E.; Ruppert, Natalia",,"Tape, Carl (University of Alaska System); Silwal, Vipul (University of Alaska System); Ji, Chen (University of California, Santa Barbara); Keyson, Laura (University of Alaska System); West, Michael E. (University of Alaska System); Ruppert, Natalia (University of Alaska System)",8,4,,1.79,,https://app.dimensions.ai/details/publication/pub.1007412950,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
6,100,pub.1039389575,10.1785/0120110339,,,Rapid Estimation of Damage to Tall Buildings Using Near Real‐Time Earthquake and Archived Structural SimulationsRapid Estimation of Damage to Tall Buildings Using Near Real‐Time Earthquake Simulations,Bulletin of the Seismological Society of America,,,2012-12-01,2012,102,6,2646-2666,"All OA; Green, Accepted & Submitted",Article,"Krishnan, Swaminathan; Casarotti, Emanuele; Goltz, Jim; Ji, Chen; Komatitsch, Dimitri; Mourhatch, Ramses; Muto, Matthew; Shaw, John H.; Tape, Carl; Tromp, Jeroen",,"Krishnan, Swaminathan (California Institute of Technology); Casarotti, Emanuele (National Institute of Geophysics and Volcanology); Goltz, Jim (); Ji, Chen (University of California, Santa Barbara); Komatitsch, Dimitri (Aix-Marseille University); Mourhatch, Ramses (California Institute of Technology); Muto, Matthew (Edison International (United States)); Shaw, John H. (Harvard University); Tape, Carl (University of Alaska Fairbanks); Tromp, Jeroen (Princeton University)",3,1,,0.91,https://authors.library.caltech.edu/36152/1/2646.full.pdf,https://app.dimensions.ai/details/publication/pub.1039389575,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
7,100,pub.1025795139,10.1016/j.tecto.2012.09.024,,,"Surface ruptures on the transverse Xiaoyudong fault: A significant segment boundary breached during the 2008 Wenchuan earthquake, China",Tectonophysics,,,2012-12,2012,580,,218-241,Closed,Article,"Liu-Zeng, Jing; Sun, Jing; Wang, Peng; Hudnut, Kenneth W.; Ji, Chen; Zhang, Zhihui; Xu, Qiang; Wen, Li","Liu-Zeng, Jing","Liu-Zeng, Jing (Institute of Tibetan Plateau Research; China Earthquake Administration); Sun, Jing (Institute of Tibetan Plateau Research); Wang, Peng (Institute of Tibetan Plateau Research); Hudnut, Kenneth W. (United States Geological Survey); Ji, Chen (University of California, Santa Barbara); Zhang, Zhihui (Institute of Tibetan Plateau Research); Xu, Qiang (Institute of Tibetan Plateau Research); Wen, Li (Institute of Tibetan Plateau Research)",14,7,,2.34,,https://app.dimensions.ai/details/publication/pub.1025795139,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,200,pub.1008600323,10.1785/0120100172,,,"Introduction to the Special Issue on the 2008 Wenchuan, China, EarthquakeIntroduction to the Special Issue on the 2008 Wenchuan, China, Earthquake",Bulletin of the Seismological Society of America,,,2010-11-01,2010,100,5B,2353-2356,"All OA; Green, Accepted & Submitted",Article,"Klinger, Y.; Ji, C.; Shen, Z.-K.; Bakun, W. H.",,"Klinger, Y. (French National Centre for Scientific Research); Ji, C. (University of California, Santa Barbara); Shen, Z.-K. (University of California Los Angeles); Bakun, W. H. (United States Geological Survey)",13,1,,2.5,https://hal-insu.archives-ouvertes.fr/insu-01302827/file/bssa2010-100-2353-klinger.pdf,https://app.dimensions.ai/details/publication/pub.1008600323,0905 Civil Engineering; 09 Engineering; 04 Earth Sciences; 0404 Geophysics,0905 Civil Engineering,09 Engineering,04 Earth Sciences,0404 Geophysics,
9,100,pub.1003276014,10.1016/j.epsl.2009.07.017,,,"Co-seismic ruptures of the 12 May 2008, M s 8.0 Wenchuan earthquake, Sichuan: East–west crustal shortening on oblique, parallel thrusts along the eastern edge of Tibet",Earth and Planetary Science Letters,,,2009-09,2009,286,3-4,355-370,Closed,Article,"Liu-Zeng, J.; Zhang, Z.; Wen, L.; Tapponnier, P.; Sun, J.; Xing, X.; Hu, G.; Xu, Q.; Zeng, L.; Ding, L.; Ji, C.; Hudnut, K.W.; van der Woerd, J.","Liu-Zeng, J.","Liu-Zeng, J. (Institute of Tibetan Plateau Research); Zhang, Z. (Institute of Tibetan Plateau Research); Wen, L. (Institute of Tibetan Plateau Research); Tapponnier, P. (Institute of Earth Physics of Paris); Sun, J. (Institute of Tibetan Plateau Research); Xing, X. (Institute of Tibetan Plateau Research); Hu, G. (Chinese Academy of Sciences); Xu, Q. (Institute of Tibetan Plateau Research); Zeng, L. (Chinese Academy of Sciences); Ding, L. (Institute of Tibetan Plateau Research); Ji, C. (University of California, Santa Barbara); Hudnut, K.W. (United States Geological Survey); van der Woerd, J. (Institute of Earth Physics of Paris)",198,41,,31.32,,https://app.dimensions.ai/details/publication/pub.1003276014,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
10,400,pub.1013341956,10.1038/nature07572,19052626,,Partial rupture of a locked patch of the Sumatra megathrust during the 2007 earthquake sequence,Nature,,,2008-12,2008,456,7222,631-635,"All OA; Green, Accepted & Submitted",Article,"Konca, A. Ozgun; Avouac, Jean-Philippe; Sladen, Anthony; Meltzner, Aron J.; Sieh, Kerry; Fang, Peng; Li, Zhenhong; Galetzka, John; Genrich, Jeff; Chlieh, Mohamed; Natawidjaja, Danny H.; Bock, Yehuda; Fielding, Eric J.; Ji, Chen; Helmberger, Don V.","Avouac, Jean-Philippe","Konca, A. Ozgun (California Institute of Technology); Avouac, Jean-Philippe (California Institute of Technology); Sladen, Anthony (California Institute of Technology); Meltzner, Aron J. (California Institute of Technology); Sieh, Kerry (California Institute of Technology; Nanyang Technological University); Fang, Peng (University of California, San Diego); Li, Zhenhong (University of Glasgow); Galetzka, John (California Institute of Technology); Genrich, Jeff (California Institute of Technology); Chlieh, Mohamed (); Natawidjaja, Danny H. (California Institute of Technology); Bock, Yehuda (University of California, San Diego); Fielding, Eric J. (California Institute of Technology); Ji, Chen (University of California, Santa Barbara); Helmberger, Don V. (California Institute of Technology)",210,33,0.13,24.42,https://authors.library.caltech.edu/12535/2/KONnat08supp.pdf,https://app.dimensions.ai/details/publication/pub.1013341956,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
