,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Claudia M Tyler. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1111761074,10.1002/ecs2.2570,,,Demography of evergreen and deciduous oaks in a mixed oak savanna: insights from a long‐term experiment,Ecosphere,,,2019-01,2019,10,1,e02570,All OA; Gold,Article,"Davis, Frank W.; Tyler, Claudia M.; Mahall, Bruce E.",,"Davis, Frank W. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",2,2,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2570,https://app.dimensions.ai/details/publication/pub.1111761074,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1037425644,10.1016/j.rama.2016.10.003,,,Livestock Exclusion Impacts on Oak Savanna HabitatsDifferential Responses of Understory and Open Habitats,Rangeland Ecology & Management,,,2017-05,2017,70,3,316-323,Closed,Article,"Stahlheber, Karen A.; D'Antonio, Carla M.; Tyler, Claudia M.",,"Stahlheber, Karen A. (University of California, Santa Barbara); D'Antonio, Carla M. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara)",1,1,,0.37,,https://app.dimensions.ai/details/publication/pub.1037425644,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
3,100,pub.1030218838,10.1890/es11-00187.1,,,Consumer control of oak demography in a Mediterranean‐climate savanna,Ecosphere,,,2011-10,2011,2,10,1-21,All OA; Gold,Article,"Davis, Frank W.; Tyler, Claudia M.; Mahall, Bruce E.",,"Davis, Frank W. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",15,4,,1.58,https://doi.org/10.1890/es11-00187.1,https://app.dimensions.ai/details/publication/pub.1030218838,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,100,pub.1042226298,10.3398/064.070.0405,,,Desiccation Sensitivity and Heat Tolerance of Prunus ilicifolia Seeds Dispersed by American Black Bears (Ursus americanus),Western North American Naturalist,,,2011-01,2011,70,4,457-466,Closed,Article,"Borchert, Mark; Tyler, Claudia M.",,"Borchert, Mark (); Tyler, Claudia M. (University of California, Santa Barbara)",3,0,,0.5,,https://app.dimensions.ai/details/publication/pub.1042226298,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
5,100,pub.1072532863,10.4996/fireecology.0603136,,,Acorn Dispersal of California Black Oak after a Stand-Replacing Fire,Fire Ecology,,,2010-12,2010,6,3,136-141,All OA; Gold,Article,"Borchert, Mark I.; Tyler, Claudia M.","Borchert, Mark I.","Borchert, Mark I. (); Tyler, Claudia M. (University of California, Santa Barbara)",3,1,,0.34,https://doi.org/10.4996/fireecology.0603136,https://app.dimensions.ai/details/publication/pub.1072532863,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
6,100,pub.1011698823,10.1016/j.flora.2009.12.011,,,A quantitative comparison of two extremes in chaparral shrub phenology,Flora,,,2010-01,2010,205,8,513-526,Closed,Article,"Mahall, Bruce E.; Thwing, Lisa K.; Tyler, Claudia M.","Mahall, Bruce E.","Mahall, Bruce E. (University of California, Santa Barbara); Thwing, Lisa K. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara)",10,4,,1.54,,https://app.dimensions.ai/details/publication/pub.1011698823,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
7,400,pub.1049155523,10.3732/ajb.0800247,21628230,,"A comparative study of oak (Quercus, Fagaceae) seedling physiology during summer drought in southern California",American Journal of Botany,,,2009-04,2009,96,4,751-761,All OA; Gold,Article,"Mahall, Bruce E.; Tyler, Claudia M.; Cole, E. Shelly; Mata, Catarina",,"Mahall, Bruce E. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Cole, E. Shelly (University of California, Berkeley); Mata, Catarina (Borough of Manhattan Community College)",26,3,0.26,3.86,https://onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.0800247,https://app.dimensions.ai/details/publication/pub.1049155523,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
8,100,pub.1025015935,10.1071/wf08039,,,Patterns of post-fire flowering and fruiting in Chlorogalum pomeridianum var. pomeridianum (DC.) Kunth in southern California chaparral,International Journal of Wildland Fire,,,2009,2009,18,5,623-630,Closed,Article,"Borchert, Mark; Tyler, Claudia M.",,"Borchert, Mark (); Tyler, Claudia M. (University of California, Santa Barbara)",7,1,,1.04,,https://app.dimensions.ai/details/publication/pub.1025015935,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
9,100,pub.1036642164,10.1016/j.foreco.2008.01.073,,,The relative importance of factors affecting age-specific seedling survival of two co-occurring oak species in southern California,Forest Ecology and Management,,,2008-04,2008,255,7,3063-3074,Closed,Article,"Tyler, Claudia M.; Davis, Frank W.; Mahall, Bruce E.","Tyler, Claudia M.","Tyler, Claudia M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",34,7,,2.93,,https://app.dimensions.ai/details/publication/pub.1036642164,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
