,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Daniel C Reed. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1115171191,10.1111/gcb.14706,31119829,,Climate and fishing drive regime shifts in consumer‐mediated nutrient cycling in kelp forests,Global Change Biology,,Animals; California; Ecosystem; Food Chain; Forests; Humans; Kelp; Nutrients,2019-09,2019,25,9,3179-3192,Closed,Article,"Peters, Joseph R.; Reed, Daniel C.; Burkepile, Deron E.",,"Peters, Joseph R. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Burkepile, Deron E. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1115171191,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences
2,500,pub.1114171615,10.1002/ecy.2719,31081945,,Species insurance trumps spatial insurance in stabilizing biomass of a marine macroalgal metacommunity,Ecology,,,2019-07,2019,100,7,e02719,Closed,Article,"Lamy, Thomas; Wang, Shaopeng; Renard, Delphine; Lafferty, Kevin D.; Reed, Daniel C.; Miller, Robert J.",,"Lamy, Thomas (University of California, Santa Barbara); Wang, Shaopeng (Peking University); Renard, Delphine (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1114171615,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1113901040,10.3897/natureconservation.34.30209,,,Comparison of biological and ecological long-term trends related to northern hemisphere climate in different marine ecosystems,Nature Conservation,,,2019-05-03,2019,34,,311-341,All OA; Gold,Article,"Kröncke, Ingrid; Neumann, Hermann; Dippner, Joachim W.; Holbrook, Sally; Lamy, Thomas; Miller, Robert; Padedda, Bachisio Mario; Pulina, Silvia; Reed, Daniel C.; Reinikainen, Marko; Satta, Cecilia T.; Sechi, Nicola; Soltwedel, Thomas; Suikkanen, Sanna; Lugliè, Antonella",,"Kröncke, Ingrid (Senckenberg am Meer); Neumann, Hermann (Senckenberg am Meer); Dippner, Joachim W. (Leibniz Institute for Baltic Sea Research); Holbrook, Sally (University of California, Santa Barbara); Lamy, Thomas (University of California, Santa Barbara); Miller, Robert (University of California, Santa Barbara); Padedda, Bachisio Mario (University of Sassari); Pulina, Silvia (University of Sassari); Reed, Daniel C. (University of California, Santa Barbara); Reinikainen, Marko (University of Helsinki); Satta, Cecilia T. (University of Sassari); Sechi, Nicola (University of Sassari); Soltwedel, Thomas (Alfred Wegener Institute for Polar and Marine Research); Suikkanen, Sanna (Finnish Environment Institute); Lugliè, Antonella (University of Sassari)",1,1,,,https://natureconservation.pensoft.net/article/30209/download/pdf/,https://app.dimensions.ai/details/publication/pub.1113901040,0602 Ecology; 0405 Oceanography; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences
4,500,pub.1107897210,10.1002/ecy.2485,30376154,,Loss of foundation species: disturbance frequency outweighs severity in structuring kelp forest communities,Ecology,,Animals; Ecosystem; Forests; Invertebrates; Kelp; Macrocystis,2018-11,2018,99,11,2442-2454,Closed,Article,"Castorani, Max C. N.; Reed, Daniel C.; Miller, Robert J.",,"Castorani, Max C. N. (University of California, Santa Barbara; University of Virginia); Reed, Daniel C. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1107897210,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
5,500,pub.1105207077,10.1002/ecy.2440,29956835,,"Improved estimates of net primary production, growth, and standing crop of Macrocystis pyrifera in Southern California",Ecology,,Biomass; California; Ecosystem; Kelp; Macrocystis,2018-09,2018,99,9,2132-2132,Closed,Article,"Rassweiler, Andrew; Reed, Daniel C.; Harrer, Shannon L.; Nelson, J. Clint",,"Rassweiler, Andrew (Florida State University); Reed, Daniel C. (University of California, Santa Barbara); Harrer, Shannon L. (University of California, Santa Barbara); Nelson, J. Clint (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1105207077,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,100,pub.1106054761,10.1101/387282,,,Effects of Ocean Climate on Spatiotemporal Variation in Sea Urchin Settlement and Recruitment,bioRxiv,,,2018-08-08,2018,,,387282,"All OA; Green, Published",Preprint,"Okamoto, Daniel K.; Schroeter, Stephen; Reed, Daniel C.",,"Okamoto, Daniel K. (Florida State University; University of California, Santa Barbara); Schroeter, Stephen (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/08/08/387282.full.pdf,https://app.dimensions.ai/details/publication/pub.1106054761,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
7,100,pub.1104432159,10.1002/lol2.10088,,,Urea as a source of nitrogen to giant kelp (Macrocystis pyrifera),Limnology and Oceanography Letters,,,2018-08,2018,3,4,365-373,All OA; Gold,Article,"Smith, Jason M.; Brzezinski, Mark A.; Melack, John M.; Miller, Robert J.; Reed, Daniel C.",,"Smith, Jason M. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",3,3,,,https://doi.org/10.1002/lol2.10088,https://app.dimensions.ai/details/publication/pub.1104432159,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
8,500,pub.1101517713,10.1098/rspb.2017.2571,29540514,PMC5879622,"Giant kelp, Macrocystis pyrifera, increases faunal diversity through physical engineering",Proceedings of The Royal Society B Biological Sciences,,Animals; Biodiversity; Ecosystem; Fishes; Food Chain; Invertebrates; Macrocystis,2018-03-14,2018,285,1874,20172571,"All OA; Green, Published",Article,"Miller, Robert J.; Lafferty, Kevin D.; Lamy, Thomas; Kui, Li; Rassweiler, Andrew; Reed, Daniel C.",,"Miller, Robert J. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Lamy, Thomas (University of California, Santa Barbara); Kui, Li (University of California, Santa Barbara); Rassweiler, Andrew (Florida State University); Reed, Daniel C. (University of California, Santa Barbara)",15,15,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5879622,https://app.dimensions.ai/details/publication/pub.1101517713,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,500,pub.1092517052,10.1007/s00442-017-3994-1,29101467,,Scale-specific drivers of kelp forest communities,Oecologia,,Animals; Biodiversity; California; Ecosystem; Forests; Kelp,2018-01,2018,186,1,217-233,Closed,Article,"Lamy, Thomas; Reed, Daniel C.; Rassweiler, Andrew; Siegel, David A.; Kui, Li; Bell, Tom W.; Simons, Rachel D.; Miller, Robert J.","Lamy, Thomas","Lamy, Thomas (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara; Florida State University); Siegel, David A. (University of California, Santa Barbara); Kui, Li (University of California, Santa Barbara); Bell, Tom W. (University of California, Santa Barbara); Simons, Rachel D. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092517052,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
