,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Daniel R Montello. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1111901085,10.3389/fpsyg.2019.00142,30778315,PMC6369211,Wayfinding as a Social Activity,Frontiers in Psychology,,,2019-02-04,2019,10,,142,All OA; Gold,Article,"Dalton, Ruth C.; Hölscher, Christoph; Montello, Daniel R.",,"Dalton, Ruth C. (Northumbria University); Hölscher, Christoph (Swiss Federal Institute of Technology in Zurich); Montello, Daniel R. (University of California, Santa Barbara)",3,3,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2019.00142/pdf,https://app.dimensions.ai/details/publication/pub.1111901085,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
2,100,pub.1100913763,10.1080/13658816.2018.1436714,,,"The world, the computer, and the mind: how Andrew Frank helped make human language and cognition cornerstones of geographic information science",International Journal of Geographical Information Science,,,2018-12-02,2018,32,12,1-16,Closed,Article,"Montello, Daniel R.; Mark, David M.",,"Montello, Daniel R. (University of California, Santa Barbara); Mark, David M. (University at Buffalo, State University of New York)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1100913763,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
3,200,pub.1103764427,10.4337/9781784717544.00018,,,Cognitive perspectives on cartography and other geographic information visualizations,,Handbook of Behavioral and Cognitive Geography,,2018,2018,,,177-196,Closed,Chapter,"Montello, Daniel R.; Fabrikant, Sara Irina; Davies, Clare",,"Montello, Daniel R. (); Fabrikant, Sara Irina (); Davies, Clare ()",5,5,,,,https://app.dimensions.ai/details/publication/pub.1103764427,,,,,,
4,500,pub.1084253384,10.1186/s41235-017-0057-4,28367498,PMC5357662,How sense-of-direction and learning intentionality relate to spatial knowledge acquisition in the environment,Cognitive Research: Principles and Implications,,,2017-12,2017,2,1,18,All OA; Gold,Article,"Burte, Heather; Montello, Daniel R.","Burte, Heather","Burte, Heather (Tufts University); Montello, Daniel R. (University of California, Santa Barbara)",5,5,1.26,3.27,https://cognitiveresearchjournal.springeropen.com/track/pdf/10.1186/s41235-017-0057-4,https://app.dimensions.ai/details/publication/pub.1084253384,1702 Cognitive Sciences; 17 Psychology and Cognitive Sciences; 1701 Psychology,1702 Cognitive Sciences,17 Psychology and Cognitive Sciences,1701 Psychology,,
5,100,pub.1086371534,10.1016/j.polgeo.2017.06.005,,,Defining the community of interest as thematic and cognitive regions,Political Geography,,,2017-11,2017,61,,31-45,Closed,Article,"Phillips, Daniel W.; Montello, Daniel R.","Phillips, Daniel W.","Phillips, Daniel W. (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1086371534,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
6,100,pub.1013709993,10.1007/s13218-016-0473-5,,,Landmarks are Exaggerated,KI - Künstliche Intelligenz,,,2017-05,2017,31,2,193-197,Closed,Article,"Montello, Daniel R.","Montello, Daniel R.","Montello, Daniel R. (University of California, Santa Barbara)",3,3,,1.77,,https://app.dimensions.ai/details/publication/pub.1013709993,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
7,100,pub.1084735852,10.1002/9781118786352.wbieg0498,,,Cognition and Spatial Behavior,,"International Encyclopedia of Geography: People, the Earth, Environment and Technology",,2017-03-06,2017,,,1-20,Closed,Chapter,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",1,1,,0.65,,https://app.dimensions.ai/details/publication/pub.1084735852,1702 Cognitive Sciences; 17 Psychology and Cognitive Sciences; 1701 Psychology,1702 Cognitive Sciences,17 Psychology and Cognitive Sciences,1701 Psychology,,
8,100,pub.1058385969,10.1080/13658816.2016.1273357,,,A data-synthesis-driven method for detecting and extracting vague cognitive regions,International Journal of Geographical Information Science,,,2017-01-08,2017,,,1-27,Closed,Article,"Gao, Song; Janowicz, Krzysztof; Montello, Daniel R.; Hu, Yingjie; Yang, Jiue-An; McKenzie, Grant; Ju, Yiting; Gong, Li; Adams, Benjamin; Yan, Bo",,"Gao, Song (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara); Hu, Yingjie (University of Tennessee at Knoxville); Yang, Jiue-An (San Diego State University); McKenzie, Grant (University of Maryland, College Park); Ju, Yiting (University of California, Santa Barbara); Gong, Li (Peking University); Adams, Benjamin (University of Auckland); Yan, Bo (University of California, Santa Barbara)",29,26,,13.81,,https://app.dimensions.ai/details/publication/pub.1058385969,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
9,100,pub.1003189694,10.1002/9781119162124.ch9,,,Behavioral Methods for Spatial Cognition Research,,Research Methods for Environmental Psychology,,2016-06-30,2016,,,161-181,Closed,Chapter,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",4,4,,1.57,,https://app.dimensions.ai/details/publication/pub.1003189694,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
10,100,pub.1050900883,10.1080/17524032.2014.983534,,,Image Themes and Frames in US Print News Stories about Climate Change,Environmental Communication,,,2015-10-02,2015,9,4,491-519,"All OA; Green, Accepted & Submitted",Article,"Rebich-Hespanha, Stacy; Rice, Ronald E.; Montello, Daniel R.; Retzloff, Sean; Tien, Sandrine; Hespanha, João P.",,"Rebich-Hespanha, Stacy (); Rice, Ronald E. (); Montello, Daniel R. (); Retzloff, Sean (); Tien, Sandrine (); Hespanha, João P. ()",20,16,,9.78,https://escholarship.org/content/qt22t8v14c/qt22t8v14c.pdf?t=pgythp,https://app.dimensions.ai/details/publication/pub.1050900883,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
11,200,pub.1042655824,10.1080/13658816.2014.967251,,,"Representing space in cognition: interrelations of behaviour, language, and formal models, edited by Thora Tenbrink, Jan Wiener, and Christophe Claramunt, Oxford, Oxford University Press, 2013, xv + 308 pp., $135.00/£70.00 (hard cover), ISBN 978-0-19-967991-1",International Journal of Geographical Information Science,,,2015-04-03,2015,29,4,692-694,Closed,Article,"Montello, Daniel R.",,"Montello, Daniel R. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1042655824,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
12,100,pub.1008537358,10.1080/00221341.2014.914236,,,Relating Local to Global Spatial Knowledge: Heuristic Influence of Local Features on Direction Estimates,Journal of Geography,,,2015-01-02,2015,114,1,3-14,Closed,Article,"Phillips, Daniel W.; Montello, Daniel R.",,"Phillips, Daniel W. (); Montello, Daniel R. ()",3,3,,1.22,,https://app.dimensions.ai/details/publication/pub.1008537358,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
