,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Dar A Roberts. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120021895,10.1016/j.rse.2019.111340,,,Spectral mixture analysis in Google Earth Engine to model and delineate fire scars over a large extent and a long time-series in a rainforest-savanna transition zone,Remote Sensing of Environment,,,2019-10,2019,232,,111340,Closed,Article,"Daldegan, Gabriel Antunes; Roberts, Dar A.; de Figueiredo Ribeiro, Fernanda","Daldegan, Gabriel Antunes","Daldegan, Gabriel Antunes (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); de Figueiredo Ribeiro, Fernanda (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120021895,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
2,100,pub.1118088065,10.1016/j.rse.2019.111308,,,Classifying California plant species temporally using airborne hyperspectral imagery,Remote Sensing of Environment,,,2019-10,2019,232,,111308,Closed,Article,"Meerdink, Susan K.; Roberts, Dar A.; Roth, Keely L.; King, Jennifer Y.; Gader, Paul D.; Koltunov, Alexander","Meerdink, Susan K.","Meerdink, Susan K. (University of California, Santa Barbara; University of Florida); Roberts, Dar A. (University of California, Santa Barbara); Roth, Keely L. (); King, Jennifer Y. (University of California, Santa Barbara); Gader, Paul D. (University of Florida); Koltunov, Alexander (University of California, Davis)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118088065,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
3,100,pub.1117996062,10.1016/j.isprsjprs.2019.07.003,,,Burn severity analysis in Mediterranean forests using maximum entropy model trained with EO-1 Hyperion and LiDAR data,ISPRS Journal of Photogrammetry and Remote Sensing,,,2019-09,2019,155,,102-118,Closed,Article,"Fernandez-Manso, Alfonso; Quintano, Carmen; Roberts, Dar A.","Quintano, Carmen","Fernandez-Manso, Alfonso (University of Leon; University of California, Santa Barbara); Quintano, Carmen (University of California, Santa Barbara; University of Valladolid; National Institute for Agricultural and Food Research and Technology); Roberts, Dar A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117996062,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
4,100,pub.1115218968,10.1016/j.rse.2019.05.015,,,The ECOSTRESS spectral library version 1.0,Remote Sensing of Environment,,,2019-09,2019,230,,111196,Closed,Article,"Meerdink, Susan K.; Hook, Simon J.; Roberts, Dar A.; Abbott, Elsa A.","Meerdink, Susan K.","Meerdink, Susan K. (University of Florida); Hook, Simon J. (National Aeronautics and Space Administration); Roberts, Dar A. (University of California, Santa Barbara); Abbott, Elsa A. (National Aeronautics and Space Administration)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1115218968,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
5,100,pub.1120195374,10.3390/rs11151832,,,Vegetation and Soil Fire Damage Analysis Based on Species Distribution Modeling Trained with Multispectral Satellite Data,Remote Sensing,,,2019-08-06,2019,11,15,1832,All OA; Gold,Article,"Quintano, Carmen; Fernández-Manso, Alfonso; Calvo, Leonor; Roberts, Dar A.",,"Quintano, Carmen (University of Valladolid; National Institute for Agricultural and Food Research and Technology; University of California, Santa Barbara); Fernández-Manso, Alfonso (University of California, Santa Barbara; University of Leon); Calvo, Leonor (University of Leon); Roberts, Dar A. (University of California, Santa Barbara)",1,1,,,http://dx.doi.org/10.3390/rs11151832,https://app.dimensions.ai/details/publication/pub.1120195374,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
6,100,pub.1117004577,10.1111/2041-210x.13237,,,A novel procedure for measuring functional traits of herbaceous species through field spectroscopy,Methods in Ecology and Evolution,,,2019-08,2019,10,8,1332-1338,Closed,Article,"Van Cleemput, Elisa; Roberts, Dar A.; Honnay, Olivier; Somers, Ben",,"Van Cleemput, Elisa (KU Leuven); Roberts, Dar A. (University of California, Santa Barbara); Honnay, Olivier (KU Leuven); Somers, Ben (KU Leuven)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117004577,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
7,100,pub.1118066299,10.1029/2019wr024932,,,Cloud Masking for Landsat 8 and MODIS Terra Over Snow‐Covered Terrain: Error Analysis and Spectral Similarity Between Snow and Cloud,Water Resources Research,,,2019-07,2019,55,7,6169-6184,Closed,Article,"Stillinger, Timbo; Roberts, Dar A.; Collar, Natalie M.; Dozier, Jeff",,"Stillinger, Timbo (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Collar, Natalie M. (University of California, Santa Barbara; Colorado School of Mines); Dozier, Jeff (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1118066299,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
8,100,pub.1117043246,10.1002/ecs2.2768,,,Thermal imaging in plant and ecosystem ecology: applications and challenges,Ecosphere,,,2019-06,2019,10,6,,All OA; Gold,Article,"Still, Christopher; Powell, Rebecca; Aubrecht, Donald; Kim, Youngil; Helliker, Brent; Roberts, Dar; Richardson, Andrew D.; Goulden, Michael",,"Still, Christopher (Oregon State University); Powell, Rebecca (University of Denver); Aubrecht, Donald (Harvard University); Kim, Youngil (Oregon State University); Helliker, Brent (University of Pennsylvania); Roberts, Dar (University of California, Santa Barbara); Richardson, Andrew D. (Northern Arizona University); Goulden, Michael (University of California, Irvine)",2,2,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2768,https://app.dimensions.ai/details/publication/pub.1117043246,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
9,100,pub.1112461103,10.1016/j.rse.2019.02.009,,,Plant species' spectral emissivity and temperature using the hyperspectral thermal emission spectrometer (HyTES) sensor,Remote Sensing of Environment,,,2019-04,2019,224,Eos 89 2008,421-435,Closed,Article,"Meerdink, Susan; Roberts, Dar; Hulley, Glynn; Gader, Paul; Pisek, Jan; Adamson, Kairi; King, Jennifer; Hook, Simon J.","Meerdink, Susan","Meerdink, Susan (University of Florida); Roberts, Dar (University of California, Santa Barbara); Hulley, Glynn (National Aeronautics and Space Administration); Gader, Paul (University of Florida); Pisek, Jan (); Adamson, Kairi (); King, Jennifer (University of California, Santa Barbara); Hook, Simon J. (National Aeronautics and Space Administration)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112461103,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
