,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is David Naguib Pellow. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1116899770,10.4324/9781315619880-10,,,"Eco-Defence, Radical Environmentalism and Environmental Justice",,Routledge Handbook of Radical Politics,,2019-05-16,2019,,,107-120,Closed,Chapter,"Pellow, David Naguib",,"Pellow, David Naguib ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116899770,,,,,,
2,100,pub.1120487650,10.1080/17450101.2019.1601397,,,Forum 4: the environmental privilege of borders in the anthropocene,Mobilities,,,2019-05-04,2019,14,3,395-400,Closed,Article,"Park, Lisa Sun-Hee; Pellow, David Naguib",,"Park, Lisa Sun-Hee (University of California, Santa Barbara); Pellow, David Naguib (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120487650,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
3,200,pub.1110271610,10.1080/10455752.2018.1530835,,,Political Prisoners and Environmental Justice,Capitalism Nature Socialism,,,2018-10-02,2018,29,4,1-20,All OA; Gold,Article,"Pellow, David N.",,"Pellow, David N. (University of California, Santa Barbara)",1,1,,,https://www.tandfonline.com/doi/pdf/10.1080/10455752.2018.1530835?needAccess=true,https://app.dimensions.ai/details/publication/pub.1110271610,1606 Political Science; 1402 Applied Economics; 16 Studies in Human Society; 14 Economics,1606 Political Science,1402 Applied Economics,16 Studies in Human Society,14 Economics,
4,200,pub.1092505469,10.1093/jaarel/lfx081,,,God and the Green Divide: Religious Environmentalism in Black and White. By Amanda Baugh,Journal of the American Academy of Religion,,,2018-05-17,2018,86,2,580-583,Closed,Article,"Pellow, David N",,"Pellow, David N (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1092505469,22 Philosophy and Religious Studies; 2202 History and Philosophy of Specific Fields; 2204 Religion and Religious Studies,22 Philosophy and Religious Studies,2202 History and Philosophy of Specific Fields,2204 Religion and Religious Studies,,
5,200,pub.1103645196,10.1177/0094306118767651m,,,Environmentalism of the Rich,Contemporary Sociology A Journal of Reviews,,,2018-05,2018,47,3,313-314,Closed,Article,"Pellow, David Naguib",,"Pellow, David Naguib (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103645196,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
6,100,pub.1104562937,10.1007/978-3-319-76415-3_11,,,Environmental Justice,,Environment and Society,,2018,2018,,,233-255,Closed,Chapter,"Timmons Roberts, J.; Pellow, David; Mohai, Paul","Timmons Roberts, J.","Timmons Roberts, J. (Brown University); Pellow, David (Brown University); Mohai, Paul (Brown University)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1104562937,1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,1801 Law,
7,200,pub.1120576257,10.1515/9780824860394-007,,,Chapter Six. Activist-Scholar Alliances for Social Change: The Transformative Power of University-Community Collaborations,,Transforming the Ivory Tower,,2017-12-31,2017,,,106-119,Closed,Chapter,"Pellow, David Naguib",,"Pellow, David Naguib ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120576257,,,,,,
8,200,pub.1004300223,10.1016/j.gloenvcha.2016.08.002,,,Why equity is fundamental in climate change policy research,Global Environmental Change,,,2017-05,2017,44,,170-173,"All OA; Green, Published",Article,"Klinsky, Sonja; Roberts, Timmons; Huq, Saleemul; Okereke, Chukwumerije; Newell, Peter; Dauvergne, Peter; O’Brien, Karen; Schroeder, Heike; Tschakert, Petra; Clapp, Jennifer; Keck, Margaret; Biermann, Frank; Liverman, Diana; Gupta, Joyeeta; Rahman, Atiq; Messner, Dirk; Pellow, David; Bauer, Steffen","Klinsky, Sonja","Klinsky, Sonja (Arizona State University); Roberts, Timmons (Brown University); Huq, Saleemul (); Okereke, Chukwumerije (University of Reading); Newell, Peter (University of Sussex); Dauvergne, Peter (University of British Columbia); O’Brien, Karen (University of Oslo); Schroeder, Heike (University of East Anglia); Tschakert, Petra (University of Western Australia); Clapp, Jennifer (University of Waterloo); Keck, Margaret (Johns Hopkins University); Biermann, Frank (Utrecht University); Liverman, Diana (University of Arizona); Gupta, Joyeeta (University of Amsterdam); Rahman, Atiq (Bangladesh Centre for Advanced Studies); Messner, Dirk (German Development Institute); Pellow, David (University of California, Santa Barbara); Bauer, Steffen (German Development Institute)",47,42,,,https://ueaeprints.uea.ac.uk/61563/1/Published_manuscript.PDF,https://app.dimensions.ai/details/publication/pub.1004300223,,,,,,
9,200,pub.1041521384,10.1017/s1537592716003923,,,"An Unfinished Foundation: The United Nations and Global Environmental Governance. By Ken Conca. New York: Oxford University Press, 2015. 332p. $99.00 cloth, $27.95 paper.",Perspectives on Politics,,,2016-12,2016,14,4,1259-1261,Closed,Article,"Pellow, David N.",,"Pellow, David N. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1041521384,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
10,200,pub.1017060734,10.1016/j.jrurstud.2016.06.018,,,Environmental justice and rural studies: A critical conversation and invitation to collaboration,Journal of Rural Studies,,,2016-10,2016,47,,381-386,"All OA; Green, Published",Article,"Pellow, David N.",,"Pellow, David N. (University of California, Santa Barbara)",10,10,,5.23,https://escholarship.org/content/qt71h2x45v/qt71h2x45v.pdf?t=oruwmg,https://app.dimensions.ai/details/publication/pub.1017060734,12 Built Environment and Design; 16 Studies in Human Society; 1604 Human Geography; 1608 Sociology; 1205 Urban and Regional Planning,12 Built Environment and Design,16 Studies in Human Society,1604 Human Geography,1608 Sociology,1205 Urban and Regional Planning
11,200,pub.1007839386,10.1177/0094306116653953yy,,,Greening Africana Studies: Linking Environmental Studies with Transforming Black Experiences,Contemporary Sociology A Journal of Reviews,,,2016-07,2016,45,4,493-495,Closed,Article,"Pellow, David Naguib",,"Pellow, David Naguib (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1007839386,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
12,200,pub.1059261267,10.1089/env.2016.29003.shw,,,"Water Crisis in Flint, Michigan: Interview with David Pellow, Ph.D.",Environmental Justice,,,2016-04,2016,9,2,53-58,Closed,Article,"Washington, Sylvia Hood; Pellow, David",,"Washington, Sylvia Hood (); Pellow, David ()",2,2,,,,https://app.dimensions.ai/details/publication/pub.1059261267,,,,,,
13,100,pub.1054942235,10.1017/s1742058x1600014x,,,TOWARD A CRITICAL ENVIRONMENTAL JUSTICE STUDIES,Du Bois Review Social Science Research on Race,,,2016,2016,13,2,221-236,All OA; Gold,Article,"Pellow, David N.",,"Pellow, David N. (University of California, Santa Barbara)",28,24,,142.25,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/804B88CD36120349E0027EBC0D59D05E/S1742058X1600014Xa.pdf/div-class-title-toward-a-critical-environmental-justice-studies-div.pdf,https://app.dimensions.ai/details/publication/pub.1054942235,"2005 Literary Studies; 20 Language, Communication and Culture",2005 Literary Studies,"20 Language, Communication and Culture",,,
14,100,pub.1024635202,10.4324/9781315631479,,,Treadmill of Production,,,,2015-11-17,2015,,,,Closed,Monograph,"Gould, Kenneth A.; Schnaiberg, Allan; Pellow, David N.",,"Gould, Kenneth A. (); Schnaiberg, Allan (); Pellow, David N. ()",39,13,,31.06,,https://app.dimensions.ai/details/publication/pub.1024635202,1606 Political Science; 1402 Applied Economics; 16 Studies in Human Society; 14 Economics,1606 Political Science,1402 Applied Economics,16 Studies in Human Society,14 Economics,
15,200,pub.1089071803,10.1093/acprof:oso/9780199356102.003.0005,,,Climate Justice and Inequality,,Climate Change and Society,,2015-10-01,2015,,,127-163,Closed,Chapter,"Harlan, Sharon L.; Pellow, David N.; Roberts, J. Timmons; Bell, Shannon Elizabeth; Holt, William G.; Nagel, Joane",,"Harlan, Sharon L. (); Pellow, David N. (); Roberts, J. Timmons (); Bell, Shannon Elizabeth (); Holt, William G. (); Nagel, Joane ()",14,11,,,,https://app.dimensions.ai/details/publication/pub.1089071803,,,,,,
16,200,pub.1040415579,10.1177/0094306115570271xx,,,Remedy and Reaction: The Peculiar American Struggle over Health Care Reform,Contemporary Sociology A Journal of Reviews,,,2015-03,2015,44,2,256-258,Closed,Article,"Pellow, David N.",,"Pellow, David N. (University of Minnesota System)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1040415579,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
