,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David W Lea. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113040906,10.1016/j.marmicro.2019.03.011,,,Deciphering latitudinal shifts in coccolith accumulation in the eastern tropical Pacific Ocean through the Pleistocene,Marine Micropaleontology,,,2019-03,2019,,Geology 6 1978,101739,Closed,Article,"López-Otálvaro, G.-E.; Flores, J.-A.; Sierro, F.J.; Lalicata, J.; Lea, D.W.; Mix, A.","López-Otálvaro, G.-E.","López-Otálvaro, G.-E. (University of Salamanca); Flores, J.-A. (University of Salamanca); Sierro, F.J. (University of Salamanca); Lalicata, J. (University of California, Santa Barbara); Lea, D.W. (University of California, Santa Barbara); Mix, A. (Oregon State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113040906,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
2,500,pub.1103204849,10.1038/s41467-018-03800-0,29636470,PMC5893564,Model evidence for a seasonal bias in Antarctic ice cores,Nature Communications,,,2018-12,2018,9,1,1361,All OA; Gold,Article,"Erb, Michael P.; Jackson, Charles S.; Broccoli, Anthony J.; Lea, David W.; Valdes, Paul J.; Crucifix, Michel; DiNezio, Pedro N.","Erb, Michael P.","Erb, Michael P. (The University of Texas at Austin; University of Southern California; Northern Arizona University); Jackson, Charles S. (The University of Texas at Austin); Broccoli, Anthony J. (Rutgers, The State University of New Jersey); Lea, David W. (University of California, Santa Barbara); Valdes, Paul J. (University of Bristol); Crucifix, Michel (Catholic University of Louvain); DiNezio, Pedro N. (The University of Texas at Austin)",3,3,,,https://www.nature.com/articles/s41467-018-03800-0.pdf,https://app.dimensions.ai/details/publication/pub.1103204849,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
3,100,pub.1099627077,10.1016/j.epsl.2017.11.026,,,"The effects of temperature, salinity, and the carbonate system on Mg/Ca in Globigerinoides ruber (white): A global sediment trap calibration",Earth and Planetary Science Letters,,,2018-01,2018,482,Science 289 2002,607-620,"All OA; Green, Accepted & Submitted",Article,"Gray, William R.; Weldeab, Syee; Lea, David W.; Rosenthal, Yair; Gruber, Nicolas; Donner, Barbara; Fischer, Gerhard","Gray, William R.","Gray, William R. (University of California, Santa Barbara); Weldeab, Syee (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara); Rosenthal, Yair (Rutgers, The State University of New Jersey); Gruber, Nicolas (Swiss Federal Institute of Technology in Zurich); Donner, Barbara (University of Bremen); Fischer, Gerhard (University of Bremen)",26,26,,,https://research-repository.st-andrews.ac.uk/bitstream/10023/16652/1/Gray_2017_EPSL_G_ruber_AAM.pdf,https://app.dimensions.ai/details/publication/pub.1099627077,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1032101718,10.1016/j.palaeo.2016.07.014,,,Last glacial-interglacial productivity and associated changes in the eastern Arabian Sea,Palaeogeography Palaeoclimatology Palaeoecology,,,2017-10,2017,483,Eos. Trans. AGU 88 2007,147-156,Closed,Article,"Naik, D.K.; Saraswat, Rajeev; Lea, David W.; Kurtarkar, S.R.; Mackensen, A.","Naik, D.K.","Naik, D.K. (National Institute of Oceanography); Saraswat, Rajeev (National Institute of Oceanography); Lea, David W. (University of California, Santa Barbara); Kurtarkar, S.R. (National Institute of Oceanography); Mackensen, A. ()",12,8,,4.29,,https://app.dimensions.ai/details/publication/pub.1032101718,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0602 Ecology; 06 Biological Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0602 Ecology,06 Biological Sciences,
5,100,pub.1000533500,10.1002/2016pa002956,,,An early Pleistocene Mg/Ca‐δ18O record from the Gulf of Mexico: Evaluating ice sheet size and pacing in the 41‐kyr world,Paleoceanography and Paleoclimatology,,,2016-07,2016,31,7,1011-1027,All OA; Gold,Article,"Shakun, Jeremy D.; Raymo, Maureen E.; Lea, David W.",,"Shakun, Jeremy D. (Boston College); Raymo, Maureen E. (); Lea, David W. (University of California, Santa Barbara)",5,4,,1.23,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016PA002956,https://app.dimensions.ai/details/publication/pub.1000533500,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
6,200,pub.1108095850,10.1130/abs/2016am-285829,,,"REEVALUATION OF MG/CA-TEMPERATURE CALIBRATION IN
                    GLOBIGERINOIDES RUBER
                    : A SEDIMENT TRAP APPROACH",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Monteagudo, Minda M.; Weldeab, Syee; Lea, David W.; Rosenthal, Yair; Karl, David M.",,"Monteagudo, Minda M. (); Weldeab, Syee (); Lea, David W. (); Rosenthal, Yair (); Karl, David M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108095850,,,,,,
7,100,pub.1020359610,10.1016/j.epsl.2015.05.042,,,An 800-kyr record of global surface ocean δ 18 O and implications for ice volume-temperature coupling,Earth and Planetary Science Letters,,,2015-09,2015,426,Nature 500 2013,58-68,All OA; Gold,Article,"Shakun, Jeremy D.; Lea, David W.; Lisiecki, Lorraine E.; Raymo, Maureen E.","Shakun, Jeremy D.","Shakun, Jeremy D. (Boston College); Lea, David W. (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara); Raymo, Maureen E. (Lamont-Doherty Earth Observatory)",63,37,,12.33,https://manuscript.elsevier.com/S0012821X15003404/pdf/S0012821X15003404.pdf,https://app.dimensions.ai/details/publication/pub.1020359610,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
8,300,pub.1000155106,10.1038/518046b,25652995,,Climate sensitivity in a warmer world,Nature,,Carbon Dioxide; Climate; Feedback,2015-02,2015,518,7537,46-47,Closed,Article,"Lea, David W.","Lea, David W.","Lea, David W. (University of California, Santa Barbara)",2,1,0.04,0.36,,https://app.dimensions.ai/details/publication/pub.1000155106,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0401 Atmospheric Sciences,
9,100,pub.1011205574,10.1016/j.palaeo.2014.06.001,,,Links between southwestern tropical Indian Ocean SST and precipitation over southeastern Africa over the last 17kyr,Palaeogeography Palaeoclimatology Palaeoecology,,,2014-09,2014,410,Geophys. Res. Lett. 34 2007,200-212,Closed,Article,"Weldeab, Syee; Lea, David W.; Oberhänsli, Hedi; Schneider, Ralph R.","Weldeab, Syee","Weldeab, Syee (); Lea, David W. (); Oberhänsli, Hedi (Museum für Naturkunde - Leibniz Institute for Evolution and Biodiversity Science); Schneider, Ralph R. (Kiel University)",20,7,,3.12,,https://app.dimensions.ai/details/publication/pub.1011205574,0602 Ecology; 0405 Oceanography; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences
