,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Douglas J Mccauley. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113056153,10.1080/01431161.2019.1594440,,,Quantifying coconut palm extent on Pacific islands using spectral and textural analysis of very high resolution imagery,International Journal of Remote Sensing,,,2019-10-02,2019,40,19,1-27,Closed,Article,"Burnett, Michael W.; White, Timothy D.; McCauley, Douglas J.; De Leo, Giulio A.; Micheli, Fiorenza",,"Burnett, Michael W. (Stanford University); White, Timothy D. (Stanford University); McCauley, Douglas J. (University of California, Santa Barbara); De Leo, Giulio A. (Stanford University); Micheli, Fiorenza (Stanford University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113056153,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
2,500,pub.1113668325,10.1038/s41586-019-1132-4,31019302,,Greater vulnerability to warming of marine versus terrestrial ectotherms,Nature,,Animals; Aquatic Organisms; Biodiversity; Body Temperature; Conservation of Natural Resources; Ecosystem; Global Warming; Hot Temperature; Oceans and Seas; Time Factors,2019-05,2019,569,7754,108-111,Closed,Article,"Pinsky, Malin L.; Eikeset, Anne Maria; McCauley, Douglas J.; Payne, Jonathan L.; Sunday, Jennifer M.","Pinsky, Malin L.","Pinsky, Malin L. (Rutgers, The State University of New Jersey); Eikeset, Anne Maria (); McCauley, Douglas J. (University of California, Santa Barbara); Payne, Jonathan L. (Stanford University); Sunday, Jennifer M. (McGill University)",20,20,,,,https://app.dimensions.ai/details/publication/pub.1113668325,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences
3,100,pub.1112519652,10.1007/s00338-019-01781-0,,,"Chemistry of the consumption and excretion of the bumphead parrotfish (Bolbometopon muricatum), a coral reef mega-consumer",Coral Reefs,,,2019-04,2019,38,2,347-357,Closed,Article,"Goldberg, E. Grace; Raab, Ted K.; Desalles, Paul; Briggs, Amy A.; Dunbar, Robert B.; Millero, Frank J.; Woosley, Ryan J.; Young, Hillary S.; Micheli, Fiorenza; Mccauley, Douglas J.","Goldberg, E. Grace","Goldberg, E. Grace (Stanford University); Raab, Ted K. (Department of Plant Biology); Desalles, Paul (University of California, Santa Barbara); Briggs, Amy A. (University of Georgia); Dunbar, Robert B. (Stanford University); Millero, Frank J. (University of Miami); Woosley, Ryan J. (University of Miami); Young, Hillary S. (University of California, Santa Barbara); Micheli, Fiorenza (Stanford University); Mccauley, Douglas J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112519652,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
4,100,pub.1107499294,10.1111/conl.12610,,,Leveraging satellite technology to create true shark sanctuaries,Conservation Letters,,,2019-03,2019,12,2,e12610,All OA; Gold,Article,"Bradley, Darcy; Mayorga, Juan; McCauley, Douglas J.; Cabral, Reniel B.; Douglas, Patric; Gaines, Steven D.",,"Bradley, Darcy (University of California, Santa Barbara); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); McCauley, Douglas J. (University of California, Santa Barbara); Cabral, Reniel B. (University of California, Santa Barbara); Douglas, Patric (); Gaines, Steven D. (University of California, Santa Barbara)",3,3,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12610,https://app.dimensions.ai/details/publication/pub.1107499294,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
5,200,pub.1106012389,10.1111/aje.12543,,,Hippopotamus dung inputs accelerate fish predation by terrestrial consumers,African Journal of Ecology,,,2018-12,2018,56,4,1034-1038,Closed,Article,"Stears, Keenan; McCauley, Douglas J.",,"Stears, Keenan (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106012389,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,500,pub.1106120693,10.1007/s00442-018-4243-y,30099603,,Diverse effects of the common hippopotamus on plant communities and soil chemistry,Oecologia,,Animals; Artiodactyla; Ecosystem; Herbivory; Plants; Soil,2018-11,2018,188,3,821-835,Closed,Article,"McCauley, Douglas J.; Graham, Stuart I.; Dawson, Todd E.; Power, Mary E.; Ogada, Mordecai; Nyingi, Wanja D.; Githaiga, John M.; Nyunja, Judith; Hughey, Lacey F.; Brashares, Justin S.","McCauley, Douglas J.","McCauley, Douglas J. (University of California, Santa Barbara); Graham, Stuart I. (University of Washington); Dawson, Todd E. (University of California, Berkeley); Power, Mary E. (University of California, Berkeley); Ogada, Mordecai (); Nyingi, Wanja D. (National Museums of Kenya); Githaiga, John M. (University of Nairobi); Nyunja, Judith (Kenya Wildlife Service); Hughey, Lacey F. (University of California, Santa Barbara); Brashares, Justin S. (University of California, Berkeley)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106120693,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,500,pub.1105947119,10.1126/sciadv.aau2161,30083613,PMC6070320,Wealthy countries dominate industrial fishing,Science Advances,,Animals; Developed Countries; Fisheries; Oceans and Seas,2018-08,2018,4,8,eaau2161,All OA; Gold,Article,"McCauley, Douglas J.; Jablonicky, Caroline; Allison, Edward H.; Golden, Christopher D.; Joyce, Francis H.; Mayorga, Juan; Kroodsma, David",,"McCauley, Douglas J. (University of California, Santa Barbara); Jablonicky, Caroline (University of California, Santa Barbara); Allison, Edward H. (University of Washington; WorldFish); Golden, Christopher D. (Harvard University); Joyce, Francis H. (University of California, Santa Barbara); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); Kroodsma, David ()",5,5,,,https://advances.sciencemag.org/content/advances/4/8/eaau2161.full.pdf,https://app.dimensions.ai/details/publication/pub.1105947119,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
8,100,pub.1103444459,10.1111/faf.12285,,,Empowering high seas governance with satellite vessel tracking data,Fish and Fisheries,,,2018-07,2018,19,4,729-739,All OA; Gold,Article,"Dunn, Daniel C; Jablonicky, Caroline; Crespo, Guillermo O; McCauley, Douglas J; Kroodsma, David A; Boerder, Kristina; Gjerde, Kristina M; Halpin, Patrick N",,"Dunn, Daniel C (Duke University); Jablonicky, Caroline (University of California, Santa Barbara); Crespo, Guillermo O (Duke University); McCauley, Douglas J (University of California, Santa Barbara); Kroodsma, David A (); Boerder, Kristina (Dalhousie University); Gjerde, Kristina M (); Halpin, Patrick N (Duke University)",14,14,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/faf.12285,https://app.dimensions.ai/details/publication/pub.1103444459,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,200,pub.1104564642,10.1073/pnas.1805120115,29899151,PMC6042129,Reply to Pincheira-Donoso and Hodgson: Both the largest and smallest vertebrates have elevated extinction risk,Proceedings of the National Academy of Sciences,,"Animals; Extinction, Biological; Risk; Vertebrates",2018-06-26,2018,115,26,201805120,All OA; Gold,Article,"Ripple, William J.; Wolf, Christopher; Newsome, Thomas M.; Hoffmann, Michael; Wirsing, Aaron J.; McCauley, Douglas J.",,"Ripple, William J. (Oregon State University); Wolf, Christopher (Oregon State University); Newsome, Thomas M. (Oregon State University; University of Sydney; University of Washington); Hoffmann, Michael (Zoological Society of London); Wirsing, Aaron J. (University of Washington); McCauley, Douglas J. (University of California, Santa Barbara)",0,0,,,https://www.pnas.org/content/pnas/115/26/E5847.full.pdf,https://app.dimensions.ai/details/publication/pub.1104564642,,,,,,
