,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Dylan Hunter Rood. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117859408,10.1029/2019jf005091,,,"Late Quaternary Tectonics, Incision, and Landscape Evolution of the Calchaquí River Catchment, Eastern Cordillera, NW Argentina",Journal of Geophysical Research Earth Surface,,,2019-08,2019,124,8,2265-2287,"All OA; Green, Accepted & Submitted",Article,"McCarthy, James A.; Schoenbohm, Lindsay M.; Bierman, Paul R.; Rood, Dylan; Hidy, Alan J.",,"McCarthy, James A. (University of Toronto); Schoenbohm, Lindsay M. (University of Toronto); Bierman, Paul R. (University of Vermont); Rood, Dylan (Imperial College London); Hidy, Alan J. (Lawrence Livermore National Laboratory)",0,0,,,https://tspace.library.utoronto.ca/bitstream/1807/68510/1/McCarthy_James_A_201411_MAS_thesis.pdf,https://app.dimensions.ai/details/publication/pub.1117859408,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
2,100,pub.1112117930,10.1130/b31840.1,,,Erosion rates and sediment flux within the Potomac River basin quantified over millennial timescales using beryllium isotopes,Geological Society of America Bulletin,,,2019-07-01,2019,131,7-8,1295-1311,Closed,Article,"Portenga, Eric W.; Bierman, Paul R.; Trodick, Charles D.; Greene, Sophie E.; DeJong, Benjamin D.; Rood, Dylan H.; Pavich, Milan J.",,"Portenga, Eric W. (Eastern Michigan University); Bierman, Paul R. (University of Vermont); Trodick, Charles D. (University of Vermont); Greene, Sophie E. (University of Vermont); DeJong, Benjamin D. (Norwich University); Rood, Dylan H. (); Pavich, Milan J. ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112117930,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
3,100,pub.1107864453,10.1016/j.epsl.2018.10.026,,,Holocene uplift and rapid fluvial erosion of Iceland: A record of post-glacial landscape evolution,Earth and Planetary Science Letters,,,2019-01,2019,505,Quat. Sci. Rev. 24 22 2005,118-130,All OA; Gold,Article,"de Quay, Gaia Stucky; Roberts, Gareth G.; Rood, Dylan H.; Fernandes, Victoria M.","de Quay, Gaia Stucky","de Quay, Gaia Stucky (Imperial College London); Roberts, Gareth G. (Imperial College London); Rood, Dylan H. (Imperial College London); Fernandes, Victoria M. (Imperial College London)",3,3,,,https://doi.org/10.1016/j.epsl.2018.10.026,https://app.dimensions.ai/details/publication/pub.1107864453,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
4,500,pub.1105781365,10.1038/s41598-018-29226-8,30093676,PMC6085367,Greenland ice mass loss during the Younger Dryas driven by Atlantic Meridional Overturning Circulation feedbacks,Scientific Reports,,,2018-12,2018,8,1,11307,All OA; Gold,Article,"Rainsley, Eleanor; Menviel, Laurie; Fogwill, Christopher J.; Turney, Chris S. M.; Hughes, Anna L. C.; Rood, Dylan H.","Rainsley, Eleanor","Rainsley, Eleanor (Keele University); Menviel, Laurie (UNSW Sydney); Fogwill, Christopher J. (Keele University; UNSW Sydney); Turney, Chris S. M. (UNSW Sydney); Hughes, Anna L. C. (University of Bergen); Rood, Dylan H. (Imperial College London; Scottish Universities Environmental Research Centre)",2,2,,,https://www.nature.com/articles/s41598-018-29226-8.pdf,https://app.dimensions.ai/details/publication/pub.1105781365,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
5,100,pub.1107764139,10.1016/j.epsl.2018.10.003,,,"Geomorphic evidence for the geometry and slip rate of a young, low-angle thrust fault: Implications for hazard assessment and fault interaction in complex tectonic environments",Earth and Planetary Science Letters,,,2018-12,2018,504,Geology 24 1 1996,198-210,Closed,Article,"Hughes, A.; Rood, D.H.; Whittaker, A.C.; Bell, R.E.; Rockwell, T.K.; Levy, Y.; Wilcken, K.M.; Corbett, L.B.; Bierman, P.R.; DeVecchio, D.E.; Marshall, S.T.; Gurrola, L.D.; Nicholson, C.","Hughes, A.","Hughes, A. (Imperial College London); Rood, D.H. (Imperial College London; University of California, Santa Barbara); Whittaker, A.C. (Imperial College London); Bell, R.E. (Imperial College London); Rockwell, T.K. (San Diego State University); Levy, Y. (San Diego State University); Wilcken, K.M. (Australian Nuclear Science and Technology Organisation); Corbett, L.B. (University of Vermont); Bierman, P.R. (University of Vermont); DeVecchio, D.E. (Arizona State University); Marshall, S.T. (Appalachian State University); Gurrola, L.D. (University of California, Santa Barbara); Nicholson, C. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107764139,0404 Geophysics; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0404 Geophysics,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,
6,100,pub.1103232079,10.1017/qua.2018.6,,,Directly dating postglacial Greenlandic land-surface emergence at high resolution using in situ 10Be,Quaternary Research,,,2018-07,2018,90,1,110-126,"All OA; Green, Accepted & Submitted",Article,"Bierman, Paul R.; Rood, Dylan H.; Shakun, Jeremy D.; Portenga, Eric W.; Corbett, Lee B.",,"Bierman, Paul R. (University of Vermont); Rood, Dylan H. (Imperial College London; Lawrence Livermore National Laboratory); Shakun, Jeremy D. (Boston College); Portenga, Eric W. (Eastern Michigan University); Corbett, Lee B. (University of Vermont)",0,0,,,http://spiral.imperial.ac.uk/bitstream/10044/1/60605/2/YQRES-D-16-00171_R2%20copy.pdf,https://app.dimensions.ai/details/publication/pub.1103232079,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
7,100,pub.1092273096,10.1016/j.ancene.2017.10.002,,,Agricultural land use doubled sediment loads in western China’s rivers,Anthropocene,,,2018-03,2018,21,Geosphere 4 1 2008,95-106,"All OA; Green, Accepted & Submitted",Article,"Schmidt, Amanda H.; Gonzalez, Veronica Sosa; Bierman, Paul R.; Neilson, Thomas B.; Rood, Dylan H.","Schmidt, Amanda H.","Schmidt, Amanda H. (Oberlin College); Gonzalez, Veronica Sosa (University of Vermont); Bierman, Paul R. (University of Vermont); Neilson, Thomas B. (University of Vermont); Rood, Dylan H. (Imperial College London; Scottish Universities Environmental Research Centre; University of California, Santa Barbara)",3,3,,,http://spiral.imperial.ac.uk/bitstream/10044/1/56164/4/ANTHROPOCENE-D-17-00021R2_for_Symplectic.pdf,https://app.dimensions.ai/details/publication/pub.1092273096,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
8,100,pub.1090867275,10.1002/esp.4205,,,Spatial and temporal replicability of meteoric and in situ 10Be concentrations in fluvial sediment,Earth Surface Processes and Landforms,,,2017-12,2017,42,15,2570-2584,"All OA; Green, Accepted & Submitted",Article,"Gonzalez, Veronica Sosa; Schmidt, Amanda H.; Bierman, Paul R.; Rood, Dylan H.",,"Gonzalez, Veronica Sosa (University of Vermont); Schmidt, Amanda H. (Oberlin College); Bierman, Paul R. (University of Vermont); Rood, Dylan H. (Imperial College London; Scottish Universities Environmental Research Centre; University of California, Santa Barbara)",9,8,,3.46,http://spiral.imperial.ac.uk/bitstream/10044/1/54218/2/Resample%20ESPL%20revision%202%20v1.pdf,https://app.dimensions.ai/details/publication/pub.1090867275,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1091891553,10.1016/j.chemgeo.2017.09.024,,,Efficacy of in situ and meteoric 10Be mixing in fluvial sediment collected from small catchments in China,Chemical Geology,,,2017-11,2017,471,Quat. Geochronol. 19 2014,119-130,"All OA; Green, Accepted & Submitted",Article,"Neilson, Thomas B.; Schmidt, Amanda H.; Bierman, Paul R.; Rood, Dylan H.; Gonzalez, Veronica Sosa","Schmidt, Amanda H.","Neilson, Thomas B. (University of Vermont); Schmidt, Amanda H. (Oberlin College); Bierman, Paul R. (University of Vermont); Rood, Dylan H. (Imperial College London; Scottish Universities Environmental Research Centre; University of California, Santa Barbara); Gonzalez, Veronica Sosa (University of Vermont)",4,4,,1.32,http://spiral.imperial.ac.uk/bitstream/10044/1/54219/2/CHEMGE10561R1%281%29%20copy_ms_only.pdf,https://app.dimensions.ai/details/publication/pub.1091891553,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
10,100,pub.1086203226,10.1016/j.quascirev.2017.06.012,,,"A beryllium-10 chronology of late-glacial moraines in the upper Rakaia valley, Southern Alps, New Zealand supports Southern-Hemisphere warming during the Younger Dryas",Quaternary Science Reviews,,,2017-08,2017,170,,14-25,"All OA; Green, Accepted & Submitted",Article,"Koffman, Tobias N.B.; Schaefer, Joerg M.; Putnam, Aaron E.; Denton, George H.; Barrell, David J.A.; Rowan, Ann V.; Finkel, Robert C.; Rood, Dylan H.; Schwartz, Roseanne; Plummer, Mitchell A.; Brocklehurst, Simon H.","Putnam, Aaron E.","Koffman, Tobias N.B. (Lamont-Doherty Earth Observatory); Schaefer, Joerg M. (Lamont-Doherty Earth Observatory; Columbia University); Putnam, Aaron E. (Lamont-Doherty Earth Observatory; University of Maine); Denton, George H. (Lamont-Doherty Earth Observatory; University of Maine); Barrell, David J.A. (GNS Science); Rowan, Ann V. (University of Sheffield); Finkel, Robert C. (University of California, Berkeley); Rood, Dylan H. (Imperial College London; Lawrence Livermore National Laboratory); Schwartz, Roseanne (Lamont-Doherty Earth Observatory); Plummer, Mitchell A. (Idaho National Laboratory); Brocklehurst, Simon H. (University of Manchester)",6,6,,2.13,http://spiral.imperial.ac.uk/bitstream/10044/1/52521/2/Koffman_Rakaia_11_July_2017.pdf,https://app.dimensions.ai/details/publication/pub.1086203226,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
11,100,pub.1084742696,10.1002/2016wr019774,,,Characterizing landscape‐scale erosion using 10Be in detrital fluvial sediment: Slope‐based sampling strategy detects the effect of widespread dams,Water Resources Research,,,2017-05,2017,53,5,4476-4486,"All OA; Green, Published",Article,"Reusser, Lucas J.; Bierman, Paul R.; Rizzo, Donna M.; Portenga, Eric W.; Rood, Dylan H.",,"Reusser, Lucas J. (University of Vermont); Bierman, Paul R. (University of Vermont); Rizzo, Donna M. (University of Vermont); Portenga, Eric W. (University of Michigan); Rood, Dylan H. (Lawrence Livermore National Laboratory; Imperial College London)",3,1,,1.6,http://spiral.imperial.ac.uk/bitstream/10044/1/48819/6/Reusser_et_al-2017-Water_Resources_Research.pdf,https://app.dimensions.ai/details/publication/pub.1084742696,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
12,100,pub.1000189794,10.1002/2016gl071276,,,Cosmogenic 26Al/10Be surface production ratio in Greenland,Geophysical Research Letters,,,2017-02-16,2017,44,3,1350-1359,All OA; Gold,Article,"Corbett, Lee B.; Bierman, Paul R.; Rood, Dylan H.; Caffee, Marc W.; Lifton, Nathaniel A.; Woodruff, Thomas E.",,"Corbett, Lee B. (University of Vermont); Bierman, Paul R. (University of Vermont); Rood, Dylan H. (Imperial College London); Caffee, Marc W. (Purdue University West Lafayette); Lifton, Nathaniel A. (Purdue University West Lafayette); Woodruff, Thomas E. (Purdue University West Lafayette)",14,13,,4.61,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GL071276,https://app.dimensions.ai/details/publication/pub.1000189794,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
13,100,pub.1049439730,10.1002/2016jf004052,,,Combining bulk sediment OSL and meteoric 10Be fingerprinting techniques to identify gully initiation sites and erosion depths,Journal of Geophysical Research Earth Surface,,,2017-02,2017,122,2,513-527,All OA; Gold,Article,"Portenga, E. W.; Bishop, P.; Rood, D. H.; Bierman, P. R.",,"Portenga, E. W. (University of Glasgow; University of Michigan); Bishop, P. (University of Glasgow); Rood, D. H. (Imperial College London; University of Glasgow); Bierman, P. R. (University of Vermont)",7,7,,2.49,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JF004052,https://app.dimensions.ai/details/publication/pub.1049439730,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
14,200,pub.1084222368,10.1130/b31543.1,,,"Background rates of erosion and sediment generation in the Potomac River basin, USA, derived using in situ 10Be, meteoric 10Be, and 9Be",Geological Society of America Bulletin,,,2017-01-27,2017,129,5-6,767-767,All OA; Gold,Article,"Portenga, Eric W.; Bierman, Paul R.; Trodick, Charles D.; Greene, Sophie E.; DeJong, Benjamin D.; Rood, Dylan H.; Pavich, Milan J.",,"Portenga, Eric W. (); Bierman, Paul R. (); Trodick, Charles D. (); Greene, Sophie E. (); DeJong, Benjamin D. (); Rood, Dylan H. (); Pavich, Milan J. ()",1,1,,0.38,https://pubs.geoscienceworld.org/gsa/gsabulletin/article-pdf/129/5-6/767/1002131/767.pdf,https://app.dimensions.ai/details/publication/pub.1084222368,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
15,100,pub.1074226289,10.5194/esurf-5-67-2017,,,Controls on the distribution of cosmogenic 10Be across shore platforms,Earth Surface Dynamics,,,2017-01-26,2017,5,1,67-84,All OA; Gold,Article,"Hurst, Martin D.; Rood, Dylan H.; Ellis, Michael A.",,"Hurst, Martin D. (University of Glasgow; British Geological Survey); Rood, Dylan H. (Imperial College London); Ellis, Michael A. (British Geological Survey)",4,4,,1.42,https://www.earth-surf-dynam.net/5/67/2017/esurf-5-67-2017.pdf,https://app.dimensions.ai/details/publication/pub.1074226289,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
16,100,pub.1020928824,10.1016/j.gca.2016.10.007,,,"Effects of grain size, mineralogy, and acid-extractable grain coatings on the distribution of the fallout radionuclides 7Be, 10Be, 137Cs, and 210Pb in river sediment",Geochimica et Cosmochimica Acta,,,2017-01,2017,197,Chem. Geol. 156 1999,71-86,"All OA; Green, Accepted & Submitted",Article,"Singleton, Adrian A.; Schmidt, Amanda H.; Bierman, Paul R.; Rood, Dylan H.; Neilson, Thomas B.; Greene, Emily Sophie; Bower, Jennifer A.; Perdrial, Nicolas","Schmidt, Amanda H.","Singleton, Adrian A. (Oberlin College); Schmidt, Amanda H. (Oberlin College); Bierman, Paul R. (University of Vermont); Rood, Dylan H. (Imperial College London; Scottish Universities Environmental Research Centre; University of California, Santa Barbara); Neilson, Thomas B. (University of Vermont); Greene, Emily Sophie (University of Vermont); Bower, Jennifer A. (University of Vermont); Perdrial, Nicolas (University of Vermont)",13,9,,5,http://spiral.imperial.ac.uk/bitstream/10044/1/43310/2/GCA-D-16-00143R3.pdf,https://app.dimensions.ai/details/publication/pub.1020928824,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
17,200,pub.1099588932,10.1130/abs/2017am-299479,,,"TRACERS DERIVED
                    IN SITU
                    REPLICATE AND MIX BETTER THAN FALLOUT TRACERS INCORPORATED INTO GRAIN COATINGS",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Schmidt, Amanda H.; Bierman, Paul R.; Sosa-Gonzalez, Veronica; Neilson, Thomas B.; Rood, Dylan H.; Campbell, Mary K.; Hill, Marcus",,"Schmidt, Amanda H. (); Bierman, Paul R. (); Sosa-Gonzalez, Veronica (); Neilson, Thomas B. (); Rood, Dylan H. (); Campbell, Mary K. (); Hill, Marcus ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099588932,,,,,,
18,200,pub.1099587349,10.1130/abs/2017am-303455,,,THE GEOMORPHIC HISTORY OF HUMAN ACTIVITY IN SOUTHWESTERN CHINA,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Schmidt, Amanda H.; Bierman, Paul R.; Collins, Brian D.; Harrell, Stevan; Hinckley, Thomas; Tang, Ya; Rood, Dylan H.",,"Schmidt, Amanda H. (); Bierman, Paul R. (); Collins, Brian D. (); Harrell, Stevan (); Hinckley, Thomas (); Tang, Ya (); Rood, Dylan H. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587349,,,,,,
19,400,pub.1001062516,10.1038/nature20147,27929005,,A persistent and dynamic East Greenland Ice Sheet over the past 7.5 million years,Nature,,,2016-12,2016,540,7632,256-260,"All OA; Green, Accepted & Submitted",Article,"Bierman, Paul R.; Shakun, Jeremy D.; Corbett, Lee B.; Zimmerman, Susan R.; Rood, Dylan H.","Bierman, Paul R.","Bierman, Paul R. (University of Vermont); Shakun, Jeremy D. (Boston College); Corbett, Lee B. (University of Vermont); Zimmerman, Susan R. (Lawrence Livermore National Laboratory); Rood, Dylan H. (Imperial College London; Scottish Universities Environmental Research Centre)",25,18,0.21,6.43,http://eprints.gla.ac.uk/168560/1/168560.pdf,https://app.dimensions.ai/details/publication/pub.1001062516,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
20,100,pub.1015260458,10.1016/j.geomorph.2016.04.025,,,Long-term erosion rates of Panamanian drainage basins determined using in situ 10Be,Geomorphology,,,2016-12,2016,275,Quat. Geochronol. 19 2013,1-15,"All OA; Green, Accepted & Submitted",Article,"Gonzalez, Veronica Sosa; Bierman, Paul R.; Nichols, Kyle K.; Rood, Dylan H.","Gonzalez, Veronica Sosa","Gonzalez, Veronica Sosa (University of Vermont); Bierman, Paul R. (University of Vermont); Nichols, Kyle K. (Skidmore College); Rood, Dylan H. (Imperial College London; Lawrence Livermore National Laboratory)",5,2,,1.29,http://spiral.imperial.ac.uk/bitstream/10044/1/32585/2/Sosa%20Gonzalez_Panama.pdf,https://app.dimensions.ai/details/publication/pub.1015260458,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
21,400,pub.1039778570,10.1073/pnas.1613044113,27821750,PMC5127313,Recent acceleration in coastal cliff retreat rates on the south coast of Great Britain,Proceedings of the National Academy of Sciences,,,2016-11-22,2016,113,47,13336-13341,All OA; Gold,Article,"Hurst, Martin D.; Rood, Dylan H.; Ellis, Michael A.; Anderson, Robert S.; Dornbusch, Uwe",,"Hurst, Martin D. (University of Glasgow; British Geological Survey); Rood, Dylan H. (Imperial College London); Ellis, Michael A. (British Geological Survey); Anderson, Robert S. (Institute of Arctic and Alpine Research; University of Colorado Boulder); Dornbusch, Uwe (Environment Agency)",19,16,0.09,4.69,https://www.pnas.org/content/pnas/113/47/13336.full.pdf,https://app.dimensions.ai/details/publication/pub.1039778570,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1030267881,10.5194/esurf-4-819-2016,,,"Influence of topography and human activity on apparent in situ 10Be-derived erosion rates in Yunnan, SW China",Earth Surface Dynamics,,,2016-11-04,2016,4,4,819-830,All OA; Gold,Article,"Schmidt, Amanda H.; Neilson, Thomas B.; Bierman, Paul R.; Rood, Dylan H.; Ouimet, William B.; Gonzalez, Veronica Sosa",,"Schmidt, Amanda H. (Oberlin College); Neilson, Thomas B. (University of Vermont); Bierman, Paul R. (University of Vermont); Rood, Dylan H. (Imperial College London; Scottish Universities Environmental Research Centre; University of California, Santa Barbara); Ouimet, William B. (University of Connecticut); Gonzalez, Veronica Sosa (University of Vermont)",6,3,,1.48,https://www.earth-surf-dynam.net/4/819/2016/esurf-4-819-2016.pdf,https://app.dimensions.ai/details/publication/pub.1030267881,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
23,100,pub.1001972959,10.1002/2016tc004230,,,"The tectonics of the western Ordos Plateau, Ningxia, China: Slip rates on the Luoshan and East Helanshan Faults",Tectonics,,,2016-11,2016,35,11,2754-2777,"All OA; Green, Published",Article,"Middleton, Timothy A.; Walker, Richard T.; Rood, Dylan H.; Rhodes, Edward J.; Parsons, Barry; Lei, Qiyun; Elliott, John R.; Ren, Zhikun; Zhou, Yu",,"Middleton, Timothy A. (University of Oxford); Walker, Richard T. (University of Oxford); Rood, Dylan H. (Imperial College London; Scottish Universities Environmental Research Centre); Rhodes, Edward J. (University of Sheffield); Parsons, Barry (University of Oxford); Lei, Qiyun (Ningxia Seismological Bureau); Elliott, John R. (University of Oxford); Ren, Zhikun (China Earthquake Administration); Zhou, Yu (University of Oxford)",5,4,,1.34,http://eprints.whiterose.ac.uk/109857/7/Middleton_et_al-2016-Tectonics.pdf,https://app.dimensions.ai/details/publication/pub.1001972959,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
