,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Edward A Keller. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113331427,10.1016/j.geomorph.2019.04.001,,,Applications in geomorphology,Geomorphology,,,2019-04,2019,,Science 110 1949,,Closed,Article,"Keller, Edward; Adamaitis, Chandler; Alessio, Paul; Anderson, Sarah; Goto, Erica; Gray, Summer; Gurrola, Larry; Morell, Kristen","Keller, Edward","Keller, Edward (University of California, Santa Barbara); Adamaitis, Chandler (University of California, Santa Barbara); Alessio, Paul (University of California, Santa Barbara); Anderson, Sarah (University of California, Santa Barbara); Goto, Erica (University of California, Santa Barbara); Gray, Summer (University of California, Santa Barbara); Gurrola, Larry (); Morell, Kristen (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1113331427,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
2,100,pub.1106169625,10.3390/geosciences8080304,,,"Fluvial Geomorphology, Root Distribution, and Tensile Strength of the Invasive Giant Reed, Arundo Donax and Its Role on Stream Bank Stability in the Santa Clara River, Southern California",Geosciences,,,2018-08-14,2018,8,8,304,All OA; Gold,Article,"Stover, Jiana E.; Keller, Edward A.; Dudley, Tom L.; Langendoen, Eddy J.",,"Stover, Jiana E. (Lyon College); Keller, Edward A. (University of California, Santa Barbara); Dudley, Tom L. (University of California, Santa Barbara); Langendoen, Eddy J. (Agricultural Research Service)",0,0,,,https://www.mdpi.com/2076-3263/8/8/304/pdf,https://app.dimensions.ai/details/publication/pub.1106169625,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
3,100,pub.1038791379,10.1016/j.geomorph.2016.01.014,,,"Tectonic geomorphology of a large normal fault: Akşehir fault, SW Turkey",Geomorphology,,,2016-04,2016,259,,55-69,Closed,Article,"Topal, Savaş; Keller, Edward; Bufe, Aaron; Koçyiğit, Ali","Keller, Edward","Topal, Savaş (Pamukkale University); Keller, Edward (University of California, Santa Barbara); Bufe, Aaron (University of California, Santa Barbara); Koçyiğit, Ali (Middle East Technical University)",15,12,,3.86,,https://app.dimensions.ai/details/publication/pub.1038791379,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
4,100,pub.1029968160,10.1016/j.geomorph.2015.04.012,,,"Fluvial geomorphology of a boulder-bed, debris-flow — Dominated channel in an active tectonic environment",Geomorphology,,,2015-08,2015,243,,14-26,Closed,Article,"Keller, Edward A.; Bean, Garret; Best, David","Keller, Edward A.","Keller, Edward A. (University of California, Santa Barbara); Bean, Garret (); Best, David ()",5,2,,0.93,,https://app.dimensions.ai/details/publication/pub.1029968160,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1001411510,10.1016/j.geomorph.2014.12.001,,,Being an expert witness in geomorphology,Geomorphology,,,2015-02,2015,231,,383-389,Closed,Article,"Keller, Edward A.","Keller, Edward A.","Keller, Edward A. (University of California, Santa Barbara)",2,2,,0.39,,https://app.dimensions.ai/details/publication/pub.1001411510,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
6,100,pub.1043268504,10.1130/b30211.1,,,"Tectonic geomorphology of marine terraces: Santa Barbara fold belt, California",Geological Society of America Bulletin,,,2014-01-01,2014,126,1-2,219-233,Closed,Article,"Gurrola, Larry D.; Keller, Edward A.; Chen, James H.; Owen, Lewis A.; Spencer, Joel Q.",,"Gurrola, Larry D. (); Keller, Edward A. (University of California, Santa Barbara); Chen, James H. (California Institute of Technology); Owen, Lewis A. (University of Cincinnati); Spencer, Joel Q. (Kansas State University)",13,1,,2.1,,https://app.dimensions.ai/details/publication/pub.1043268504,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
7,100,pub.1025816487,10.1016/j.geomorph.2013.03.003,,,A hydrologic and geomorphic model of estuary breaching and closure,Geomorphology,,,2013-06,2013,191,,64-74,Closed,Article,"Rich, Andrew; Keller, Edward A.","Rich, Andrew","Rich, Andrew (University of California, Santa Barbara); Keller, Edward A. (University of California, Santa Barbara)",16,8,,2.36,,https://app.dimensions.ai/details/publication/pub.1025816487,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
8,100,pub.1015579113,10.1016/j.geomorph.2012.12.027,,,"Effects of active folding and reverse faulting on stream channel evolution, Santa Barbara Fold Belt, California",Geomorphology,,,2013-03,2013,186,,119-135,Closed,Article,"Melosh, Benjamin L.; Keller, Edward A.","Melosh, Benjamin L.","Melosh, Benjamin L. (University of California, Santa Barbara; McGill University); Keller, Edward A. (University of California, Santa Barbara)",14,4,,2.13,,https://app.dimensions.ai/details/publication/pub.1015579113,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1004510475,10.1016/b978-0-12-374739-6.00088-9,,,5.7 Tectonic Geomorphology of Active Folding and Development of Transverse Drainages,,Treatise on Geomorphology,,2013,2013,,,129-147,Closed,Chapter,"Keller, E.A.; DeVecchio, D.E.",,"Keller, E.A. (University of California, Santa Barbara); DeVecchio, D.E. (University of California, Santa Barbara)",8,2,,1.22,,https://app.dimensions.ai/details/publication/pub.1004510475,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
10,100,pub.1020542743,10.1130/l136.1,,,Late Pleistocene structural evolution of the Camarillo fold belt: Implications for lateral fault growth and seismic hazard in Southern California,Литосфера,,,2012-04-01,2012,4,2,91-109,All OA; Gold,Article,"DeVecchio, Duane E.; Keller, Edward A.; Fuchs, Markus; Owen, Lewis A.",,"DeVecchio, Duane E. (University of California, Santa Barbara); Keller, Edward A. (University of California, Santa Barbara); Fuchs, Markus (University of Giessen); Owen, Lewis A. (University of Cincinnati)",8,3,,1.38,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/4/2/91/3050402/91.pdf,https://app.dimensions.ai/details/publication/pub.1020542743,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
11,100,pub.1030524714,10.1007/s12237-011-9439-x,,,Watershed Controls on the Geomorphology of Small Coastal Lagoons in an Active Tectonic Environment,Chesapeake Science,,,2012-01,2012,35,1,183-189,Closed,Article,"Rich, Andrew; Keller, Edward A.","Rich, Andrew","Rich, Andrew (University of California, Santa Barbara); Keller, Edward A. (University of California, Santa Barbara)",3,1,,0.54,,https://app.dimensions.ai/details/publication/pub.1030524714,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,100,pub.1042466069,10.1016/j.geomorph.2010.02.020,,,"Active tectonics in the Sierra Nevada (Betic Cordillera, SE Spain): Insights from geomorphic indexes and drainage pattern analysis",Geomorphology,,,2010-06,2010,119,1-2,74-87,Closed,Article,"Pérez-Peña, José Vicente; Azor, Antonio; Azañón, José Miguel; Keller, Edward A.","Pérez-Peña, José Vicente","Pérez-Peña, José Vicente (University of Granada); Azor, Antonio (University of Granada); Azañón, José Miguel (University of Granada); Keller, Edward A. (University of California, Santa Barbara)",128,50,,13.92,,https://app.dimensions.ai/details/publication/pub.1042466069,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
13,100,pub.1006254351,10.1016/j.geomorph.2009.07.013,,,"Rincon Mountain megaslide: La Conchita, Ventura County, California",Geomorphology,,,2010-01,2010,114,3,311-318,Closed,Article,"Gurrola, Larry D.; DeVecchio, Duane E.; Keller, Edward A.","Keller, Edward A.","Gurrola, Larry D. (); DeVecchio, Duane E. (University of California, Santa Barbara); Keller, Edward A. (University of California, Santa Barbara)",3,1,,0.31,,https://app.dimensions.ai/details/publication/pub.1006254351,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1064974147,10.1306/eg.07110707010,,,"Gaseous emission rates from natural petroleum seeps in the Upper Ojai Valley, California",Environmental Geosciences,,,2007-12,2007,14,4,197-207,"All OA; Green, Published",Article,"Duffy, Marlene; Kinnaman, Franklin S.; Valentine, David L.; Keller, Edward A.; Clark, Jordan F.",,"Duffy, Marlene (University of California, Santa Barbara); Kinnaman, Franklin S. (University of California, Santa Barbara); Valentine, David L. (University of California, Santa Barbara); Keller, Edward A. (University of California, Santa Barbara); Clark, Jordan F. (University of California, Santa Barbara)",11,1,,2.21,https://escholarship.org/content/qt9v41x9ff/qt9v41x9ff.pdf?t=o1yslv,https://app.dimensions.ai/details/publication/pub.1064974147,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
15,100,pub.1001178869,10.1016/j.geomorph.2006.12.006,,,"Tectonic geomorphology and hydrocarbon induced topography of the Mid-Channel Anticline, Santa Barbara Basin, California",Geomorphology,,,2007-09,2007,89,3-4,274-286,Closed,Article,"Keller, E.A.; Duffy, Marlene; Kennett, J.P.; Hill, T.","Keller, E.A.","Keller, E.A. (University of California, Santa Barbara); Duffy, Marlene (University of California, Santa Barbara); Kennett, J.P. (University of California, Santa Barbara); Hill, T. (University of California, Davis)",9,2,,0.93,,https://app.dimensions.ai/details/publication/pub.1001178869,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
16,100,pub.1006679949,10.1016/j.geomorph.2006.02.024,,,"Modeling forced pool–riffle hydraulics in a boulder-bed stream, southern California",Geomorphology,,,2007-01,2007,83,3-4,232-248,Closed,Article,"Harrison, Lee R.; Keller, Edward A.","Harrison, Lee R.","Harrison, Lee R. (University of California, Santa Barbara); Keller, Edward A. (University of California, Santa Barbara)",35,5,,3.48,,https://app.dimensions.ai/details/publication/pub.1006679949,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
17,100,pub.1001567378,10.1130/0016-7606(2002)114<0745:gioafg>2.0.co;2,,,"Geomorphic indicators of active fold growth: South Mountain–Oak Ridge anticline, Ventura basin, southern California",Geological Society of America Bulletin,,,2002-06,2002,114,6,745-753,Closed,Article,"Azor, Antonio; Keller, Edward A.; Yeats, Robert S.",,"Azor, Antonio (University of Granada); Keller, Edward A. (University of California, Santa Barbara); Yeats, Robert S. (Oregon State University)",110,32,,9.88,,https://app.dimensions.ai/details/publication/pub.1001567378,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
18,100,pub.1025351699,10.1130/0016-7606(2000)112<86:tgoafo>2.0.co;2,,,"Tectonic geomorphology of active folding over buried reverse faults: San Emigdio Mountain front, southern San Joaquin Valley, California",Geological Society of America Bulletin,,,2000-01-01,2000,112,1,86-97,Closed,Article,"Keller, E. A.; Seaver, D. B.; Laduzinsky, D. L.; Johnson, D. L.; Ku, T. L.",,"Keller, E. A. (University of California, Santa Barbara); Seaver, D. B. (University of California, Berkeley); Laduzinsky, D. L. (); Johnson, D. L. (University of Illinois at Urbana Champaign); Ku, T. L. (University of Southern California)",29,1,,2.73,,https://app.dimensions.ai/details/publication/pub.1025351699,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1041100219,10.1130/0091-7613(1999)027<0515:gctddo>2.3.co;2,,,Geomorphic criteria to determine direction of lateral propagation of reverse faulting and folding,Geology,,,1999,1999,27,6,515-518,Closed,Article,"Keller, E. A.; Gurrola, Larry; Tierney, T. E.",,"Keller, E. A. (University of California, Santa Barbara); Gurrola, Larry (University of California, Santa Barbara); Tierney, T. E. (University of California, Santa Barbara)",90,11,,,,https://app.dimensions.ai/details/publication/pub.1041100219,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
20,100,pub.1010362129,10.1144/gsl.sp.1999.146.01.04,,,"Oxygen-isotope correlation of marine terraces and uplift of the Mesa hills, Santa Barbara, California, USA",Geological Society London Special Publications,,,1999,1999,146,1,57-69,Closed,Article,"Trecker, M. A.; Gurrola, L. D.; Keller, E. A.",,"Trecker, M. A. (); Gurrola, L. D. (); Keller, E. A. ()",12,0,,,,https://app.dimensions.ai/details/publication/pub.1010362129,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1000022557,10.1130/0016-7606(1998)110<0298:atawrs>2.3.co;2,,,"Active tectonics at Wheeler Ridge, southern San Joaquin Valley, California",Geological Society of America Bulletin,,,1998-03,1998,110,3,298-310,Closed,Article,"Keller, E. A.; Zepeda, R. L.; Rockwell, T. K.; Ku, T. L.; Dinklage, W. S.",,"Keller, E. A. (University of California, Santa Barbara); Zepeda, R. L. (); Rockwell, T. K. (San Diego State University); Ku, T. L. (University of Southern California); Dinklage, W. S. (University of California, Santa Barbara)",76,7,,,,https://app.dimensions.ai/details/publication/pub.1000022557,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
22,100,pub.1001265111,10.1130/0016-7606(1998)110<0711:lqsots>2.3.co;2,,,"Late Quaternary slip on the Santa Cruz Island fault, California",Geological Society of America Bulletin,,,1998,1998,110,6,711-722,Closed,Article,"Pinter, Nicholas; Lueddecke, Susann B.; Keller, Edward A.; Simmons, Kathleen R.",,"Pinter, Nicholas (Southern Illinois University System); Lueddecke, Susann B. (Southern Illinois University System); Keller, Edward A. (University of California, Santa Barbara); Simmons, Kathleen R. ()",27,5,,,,https://app.dimensions.ai/details/publication/pub.1001265111,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
