,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Elizabeth G Wilbanks. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1110063694,10.1111/1462-2920.14484,30461157,,Elevated pCO2 alters marine heterotrophic bacterial community composition and metabolic potential in response to a pulse of phytoplankton organic matter,Environmental Microbiology,,,2019-02,2019,21,2,541-556,Closed,Article,"James, Anna K.; Kelly, Linda W.; Nelson, Craig E.; Wilbanks, Elizabeth G.; Carlson, Craig A.",,"James, Anna K. (University of California, Santa Barbara); Kelly, Linda W. (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Wilbanks, Elizabeth G. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110063694,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
2,500,pub.1101381314,10.1111/1462-2920.14091,29521439,PMC6175402,Primer selection impacts specific population abundances but not community dynamics in a monthly time‐series 16S rRNA gene amplicon analysis of coastal marine bacterioplankton,Environmental Microbiology,,"Archaea; Bacteria; DNA Primers; Ecosystem; Plankton; RNA, Ribosomal, 16S; Sequence Analysis, DNA",2018-08,2018,20,8,2709-2726,All OA; Gold,Article,"Wear, Emma K.; Wilbanks, Elizabeth G.; Nelson, Craig E.; Carlson, Craig A.",,"Wear, Emma K. (University of California, Santa Barbara); Wilbanks, Elizabeth G. (University of California, Santa Barbara); Nelson, Craig E. (University of Hawaii at Manoa); Carlson, Craig A. (University of California, Santa Barbara)",10,10,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1462-2920.14091,https://app.dimensions.ai/details/publication/pub.1101381314,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
3,500,pub.1101728644,10.1099/ijsem.0.002723,29570444,,"Thioclava electrotropha sp. nov., a versatile electrode and sulfur-oxidizing bacterium from marine sediments",International Journal of Systematic and Evolutionary Microbiology,,"Autotrophic Processes; Bacterial Typing Techniques; Base Composition; California; DNA, Bacterial; Electrodes; Fatty Acids; Geologic Sediments; Nucleic Acid Hybridization; Phylogeny; RNA, Ribosomal, 16S; Rhodobacteraceae; Salinity; Seawater; Sequence Analysis, DNA",2018-05-01,2018,68,5,1652-1658,Closed,Article,"Chang, Rachel; Bird, Lina; Barr, Casey; Osburn, Magdalena; Wilbanks, Elizabeth; Nealson, Kenneth; Rowe, Annette",,"Chang, Rachel (University of Southern California); Bird, Lina (University of Southern California); Barr, Casey (University of Southern California); Osburn, Magdalena (Northwestern University); Wilbanks, Elizabeth (University of California, Santa Barbara); Nealson, Kenneth (University of Southern California); Rowe, Annette (University of Southern California; University of Cincinnati)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1101728644,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
4,200,pub.1103696190,10.1128/9781555819545.ch7,,,Nicole Dubilier: A Force of Nature,,Women in Microbiology,,2018-05-01,2018,,,57-64,Closed,Chapter,"Wilbanks, Elizabeth G.",,"Wilbanks, Elizabeth G. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103696190,,,,,,
5,500,pub.1091429192,10.3389/fmicb.2017.01623,28928719,PMC5591377,The Green Berry Consortia of the Sippewissett Salt Marsh: Millimeter-Sized Aggregates of Diazotrophic Unicellular Cyanobacteria,Frontiers in Microbiology,,,2017-09-04,2017,8,,1623,All OA; Gold,Article,"Wilbanks, Elizabeth G.; Salman-Carvalho, Verena; Jaekel, Ulrike; Humphrey, Parris T.; Eisen, Jonathan A.; Buckley, Daniel H.; Zinder, Stephen H.",,"Wilbanks, Elizabeth G. (University of California, Santa Barbara); Salman-Carvalho, Verena (Max Planck Institute for Marine Microbiology); Jaekel, Ulrike (Max Planck Institute for Marine Microbiology); Humphrey, Parris T. (Harvard University); Eisen, Jonathan A. (University of California, Davis); Buckley, Daniel H. (Cornell University); Zinder, Stephen H. (Cornell University)",1,1,0.19,0.3,https://www.frontiersin.org/articles/10.3389/fmicb.2017.01623/pdf,https://app.dimensions.ai/details/publication/pub.1091429192,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
6,400,pub.1019952139,10.1371/journal.pone.0127630,26020781,PMC4447401,"Candidatus Frankia Datiscae Dg1, the Actinobacterial Microsymbiont of Datisca glomerata, Expresses the Canonical nod Genes nodABC in Symbiosis with Its Host Plant",PLoS ONE,,"Bacterial Proteins; Cucurbitaceae; Frankia; Gene Expression Regulation, Bacterial; Genome, Bacterial; Operon; Phylogeny; Symbiosis",2015-05-28,2015,10,5,e0127630,All OA; Gold,Article,"Persson, Tomas; Battenberg, Kai; Demina, Irina V.; Vigil-Stenman, Theoden; Heuvel, Brian Vanden; Pujic, Petar; Facciotti, Marc T.; Wilbanks, Elizabeth G.; O'Brien, Anna; Fournier, Pascale; Hernandez, Maria Antonia Cruz; Herrera, Alberto Mendoza; Médigue, Claudine; Normand, Philippe; Pawlowski, Katharina; Berry, Alison M.",,"Persson, Tomas (Stockholm University); Battenberg, Kai (University of California, Davis); Demina, Irina V. (Stockholm University); Vigil-Stenman, Theoden (Stockholm University); Heuvel, Brian Vanden (Colorado State University); Pujic, Petar (); Facciotti, Marc T. (University of California, Davis); Wilbanks, Elizabeth G. (University of California, Davis); O'Brien, Anna (University of California, Davis); Fournier, Pascale (); Hernandez, Maria Antonia Cruz (National Polytechnic Institute); Herrera, Alberto Mendoza (National Polytechnic Institute); Médigue, Claudine (Genoscope); Normand, Philippe (); Pawlowski, Katharina (Stockholm University); Berry, Alison M. (University of California, Davis)",41,20,2.2,8.59,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0127630&type=printable,https://app.dimensions.ai/details/publication/pub.1019952139,0607 Plant Biology; 0604 Genetics; 06 Biological Sciences,0607 Plant Biology,0604 Genetics,06 Biological Sciences,,
7,400,pub.1048335526,10.1111/1462-2920.12388,24428801,PMC4262008,Microscale sulfur cycling in the phototrophic pink berry consortia of the Sippewissett Salt Marsh,Environmental Microbiology,,Bacteria; Chromatiaceae; Metagenome; Microbial Consortia; Oxidation-Reduction; Photosynthesis; Phylogeny; Sulfates; Sulfides; Sulfur; Wetlands,2014-11,2014,16,11,3398-3415,All OA; Gold,Article,"Wilbanks, Elizabeth G.; Jaekel, Ulrike; Salman, Verena; Humphrey, Parris T.; Eisen, Jonathan A.; Facciotti, Marc T.; Buckley, Daniel H.; Zinder, Stephen H.; Druschel, Gregory K.; Fike, David A.; Orphan, Victoria J.",,"Wilbanks, Elizabeth G. (University of California, Davis); Jaekel, Ulrike (Harvard University); Salman, Verena (University of North Carolina at Chapel Hill); Humphrey, Parris T. (University of Arizona); Eisen, Jonathan A. (University of California, Davis); Facciotti, Marc T. (University of California, Davis); Buckley, Daniel H. (Cornell University); Zinder, Stephen H. (Cornell University); Druschel, Gregory K. (Indiana University – Purdue University Indianapolis); Fike, David A. (Washington University in St. Louis); Orphan, Victoria J. (California Institute of Technology)",39,14,1.86,6.22,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1462-2920.12388,https://app.dimensions.ai/details/publication/pub.1048335526,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
8,100,pub.1109353663,10.7287/peerj.preprints.290,,,In a fit of pique: Analyzing microbial ChIP-Seq data with Pique,PeerJ Preprints,,,2014-03-15,2014,,,,"All OA; Green, Published",Preprint,"Neches, Russell Y; Seitzer, Phillip M; Wilbanks, Elizabeth G; Facciotti, Marc T",,"Neches, Russell Y (University of California, Davis); Seitzer, Phillip M (University of California, Davis); Wilbanks, Elizabeth G (University of California, Davis); Facciotti, Marc T (University of California, Davis)",0,0,,0,https://peerj.com/preprints/290v2.pdf,https://app.dimensions.ai/details/publication/pub.1109353663,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
9,100,pub.1107343683,10.7287/peerj.preprints.290v2,,,In a fit of pique: Analyzing microbial ChIP-Seq data with Pique,PeerJ Preprints,,,2014-03-15,2014,2,,e290v2,"All OA; Green, Published",Preprint,"Neches, Russell Y; Seitzer, Phillip M; Wilbanks, Elizabeth G; Facciotti, Marc T",,"Neches, Russell Y (University of California, Davis); Seitzer, Phillip M (University of California, Davis); Wilbanks, Elizabeth G (University of California, Davis); Facciotti, Marc T (University of California, Davis)",0,0,,0,https://peerj.com/preprints/290v2.pdf,https://app.dimensions.ai/details/publication/pub.1107343683,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
