,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Elizabeth R Chrastil. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1117367304,10.1016/j.cognition.2019.06.010,31228680,,Vision and proprioception make equal contributions to path integration in a novel homing task,Cognition,,,2019-11,2019,192,,103998,Closed,Article,"Chrastil, Elizabeth R.; Nicora, Grace L.; Huang, Andrew","Chrastil, Elizabeth R.","Chrastil, Elizabeth R. (University of California, Santa Barbara); Nicora, Grace L. (University of California, Santa Barbara); Huang, Andrew (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117367304,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
2,200,pub.1117150370,10.3389/fnhum.2019.00202,31249519,PMC6584751,Editorial: Spatial Navigation: Memory Mechanisms and Executive Function Interactions,Frontiers in Human Neuroscience,,,2019-06-13,2019,13,,202,All OA; Gold,Article,"Brown, Thackery I.; Chrastil, Elizabeth R.",,"Brown, Thackery I. (Georgia Institute of Technology); Chrastil, Elizabeth R. (University of California, Santa Barbara)",0,0,,,https://www.frontiersin.org/articles/10.3389/fnhum.2019.00202/pdf,https://app.dimensions.ai/details/publication/pub.1117150370,11 Medical and Health Sciences; 17 Psychology and Cognitive Sciences; 1701 Psychology; 1109 Neurosciences; 1702 Cognitive Sciences,11 Medical and Health Sciences,17 Psychology and Cognitive Sciences,1701 Psychology,1109 Neurosciences,1702 Cognitive Sciences
3,500,pub.1107639403,10.3389/fnhum.2018.00415,30459579,PMC6232837,Resting State Connectivity Between Medial Temporal Lobe Regions and Intrinsic Cortical Networks Predicts Performance in a Path Integration Task,Frontiers in Human Neuroscience,,,2018-10-16,2018,12,,415,All OA; Gold,Article,"Izen, Sarah C.; Chrastil, Elizabeth R.; Stern, Chantal E.",,"Izen, Sarah C. (Boston University); Chrastil, Elizabeth R. (Boston University; Massachusetts General Hospital; University of California, Santa Barbara); Stern, Chantal E. (Boston University; Massachusetts General Hospital)",1,1,,,https://doi.org/10.3389/fnhum.2018.00415,https://app.dimensions.ai/details/publication/pub.1107639403,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
4,500,pub.1107637741,10.1037/bne0000278,30321025,,Converging meta-analytic and connectomic evidence for functional subregions within the human retrosplenial region.,Behavioral Neuroscience,,Cerebral Cortex; Connectome; Humans; Mental Processes; Meta-Analysis as Topic; Neural Pathways,2018-10,2018,132,5,339,Closed,Article,"Chrastil, Elizabeth R; Tobyne, Sean M; Nauer, Rachel K; Chang, Allen E; Stern, Chantal E",,"Chrastil, Elizabeth R (Boston University); Tobyne, Sean M (Boston University); Nauer, Rachel K (Boston University); Chang, Allen E (Boston University); Stern, Chantal E (Boston University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107637741,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
5,500,pub.1106418449,10.1037/bne0000261,30160506,,Heterogeneity in human retrosplenial cortex: A review of function and connectivity.,Behavioral Neuroscience,,Animals; Cerebral Cortex; Humans; Mental Processes; Neural Pathways,2018-10,2018,132,5,317-338,Closed,Article,"Chrastil, Elizabeth R",,"Chrastil, Elizabeth R (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1106418449,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
6,500,pub.1103390954,10.1016/j.neuroscience.2018.04.006,29673867,,Structural differences in hippocampal and entorhinal gray matter volume support individual differences in first-person navigational ability,Neuroscience,,"Adult; Entorhinal Cortex; Female; Gray Matter; Hippocampus; Humans; Image Processing, Computer-Assisted; Individuality; Magnetic Resonance Imaging; Male; Orientation, Spatial; Spatial Navigation; Young Adult",2018-06,2018,380,Journal of Cogntive Neuroscience 2018,123-131,Closed,Article,"Sherrill, Katherine R.; Chrastil, Elizabeth R.; Aselcioglu, Irem; Hasselmo, Michael E.; Stern, Chantal E.","Stern, Chantal E.","Sherrill, Katherine R. (Boston University; Massachusetts General Hospital); Chrastil, Elizabeth R. (Boston University; Massachusetts General Hospital); Aselcioglu, Irem (Boston University); Hasselmo, Michael E. (Boston University); Stern, Chantal E. (Boston University; Massachusetts General Hospital)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1103390954,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
7,200,pub.1091459743,10.1167/17.10.720,,,"Visual, Vestibular, and Proprioceptive Contributions to Path Integration in a Novel Homing Task",Journal of Vision,,,2017-08-31,2017,17,10,720,All OA; Gold,Article,"Chrastil, Elizabeth; Nicora, Grace",,"Chrastil, Elizabeth (University of California, Santa Barbara); Nicora, Grace (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1167/17.10.720,https://app.dimensions.ai/details/publication/pub.1091459743,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,,,
8,500,pub.1084019708,10.1007/s00221-017-4910-y,28303327,,Rotational error in path integration: encoding and execution errors in angle reproduction,Experimental Brain Research,,Adult; Female; Humans; Male; Motor Activity; Psychomotor Performance; Space Perception; Spatial Navigation; Virtual Reality; Young Adult,2017-06,2017,235,6,1885-1897,Closed,Article,"Chrastil, Elizabeth R.; Warren, William H.","Chrastil, Elizabeth R.","Chrastil, Elizabeth R. (Brown University; University of California, Santa Barbara); Warren, William H. (Brown University)",4,4,0.26,2.36,,https://app.dimensions.ai/details/publication/pub.1084019708,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
9,500,pub.1084631261,10.1523/eneuro.0346-16.2017,28451633,PMC5392707,"Individual Differences in Human Path Integration Abilities Correlate with Gray Matter Volume in Retrosplenial Cortex, Hippocampus, and Medial Prefrontal Cortex",eNeuro,,Adult; Brain Mapping; Cerebral Cortex; Female; Gray Matter; Hippocampus; Humans; Magnetic Resonance Imaging; Male; Motion Perception; Photic Stimulation; Prefrontal Cortex; Spatial Navigation; Young Adult,2017-03,2017,4,2,eneuro.0346-16.2017,All OA; Gold,Article,"Chrastil, Elizabeth R; Sherrill, Katherine R; Aselcioglu, Irem; Hasselmo, Michael E; Stern, Chantal E",,"Chrastil, Elizabeth R (Boston University; Massachusetts General Hospital); Sherrill, Katherine R (Boston University; Massachusetts General Hospital); Aselcioglu, Irem (Boston University); Hasselmo, Michael E (Boston University); Stern, Chantal E (Boston University; Massachusetts General Hospital)",19,18,1.38,11.21,http://www.eneuro.org/content/eneuro/4/2/ENEURO.0346-16.2017.full.pdf,https://app.dimensions.ai/details/publication/pub.1084631261,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
