,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Francis A Macdonald. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117308975,10.1130/b32012.1,,,Paleomagnetism of the Chuar Group and evaluation of the late Tonian Laurentian apparent polar wander path with implications for the makeup and breakup of Rodinia,Geological Society of America Bulletin,,,2019-06-17,2019,,,,Closed,Article,"Eyster, Athena; Weiss, Benjamin P.; Karlstrom, Karl; Macdonald, Francis A.",,"Eyster, Athena (Massachusetts Institute of Technology); Weiss, Benjamin P. (Massachusetts Institute of Technology); Karlstrom, Karl (University of New Mexico); Macdonald, Francis A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117308975,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1101624282,10.1080/14772019.2018.1443977,,,"Palaeobiology of latest Ediacaran phosphorites from the upper Khesen Formation, Khuvsgul Group, northern Mongolia",Journal of Systematic Palaeontology,,,2019-03-19,2019,17,6,1-32,Closed,Article,"Anderson, Ross P.; McMahon, Sean; Macdonald, Francis A.; Jones, David S.; Briggs, Derek E. G.",,"Anderson, Ross P. (); McMahon, Sean (); Macdonald, Francis A. (Harvard University); Jones, David S. (Amherst College); Briggs, Derek E. G. (Yale University)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1101624282,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,500,pub.1112765320,10.1126/science.aav5300,30872536,,Arc-continent collisions in the tropics set Earth’s climate state,Science,,,2019-03-14,2019,364,6436,eaav5300,"All OA; Green, Accepted & Submitted",Article,"Macdonald, Francis A.; Swanson-Hysell, Nicholas L.; Park, Yuem; Lisiecki, Lorraine; Jagoutz, Oliver",,"Macdonald, Francis A. (University of California, Santa Barbara); Swanson-Hysell, Nicholas L. (University of California, Berkeley); Park, Yuem (University of California, Berkeley); Lisiecki, Lorraine (University of California, Santa Barbara); Jagoutz, Oliver (Massachusetts Institute of Technology)",6,6,,,https://escholarship.org/content/qt4k06c637/qt4k06c637.pdf?t=pq1ral,https://app.dimensions.ai/details/publication/pub.1112765320,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
4,100,pub.1110031766,10.1016/j.epsl.2018.10.046,,,An early diagenetic deglacial origin for basal Ediacaran “cap dolostones”,Earth and Planetary Science Letters,,,2019-01,2019,506,Geochim. Cosmochim. Acta 236 2018,292-307,Closed,Article,"Ahm, Anne-Sofie C.; Maloof, Adam C.; Macdonald, Francis A.; Hoffman, Paul F.; Bjerrum, Christian J.; Bold, Uyanga; Rose, Catherine V.; Strauss, Justin V.; Higgins, John A.","Ahm, Anne-Sofie C.","Ahm, Anne-Sofie C. (Princeton University); Maloof, Adam C. (Princeton University); Macdonald, Francis A. (University of California, Santa Barbara); Hoffman, Paul F. (); Bjerrum, Christian J. (University of Copenhagen); Bold, Uyanga (University of Tokyo); Rose, Catherine V. (University of St Andrews); Strauss, Justin V. (Dartmouth College); Higgins, John A. (Princeton University)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1110031766,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
5,100,pub.1090354845,10.1016/j.palaeo.2017.07.002,,,Phosphatized early Cambrian archaeocyaths and small shelly fossils (SSFs) of southwestern Mongolia,Palaeogeography Palaeoclimatology Palaeoecology,,,2019-01,2019,513,Science 277 1997,166-177,Closed,Article,"Pruss, Sara B.; Dwyer, Camille H.; Smith, Emily F.; Macdonald, Francis A.; Tosca, Nicholas J.","Pruss, Sara B.","Pruss, Sara B. (Smith College); Dwyer, Camille H. (University of New Mexico); Smith, Emily F. (Smithsonian Institution; Johns Hopkins University); Macdonald, Francis A. (Harvard University); Tosca, Nicholas J. (University of Oxford)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1090354845,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,100,pub.1092180870,10.1016/j.precamres.2017.09.025,,,Cryogenian magmatism along the north-western margin of Laurentia: Plume or rift?,Precambrian Research,,,2018-12,2018,319,Geochem. Int. 51 2013,144-157,Closed,Article,"Cox, Grant M.; Halverson, Galen P.; Denyszyn, Steven; Foden, John; Macdonald, Francis A.","Cox, Grant M.","Cox, Grant M. (University of Adelaide; Curtin University); Halverson, Galen P. (McGill University); Denyszyn, Steven (University of Western Australia); Foden, John (University of Adelaide); Macdonald, Francis A. (Harvard University)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092180870,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,100,pub.1091147699,10.1016/j.precamres.2017.08.015,,,Cryogenian of Yukon,Precambrian Research,,,2018-12,2018,319,Bulletin 9 1997,114-143,Closed,Article,"Macdonald, Francis A.; Schmitz, Mark D.; Strauss, Justin V.; Halverson, Galen P.; Gibson, Timothy M.; Eyster, Athena; Cox, Grant; Mamrol, Peter; Crowley, James L.","Macdonald, Francis A.","Macdonald, Francis A. (Harvard University); Schmitz, Mark D. (Boise State University); Strauss, Justin V. (Dartmouth College); Halverson, Galen P. (McGill University); Gibson, Timothy M. (McGill University); Eyster, Athena (Harvard University); Cox, Grant (University of Adelaide); Mamrol, Peter (Dartmouth College); Crowley, James L. (Boise State University)",10,10,,,,https://app.dimensions.ai/details/publication/pub.1091147699,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1105943701,10.1130/g45275.1,,,Calcium isotope evidence that the earliest metazoan biomineralizers formed aragonite shells,Geology,,,2018-09-01,2018,46,9,763-766,Closed,Article,"Pruss, Sara B.; Blättler, Clara L.; Macdonald, Francis A.; Higgins, John A.",,"Pruss, Sara B. (Smith College); Blättler, Clara L. (Princeton University); Macdonald, Francis A. (Harvard University); Higgins, John A. (Princeton University)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1105943701,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
9,200,pub.1100093727,10.1130/b31768.1,,,"Coupled Re-Os and U-Pb geochronology of the Tonian Chuar Group, Grand Canyon",Geological Society of America Bulletin,,,2018-07-01,2018,130,7-8,1085-1098,"All OA; Green, Accepted & Submitted",Article,"Rooney, Alan D.; Austermann, Jacqueline; Smith, Emily F.; Li, Yang; Selby, David; Dehler, Carol M.; Schmitz, Mark D.; Karlstrom, Karl E.; Macdonald, Francis A.",,"Rooney, Alan D. (Yale University; Harvard University); Austermann, Jacqueline (Harvard University; University of Cambridge); Smith, Emily F. (Harvard University; Johns Hopkins University); Li, Yang (Yale University; Durham University); Selby, David (Durham University); Dehler, Carol M. (Utah State University); Schmitz, Mark D. (Boise State University); Karlstrom, Karl E. (University of New Mexico); Macdonald, Francis A. (Harvard University)",8,7,,,http://dro.dur.ac.uk/23729/1/23729.pdf,https://app.dimensions.ai/details/publication/pub.1100093727,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
