,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Frank W Davis. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112192235,10.1016/j.agrformet.2019.02.015,,,LiDAR-derived topography and forest structure predict fine-scale variation in daily surface temperatures in oak savanna and conifer forest landscapes,Agricultural and Forest Meteorology,,,2019-05,2019,269,Agric. For. Meteorol. 176 2013,192-202,Closed,Article,"Davis, Frank W.; Synes, Nicholas W.; Fricker, Geoffrey A.; McCullough, Ian M.; Serra-Diaz, Josep M.; Franklin, Janet; Flint, Alan L.","Davis, Frank W.","Davis, Frank W. (University of California, Santa Barbara); Synes, Nicholas W. (Arizona State University); Fricker, Geoffrey A. (Arizona State University; California Polytechnic State University; University of California, Riverside); McCullough, Ian M. (Michigan State University); Serra-Diaz, Josep M. (Aarhus University); Franklin, Janet (Arizona State University; University of California, Riverside); Flint, Alan L. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112192235,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,500,pub.1104496309,10.1007/s13280-018-1067-2,29949079,PMC6346603,Implementation strategies for systematic conservation planning,Ambio,,Conservation of Natural Resources,2019-02,2019,48,2,139-152,"All OA; Green, Accepted & Submitted",Article,"Adams, Vanessa M.; Mills, Morena; Weeks, Rebecca; Segan, Daniel B.; Pressey, Robert L.; Gurney, Georgina G.; Groves, Craig; Davis, Frank W.; Álvarez-Romero, Jorge G.","Adams, Vanessa M.","Adams, Vanessa M. (University of Tasmania; Macquarie University); Mills, Morena (Imperial College London); Weeks, Rebecca (James Cook University); Segan, Daniel B. (Wildlife Conservation Society; Tahoe Regional Planning Agency); Pressey, Robert L. (James Cook University); Gurney, Georgina G. (James Cook University); Groves, Craig (); Davis, Frank W. (University of California, Santa Barbara); Álvarez-Romero, Jorge G. (James Cook University)",5,5,,,http://marxiv.org/ctmjb//download,https://app.dimensions.ai/details/publication/pub.1104496309,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
3,100,pub.1112390858,10.1002/ecs2.2540,,,The terrestrial organism and biogeochemistry spatial sampling design for the National Ecological Observatory Network,Ecosphere,,,2019-02,2019,10,2,e02540,All OA; Gold,Article,"Barnett, David T.; Duffy, Paul A.; Schimel, David S.; Krauss, Rachel E.; Irvine, Kathryn M.; Davis, Frank W.; Gross, John E.; Azuaje, Elena I.; Thorpe, Andrea S.; Gudex‐Cross, David; Patterson, Michael; McKay, Jalynda M.; McCorkel, Joel T.; Meier, Courtney L.",,"Barnett, David T. (Battelle); Duffy, Paul A. (); Schimel, David S. (Jet Propulsion Lab); Krauss, Rachel E. (Battelle); Irvine, Kathryn M. (); Davis, Frank W. (University of California, Santa Barbara); Gross, John E. (National Park Service); Azuaje, Elena I. (Battelle); Thorpe, Andrea S. (Battelle); Gudex‐Cross, David (Battelle); Patterson, Michael (Battelle); McKay, Jalynda M. (Battelle); McCorkel, Joel T. (Goddard Space Flight Center); Meier, Courtney L. (Battelle; Institute of Arctic and Alpine Research)",1,1,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2540,https://app.dimensions.ai/details/publication/pub.1112390858,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
4,100,pub.1110715527,10.1016/j.foreco.2018.12.006,,,"More than climate? Predictors of tree canopy height vary with scale in complex terrain, Sierra Nevada, CA (USA)",Forest Ecology and Management,,,2019-02,2019,434,Glob. Change Biol. 22 2016,142-153,"All OA; Green, Accepted & Submitted",Article,"Fricker, Geoffrey A.; Synes, Nicholas W.; Serra-Diaz, Josep M.; North, Malcolm P.; Davis, Frank W.; Franklin, Janet","Fricker, Geoffrey A.","Fricker, Geoffrey A. (University of California, Riverside; California Polytechnic State University; Arizona State University); Synes, Nicholas W. (Arizona State University); Serra-Diaz, Josep M. (University of Lorraine; Aarhus University); North, Malcolm P. (Pacific Southwest Research Station); Davis, Frank W. (University of California, Santa Barbara); Franklin, Janet (University of California, Riverside; Arizona State University)",0,0,,,https://escholarship.org/content/qt5xm5v5mp/qt5xm5v5mp.pdf?t=pnwhpv,https://app.dimensions.ai/details/publication/pub.1110715527,0705 Forestry Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
5,100,pub.1111761074,10.1002/ecs2.2570,,,Demography of evergreen and deciduous oaks in a mixed oak savanna: insights from a long‐term experiment,Ecosphere,,,2019-01,2019,10,1,e02570,All OA; Gold,Article,"Davis, Frank W.; Tyler, Claudia M.; Mahall, Bruce E.",,"Davis, Frank W. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",2,2,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2570,https://app.dimensions.ai/details/publication/pub.1111761074,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,500,pub.1101347094,10.1002/eap.1682,29509310,PMC5947264,Satellite sensor requirements for monitoring essential biodiversity variables of coastal ecosystems,Ecological Applications,,Biodiversity; Oceans and Seas; Phytoplankton; Remote Sensing Technology,2018-04,2018,28,3,749-760,All OA; Gold,Article,"Muller-Karger, Frank E; Hestir, Erin; Ade, Christiana; Turpie, Kevin; Roberts, Dar A; Siegel, David; Miller, Robert J; Humm, David; Izenberg, Noam; Keller, Mary; Morgan, Frank; Frouin, Robert; Dekker, Arnold G; Gardner, Royal; Goodman, James; Schaeffer, Blake; Franz, Bryan A; Pahlevan, Nima; Mannino, Antonio G; Concha, Javier A; Ackleson, Steven G; Cavanaugh, Kyle C; Romanou, Anastasia; Tzortziou, Maria; Boss, Emmanuel S; Pavlick, Ryan; Freeman, Anthony; Rousseaux, Cecile S; Dunne, John; Long, Matthew C; Klein, Eduardo; McKinley, Galen A; Goes, Joachim; Letelier, Ricardo; Kavanaugh, Maria; Roffer, Mitchell; Bracher, Astrid; Arrigo, Kevin R; Dierssen, Heidi; Zhang, Xiaodong; Davis, Frank W; Best, Ben; Guralnick, Robert; Moisan, John; Sosik, Heidi M; Kudela, Raphael; Mouw, Colleen B; Barnard, Andrew H; Palacios, Sherry; Roesler, Collin; Drakou, Evangelia G; Appeltans, Ward; Jetz, Walter",,"Muller-Karger, Frank E (University of South Florida); Hestir, Erin (University of California, Merced); Ade, Christiana (University of California, Merced); Turpie, Kevin (); Roberts, Dar A (University of Southern California); Siegel, David (University of Southern California); Miller, Robert J (University of Southern California); Humm, David (Johns Hopkins University); Izenberg, Noam (Johns Hopkins University); Keller, Mary (Johns Hopkins University); Morgan, Frank (Johns Hopkins University); Frouin, Robert (Scripps Institution of Oceanography); Dekker, Arnold G (Commonwealth Scientific and Industrial Research Organisation); Gardner, Royal (Stetson University); Goodman, James (); Schaeffer, Blake (); Franz, Bryan A (Goddard Space Flight Center); Pahlevan, Nima (Goddard Space Flight Center); Mannino, Antonio G (Goddard Space Flight Center); Concha, Javier A (Goddard Space Flight Center); Ackleson, Steven G (United States Naval Research Laboratory); Cavanaugh, Kyle C (University of California Los Angeles); Romanou, Anastasia (Goddard Institute for Space Studies); Tzortziou, Maria (Goddard Space Flight Center; Queens College, City University of New York); Boss, Emmanuel S (University of Maine); Pavlick, Ryan (Jet Propulsion Lab); Freeman, Anthony (Jet Propulsion Lab); Rousseaux, Cecile S (Goddard Space Flight Center); Dunne, John (Geophysical Fluid Dynamics Laboratory); Long, Matthew C (Climate and Global Dynamics Laboratory); Klein, Eduardo (Simón Bolívar University); McKinley, Galen A (Lamont-Doherty Earth Observatory); Goes, Joachim (Lamont-Doherty Earth Observatory); Letelier, Ricardo (Oregon State University); Kavanaugh, Maria (Oregon State University); Roffer, Mitchell (Roffer’s Ocean Fishing Forecasting Service); Bracher, Astrid (Alfred Wegener Institute for Polar and Marine Research); Arrigo, Kevin R (Stanford University); Dierssen, Heidi (University of Connecticut); Zhang, Xiaodong (University of North Dakota); Davis, Frank W (University of California, Santa Barbara); Best, Ben (); Guralnick, Robert (University of Florida); Moisan, John (Wallops Flight Facility); Sosik, Heidi M (Woods Hole Oceanographic Institution); Kudela, Raphael (University of California, Santa Cruz); Mouw, Colleen B (University of Rhode Island); Barnard, Andrew H (); Palacios, Sherry (Ames Research Center); Roesler, Collin (Bowdoin College); Drakou, Evangelia G (University of Twente); Appeltans, Ward (); Jetz, Walter (Yale University)",24,23,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/eap.1682,https://app.dimensions.ai/details/publication/pub.1101347094,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
7,100,pub.1093087907,10.1002/fee.1732,,,Developing a translational ecology workforce,Frontiers in Ecology and the Environment,,,2017-12,2017,15,10,587-596,All OA; Gold,Article,"Schwartz, Mark W; Hiers, J Kevin; Davis, Frank W; Garfin, Gregg M; Jackson, Stephen T; Terando, Adam J; Woodhouse, Connie A; Morelli, Toni Lyn; Williamson, Matthew A; Brunson, Mark W",,"Schwartz, Mark W (University of California, Davis); Hiers, J Kevin (); Davis, Frank W (University of California, Santa Barbara); Garfin, Gregg M (University of Arizona); Jackson, Stephen T (University of Arizona); Terando, Adam J (North Carolina State University); Woodhouse, Connie A (University of Arizona); Morelli, Toni Lyn (); Williamson, Matthew A (University of California, Davis); Brunson, Mark W (Utah State University)",12,9,,7.08,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/fee.1732,https://app.dimensions.ai/details/publication/pub.1093087907,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
8,100,pub.1091086218,10.1016/j.foreco.2017.07.025,,,A range of possibilities: Assessing geographic variation in climate sensitivity of ponderosa pine using tree rings,Forest Ecology and Management,,,2017-10,2017,402,PNAS 106 2009,223-233,Closed,Article,"McCullough, Ian M.; Davis, Frank W.; Williams, A. Park","McCullough, Ian M.","McCullough, Ian M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Williams, A. Park (Lamont-Doherty Earth Observatory)",10,10,,3.89,,https://app.dimensions.ai/details/publication/pub.1091086218,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,200,pub.1084823344,10.1093/biosci/bix053,,,Synthesis Centers as Critical Research Infrastructure,BioScience,,,2017-08-01,2017,67,8,750-759,All OA; Gold,Article,"Baron, Jill S.; Specht, Alison; Garnier, Eric; Bishop, Pamela; Campbell, C. Andrew; Davis, Frank W.; Fady, Bruno; Field, Dawn; Gross, Louis J.; Guru, Siddeswara M.; Halpern, Benjamin S.; Hampton, Stephanie E.; Leavitt, Peter R.; Meagher, Thomas R.; Ometto, Jean; Parker, John N.; Price, Richard; Rawson, Casey H.; Rodrigo, Allen; Sheble, Laura A.; Winter, Marten",,"Baron, Jill S. (University of Queensland); Specht, Alison (University of Queensland); Garnier, Eric (University of Queensland); Bishop, Pamela (University of Queensland); Campbell, C. Andrew (University of Queensland); Davis, Frank W. (University of Queensland); Fady, Bruno (University of Queensland); Field, Dawn (University of Queensland); Gross, Louis J. (University of Queensland); Guru, Siddeswara M. (University of Queensland); Halpern, Benjamin S. (University of Queensland); Hampton, Stephanie E. (University of Queensland); Leavitt, Peter R. (University of Queensland); Meagher, Thomas R. (University of Queensland); Ometto, Jean (University of Queensland); Parker, John N. (University of Queensland); Price, Richard (University of Queensland); Rawson, Casey H. (University of Queensland); Rodrigo, Allen (University of Queensland); Sheble, Laura A. (University of Queensland); Winter, Marten (University of Queensland)",14,13,,,https://academic.oup.com/bioscience/article-pdf/67/8/750/19425758/bix053.pdf,https://app.dimensions.ai/details/publication/pub.1084823344,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
