,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Gregory J Husak. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117347740,10.1175/jcli-d-18-0698.1,,,A high-resolution 1983-2016 Tmax climate data record based on InfraRed Temperatures and Stations by the Climate Hazard Center A high-resolution 1983-2016 Tmax climate data record based on InfraRed Temperatures and Stations by the Climate Hazard Center,Journal of Climate,,,2019-09,2019,32,17,5639-5658,Closed,Article,"Funk, Chris; Peterson, Pete; Peterson, Seth; Shukla, Shraddhanand; Davenport, Frank; Michaelsen, Joel; Knapp, Kenneth R.; Landsfeld, Martin; Husak, Gregory; Harrison, Laura; Rowland, James; Budde, Michael; Meiburg, Alex; Dinku, Tufa; Pedreros, Diego; Mata, Nicholas",,"Funk, Chris (United States Geological Survey; University of California, Santa Barbara); Peterson, Pete (University of California, Santa Barbara); Peterson, Seth (University of California, Santa Barbara); Shukla, Shraddhanand (University of California, Santa Barbara); Davenport, Frank (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara); Knapp, Kenneth R. (); Landsfeld, Martin (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Harrison, Laura (University of California, Santa Barbara); Rowland, James (United States Geological Survey); Budde, Michael (United States Geological Survey); Meiburg, Alex (University of California, Santa Barbara); Dinku, Tufa (Columbia University); Pedreros, Diego (United States Geological Survey); Mata, Nicholas (United States Geological Survey)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117347740,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
2,100,pub.1111395688,10.1002/joc.6003,,,Pacific sea surface temperature linkages with Tanzania's multi‐season drying trends,International Journal of Climatology,,,2019-05,2019,39,6,3057-3075,All OA; Gold,Article,"Harrison, Laura; Funk, Chris; McNally, Amy; Shukla, Shraddhanand; Husak, Gregory",,"Harrison, Laura (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara; United States Geological Survey); McNally, Amy (University of Maryland, College Park; Goddard Space Flight Center); Shukla, Shraddhanand (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara)",0,0,,,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/joc.6003,https://app.dimensions.ai/details/publication/pub.1111395688,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
3,500,pub.1107943149,10.1016/j.scitotenv.2018.10.406,30414582,,Financing agricultural drought risk through ex-ante cash transfers,The Science of The Total Environment,,,2019-02,2019,653,,523-535,All OA; Gold,Article,"Nobre, Gabriela Guimarães; Davenport, Frank; Bischiniotis, Konstantinos; Veldkamp, Ted; Jongman, Brenden; Funk, Christopher C.; Husak, Gregory; Ward, Philip J.; Aerts, Jeroen C.J.H.","Nobre, Gabriela Guimarães","Nobre, Gabriela Guimarães (VU University Amsterdam); Davenport, Frank (University of California, Santa Barbara); Bischiniotis, Konstantinos (VU University Amsterdam); Veldkamp, Ted (VU University Amsterdam); Jongman, Brenden (VU University Amsterdam; World Bank Group); Funk, Christopher C. (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Ward, Philip J. (VU University Amsterdam); Aerts, Jeroen C.J.H. (VU University Amsterdam)",2,2,,,https://doi.org/10.1016/j.scitotenv.2018.10.406,https://app.dimensions.ai/details/publication/pub.1107943149,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
4,100,pub.1101144212,10.1002/qj.3266,,,Examining the role of unusually warm Indo‐Pacific sea‐surface temperatures in recent African droughts,Quarterly Journal of the Royal Meteorological Society,,,2018-11,2018,144,S1,360-383,All OA; Gold,Article,"Funk, Chris; Harrison, Laura; Shukla, Shraddhanand; Pomposi, Catherine; Galu, Gideon; Korecha, Diriba; Husak, Gregory; Magadzire, Tamuka; Davenport, Frank; Hillbruner, Chris; Eilerts, Gary; Zaitchik, Benjamin; Verdin, James",,"Funk, Chris (United States Geological Survey; University of California, Santa Barbara); Harrison, Laura (University of California, Santa Barbara); Shukla, Shraddhanand (University of California, Santa Barbara); Pomposi, Catherine (University of California, Santa Barbara); Galu, Gideon (University of California, Santa Barbara); Korecha, Diriba (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Magadzire, Tamuka (University of California, Santa Barbara); Davenport, Frank (University of California, Santa Barbara); Hillbruner, Chris (); Eilerts, Gary (United States Agency for International Development); Zaitchik, Benjamin (Johns Hopkins University); Verdin, James (United States Agency for International Development)",10,10,,,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/qj.3266,https://app.dimensions.ai/details/publication/pub.1101144212,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1103640120,10.1016/j.rse.2018.04.025,,,"Smallholder crop area mapped with wall-to-wall WorldView sub-meter panchromatic image texture: A test case for Tigray, Ethiopia",Remote Sensing of Environment,,,2018-06,2018,212,Remote Sens. 5 2013,8-20,All OA; Gold,Article,"Neigh, Christopher S.R.; Carroll, Mark L.; Wooten, Margaret R.; McCarty, Jessica L.; Powell, Bristol F.; Husak, Gregory J.; Enenkel, Markus; Hain, Christopher R.","Neigh, Christopher S.R.","Neigh, Christopher S.R. (Goddard Space Flight Center); Carroll, Mark L. (Goddard Space Flight Center; Science Systems and Applications (United States)); Wooten, Margaret R. (Goddard Space Flight Center; Science Systems and Applications (United States)); McCarty, Jessica L. (Miami University); Powell, Bristol F. (Columbia University); Husak, Gregory J. (); Enenkel, Markus (Columbia University); Hain, Christopher R. (Marshall Space Flight Center)",4,4,,,https://doi.org/10.1016/j.rse.2018.04.025,https://app.dimensions.ai/details/publication/pub.1103640120,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
6,200,pub.1101775899,10.1175/bams-d-17-0112.1,,,Anthropogenic Enhancement of Moderate-to-Strong El Niño Events Likely Contributed to Drought and Poor Harvests in Southern Africa During 2016,Bulletin of the American Meteorological Society,,,2018-01,2018,99,1,s91-s96,All OA; Gold,Article,"Funk, Chris; Davenport, Frank; Harrison, Laura; Magadzire, Tamuka; Galu, Gideon; Artan, Guleid A.; Shukla, Shraddhanand; Korecha, Diriba; Indeje, Matayo; Pomposi, Catherine; Macharia, Denis; Husak, Gregory; Nsadisa, Faka Dieudonne",,"Funk, Chris (); Davenport, Frank (University of California, Santa Barbara); Harrison, Laura (University of California, Santa Barbara); Magadzire, Tamuka (University of California, Santa Barbara); Galu, Gideon (University of California, Santa Barbara); Artan, Guleid A. (); Shukla, Shraddhanand (University of California, Santa Barbara); Korecha, Diriba (University of California, Santa Barbara); Indeje, Matayo (); Pomposi, Catherine (University of California, Santa Barbara); Macharia, Denis (); Husak, Gregory (University of California, Santa Barbara); Nsadisa, Faka Dieudonne ()",4,4,,,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-17-0112.1,https://app.dimensions.ai/details/publication/pub.1101775899,0201 Astronomical and Space Sciences; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0201 Astronomical and Space Sciences,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
7,100,pub.1107266441,10.2139/ssrn.3242142,,,"Farmer Perception, Recollection, and Remote Sensing in Weather Index Insurance for Agriculture in the Developing World: An Ethiopia Case Study",SSRN Electronic Journal,,,2018,2018,,,,"All OA; Green, Accepted & Submitted",Preprint,"Osgood, Daniel; Powell, Bristol; Diro, Rahel; Farah, Carlos; Enenkel, Markus; Brown, Molly E; Husak, Gregory; Blakeley, S. Lucille; Hoffman, Laura; McCarty, Jessica",,"Osgood, Daniel (Columbia University); Powell, Bristol (); Diro, Rahel (Columbia University); Farah, Carlos (); Enenkel, Markus (Columbia University); Brown, Molly E (); Husak, Gregory (); Blakeley, S. Lucille (University of California, Santa Barbara); Hoffman, Laura (Columbia University); McCarty, Jessica ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107266441,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
8,500,pub.1074219881,10.1371/journal.pone.0170615,28125659,PMC5268772,Biodiversity Areas under Threat: Overlap of Climate Change and Population Pressures on the World’s Biodiversity Priorities,PLoS ONE,,Acclimatization; Africa; Agriculture; Biodiversity; Climate Change; Conservation of Natural Resources; Ecosystem; Humans; Population Dynamics; Sri Lanka,2017-01-26,2017,12,1,e0170615,All OA; Gold,Article,"Aukema, Juliann E.; Pricope, Narcisa G.; Husak, Gregory J.; Lopez-Carr, David",,"Aukema, Juliann E. (University of California, Santa Barbara; United States Agency for International Development); Pricope, Narcisa G. (University of North Carolina Wilmington); Husak, Gregory J. (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara)",9,9,0,3.95,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170615&type=printable,https://app.dimensions.ai/details/publication/pub.1074219881,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
9,200,pub.1050877301,10.1175/bams-d-16-0167.1,,,Assessing the Contributions of Local and East Pacific Warming to the 2015 Droughts in Ethiopia and Southern Africa,Bulletin of the American Meteorological Society,,,2016-12,2016,97,12,s75-s80,All OA; Gold,Article,"Funk, Chris; Harrison, Laura; Shukla, Shraddhanand; Korecha, Diriba; Magadzire, Tamuka; Husak, Gregory; Galu, Gideon; Hoell, Andrew",,"Funk, Chris (); Harrison, Laura (); Shukla, Shraddhanand (); Korecha, Diriba (); Magadzire, Tamuka (); Husak, Gregory (); Galu, Gideon (); Hoell, Andrew ()",14,12,,3.63,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-16-0167.1,https://app.dimensions.ai/details/publication/pub.1050877301,0201 Astronomical and Space Sciences; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0201 Astronomical and Space Sciences,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
10,100,pub.1061334287,10.1109/jstars.2016.2569411,,,"Climate-Related Child Undernutrition in the Lake Victoria Basin: An Integrated Spatial Analysis of Health Surveys, NDVI, and Precipitation Data",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2016-06,2016,9,6,2830-2835,All OA; Gold,Article,"Lpez-Carr, David; Mwenda, Kevin M.; Pricope, Narcisa G.; Kyriakidis, Phaedon C.; Jankowska, Marta M.; Weeks, John; Funk, Chris; Husak, Gregory; Michaelsen, Joel",,"Lpez-Carr, David (University of California, Santa Barbara); Mwenda, Kevin M. (University of California, Santa Barbara); Pricope, Narcisa G. (University of North Carolina Wilmington); Kyriakidis, Phaedon C. (Cyprus University of Technology); Jankowska, Marta M. (University of California, San Diego); Weeks, John (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",3,2,,1.09,https://doi.org/10.1109/jstars.2016.2569411,https://app.dimensions.ai/details/publication/pub.1061334287,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0801 Artificial Intelligence and Image Processing; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0801 Artificial Intelligence and Image Processing
11,400,pub.1007951989,10.1038/sdata.2015.66,26646728,PMC4672685,The climate hazards infrared precipitation with stations—a new environmental record for monitoring extremes,Scientific Data,,,2015-12,2015,2,1,150066,All OA; Gold,Article,"Funk, Chris; Peterson, Pete; Landsfeld, Martin; Pedreros, Diego; Verdin, James; Shukla, Shraddhanand; Husak, Gregory; Rowland, James; Harrison, Laura; Hoell, Andrew; Michaelsen, Joel","Funk, Chris","Funk, Chris (United States Geological Survey; University of California, Santa Barbara); Peterson, Pete (University of California, Santa Barbara); Landsfeld, Martin (University of California, Santa Barbara); Pedreros, Diego (United States Geological Survey); Verdin, James (United States Geological Survey); Shukla, Shraddhanand (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Rowland, James (United States Geological Survey); Harrison, Laura (University of California, Santa Barbara); Hoell, Andrew (National Oceanic and Atmospheric Administration); Michaelsen, Joel (University of California, Santa Barbara)",490,378,5.37,73.27,https://www.nature.com/articles/sdata201566.pdf,https://app.dimensions.ai/details/publication/pub.1007951989,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
12,100,pub.1093362790,10.1109/igarss.2015.7326335,,,A Spatial Analysis of Climate-Related Child Malnutrition in the Lake Victoria Basin,,2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2015-07,2015,,,2564-2567,Closed,Proceeding,"Lopez-Carr, David; Mwenda, Kevin M.; Pricope, Narcisa G.; Kyriakidis, Phaedon C.; Jankowska, Marta M.; Weeks, John; Funk, Chris; Husak, Gregory; Michaelsen, Joel",,"Lopez-Carr, David (University of California, Santa Barbara); Mwenda, Kevin M. (University of California, Santa Barbara); Pricope, Narcisa G. (University of California, Santa Barbara); Kyriakidis, Phaedon C. (University of California, Santa Barbara); Jankowska, Marta M. (University of California, Santa Barbara); Weeks, John (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",5,3,,1.52,,https://app.dimensions.ai/details/publication/pub.1093362790,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
13,100,pub.1016841728,10.1002/2015gl063266,,,Urbanization causes increased cloud base height and decreased fog in coastal Southern California,Geophysical Research Letters,,,2015-03-16,2015,42,5,1527-1536,All OA; Gold,Article,"Williams, A. Park; Schwartz, Rachel E.; Iacobellis, Sam; Seager, Richard; Cook, Benjamin I.; Still, Christopher J.; Husak, Gregory; Michaelsen, Joel",,"Williams, A. Park (Lamont-Doherty Earth Observatory); Schwartz, Rachel E. (University of California, San Diego); Iacobellis, Sam (University of California, San Diego); Seager, Richard (Lamont-Doherty Earth Observatory); Cook, Benjamin I. (Lamont-Doherty Earth Observatory; Goddard Institute for Space Studies); Still, Christopher J. (Oregon State University); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",38,21,,7.45,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GL063266,https://app.dimensions.ai/details/publication/pub.1016841728,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,100,pub.1036774579,10.1175/jhm-d-14-0049.1,,,Calculating Crop Water Requirement Satisfaction in the West Africa Sahel with Remotely Sensed Soil Moisture,Journal of Hydrometeorology,,,2015-02,2015,16,1,295-305,Closed,Article,"McNally, Amy; Husak, Gregory J.; Brown, Molly; Carroll, Mark; Funk, Chris; Yatheendradas, Soni; Arsenault, Kristi; Peters-Lidard, Christa; Verdin, James P.",,"McNally, Amy (); Husak, Gregory J. (); Brown, Molly (); Carroll, Mark (); Funk, Chris (); Yatheendradas, Soni (); Arsenault, Kristi (); Peters-Lidard, Christa (); Verdin, James P. ()",17,10,,3.17,,https://app.dimensions.ai/details/publication/pub.1036774579,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
15,100,pub.1049463517,10.1016/j.ijdrr.2014.04.002,,,A probabilistic approach to assess agricultural drought risk to maize in Southern Africa and millet in Western Sahel using satellite estimated rainfall,International Journal of Disaster Risk Reduction,,,2014-12,2014,10,,490-502,Closed,Article,"Jayanthi, Harikishan; Husak, Gregory J.; Funk, Chris; Magadzire, Tamuka; Adoum, Alkhalil; Verdin, James P.","Jayanthi, Harikishan","Jayanthi, Harikishan (University of California, Santa Barbara); Husak, Gregory J. (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara); Magadzire, Tamuka (); Adoum, Alkhalil (); Verdin, James P. (United States Geological Survey)",19,4,,5.02,,https://app.dimensions.ai/details/publication/pub.1049463517,11 Medical and Health Sciences; 16 Studies in Human Society; 1117 Public Health and Health Services; 1604 Human Geography; 05 Environmental Sciences; 0502 Environmental Science and Management,11 Medical and Health Sciences,16 Studies in Human Society,1117 Public Health and Health Services,1604 Human Geography,05 Environmental Sciences
16,100,pub.1072673806,10.5194/hessd-11-3049-2014,,,A seasonal agricultural drought forecast system for food-insecure regions of East Africa,Hydrology and Earth System Sciences Discussions,,,2014-03-14,2014,11,3,3049-3081,All OA; Gold,Article,"Shukla, S.; McNally, A.; Husak, G.; Funk, C.",,"Shukla, S. (); McNally, A. (); Husak, G. (); Funk, C. ()",9,1,,1.39,https://doi.org/10.5194/hessd-11-3049-2014,https://app.dimensions.ai/details/publication/pub.1072673806,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
17,100,pub.1027923272,10.1007/s11111-014-0209-0,,,A spatial analysis of population dynamics and climate change in Africa: potential vulnerability hot spots emerge where precipitation declines and demographic pressures coincide,Population and Environment,,,2014-03,2014,35,3,323-339,Closed,Article,"López-Carr, David; Pricope, Narcisa G.; Aukema, Juliann E.; Jankowska, Marta M.; Funk, Christopher; Husak, Gregory; Michaelsen, Joel","López-Carr, David","López-Carr, David (University of California, Santa Barbara); Pricope, Narcisa G. (University of North Carolina Wilmington); Aukema, Juliann E. (University of California, Santa Barbara); Jankowska, Marta M. (University of California, San Diego); Funk, Christopher (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",27,13,,,,https://app.dimensions.ai/details/publication/pub.1027923272,16 Studies in Human Society; 05 Environmental Sciences; 14 Economics,16 Studies in Human Society,05 Environmental Sciences,14 Economics,,
18,100,pub.1035344302,10.1016/j.gloenvcha.2013.10.002,,,The climate-population nexus in the East African Horn: Emerging degradation trends in rangeland and pastoral livelihood zones,Global Environmental Change,,,2013-12,2013,23,6,1525-1541,Closed,Article,"Pricope, Narcisa G.; Husak, Gregory; Lopez-Carr, David; Funk, Christopher; Michaelsen, Joel","Pricope, Narcisa G.","Pricope, Narcisa G. (University of North Carolina Wilmington); Husak, Gregory (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara); Funk, Christopher (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",55,20,,10.29,,https://app.dimensions.ai/details/publication/pub.1035344302,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
19,100,pub.1005405907,10.1007/s00704-013-0838-8,,,Developing seasonal rainfall scenarios for food security early warning,Theoretical and Applied Climatology,,,2013-10,2013,114,1-2,291-302,All OA; Gold,Article,"Husak, Gregory J.; Funk, Christopher C.; Michaelsen, Joel; Magadzire, Tamuka; Goldsberry, Kirk P.","Husak, Gregory J.","Husak, Gregory J. (University of California, Santa Barbara); Funk, Christopher C. (University of California, Santa Barbara; United States Geological Survey); Michaelsen, Joel (University of California, Santa Barbara); Magadzire, Tamuka (Southern African Development Community); Goldsberry, Kirk P. (Michigan State University)",11,2,,1.22,https://link.springer.com/content/pdf/10.1007%2Fs00704-013-0838-8.pdf,https://app.dimensions.ai/details/publication/pub.1005405907,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
