,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Hugo A Loáiciga. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1121961894,10.2166/aqua.2019.049,,,Evaluation of water shortage crisis in the Middle East and possible remedies,Journal of Water Supply: Research and Technology-Aqua,,,2019-10-21,2019,,,,Closed,Article,"Bozorg-Haddad, Omid; Zolghadr-Asli, Babak; Sarzaeim, Parisa; Aboutalebi, Mahyar; Chu, Xuefeng; Loáiciga, Hugo A.",,"Bozorg-Haddad, Omid (University of Tehran); Zolghadr-Asli, Babak (University of Tehran); Sarzaeim, Parisa (University of Tehran); Aboutalebi, Mahyar (University of Tehran); Chu, Xuefeng (North Dakota State University); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121961894,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
2,100,pub.1104553900,10.1680/jwama.15.00099,,,Allocation of reservoir releases under drought conditions: A conflict-resolution Approach,Proceedings of the Institution of Civil Engineers - Water Management,,,2019-10,2018,172,5,1-26,Closed,Article,"Bozorg-Haddad, Omid; Athari, Elman; Fallah-Mehdipour, Elahe; Bahrami, Mahdi; Loáiciga, Hugo A.",,"Bozorg-Haddad, Omid (University of Tehran); Athari, Elman (University of Tehran); Fallah-Mehdipour, Elahe (); Bahrami, Mahdi (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1104553900,0905 Civil Engineering; 09 Engineering; 0907 Environmental Engineering,0905 Civil Engineering,09 Engineering,0907 Environmental Engineering,,
3,100,pub.1119819539,10.2166/hydro.2019.126,,,A new framework for the optimal management of urban runoff with low-impact development stormwater control measures considering service-performance reduction,Journal of Hydroinformatics,,,2019-09-01,2019,21,5,727-744,Closed,Article,"Mani, Melika; Bozorg-Haddad, Omid; Loáiciga, Hugo A.",,"Mani, Melika (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119819539,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
4,100,pub.1120268720,10.1007/s10040-019-02021-z,,,"Estimation of the hydraulic parameters of leaky aquifers based on pumping tests and coupled simulation/optimization: verification using a layered aquifer in Tianjin, China",Hydrogeology Journal,,,2019-08-10,2019,,,1-15,Closed,Article,"Zheng, Gang; Ha, Da; Loaiciga, Hugo; Zhou, Haizuo; Zeng, Chaofeng; Zhang, Huihui","Zhou, Haizuo","Zheng, Gang (Tianjin University); Ha, Da (Tianjin University; University of California, Santa Barbara); Loaiciga, Hugo (University of California, Santa Barbara); Zhou, Haizuo (Tianjin University); Zeng, Chaofeng (Hunan University of Science and Technology); Zhang, Huihui (University of California, Santa Barbara; Wuhan University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120268720,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,500,pub.1117184924,10.1007/s10661-019-7581-2,31203466,,Application of non-animal–inspired evolutionary algorithms to reservoir operation: an overview,Environmental Monitoring and Assessment,,Algorithms; Environmental Monitoring; Water Resources,2019-07,2019,191,7,439,Closed,Article,"Jahandideh-Tehrani, Mahsa; Bozorg-Haddad, Omid; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Jahandideh-Tehrani, Mahsa (Griffith University); Bozorg-Haddad, Omid (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117184924,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
6,200,pub.1113758857,10.1061/(asce)he.1943-5584.0001801,,,"Application of Climate Projections and Monte Carlo Approach for Assessment of Future River Flow: Khorramabad River Basin, Iran",Journal of Hydrologic Engineering,,,2019-07,2019,24,7,05019014,Closed,Article,"Moghadam, Seyedeh Hadis; Ashofteh, Parisa-Sadat; Loáiciga, Hugo A.",,"Moghadam, Seyedeh Hadis (University of Qom); Ashofteh, Parisa-Sadat (University of Qom); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113758857,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
7,500,pub.1113905347,10.1007/s10661-019-7488-y,31053969,,Optimizing stormwater low-impact development strategies in an urban watershed considering sensitivity and uncertainty,Environmental Monitoring and Assessment,,Algorithms; Iran; Rain; Sanitary Engineering; Uncertainty,2019-06,2019,191,6,340,Closed,Article,"Bahrami, Mahdi; Bozorg-Haddad, Omid; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Bahrami, Mahdi (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113905347,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
8,100,pub.1118128880,10.1016/j.jher.2019.07.002,,,Optimization model for integrated river basin management with the hybrid WOAPSO algorithm,Journal of Hydro-environment Research,,,2019-06,2019,25,,61-74,Closed,Article,"Asgari, Hamid-Reza; Bozorg-Haddad, Omid; Soltani, Amin; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Asgari, Hamid-Reza (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Soltani, Amin (University of Melbourne); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118128880,09 Engineering; 04 Earth Sciences,09 Engineering,04 Earth Sciences,,,
9,100,pub.1114964473,10.1007/s11269-019-02247-2,,,Generalized Storage Equations for Flood Routing with Nonlinear Muskingum Models,Water Resources Management,,,2019-06,2019,33,8,2677-2691,Closed,Article,"Bozorg-Haddad, Omid; Abdi-Dehkordi, Mehri; Hamedi, Farzan; Pazoki, Maryam; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Bozorg-Haddad, Omid (University of Tehran); Abdi-Dehkordi, Mehri (University of Tehran); Hamedi, Farzan (University of Tehran); Pazoki, Maryam (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1114964473,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
10,100,pub.1114349215,10.1007/s11269-019-02274-z,,,Evaluation of the VIKOR and FOWA Multi-Criteria Decision Making Methods for Climate-Change Adaptation of Agricultural Water Supply,Water Resources Management,,,2019-06,2019,33,8,2867-2884,Closed,Article,"Golfam, Parvin; Ashofteh, Parisa-Sadat; Loáiciga, Hugo A.","Ashofteh, Parisa-Sadat","Golfam, Parvin (University of Qom); Ashofteh, Parisa-Sadat (University of Qom); Loáiciga, Hugo A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1114349215,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
11,100,pub.1113859286,10.1080/15715124.2019.1613415,,,Application of bi-objective genetic programming for optimizing irrigation rules using two reservoir performance criteria,International Journal of River Basin Management,,,2019-05-22,2019,,,1-34,Closed,Article,"Ashofteh, Parisa-Sadat; Bozorg-Haddad, Omid; Loáiciga, Hugo A.",,"Ashofteh, Parisa-Sadat (University of Qom); Bozorg-Haddad, Omid (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113859286,0799 Other Agricultural and Veterinary Sciences; 07 Agricultural and Veterinary Sciences,0799 Other Agricultural and Veterinary Sciences,07 Agricultural and Veterinary Sciences,,,
12,200,pub.1114504621,10.1061/9780784482360.014,,,Stormwater Symposium,,World Environmental and Water Resources Congress 2019,,2019-05-16,2019,,,132-146,Closed,Proceeding,"Sadeghi, K. Majid; Tam, Wing; Kharaghani, Shahram; Loáiciga, Hugo",,"Sadeghi, K. Majid (); Tam, Wing (); Kharaghani, Shahram (); Loáiciga, Hugo ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1114504621,,,,,,
13,100,pub.1110880602,10.1016/j.scs.2018.12.022,,,Minimal adverse impact of discharging polluted effluents to rivers with selective locations,Sustainable Cities and Society,,,2019-04,2019,46,Science of the Total Environment 371 1 2006,101394,Closed,Article,"Farhadian, Mostafa; Bozorg-Haddad, Omid; Pazoki, Maryam; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Farhadian, Mostafa (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Pazoki, Maryam (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110880602,0502 Environmental Science and Management; 12 Built Environment and Design; 05 Environmental Sciences; 1205 Urban and Regional Planning,0502 Environmental Science and Management,12 Built Environment and Design,05 Environmental Sciences,1205 Urban and Regional Planning,
14,100,pub.1112830041,10.1007/s40710-019-00364-z,,,Green Stormwater Infrastructure (GSI) for Stormwater Management in the City of Los Angeles: Avalon Green Alleys Network,Environmental Processes,,,2019-03,2019,6,1,265-281,Closed,Article,"Sadeghi, K. Majid; Kharaghani, Shahram; Tam, Wing; Gaerlan, Natalia; Loáiciga, Hugo","Sadeghi, K. Majid","Sadeghi, K. Majid (University of California, Santa Barbara); Kharaghani, Shahram (); Tam, Wing (); Gaerlan, Natalia (); Loáiciga, Hugo (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112830041,0502 Environmental Science and Management; 09 Engineering; 05 Environmental Sciences; 0907 Environmental Engineering,0502 Environmental Science and Management,09 Engineering,05 Environmental Sciences,0907 Environmental Engineering,
15,100,pub.1109767943,10.2166/aqua.2018.036,,,Simulating thermal stratification and modeling outlet water temperature in reservoirs with a data mining method,Journal of Water Supply: Research and Technology-Aqua,,,2019-02,2019,68,1,7-19,Closed,Article,"Soleimani, Shima; Bozorg-Haddad, Omid; Saadatpour, Motahareh; Loáiciga, Hugo A.",,"Soleimani, Shima (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Saadatpour, Motahareh (Iran University of Science and Technology); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109767943,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
16,100,pub.1107257408,10.1007/s11269-018-2109-z,,,Reservoir Water-Quality Projections under Climate-Change Conditions,Water Resources Management,,,2019-01,2019,33,1,401-421,Closed,Article,"Azadi, Firoozeh; Ashofteh, Parisa-Sadat; Loáiciga, Hugo A.","Ashofteh, Parisa-Sadat","Azadi, Firoozeh (University of Qom); Ashofteh, Parisa-Sadat (University of Qom); Loáiciga, Hugo A. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1107257408,09 Engineering; 0602 Ecology; 0406 Physical Geography and Environmental Geoscience; 0907 Environmental Engineering; 04 Earth Sciences; 06 Biological Sciences,09 Engineering,0602 Ecology,0406 Physical Geography and Environmental Geoscience,0907 Environmental Engineering,04 Earth Sciences
17,200,pub.1121692403,10.1130/2019.1215(19),,,"Climate variability, climate change, and Edwards Aquifer water fluxes",,"The Edwards Aquifer: The Past, Present, and Future of a Vital Water Resource",,2019,2019,,,,Closed,Chapter,"Loáiciga, Hugo A.; Schofield, Madeline",,"Loáiciga, Hugo A. (); Schofield, Madeline ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121692403,,,,,,
18,100,pub.1109890387,10.1080/15715124.2018.1546729,,,Comparison of methods to calculate evaporation from reservoirs,International Journal of River Basin Management,,,2018-11-13,2018,,,1-42,Closed,Article,"Bozorgi, Atiyeh; Bozorg-Haddad, Omid; Sima, Somayeh; Loáiciga, Hugo A.",,"Bozorgi, Atiyeh (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Sima, Somayeh (Tarbiat Modares University); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109890387,0799 Other Agricultural and Veterinary Sciences; 07 Agricultural and Veterinary Sciences,0799 Other Agricultural and Veterinary Sciences,07 Agricultural and Veterinary Sciences,,,
19,500,pub.1107105785,10.1007/s10661-018-6970-2,30232560,,Real-time reservoir operation using data mining techniques,Environmental Monitoring and Assessment,,Algorithms; Data Mining; Environmental Monitoring; Forecasting; Iran; Neural Networks (Computer); Support Vector Machine; Water Supply,2018-10,2018,190,10,594,Closed,Article,"Bozorg-Haddad, Omid; Aboutalebi, Mahyar; Ashofteh, Parisa-Sadat; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Bozorg-Haddad, Omid (University of Tehran); Aboutalebi, Mahyar (University of Tehran); Ashofteh, Parisa-Sadat (University of Qom); Loáiciga, Hugo A. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107105785,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
20,100,pub.1105557629,10.1007/s11269-018-2027-0,,,Optimization of Run-of-River Hydropower Plant Design under Climate Change Conditions,Water Resources Management,,,2018-09,2018,32,12,3919-3934,Closed,Article,"Sarzaeim, Parisa; Bozorg-Haddad, Omid; Zolghadr-Asli, Babak; Fallah-Mehdipour, Elahe; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Sarzaeim, Parisa (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Zolghadr-Asli, Babak (University of Tehran); Fallah-Mehdipour, Elahe (University of Tehran; Iran's National Elites Foundation); Loáiciga, Hugo A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1105557629,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
21,100,pub.1105089993,10.1007/s12665-018-7645-6,,,Calculation of multi-objective optimal tradeoffs between environmental flows and hydropower generation,Environmental Earth Sciences,,,2018-06,2018,77,12,453,Closed,Article,"Fallah-Mehdipour, Elahe; Bozorg-Haddad, Omid; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Fallah-Mehdipour, Elahe (University of Tehran; Iran's National Elites Foundation); Bozorg-Haddad, Omid (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105089993,0102 Applied Mathematics; 0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,
22,100,pub.1104329498,10.1016/j.jher.2018.05.005,,,Stiffness and sensitivity criteria and their application to water resources assessment,Journal of Hydro-environment Research,,,2018-06,2018,20,Journal of Water Resources Planning and Management 141 11 2015,93-100,Closed,Article,"Zolghadr-Asli, Babak; Bozorg-Haddad, Omid; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Zolghadr-Asli, Babak (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1104329498,09 Engineering; 04 Earth Sciences,09 Engineering,04 Earth Sciences,,,
23,100,pub.1103197239,10.1016/j.jhydrol.2018.04.023,,,Infiltration on sloping terrain and its role on runoff generation and slope stability,Journal of Hydrology,,,2018-06,2018,561,J. Irrig. Drain. Eng. 127 2001,584-597,Closed,Article,"Loáiciga, Hugo A.; Johnson, J. Michael","Loáiciga, Hugo A.","Loáiciga, Hugo A. (University of California, Santa Barbara); Johnson, J. Michael (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1103197239,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
24,200,pub.1104336991,10.1061/9780784481431.005,,,Stormwater Symposium,,World Environmental and Water Resources Congress 2018,,2018-05-31,2018,,,38-51,Closed,Proceeding,"Sadeghi, K. Majid; Tam, Wing; Kharaghani, Shahram; Loáiciga, Hugo",,"Sadeghi, K. Majid (); Tam, Wing (); Kharaghani, Shahram (); Loáiciga, Hugo ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104336991,,,,,,
25,500,pub.1103626338,10.1007/s10661-018-6686-3,29691671,,Upstream flood pattern recognition based on downstream events,Environmental Monitoring and Assessment,,Computer Simulation; Environmental Monitoring; Floods; Rivers,2018-05,2018,190,5,306,Closed,Article,"Bozorg-Haddad, Omid; Hamedi, Farzan; Fallah-Mehdipour, Elahe; Loáiciga, Hugo A.","Bozorg-Haddad, Omid","Bozorg-Haddad, Omid (University of Tehran); Hamedi, Farzan (University of Tehran); Fallah-Mehdipour, Elahe (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103626338,0102 Applied Mathematics; 01 Mathematical Sciences; 0801 Artificial Intelligence and Image Processing; 08 Information and Computing Sciences,0102 Applied Mathematics,01 Mathematical Sciences,0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,
26,200,pub.1101149246,10.1061/(asce)ir.1943-4774.0001297,,,"Closure to “Multiobjective Reservoir Operation for Water Quality Optimization” by Masoud Amirkhani, Omid Bozorg-Haddad, Elahe Fallah-Mehdipour, and Hugo A. Loáiciga",Journal of Irrigation and Drainage Engineering,,,2018-05,2018,144,5,07018024,Closed,Article,"Amirkhani, Masoud; Bozorg-Haddad, Omid; Fallah-Mehdipour, Elahe; Loáiciga, Hugo A.",,"Amirkhani, Masoud (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Fallah-Mehdipour, Elahe (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1101149246,0905 Civil Engineering; 0915 Interdisciplinary Engineering; 09 Engineering,0905 Civil Engineering,0915 Interdisciplinary Engineering,09 Engineering,,
27,200,pub.1101114151,10.1061/(asce)ir.1943-4774.0001286,,,"Closure to “Application of Genetic Programming to Flow Routing in Simple and Compound Channels” by Elahe Fallah-Mehdipour, Omid Bozorg-Haddad, Hossein Orouji, and Miguel A. Mariño",Journal of Irrigation and Drainage Engineering,,,2018-05,2018,144,5,07018016,Closed,Article,"Fallah-Mehdipour, Elahe; Bozorg-Haddad, Omid; Orouji, Hossein; Loáiciga, Hugo A.",,"Fallah-Mehdipour, Elahe (Iran's National Elites Foundation); Bozorg-Haddad, Omid (University of Tehran); Orouji, Hossein (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1101114151,0905 Civil Engineering; 0915 Interdisciplinary Engineering; 09 Engineering,0905 Civil Engineering,0915 Interdisciplinary Engineering,09 Engineering,,
28,200,pub.1103533160,10.1061/(asce)wr.1943-5452.0000872,,,Discussion of “Design and Evaluation of Irrigation Water Pricing Policies for Enhanced Water Use Efficiency” by Sayed Ali Ohab-Yazdi and Azadeh Ahmadi,Journal of Water Resources Planning and Management,,,2018-04,2018,144,4,07018001,Closed,Article,"Zolghadr-Asli, Babak; Loáiciga, Hugo A.",,"Zolghadr-Asli, Babak (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103533160,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
29,200,pub.1103533087,10.1061/(asce)ir.1943-4774.0001250,,,"Closure to “Development of a Comparative Multiple Criteria Framework for Ranking Pareto Optimal Solutions of a Multiobjective Reservoir Operation Problem” by Omid Bozorg-Haddad, Ali Azarnivand, Seyed-Mohammad Hosseini-Moghari, and Hugo A. Loáiciga",Journal of Irrigation and Drainage Engineering,,,2018-04,2018,144,4,07018006,Closed,Article,"Bozorg-Haddad, Omid; Azarnivand, Ali; Loáiciga, Hugo A.",,"Bozorg-Haddad, Omid (University of Tehran); Azarnivand, Ali (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1103533087,0905 Civil Engineering; 0915 Interdisciplinary Engineering; 09 Engineering,0905 Civil Engineering,0915 Interdisciplinary Engineering,09 Engineering,,
30,200,pub.1100925340,10.1061/(asce)ir.1943-4774.0001268,,,"Closure to “Equation to Predict Riverine Transport of Suddenly Discharged Pollutants” by Mostafa Farhadian, Omid Bozorg-Haddad, Samaneh Seifollahi-Aghmiuini, and Hugo A. Loáiciga",Journal of Irrigation and Drainage Engineering,,,2018-04,2018,144,4,07018011,Closed,Article,"Farhadian, Mostafa; Bozorg-Haddad, Omid; Loáiciga, Hugo A.",,"Farhadian, Mostafa (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1100925340,0905 Civil Engineering; 0915 Interdisciplinary Engineering; 09 Engineering,0905 Civil Engineering,0915 Interdisciplinary Engineering,09 Engineering,,
31,100,pub.1086899266,10.2166/ws.2017.102,,,Real-time water allocation policies calculated with bankruptcy games and genetic programing,Water Science & Technology Water Supply,,,2018-04,2018,18,2,430-449,Closed,Article,"Bozorg-Haddad, Omid; Athari, Elman; Fallah-Mehdipour, Elahe; Loáiciga, Hugo A.",,"Bozorg-Haddad, Omid (University of Tehran); Athari, Elman (University of Tehran); Fallah-Mehdipour, Elahe (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1086899266,0905 Civil Engineering; 09 Engineering; 0904 Chemical Engineering; 0907 Environmental Engineering,0905 Civil Engineering,09 Engineering,0904 Chemical Engineering,0907 Environmental Engineering,
32,200,pub.1092756388,10.1061/(asce)ir.1943-4774.0001265,,,Choosing an Optimization Method for Water Resources Problems Based on the Features of Their Solution Spaces,Journal of Irrigation and Drainage Engineering,,,2018-02,2018,144,2,04017061,Closed,Article,"Bozorg-Haddad, Omid; Mani, Melika; Aboutalebi, Mahyar; Loáiciga, Hugo A.",,"Bozorg-Haddad, Omid (); Mani, Melika (); Aboutalebi, Mahyar (); Loáiciga, Hugo A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1092756388,0905 Civil Engineering; 0915 Interdisciplinary Engineering; 09 Engineering,0905 Civil Engineering,0915 Interdisciplinary Engineering,09 Engineering,,
33,200,pub.1092390275,10.1061/(asce)ps.1949-1204.0000299,,,"Closure to “Optimal Operation of Water Distribution Networks under Water Shortage Considering Water Quality” by Mohammad Solgi, Omid Bozorg-Haddad, Samaneh Seifollahi-Aghmiuni, Parisa Ghasemi-Abiazani, and Hugo A. Loáiciga",Journal of Pipeline Systems Engineering and Practice,,,2018-02,2018,9,1,07017002,Closed,Article,"Solgi, Mohammad; Bozorg-Haddad, Omid; Loáiciga, Hugo A.",,"Solgi, Mohammad (University of Tehran); Bozorg-Haddad, Omid (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1092390275,,,,,,
34,100,pub.1092747818,10.1111/1752-1688.12547,,,Stormwater Control Measures for Runoff and Water Quality Management in Urban Landscapes,JAWRA Journal of the American Water Resources Association,,,2018-02,2018,54,1,124-133,All OA; Gold,Article,"Sadeghi, K. Majid; Loáiciga, Hugo A.; Kharaghani, Shahram",,"Sadeghi, K. Majid (); Loáiciga, Hugo A. (University of California, Santa Barbara); Kharaghani, Shahram ()",9,8,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1752-1688.12547,https://app.dimensions.ai/details/publication/pub.1092747818,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
35,100,pub.1090085254,10.2166/ws.2017.117,,,Development and application of the anarchic society algorithm (ASO) to the optimal operation of water distribution networks,Water Science & Technology Water Supply,,,2018-02,2018,18,1,318-332,Closed,Article,"Bozorg-Haddad, Omid; Latifi, Milad; Bozorgi, Atiyeh; Rajabi, Mohammad-Mehdi; Naeeni, Seyed-Taghi; Loáiciga, Hugo A.",,"Bozorg-Haddad, Omid (University of Tehran); Latifi, Milad (University of Tehran); Bozorgi, Atiyeh (University of Tehran); Rajabi, Mohammad-Mehdi (University of Tehran); Naeeni, Seyed-Taghi (University of Tehran); Loáiciga, Hugo A. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1090085254,0905 Civil Engineering; 09 Engineering; 0904 Chemical Engineering; 0907 Environmental Engineering,0905 Civil Engineering,09 Engineering,0904 Chemical Engineering,0907 Environmental Engineering,
