,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Hunter Stanton Lenihan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120478077,10.1016/j.fishres.2019.105340,,,Collaborative research reveals cryptic declines within the multispecies California rock crab fishery,Fisheries Research,,,2019-12,2019,220,,105340,Closed,Article,"Fitzgerald, Sean P.; Lenihan, Hunter S.; Wilson, Jono R.; Culver, Carolynn S.; Potoski, Matthew","Fitzgerald, Sean P.","Fitzgerald, Sean P. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Wilson, Jono R. (University of California, Santa Barbara); Culver, Carolynn S. (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120478077,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
2,100,pub.1116663127,10.3389/fmars.2019.00253,,,Spatial Planning of Marine Aquaculture Under Climate Decadal Variability: A Case Study for Mussel Farms in Southern California,Frontiers in Marine Science,,,2019-06-04,2019,6,,253,All OA; Gold,Article,"Sainz, Jade F.; Di Lorenzo, Emanuele; Bell, Tom W.; Gaines, Steve; Lenihan, Hunter; Miller, Robert J.",,"Sainz, Jade F. (University of California, Santa Barbara; Georgia Institute of Technology); Di Lorenzo, Emanuele (Georgia Institute of Technology); Bell, Tom W. (University of California, Santa Barbara); Gaines, Steve (University of California, Santa Barbara); Lenihan, Hunter (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",0,0,,,https://www.frontiersin.org/articles/10.3389/fmars.2019.00253/pdf,https://app.dimensions.ai/details/publication/pub.1116663127,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,500,pub.1111898224,10.1111/ele.13203,30714295,,Predicting coral community recovery using multi‐species population dynamics models,Ecology Letters,,Animals; Anthozoa; Coral Reefs; Ecology; Ecosystem; Population Dynamics,2019-04,2019,22,4,605-615,"All OA; Green, Accepted & Submitted",Article,"Kayal, Mohsen; Lenihan, Hunter S.; Brooks, Andrew J.; Holbrook, Sally J.; Schmitt, Russell J.; Kendall, Bruce E.",,"Kayal, Mohsen (University of California, Santa Barbara; Centre de Formation et de Recherche sur les Environnements Méditerranéens); Lenihan, Hunter S. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt7nm875tr/qt7nm875tr.pdf?t=pfvcdh,https://app.dimensions.ai/details/publication/pub.1111898224,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
4,500,pub.1112585973,10.1007/s13280-019-01154-5,30843168,,Perceptions and responses of Pacific Island fishers to changing coral reefs,Ambio,,,2019-03-07,2019,,,1-14,Closed,Article,"Rassweiler, Andrew; Lauer, Matthew; Lester, Sarah E.; Holbrook, Sally J.; Schmitt, Russell J.; Madi Moussa, Rakamaly; Munsterman, Katrina S.; Lenihan, Hunter S.; Brooks, Andrew J.; Wencélius, Jean; Claudet, Joachim","Rassweiler, Andrew","Rassweiler, Andrew (Florida State University); Lauer, Matthew (San Diego State University); Lester, Sarah E. (Florida State University); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Madi Moussa, Rakamaly (Centre de Recherches Insulaires et Observatoire de l'Environnement); Munsterman, Katrina S. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Wencélius, Jean (San Diego State University); Claudet, Joachim (French National Centre for Scientific Research)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112585973,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
5,500,pub.1111488118,10.1021/acs.est.8b03832,30653307,,Environmental Benefits of Novel Nonhuman Food Inputs to Salmon Feeds.,Environmental Science & Technology,,Animal Feed; Animals; Aquaculture; Fisheries; Humans; Salmon; Seafood,2019-02-19,2019,53,4,1967-1975,Closed,Article,"Couture, Jessica L; Geyer, Roland; Hansen, Jon Øvrum; Kuczenski, Brandon; Øverland, Margareth; Palazzo, Joseph; Sahlmann, Christian; Lenihan, Hunter",,"Couture, Jessica L (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara); Hansen, Jon Øvrum (Norwegian University of Life Sciences); Kuczenski, Brandon (University of California, Santa Barbara); Øverland, Margareth (Norwegian University of Life Sciences); Palazzo, Joseph (University of California, Santa Barbara); Sahlmann, Christian (Norwegian University of Life Sciences); Lenihan, Hunter (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1111488118,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
6,500,pub.1106903339,10.1111/ele.13153,30203533,,Predicting coral community recovery using multi‐species population dynamics models,Ecology Letters,,Animals; Anthozoa; Coral Reefs; Ecosystem; Population Dynamics,2018-12,2018,21,12,1790-1799,"All OA; Green, Accepted & Submitted",Article,"Kayal, Mohsen; Lenihan, Hunter S.; Brooks, Andrew J.; Holbrook, Sally J.; Schmitt, Russell J.; Kendall, Bruce E.",,"Kayal, Mohsen (University of California, Santa Barbara; Centre de Formation et de Recherche sur les Environnements Méditerranéens); Lenihan, Hunter S. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",7,7,,,https://escholarship.org/content/qt7nm875tr/qt7nm875tr.pdf?t=pfvcdh,https://app.dimensions.ai/details/publication/pub.1106903339,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,500,pub.1103798205,10.1038/s41598-018-25414-8,29743539,PMC5943288,Recruitment Drives Spatial Variation in Recovery Rates of Resilient Coral Reefs,Scientific Reports,,,2018-12,2018,8,1,7338,All OA; Gold,Article,"Holbrook, Sally J.; Adam, Thomas C.; Edmunds, Peter J.; Schmitt, Russell J.; Carpenter, Robert C.; Brooks, Andrew J.; Lenihan, Hunter S.; Briggs, Cheryl J.","Holbrook, Sally J.","Holbrook, Sally J. (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara); Edmunds, Peter J. (California State University, Northridge); Schmitt, Russell J. (University of California, Santa Barbara); Carpenter, Robert C. (California State University, Northridge); Brooks, Andrew J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",17,17,,,https://doi.org/10.1038/s41598-018-25414-8,https://app.dimensions.ai/details/publication/pub.1103798205,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,100,pub.1105964068,10.1016/j.fishres.2018.07.012,,,Detecting a need for improved management in a data-limited crab fishery,Fisheries Research,,,2018-12,2018,208,Ecol. Soc. 19 2014,133-144,All OA; Gold,Article,"Fitzgerald, Sean P.; Wilson, Jono R.; Lenihan, Hunter S.","Fitzgerald, Sean P.","Fitzgerald, Sean P. (University of California, Santa Barbara); Wilson, Jono R. (University of California, Santa Barbara; The Nature Conservancy); Lenihan, Hunter S. (University of California, Santa Barbara)",4,4,,,https://doi.org/10.1016/j.fishres.2018.07.012,https://app.dimensions.ai/details/publication/pub.1105964068,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
9,100,pub.1105101748,10.1002/ecs2.2314,,,Biotic disturbance mitigates effects of multiple stressors in a marine benthic community,Ecosphere,,,2018-06,2018,9,6,e02314,All OA; Gold,Article,"Lenihan, Hunter S.; Peterson, Charles H.; Miller, Robert J.; Kayal, Mohsen; Potoski, Matthew",,"Lenihan, Hunter S. (University of California, Santa Barbara); Peterson, Charles H. (University of North Carolina at Chapel Hill); Miller, Robert J. (University of California, Santa Barbara); Kayal, Mohsen (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",0,0,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2314,https://app.dimensions.ai/details/publication/pub.1105101748,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
