,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is J Carter Ohlmann. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1111411313,10.1029/2018gl081186,,,Anisotropy in Coastal Ocean Relative Dispersion Observations,Geophysical Research Letters,,,2019-01-28,2019,46,2,879-888,Closed,Article,"Ohlmann, J. C.; Romero, L.; Pallàs‐Sanz, E.; Perez‐Brunius, P.",,"Ohlmann, J. C. (University of California, Santa Barbara); Romero, L. (University of California, Santa Barbara); Pallàs‐Sanz, E. (); Perez‐Brunius, P. ()",2,2,,,,https://app.dimensions.ai/details/publication/pub.1111411313,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
2,100,pub.1107228332,10.1016/b978-0-12-409548-9.11407-1,,,Penetrating Shortwave Radiation☆,,Encyclopedia of Ocean Sciences,,2019,2019,,Journal of Physical Oceanography 7 1977,8-14,Closed,Chapter,"Ohlmann, J.C.; Paulson, C.A.",,"Ohlmann, J.C. (University of California, Santa Barbara); Paulson, C.A. (Oregon State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107228332,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,100,pub.1012728333,10.1002/2016gl071537,,,Drifter observations of submesoscale flow kinematics in the coastal ocean,Geophysical Research Letters,,,2017-01-16,2017,44,1,330-337,All OA; Gold,Article,"Ohlmann, J. C.; Molemaker, M. J.; Baschek, B.; Holt, B.; Marmorino, G.; Smith, G.",,"Ohlmann, J. C. (University of California, Santa Barbara); Molemaker, M. J. (University of California Los Angeles); Baschek, B. (University of California Los Angeles; Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Holt, B. (Jet Propulsion Lab); Marmorino, G. (United States Naval Research Laboratory); Smith, G. (United States Naval Research Laboratory)",20,17,,6.21,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GL071537,https://app.dimensions.ai/details/publication/pub.1012728333,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1000296979,10.1016/j.pocean.2015.10.001,,,"Coastal water circulation patterns around the Northern Channel Islands and Point Conception, California",Progress In Oceanography,,,2015-11,2015,138,,283-304,Closed,Article,"Fewings, Melanie R.; Washburn, Libe; Ohlmann, J. Carter","Fewings, Melanie R.","Fewings, Melanie R. (University of Connecticut); Washburn, Libe (University of California, Santa Barbara); Ohlmann, J. Carter (University of California, Santa Barbara)",11,4,,1.98,,https://app.dimensions.ai/details/publication/pub.1000296979,04 Earth Sciences; 0403 Geology; 0405 Oceanography,04 Earth Sciences,0403 Geology,0405 Oceanography,,
5,100,pub.1004038071,10.1175/jpo-d-13-011.1,,,Simulations of Nearshore Particle-Pair Dispersion in Southern California,Journal of Physical Oceanography,,,2013-09,2013,43,9,130702142740003,Closed,Article,"Romero, Leonel; Uchiyama, Yusuke; Ohlmann, J. Carter; McWilliams, James C.; Siegel, David A.",,"Romero, Leonel (); Uchiyama, Yusuke (); Ohlmann, J. Carter (); McWilliams, James C. (); Siegel, David A. ()",26,14,,7.19,,https://app.dimensions.ai/details/publication/pub.1004038071,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
6,100,pub.1011694094,10.1016/j.csr.2011.12.002,,,"Disruption of a cyclonic eddy circulation by wind stress in Prince William Sound, Alaska",Continental Shelf Research,,,2013-07,2013,63,Journal of Physical Oceanography 33 2003,s13-s25,Closed,Article,"Halverson, Mark J.; Ohlmann, J. Carter; Johnson, Mark A.; Pegau, W. Scott","Halverson, Mark J.","Halverson, Mark J. (Prince William Sound Science Center); Ohlmann, J. Carter (University of California, Santa Barbara); Johnson, Mark A. (University of Alaska Fairbanks); Pegau, W. Scott ()",8,3,,,,https://app.dimensions.ai/details/publication/pub.1011694094,04 Earth Sciences; 06 Biological Sciences,04 Earth Sciences,06 Biological Sciences,,,
7,100,pub.1041036225,10.1175/jpo-d-11-0142.1,,,Lagrangian Observations of Inner-Shelf Motions in Southern California: Can Surface Waves Decelerate Shoreward-Moving Drifters Just outside the Surf Zone?,Journal of Physical Oceanography,,,2012-08,2012,42,8,1313-1326,Closed,Article,"Ohlmann, J. Carter; Fewings, Melanie R.; Melton, Christopher",,"Ohlmann, J. Carter (); Fewings, Melanie R. (); Melton, Christopher ()",12,2,,1.36,,https://app.dimensions.ai/details/publication/pub.1041036225,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
8,100,pub.1049538202,10.1029/2011jc007810,,,Relative dispersion observations and trajectory modeling in the Santa Barbara Channel,Journal of Geophysical Research,,,2012-05,2012,117,C5,n/a-n/a,All OA; Gold,Article,"Ohlmann, J. Carter; LaCasce, Joe H.; Washburn, Libe; Mariano, Arthur J.; Emery, Brian",,"Ohlmann, J. Carter (University of California, Santa Barbara); LaCasce, Joe H. (University of Oslo); Washburn, Libe (University of California, Santa Barbara); Mariano, Arthur J. (University of Miami); Emery, Brian (University of California, Santa Barbara)",27,8,,11.62,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JC007810,https://app.dimensions.ai/details/publication/pub.1049538202,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
9,100,pub.1019375306,10.1029/2010gl044436,,,Lagrangian assessment of simulated surface current dispersion in the coastal ocean,Geophysical Research Letters,,,2010-09,2010,37,17,n/a-n/a,All OA; Gold,Article,"Ohlmann, J. Carter; Mitarai, Satoshi",,"Ohlmann, J. Carter (University of California, Santa Barbara); Mitarai, Satoshi (University of California, Santa Barbara; Okinawa Institute of Science and Technology)",19,1,,1.82,http://onlinelibrary.wiley.com/doi/10.1029/2010GL044436/pdf,https://app.dimensions.ai/details/publication/pub.1019375306,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
10,100,pub.1047326802,10.1175/2008jpo3746.1,,,Permanent Meanders in the California Current System,Journal of Physical Oceanography,,,2008-08,2008,38,8,1690-1710,Closed,Article,"Centurioni, L. R.; Ohlmann, J. C.; Niiler, P. P.",,"Centurioni, L. R. (); Ohlmann, J. C. (); Niiler, P. P. ()",70,9,,5.47,,https://app.dimensions.ai/details/publication/pub.1047326802,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
11,100,pub.1049358701,10.1016/j.csr.2007.06.015,,,River plume patterns and dynamics within the Southern California Bight,Continental Shelf Research,,,2007-11,2007,27,19,2427-2448,Closed,Article,"Warrick, J.A.; DiGiacomo, P.M.; Weisberg, S.B.; Nezlin, N.P.; Mengel, M.; Jones, B.H.; Ohlmann, J.C.; Washburn, L.; Terrill, E.J.; Farnsworth, K.L.","Warrick, J.A.","Warrick, J.A. (); DiGiacomo, P.M. (); Weisberg, S.B. (Southern California Coastal Water Research Project); Nezlin, N.P. (Southern California Coastal Water Research Project); Mengel, M. (); Jones, B.H. (University of Southern California); Ohlmann, J.C. (University of California, Santa Barbara); Washburn, L. (University of California, Santa Barbara); Terrill, E.J. (); Farnsworth, K.L. ()",76,8,,6.23,,https://app.dimensions.ai/details/publication/pub.1049358701,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
12,100,pub.1017631872,10.1175/jpo2803.1,,,Improved Oceanic Cool-Skin Corrections Using a Refined Solar Penetration Model,Journal of Physical Oceanography,,,2005-11,2005,35,11,1986-1996,Closed,Article,"Wick, Gary A.; Ohlmann, J. Carter; Fairall, Christopher W.; Jessup, Andrew T.",,"Wick, Gary A. (); Ohlmann, J. Carter (); Fairall, Christopher W. (); Jessup, Andrew T. ()",20,2,,1.34,,https://app.dimensions.ai/details/publication/pub.1017631872,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
13,100,pub.1011611958,10.1175/jtech1786.1,,,GPS–Cellular Drifter Technology for Coastal Ocean Observing Systems,Journal of Atmospheric and Oceanic Technology,,,2005-09,2005,22,9,1381-1388,Closed,Article,"Ohlmann, J. Carter; White, Peter F.; Sybrandy, Andrew L.; Niiler, P. Peter",,"Ohlmann, J. Carter (); White, Peter F. (); Sybrandy, Andrew L. (); Niiler, P. Peter ()",29,5,,1.94,,https://app.dimensions.ai/details/publication/pub.1011611958,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
14,100,pub.1052625329,10.1016/j.pocean.2005.02.001,,,Circulation over the continental shelf in the northern Gulf of Mexico,Progress In Oceanography,,,2005-01,2005,64,1,45-81,Closed,Article,"Ohlmann, J. Carter; Niiler, P. Peter","Ohlmann, J. Carter","Ohlmann, J. Carter (University of California, Santa Barbara; University of California, San Diego); Niiler, P. Peter (University of California, San Diego)",74,13,,4.96,,https://app.dimensions.ai/details/publication/pub.1052625329,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,200,pub.1028788058,10.1175/bams-84-5-617,,,Potential Feedbacks Between Pacific Ocean Ecosystems and Interdecadal Climate Variations,Bulletin of the American Meteorological Society,,,2003-05,2003,84,5,617-633,All OA; Gold,Article,"Miller, Arthur J.; Alexander, Michael A.; Boer, George J.; Chai, Fei; Denman, Ken; Erickson, David J.; Frouin, Robert; Gabric, Albert J.; Laws, Edward A.; Lewis, Marlon R.; Liu, Zhengyu; Murtugudde, Ragu; Nakamoto, Shoichiro; Neilson, Douglas J.; Norris, Joel R.; Ohlmann, J. Carter; Perry, R. Ian; Schneider, Niklas; Shell, Karen M.; Timmermann, Axel",,"Miller, Arthur J. (); Alexander, Michael A. (); Boer, George J. (); Chai, Fei (); Denman, Ken (); Erickson, David J. (); Frouin, Robert (); Gabric, Albert J. (); Laws, Edward A. (); Lewis, Marlon R. (); Liu, Zhengyu (); Murtugudde, Ragu (); Nakamoto, Shoichiro (); Neilson, Douglas J. (); Norris, Joel R. (); Ohlmann, J. Carter (); Perry, R. Ian (); Schneider, Niklas (); Shell, Karen M. (); Timmermann, Axel ()",39,5,,4.52,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-84-5-617,https://app.dimensions.ai/details/publication/pub.1028788058,0201 Astronomical and Space Sciences; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0201 Astronomical and Space Sciences,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
16,100,pub.1002726717,10.1175/1520-0442-16.9.1337,,,Ocean Radiant Heating in Climate Models,Journal of Climate,,,2003-05,2003,16,9,1337-1351,Closed,Article,"Ohlmann, J. Carter",,"Ohlmann, J. Carter ()",62,8,,4.53,,https://app.dimensions.ai/details/publication/pub.1002726717,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,100,pub.1007634447,10.1016/s0924-7963(01)00011-2,,,A two-dimensional response to a tropical storm on the Gulf of Mexico shelf,Journal of Marine Systems,,,2001-05,2001,29,1-4,87-99,Closed,Article,"Ohlmann, J.Carter; Niiler, P.Peter","Ohlmann, J.Carter","Ohlmann, J.Carter (University of California, San Diego); Niiler, P.Peter (University of California, San Diego)",17,2,,1.22,,https://app.dimensions.ai/details/publication/pub.1007634447,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
18,100,pub.1044551745,10.1029/1999jc000162,,,Eddy energy and shelf interactions in the Gulf of Mexico,Journal of Geophysical Research,,,2001-02-15,2001,106,C2,2605-2620,All OA; Gold,Article,"Ohlmann, J. Carter; Niiler, P. Peter; Fox, Chad A.; Leben, Robert R.",,"Ohlmann, J. Carter (); Niiler, P. Peter (); Fox, Chad A. (); Leben, Robert R. ()",62,6,,4.45,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/1999JC000162,https://app.dimensions.ai/details/publication/pub.1044551745,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
