,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jordan F Clark. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1110805466,10.1016/j.quascirev.2018.12.018,,,Balancing the last glacial maximum (LGM) sea-level budget,Quaternary Science Reviews,,,2019-02,2019,205,Geophys. J. Int. 192 2013,143-153,Closed,Article,"Simms, Alexander R.; Lisiecki, Lorraine; Gebbie, Geoffrey; Whitehouse, Pippa L.; Clark, Jordan F.","Simms, Alexander R.","Simms, Alexander R. (University of California, Santa Barbara); Lisiecki, Lorraine (University of California, Santa Barbara); Gebbie, Geoffrey (Woods Hole Oceanographic Institution); Whitehouse, Pippa L. (Durham University); Clark, Jordan F. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1110805466,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
2,100,pub.1099618840,10.1016/j.jhydrol.2017.12.022,,,The suitability of using dissolved gases to determine groundwater discharge to high gradient streams,Journal of Hydrology,,,2018-02,2018,557,Am. Midl. Nat. 126 1991,561-572,Closed,Article,"Gleeson, Tom; Manning, Andrew H.; Popp, Andrea; Zane, Matthew; Clark, Jordan F.","Gleeson, Tom","Gleeson, Tom (); Manning, Andrew H. (United States Geological Survey); Popp, Andrea (Swiss Federal Institute of Aquatic Science and Technology); Zane, Matthew (University of California, Santa Barbara); Clark, Jordan F. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1099618840,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
3,200,pub.1110407525,10.1130/abs/2018am-320768,,,IMPORTANCE OF THE INITIAL CONCENTRATION DISTRIBUTION DURING TRACER RELEASE EXPERIMENTS,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Clark, Jordan F.; de Jong, Menso; Neira, Nicole; Fisher, Andrew T.; Wheat, C. Geoffrey",,"Clark, Jordan F. (); de Jong, Menso (); Neira, Nicole (); Fisher, Andrew T. (); Wheat, C. Geoffrey ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110407525,,,,,,
4,100,pub.1046263433,10.1002/hyp.11112,,,Quantifying annual groundwater recharge and storage in the central Sierra Nevada using naturally occurring 35S,Hydrological Processes,,,2017-03-15,2017,31,6,1382-1397,"All OA; Green, Published",Article,"Urióstegui, Stephanie H.; Bibby, Richard K.; Esser, Bradley K.; Clark, Jordan F.",,"Urióstegui, Stephanie H. (University of California, Santa Barbara; Lawrence Livermore National Laboratory); Bibby, Richard K. (Lawrence Livermore National Laboratory); Esser, Bradley K. (Lawrence Livermore National Laboratory); Clark, Jordan F. (University of California, Santa Barbara)",4,4,,1.32,https://escholarship.org/content/qt50x6285q/qt50x6285q.pdf?t=orv14e,https://app.dimensions.ai/details/publication/pub.1046263433,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1004296767,10.1016/j.jhydrol.2016.04.036,,,Quantifying groundwater travel time near managed recharge operations using 35S as an intrinsic tracer,Journal of Hydrology,,,2016-12,2016,543,,145-154,"All OA; Green, Published",Article,"Urióstegui, Stephanie H.; Bibby, Richard K.; Esser, Bradley K.; Clark, Jordan F.","Urióstegui, Stephanie H.","Urióstegui, Stephanie H. (University of California, Santa Barbara); Bibby, Richard K. (Lawrence Livermore National Laboratory); Esser, Bradley K. (Lawrence Livermore National Laboratory); Clark, Jordan F. (University of California, Santa Barbara)",4,2,,0.99,https://escholarship.org/content/qt79v1j4r1/qt79v1j4r1.pdf?t=orv0ls,https://app.dimensions.ai/details/publication/pub.1004296767,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
6,100,pub.1031847162,10.3390/w8110474,,,Quantifying Apparent Groundwater Ages near Managed Aquifer Recharge Operations Using Radio-Sulfur (35S) as an Intrinsic Tracer,Water,,,2016-10-25,2016,8,11,474,All OA; Gold,Article,"Clark, Jordan F.; Urióstegui, Stephanie H.; Bibby, Richard K.; Esser, Bradley K.; Tredoux, Gideon",,"Clark, Jordan F. (University of California, Santa Barbara); Urióstegui, Stephanie H. (University of California, Santa Barbara); Bibby, Richard K. (); Esser, Bradley K. (); Tredoux, Gideon ()",4,3,,0.99,https://www.mdpi.com/2073-4441/8/11/474/pdf,https://app.dimensions.ai/details/publication/pub.1031847162,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
7,100,pub.1010604431,10.1016/j.epsl.2016.06.048,,,Cross-hole tracer experiment reveals rapid fluid flow and low effective porosity in the upper oceanic crust,Earth and Planetary Science Letters,,,2016-09,2016,450,,355-365,All OA; Gold,Article,"Neira, N.M.; Clark, J.F.; Fisher, A.T.; Wheat, C.G.; Haymon, R.M.; Becker, K.","Fisher, A.T.","Neira, N.M. (University of California, Santa Barbara); Clark, J.F. (University of California, Santa Barbara); Fisher, A.T. (University of California, Santa Cruz); Wheat, C.G. (University of Alaska Fairbanks); Haymon, R.M. (University of California, Santa Barbara); Becker, K. (University of Miami)",8,7,,2.14,https://manuscript.elsevier.com/S0012821X16303351/pdf/S0012821X16303351.pdf,https://app.dimensions.ai/details/publication/pub.1010604431,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1023729846,10.1016/j.jhydrol.2015.12.027,,,Implications of projected climate change for groundwater recharge in the western United States,Journal of Hydrology,,,2016-03,2016,534,Hydrol. Process. 23 2009,124-138,All OA; Gold,Article,"Meixner, Thomas; Manning, Andrew H.; Stonestrom, David A.; Allen, Diana M.; Ajami, Hoori; Blasch, Kyle W.; Brookfield, Andrea E.; Castro, Christopher L.; Clark, Jordan F.; Gochis, David J.; Flint, Alan L.; Neff, Kirstin L.; Niraula, Rewati; Rodell, Matthew; Scanlon, Bridget R.; Singha, Kamini; Walvoord, Michelle A.","Meixner, Thomas","Meixner, Thomas (University of Arizona); Manning, Andrew H. (United States Geological Survey); Stonestrom, David A. (United States Geological Survey); Allen, Diana M. (Simon Fraser University); Ajami, Hoori (UNSW Sydney); Blasch, Kyle W. (); Brookfield, Andrea E. (); Castro, Christopher L. (University of Arizona); Clark, Jordan F. (University of California, Santa Barbara); Gochis, David J. (National Center for Atmospheric Research); Flint, Alan L. (); Neff, Kirstin L. (University of Arizona); Niraula, Rewati (University of Arizona); Rodell, Matthew (Goddard Space Flight Center); Scanlon, Bridget R. (The University of Texas System); Singha, Kamini (Colorado School of Mines); Walvoord, Michelle A. (United States Geological Survey)",84,57,,20.74,https://doi.org/10.1016/j.jhydrol.2015.12.027,https://app.dimensions.ai/details/publication/pub.1023729846,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
9,400,pub.1055078277,10.1021/acs.analchem.5b00584,25981756,,Analytical Method for Measuring Cosmogenic (35)S in Natural Waters.,Analytical Chemistry,,,2015-06-16,2015,87,12,6064-70,"All OA; Green, Published",Article,"Urióstegui, Stephanie H; Bibby, Richard K; Esser, Bradley K; Clark, Jordan F",,"Urióstegui, Stephanie H (University of California, Santa Barbara); Bibby, Richard K (Lawrence Livermore National Laboratory); Esser, Bradley K (Lawrence Livermore National Laboratory); Clark, Jordan F (University of California, Santa Barbara)",6,3,0.08,1.18,https://escholarship.org/content/qt76f3f7jn/qt76f3f7jn.pdf?t=o1yrrs,https://app.dimensions.ai/details/publication/pub.1055078277,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
