,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Karl E Rittger. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120469833,10.1029/2019wr024810,,,An Examination of Snow Albedo Estimates From MODIS and Their Impact on Snow Water Equivalent Reconstruction,Water Resources Research,,,2019-09,2019,55,9,7826-7842,Closed,Article,"Bair, Edward H.; Rittger, Karl; Skiles, S. McKenzie; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Rittger, Karl (Institute of Arctic and Alpine Research); Skiles, S. McKenzie (University of Utah); Dozier, Jeff (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120469833,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
2,100,pub.1120501910,10.1029/2019wr024914,,,Canopy Adjustment and Improved Cloud Detection for Remotely Sensed Snow Cover Mapping,Water Resources Research,,,2019-08-24,2019,,,,Closed,Article,"Rittger, Karl; Raleigh, Mark S.; Dozier, Jeff; Hill, Alice F.; Lutz, James A.; Painter, Thomas H.",,"Rittger, Karl (Institute of Arctic and Alpine Research); Raleigh, Mark S. (University of Colorado Boulder); Dozier, Jeff (University of California, Santa Barbara); Hill, Alice F. (University of Colorado Boulder); Lutz, James A. (Utah State University); Painter, Thomas H. (University of California Los Angeles)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120501910,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
3,100,pub.1118038053,10.5194/tc-2019-150,,,"Validation of modeled snow properties in Afghanistan, Pakistan, and Tajikistan",The Cryosphere Discussions,,,2019-07-16,2019,,,1-29,All OA; Gold,Article,"Bair, Edward H.; Rittger, Karl; Ahmad, Jawairia A.; Chabot, Doug",,"Bair, Edward H. (University of California, Santa Barbara); Rittger, Karl (Institute of Arctic and Alpine Research); Ahmad, Jawairia A. (University of Maryland, College Park); Chabot, Doug ()",0,0,,,https://www.the-cryosphere-discuss.net/tc-2019-150/tc-2019-150.pdf,https://app.dimensions.ai/details/publication/pub.1118038053,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
4,100,pub.1109808461,10.1007/s10113-018-1429-0,,,Runoff from glacier ice and seasonal snow in High Asia: separating melt water sources in river flow,Regional Environmental Change,,,2019-06,2019,19,5,1249-1261,All OA; Gold,Article,"Armstrong, Richard L.; Rittger, Karl; Brodzik, Mary J.; Racoviteanu, Adina; Barrett, Andrew P.; Khalsa, Siri-Jodha Singh; Raup, Bruce; Hill, Alice F.; Khan, Alia L.; Wilson, Alana M.; Kayastha, Rijan Bhakta; Fetterer, Florence; Armstrong, Betsy","Armstrong, Richard L.","Armstrong, Richard L. (University of Colorado Boulder); Rittger, Karl (University of Colorado Boulder); Brodzik, Mary J. (University of Colorado Boulder); Racoviteanu, Adina (Aberystwyth University); Barrett, Andrew P. (University of Colorado Boulder); Khalsa, Siri-Jodha Singh (University of Colorado Boulder); Raup, Bruce (University of Colorado Boulder); Hill, Alice F. (University of Colorado Boulder); Khan, Alia L. (University of Colorado Boulder); Wilson, Alana M. (University of Colorado Boulder); Kayastha, Rijan Bhakta (Kathmandu University); Fetterer, Florence (University of Colorado Boulder); Armstrong, Betsy (University of Colorado Boulder)",7,7,,,https://link.springer.com/content/pdf/10.1007%2Fs10113-018-1429-0.pdf,https://app.dimensions.ai/details/publication/pub.1109808461,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1115906377,10.5194/acp-19-7105-2019,,,Impact of light-absorbing particles on snow albedo darkening and associated radiative forcing over high-mountain Asia: high-resolution WRF-Chem modeling and new satellite observations,Atmospheric Chemistry and Physics,,,2019-05-27,2019,19,10,7105-7128,All OA; Gold,Article,"Sarangi, Chandan; Qian, Yun; Rittger, Karl; Bormann, Kathryn J.; Liu, Ying; Wang, Hailong; Wan, Hui; Lin, Guangxing; Painter, Thomas H.",,"Sarangi, Chandan (Pacific Northwest National Laboratory); Qian, Yun (Pacific Northwest National Laboratory); Rittger, Karl (Institute of Arctic and Alpine Research); Bormann, Kathryn J. (Jet Propulsion Lab); Liu, Ying (Pacific Northwest National Laboratory); Wang, Hailong (Pacific Northwest National Laboratory); Wan, Hui (Pacific Northwest National Laboratory); Lin, Guangxing (Pacific Northwest National Laboratory); Painter, Thomas H. (Jet Propulsion Lab)",0,0,,,https://www.atmos-chem-phys.net/19/7105/2019/acp-19-7105-2019.pdf,https://app.dimensions.ai/details/publication/pub.1115906377,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
6,100,pub.1109816727,10.5194/acp-2018-979,,,Impact of light-absorbing particles on snow albedo darkening and associated radiative forcing over High Mountain Asia: High resolution WRF-Chem modeling and new satellite observations,Atmospheric Chemistry and Physics Discussions,,,2018-11-13,2018,,,1-56,All OA; Gold,Article,"Sarangi, Chandan; Qian, Yun; Rittger, Karl; Bormann, Kat J.; Liu, Ying; Wang, Hailong; Wan, Hui; Lin, Guangxing; Painter, Thomas H.",,"Sarangi, Chandan (Pacific Northwest National Laboratory); Qian, Yun (Pacific Northwest National Laboratory); Rittger, Karl (Institute of Arctic and Alpine Research); Bormann, Kat J. (California Institute of Technology); Liu, Ying (Pacific Northwest National Laboratory); Wang, Hailong (Pacific Northwest National Laboratory); Wan, Hui (Pacific Northwest National Laboratory); Lin, Guangxing (Pacific Northwest National Laboratory); Painter, Thomas H. (California Institute of Technology)",0,0,,,https://www.atmos-chem-phys-discuss.net/acp-2018-979/acp-2018-979.pdf,https://app.dimensions.ai/details/publication/pub.1109816727,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
7,100,pub.1103782768,10.5194/tc-12-1579-2018,,,Using machine learning for real-time estimates of snow water equivalent in the watersheds of Afghanistan,The Cryosphere,,,2018-05-03,2018,12,5,1579-1594,All OA; Gold,Article,"Bair, Edward H.; Calfa, Andre Abreu; Rittger, Karl; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Calfa, Andre Abreu (University of California, Santa Barbara); Rittger, Karl (University of Colorado Boulder); Dozier, Jeff (University of California, Santa Barbara)",8,8,,,https://www.the-cryosphere.net/12/1579/2018/tc-12-1579-2018.pdf,https://app.dimensions.ai/details/publication/pub.1103782768,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
8,100,pub.1103670911,10.1525/elementa.290,,,"Clarifying regional hydrologic controls of the Marañón River, Peru through rapid assessment to inform system-wide basin planning approaches",Elementa: Science of the Anthropocene,,,2018-04-27,2018,6,1,37,All OA; Gold,Article,"Hill, Alice F.; Stallard, Robert F.; Rittger, Karl",,"Hill, Alice F. (University of Colorado Boulder); Stallard, Robert F. (Institute of Arctic and Alpine Research); Rittger, Karl (Cooperative Institute for Research in Environmental Sciences)",0,0,,,http://www.elementascience.org/articles/10.1525/elementa.290/galley/1306/download/,https://app.dimensions.ai/details/publication/pub.1103670911,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
9,100,pub.1092178022,10.5194/tc-2017-196,,,Using machine learning for real-time estimates of snow water equivalent in the watersheds of Afghanistan,The Cryosphere Discussions,,,2017-10-11,2017,,,1-21,All OA; Gold,Article,"Bair, Edward H.; Calfa, Andre Abreu; Rittger, Karl; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Calfa, Andre Abreu (University of California, Santa Barbara); Rittger, Karl (University of Colorado Boulder); Dozier, Jeff (University of California, Santa Barbara)",0,0,,0,https://doi.org/10.5194/tc-2017-196,https://app.dimensions.ai/details/publication/pub.1092178022,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
