,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Katja C Seltmann. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112067003,10.1111/een.12721,,,Local grassland restoration affects insect communities,Ecological Entomology,,,2019-08,2019,44,4,471-479,"All OA; Green, Published",Article,"Luong, Justin C.; Turner, Patrick L.; Phillipson, Celina N.; Seltmann, Katja C.",,"Luong, Justin C. (University of California, Santa Cruz; University of California, Santa Barbara); Turner, Patrick L. (University of California, Santa Cruz); Phillipson, Celina N. (); Seltmann, Katja C. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt64c550mk/qt64c550mk.pdf?t=pu41fa,https://app.dimensions.ai/details/publication/pub.1112067003,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
2,100,pub.1117085644,10.3897/biss.3.37029,,,We Can('t) Get There From Here: Aligning local to global efforts for realizing a biodiversity data commons,Biodiversity Information Science and Standards,,,2019-06-13,2019,3,,e37029,All OA; Gold,Article,"Smith, Vincent Stuart; Paul, Deborah L; Seltmann, Katja C",,"Smith, Vincent Stuart (Natural History Museum); Paul, Deborah L (Florida State University); Seltmann, Katja C (University of California, Santa Barbara)",0,0,,,https://biss.pensoft.net/article/37029/download/pdf/,https://app.dimensions.ai/details/publication/pub.1117085644,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
3,500,pub.1112751079,10.3897/bdj.7.e33303,30918448,PMC6426826,"Developing a vocabulary and ontology for modeling insect natural history data: example data, use cases, and competency questions",Biodiversity Data Journal,,,2019-03-13,2019,7,,e33303,All OA; Gold,Article,"Stucky, Brian J; Balhoff, James P; Barve, Narayani; Barve, Vijay; Brenskelle, Laura; Brush, Matthew H; Dahlem, Gregory A; Gilbert, James D J; Kawahara, Akito Y; Keller, Oliver; Lucky, Andrea; Mayhew, Peter J; Plotkin, David; Seltmann, Katja C; Talamas, Elijah; Vaidya, Gaurav; Walls, Ramona; Yoder, Matt; Zhang, Guanyang; Guralnick, Rob",,"Stucky, Brian J (University of Florida); Balhoff, James P (); Barve, Narayani (University of Florida); Barve, Vijay (University of Florida); Brenskelle, Laura (University of Florida); Brush, Matthew H (Oregon Health & Science University); Dahlem, Gregory A (Northern Kentucky University); Gilbert, James D J (University of Hull); Kawahara, Akito Y (University of Florida); Keller, Oliver (University of Florida); Lucky, Andrea (University of Florida); Mayhew, Peter J (University of York); Plotkin, David (University of Florida); Seltmann, Katja C (Oregon Health & Science University; Northern Kentucky University; University of Hull; University of Florida; University of York; Florida Department of Agriculture and Consumer Services; University of Arizona); Talamas, Elijah (Florida Department of Agriculture and Consumer Services); Vaidya, Gaurav (University of Florida); Walls, Ramona (University of Arizona); Yoder, Matt (); Zhang, Guanyang (University of Florida); Guralnick, Rob (University of Florida)",0,0,,,https://bdj.pensoft.net/article/33303/download/pdf/,https://app.dimensions.ai/details/publication/pub.1112751079,08 Information and Computing Sciences; 06 Biological Sciences; 0604 Genetics; 0806 Information Systems,08 Information and Computing Sciences,06 Biological Sciences,0604 Genetics,0806 Information Systems,
4,100,pub.1110738084,10.3897/rio.4.e32449,,,Georeferencing for Research Use (GRU): An integrated geospatial training paradigm for biocollections researchers and data providers,Research Ideas and Outcomes,,,2018-12-17,2018,4,4,e32449,All OA; Gold,Article,"Seltmann, Katja C.; Lafia, Sara; Paul, Deborah L.; James, Shelley A.; Bloom, David; Rios, Nelson; Ellis, Shari; Farrell, Una; Utrup, Jessica; Yost, Michael; Davis, Edward; Emery, Rob; Motz, Gary; Kimmig, Julien; Shirey, Vaughn; Sandall, Emily; Park, Daniel; Tyrrell, Christopher; Thackurdeen, R. Sean; Collins, Matthew; O'Leary, Vincent; Prestridge, Heather; Evelyn, Christopher; Nyberg, Ben",,"Seltmann, Katja C. (University of California, Santa Barbara); Lafia, Sara (University of California, Santa Barbara); Paul, Deborah L. (Florida State University); James, Shelley A. (Royal Botanic Garden Sydney); Bloom, David (Florida Museum of Natural History); Rios, Nelson (); Ellis, Shari (Florida Museum of Natural History); Farrell, Una (Stanford University); Utrup, Jessica (Yale University); Yost, Michael (); Davis, Edward (University of Oregon); Emery, Rob (); Motz, Gary (Indiana University Bloomington); Kimmig, Julien (University of Kansas); Shirey, Vaughn (Drexel University); Sandall, Emily (Pennsylvania State University); Park, Daniel (Harvard University; University of Arizona); Tyrrell, Christopher (Milwaukee Public Museum); Thackurdeen, R. Sean (New York Botanical Garden); Collins, Matthew (University of Florida); O'Leary, Vincent (Drexel University); Prestridge, Heather (Texas A&M University); Evelyn, Christopher (University of California, Santa Barbara); Nyberg, Ben (National Tropical Botanical Garden)",1,1,,,https://riojournal.com/article/32449/download/pdf/,https://app.dimensions.ai/details/publication/pub.1110738084,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
5,100,pub.1033305421,10.1111/cla.12169,,,Areas of endemism in the Nearctic: a case study of 1339 species of Miridae (Insecta: Hemiptera) and their plant hosts,Cladistics,,,2017-06,2017,33,3,279-294,All OA; Gold,Article,"Weirauch, Christiane; Seltmann, Katja C.; Schuh, Randall T.; Schwartz, Michael D.; Johnson, Christine; Feist, Mary Ann; Soltis, Pamela S.",,"Weirauch, Christiane (University of California, Riverside); Seltmann, Katja C. (American Museum of Natural History; University of California, Santa Barbara); Schuh, Randall T. (American Museum of Natural History); Schwartz, Michael D. (American Museum of Natural History); Johnson, Christine (American Museum of Natural History); Feist, Mary Ann (University of Wisconsin–Madison); Soltis, Pamela S. (Florida Museum of Natural History)",11,10,,4.28,https://doi.org/10.1111/cla.12169,https://app.dimensions.ai/details/publication/pub.1033305421,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,500,pub.1084237512,10.11646/zootaxa.4247.1.10,28610091,,LepNet: The Lepidoptera of North America Network,Zootaxa,,Animals; Biodiversity; Butterflies; Lepidoptera; Museums; North America; United States,2017-03-23,2017,4247,1,73-77,All OA; Gold,Article,"SELTMANN, KATJA C.; COBB, NEIL S.; GALL, LAWRENCE F.; BARTLETT, CHARLES R.; BASHAM, M. ANNE; BETANCOURT, ISABELLE; BILLS, CHRISTY; BRANDT, BENJAMIN; BROWN, RICHARD L.; BUNDY, CHARLES; CATERINO, MICHAEL S.; CHAPMAN, CAITLIN; COGNATO, ANTHONY; COLBY, JULIA; COOK, STEPHEN P.; DALY, KATHRYN M.; DYER, LEE A.; FRANZ, NICO M.; GELHAUS, JON K.; GRINTER, CHRISTOPHER C.; HARP, CHARLES E.; HAWKINS, RACHEL L.; HEYDON, STEVE L.; HILL, GEENA M.; HUBER, STACEY; JOHNSON, NORMAN; KAWAHARA, AKITO Y.; KIMSEY, LYNN S.; KONDRATIEFF, BORIS C.; KRELL, FRANK-THORSTEN; LEBLANC, LUC; LEE, SANGMI; MARSHALL, CHRISTOPHER J.; MCCABE, LINDSIE M.; MCHUGH, JOSEPH V.; MENARD, KATRINA L.; OPLER, PAUL A.; PALFFY-MUHORAY, NICOLE; PARDIKES, NICK; PETERSON, MERRILL A.; PIERCE, NAOMI E.; POREMSKI, ANDRE; SIKES, DEREK S.; WEINTRAUB, JASON D.; WIKLE, DAVID; ZASPEL, JENNIFER M.; ZOLNEROWICH, GREGORY",,"SELTMANN, KATJA C. (University of California, Santa Barbara); COBB, NEIL S. (Northern Arizona University); GALL, LAWRENCE F. (Yale University); BARTLETT, CHARLES R. (University of Delaware); BASHAM, M. ANNE (Arizona State University); BETANCOURT, ISABELLE (Drexel University); BILLS, CHRISTY (University of Utah); BRANDT, BENJAMIN (Northern Arizona University); BROWN, RICHARD L. (Mississippi State University); BUNDY, CHARLES (New Mexico State University); CATERINO, MICHAEL S. (Clemson University); CHAPMAN, CAITLIN (Northern Arizona University); COGNATO, ANTHONY (Michigan State University); COLBY, JULIA (Milwaukee Public Museum); COOK, STEPHEN P. (University of Idaho); DALY, KATHRYN M. (University of Alaska Fairbanks); DYER, LEE A. (University of Nevada Reno); FRANZ, NICO M. (Arizona State University); GELHAUS, JON K. (Drexel University); GRINTER, CHRISTOPHER C. (California Academy of Sciences); HARP, CHARLES E. (Colorado State University); HAWKINS, RACHEL L. (Harvard University); HEYDON, STEVE L. (University of California, Davis); HILL, GEENA M. (University of Florida); HUBER, STACEY (University of Florida); JOHNSON, NORMAN (The Ohio State University); KAWAHARA, AKITO Y. (University of Florida); KIMSEY, LYNN S. (University of California, Davis); KONDRATIEFF, BORIS C. (Colorado State University); KRELL, FRANK-THORSTEN (Denver Museum of Nature and Science); LEBLANC, LUC (University of Idaho); LEE, SANGMI (Arizona State University); MARSHALL, CHRISTOPHER J. (Oregon State University); MCCABE, LINDSIE M. (Northern Arizona University); MCHUGH, JOSEPH V. (University of Georgia); MENARD, KATRINA L. (University of Oklahoma); OPLER, PAUL A. (Colorado State University); PALFFY-MUHORAY, NICOLE (Yale University); PARDIKES, NICK (University of Nevada Reno); PETERSON, MERRILL A. (); PIERCE, NAOMI E. (Harvard University); POREMSKI, ANDRE (); SIKES, DEREK S. (University of Alaska Fairbanks); WEINTRAUB, JASON D. (Drexel University); WIKLE, DAVID (Northern Arizona University); ZASPEL, JENNIFER M. (Milwaukee Public Museum); ZOLNEROWICH, GREGORY (Kansas State University)",7,6,0.7,3.59,https://biotaxa.org/Zootaxa/article/download/zootaxa.4247.1.10/26790,https://app.dimensions.ai/details/publication/pub.1084237512,06 Biological Sciences; 0608 Zoology; 0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,0603 Evolutionary Biology,,
7,200,pub.1099062620,10.1603/ice.2016.91191,,,Natural history collections in support of conservation and ecological restoration,,2016 International Congress of Entomology,,2016,2016,,,,Closed,Proceeding,"Seltmann, Katja C.",,"Seltmann, Katja C. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099062620,,,,,,
8,100,pub.1047985707,10.1093/biosci/biv005,,,Accelerating the Digitization of Biodiversity Research Specimens through Online Public Participation,BioScience,,,2015-02-19,2015,65,4,383-396,All OA; Gold,Article,"Ellwood, Elizabeth R.; Dunckel, Betty A.; Flemons, Paul; Guralnick, Robert; Nelson, Gil; Newman, Greg; Newman, Sarah; Paul, Deborah; Riccardi, Greg; Rios, Nelson; Seltmann, Katja C.; Mast, Austin R.",,"Ellwood, Elizabeth R. (); Dunckel, Betty A. (); Flemons, Paul (); Guralnick, Robert (); Nelson, Gil (); Newman, Greg (); Newman, Sarah (); Paul, Deborah (); Riccardi, Greg (); Rios, Nelson (); Seltmann, Katja C. (); Mast, Austin R. ()",39,17,,,https://academic.oup.com/bioscience/article-pdf/65/4/383/19416776/biv005.pdf,https://app.dimensions.ai/details/publication/pub.1047985707,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
9,400,pub.1053684353,10.1371/journal.pbio.1002033,25562316,PMC4285398,Finding Our Way through Phenotypes,PLoS Biology,,"Animals; Computational Biology; Data Curation; Databases, Factual; Gene-Environment Interaction; Genetic Association Studies; Genomics; Humans; Phenotype; Reference Standards; Reproducibility of Results; Terminology as Topic",2015-01-06,2015,13,1,e1002033,All OA; Gold,Article,"Deans, Andrew R.; Lewis, Suzanna E.; Huala, Eva; Anzaldo, Salvatore S.; Ashburner, Michael; Balhoff, James P.; Blackburn, David C.; Blake, Judith A.; Burleigh, J. Gordon; Chanet, Bruno; Cooper, Laurel D.; Courtot, Mélanie; Csösz, Sándor; Cui, Hong; Dahdul, Wasila; Das, Sandip; Dececchi, T. Alexander; Dettai, Agnes; Diogo, Rui; Druzinsky, Robert E.; Dumontier, Michel; Franz, Nico M.; Friedrich, Frank; Gkoutos, George V.; Haendel, Melissa; Harmon, Luke J.; Hayamizu, Terry F.; He, Yongqun; Hines, Heather M.; Ibrahim, Nizar; Jackson, Laura M.; Jaiswal, Pankaj; James-Zorn, Christina; Köhler, Sebastian; Lecointre, Guillaume; Lapp, Hilmar; Lawrence, Carolyn J.; Le Novère, Nicolas; Lundberg, John G.; Macklin, James; Mast, Austin R.; Midford, Peter E.; Mikó, István; Mungall, Christopher J.; Oellrich, Anika; Osumi-Sutherland, David; Parkinson, Helen; Ramírez, Martín J.; Richter, Stefan; Robinson, Peter N.; Ruttenberg, Alan; Schulz, Katja S.; Segerdell, Erik; Seltmann, Katja C.; Sharkey, Michael J.; Smith, Aaron D.; Smith, Barry; Specht, Chelsea D.; Squires, R. Burke; Thacker, Robert W.; Thessen, Anne; Fernandez-Triana, Jose; Vihinen, Mauno; Vize, Peter D.; Vogt, Lars; Wall, Christine E.; Walls, Ramona L.; Westerfeld, Monte; Wharton, Robert A.; Wirkner, Christian S.; Woolley, James B.; Yoder, Matthew J.; Zorn, Aaron M.; Mabee, Paula",,"Deans, Andrew R. (Pennsylvania State University); Lewis, Suzanna E. (Lawrence Berkeley National Laboratory); Huala, Eva (Department of Plant Biology; Phoenix Bioinformatics); Anzaldo, Salvatore S. (Arizona State University); Ashburner, Michael (University of Cambridge); Balhoff, James P. (National Evolutionary Synthesis Center); Blackburn, David C. (California Academy of Sciences); Blake, Judith A. (Jackson Laboratory); Burleigh, J. Gordon (University of Florida); Chanet, Bruno (National Museum of Natural History); Cooper, Laurel D. (Oregon State University); Courtot, Mélanie (Simon Fraser University); Csösz, Sándor (Hungarian Academy of Sciences); Cui, Hong (University of Arizona); Dahdul, Wasila (University of South Dakota); Das, Sandip (University of Delhi); Dececchi, T. Alexander (University of South Dakota); Dettai, Agnes (National Museum of Natural History); Diogo, Rui (Howard University); Druzinsky, Robert E. (University of Illinois at Chicago); Dumontier, Michel (); Franz, Nico M. (Arizona State University); Friedrich, Frank (University of Hamburg); Gkoutos, George V. (Aberystwyth University); Haendel, Melissa (Oregon Health & Science University); Harmon, Luke J. (University of Idaho); Hayamizu, Terry F. (Jackson Laboratory); He, Yongqun (University of Michigan); Hines, Heather M. (Pennsylvania State University); Ibrahim, Nizar (University of Chicago); Jackson, Laura M. (University of South Dakota); Jaiswal, Pankaj (Oregon State University); James-Zorn, Christina (Cincinnati Children's Hospital Medical Center); Köhler, Sebastian (Charité – University Medicine Berlin); Lecointre, Guillaume (National Museum of Natural History); Lapp, Hilmar (National Evolutionary Synthesis Center); Lawrence, Carolyn J. (Iowa State University); Le Novère, Nicolas (Babraham Institute); Lundberg, John G. (Drexel University); Macklin, James (Agriculture and Agriculture-Food Canada); Mast, Austin R. (Florida State University); Midford, Peter E. (); Mikó, István (Pennsylvania State University); Mungall, Christopher J. (Lawrence Berkeley National Laboratory); Oellrich, Anika (European Bioinformatics Institute); Osumi-Sutherland, David (European Bioinformatics Institute); Parkinson, Helen (European Bioinformatics Institute); Ramírez, Martín J. (Bernardino Rivadavia Natural Sciences Museum); Richter, Stefan (University of Rostock); Robinson, Peter N. (Charité – University Medicine Berlin); Ruttenberg, Alan (University at Buffalo, State University of New York); Schulz, Katja S. (National Museum of Natural History); Segerdell, Erik (Oregon Health & Science University); Seltmann, Katja C. (American Museum of Natural History); Sharkey, Michael J. (University of Kentucky); Smith, Aaron D. (Northern Arizona University); Smith, Barry (University at Buffalo, State University of New York); Specht, Chelsea D. (University of California, Berkeley); Squires, R. Burke (National Institute of Allergy and Infectious Diseases); Thacker, Robert W. (University of Alabama at Birmingham); Thessen, Anne (); Fernandez-Triana, Jose (); Vihinen, Mauno (Lund University); Vize, Peter D. (University of Calgary); Vogt, Lars (University of Bonn); Wall, Christine E. (Duke University); Walls, Ramona L. (University of Arizona); Westerfeld, Monte (University of Oregon); Wharton, Robert A. (Texas A&M University); Wirkner, Christian S. (University of Rostock); Woolley, James B. (Texas A&M University); Yoder, Matthew J. (); Zorn, Aaron M. (Cincinnati Children's Hospital Medical Center); Mabee, Paula (University of South Dakota)",118,49,4.9,18.94,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002033&type=printable,https://app.dimensions.ai/details/publication/pub.1053684353,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
