,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Keith C Clarke. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1117696272,10.1016/j.compenvurbsys.2019.101358,,,Modeling an Indian megalopolis– A case study on adapting SLEUTH urban growth model,Computers Environment and Urban Systems,,,2019-09,2019,77,,101358,Closed,Article,"Chaudhuri, Gargi; Clarke, Keith C.","Chaudhuri, Gargi","Chaudhuri, Gargi (University of Wisconsin–La Crosse); Clarke, Keith C. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117696272,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
2,100,pub.1117045983,10.1016/j.compenvurbsys.2019.101351,,,"The impact of urbanization and climate change on ecosystem services: A case study of the city belt along the Yellow River in Ningxia, China",Computers Environment and Urban Systems,,,2019-09,2019,77,,101351,Closed,Article,"Lyu, Rongfang; Clarke, Keith C.; Zhang, Jianming; Jia, Xuehui; Feng, Junli; Li, Jijun","Zhang, Jianming","Lyu, Rongfang (Lanzhou University); Clarke, Keith C. (University of California, Santa Barbara); Zhang, Jianming (Lanzhou University); Jia, Xuehui (Lanzhou University); Feng, Junli (Lanzhou University); Li, Jijun (Lanzhou University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117045983,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
3,100,pub.1114030090,10.1016/j.cageo.2019.05.002,,,A fractal model of granitic intrusion and variability based on cellular automata,Computers & Geosciences,,,2019-08,2019,129,,40-48,Closed,Article,"Xiong, Yihui; Zuo, Renguang; Clarke, Keith C.","Zuo, Renguang","Xiong, Yihui (China University of Geosciences; University of California, Santa Barbara); Zuo, Renguang (China University of Geosciences); Clarke, Keith C. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1114030090,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,100,pub.1116518792,10.1016/j.apgeog.2019.05.003,,,"Spatial correlations among ecosystem services and their socio-ecological driving factors: A case study in the city belt along the Yellow River in Ningxia, China",Applied Geography,,,2019-07,2019,108,,64-73,Closed,Article,"Lyu, Rongfang; Clarke, Keith C.; Zhang, Jianming; Feng, Junli; Jia, Xuehui; Li, Jijun","Zhang, Jianming","Lyu, Rongfang (Lanzhou University); Clarke, Keith C. (University of California, Santa Barbara); Zhang, Jianming (Lanzhou University); Feng, Junli (Lanzhou University); Jia, Xuehui (Lanzhou University); Li, Jijun (Lanzhou University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1116518792,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
5,100,pub.1117603953,10.1080/15230406.2019.1619482,,,Indoor cartography,Cartography and Geographic Information Science,,,2019-06-27,2019,,,1-15,Closed,Article,"Chen, Jorge; Clarke, Keith C.",,"Chen, Jorge (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117603953,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
6,100,pub.1117162245,10.1080/15230406.2019.1571441,,,Contemporary American cartographic research: a review and prospective,Cartography and Geographic Information Science,,,2019-05-04,2019,46,3,196-209,All OA; Gold,Article,"Clarke, Keith C.; Johnson, J. Michael; Trainor, Tim",,"Clarke, Keith C. (University of California, Santa Barbara); Johnson, J. Michael (University of California, Santa Barbara); Trainor, Tim (United States Census Bureau)",3,3,,,https://www.tandfonline.com/doi/pdf/10.1080/15230406.2019.1571441?needAccess=true,https://app.dimensions.ai/details/publication/pub.1117162245,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
7,100,pub.1112220733,10.1080/13658816.2019.1568441,,,Examining the sensitivity of spatial scale in cellular automata Markov chain simulation of land use change,International Journal of Geographical Information Science,,,2019-05-04,2019,33,5,1-22,"All OA; Green, Published",Article,"Wu, Hao; Li, Zhen; Clarke, Keith C.; Shi, Wenzhong; Fang, Linchuan; Lin, Anqi; Zhou, Jie",,"Wu, Hao (Central China Normal University); Li, Zhen (Wuhan University of Technology); Clarke, Keith C. (University of California, Santa Barbara); Shi, Wenzhong (Hong Kong Polytechnic University); Fang, Linchuan (); Lin, Anqi (Central China Normal University); Zhou, Jie (Central China Normal University)",3,3,,,https://escholarship.org/content/qt97p9s2w8/qt97p9s2w8.pdf?t=pq1uqb,https://app.dimensions.ai/details/publication/pub.1112220733,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
8,500,pub.1113478810,10.1007/s10661-019-7450-z,30989385,,Monitoring forest cover change within different reserve types in southern Ghana,Environmental Monitoring and Assessment,,"Agriculture; Biodiversity; Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Forests; Ghana; Parks, Recreational; Population Density; Rivers",2019-05,2019,191,5,281,Closed,Article,"Tsai, Yu Hsin; Stow, Douglas A.; López-Carr, David; Weeks, John R.; Clarke, Keith C.; Mensah, Foster","Tsai, Yu Hsin","Tsai, Yu Hsin (San Diego State University); Stow, Douglas A. (San Diego State University); López-Carr, David (University of California, Santa Barbara); Weeks, John R. (San Diego State University); Clarke, Keith C. (University of California, Santa Barbara); Mensah, Foster ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1113478810,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
9,100,pub.1109802195,10.1016/j.cities.2018.10.008,,,"An agent-based procedure with an embedded agent learning model for residential land growth simulation: The case study of Nanjing, China",Cities,,,2019-05,2019,88,Ecological Modelling 229 24 2012,155-165,Closed,Article,"Li, Feixue; Xie, Zhongkai; Clarke, Keith C.; Li, Manchun; Chen, Honghua; Liang, Jian; Chen, Zhenjie","Li, Feixue","Li, Feixue (Nanjing University); Xie, Zhongkai (Nanjing University); Clarke, Keith C. (University of California, Santa Barbara); Li, Manchun (Nanjing University); Chen, Honghua (Nanjing Forestry University); Liang, Jian (Ministry of Natural Resources); Chen, Zhenjie (Nanjing University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109802195,16 Studies in Human Society; 1604 Human Geography; 12 Built Environment and Design; 1205 Urban and Regional Planning,16 Studies in Human Society,1604 Human Geography,12 Built Environment and Design,1205 Urban and Regional Planning,
10,100,pub.1104521967,10.1007/s11004-018-9750-1,,,Entropy-Based Weighting in One-Dimensional Multiple Errors Analysis of Geological Contacts to Model Geological Structure,Mathematical Geosciences,,,2019-01,2019,51,1,29-51,Closed,Article,"Hou, Weisheng; Cui, Chanjie; Yang, Liang; Yang, Qiaochu; Clarke, Keith","Hou, Weisheng","Hou, Weisheng (Sun Yat-sen University; Key Laboratory of Guangdong Province); Cui, Chanjie (Sun Yat-sen University; Key Laboratory of Guangdong Province); Yang, Liang (Sun Yat-sen University; Stanford University); Yang, Qiaochu (Sun Yat-sen University; Key Laboratory of Guangdong Province); Clarke, Keith (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104521967,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
11,100,pub.1112972783,10.1007/978-3-030-12381-9_8,,,Mathematical Foundations of Cellular Automata and Complexity Theory,"Modeling and Simulation in Science, Engineering and Technology",The Mathematics of Urban Morphology,,2019,2019,,,163-170,Closed,Chapter,"Clarke, Keith C.","Clarke, Keith C.","Clarke, Keith C. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112972783,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
12,100,pub.1106087061,10.1016/j.cageo.2018.07.011,,,An automatic variogram modeling method with high reliability fitness and estimates,Computers & Geosciences,,,2018-11,2018,120,J. Int. Assoc. Math. Geol. 17 1985,48-59,"All OA; Green, Published",Article,"Li, Zhanglin; Zhang, Xialin; Clarke, Keith C.; Liu, Gang; Zhu, Rui","Li, Zhanglin","Li, Zhanglin (China University of Geosciences); Zhang, Xialin (China University of Geosciences); Clarke, Keith C. (University of California, Santa Barbara); Liu, Gang (China University of Geosciences); Zhu, Rui (University of California, Santa Barbara)",3,3,,,https://escholarship.org/content/qt39732412/qt39732412.pdf?t=phrmur,https://app.dimensions.ai/details/publication/pub.1106087061,08 Information and Computing Sciences; 09 Engineering; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,04 Earth Sciences,,
13,100,pub.1106385519,10.1080/10106049.2018.1516244,,,Patterns of land cover and land use change within the two major metropolitan areas of Ghana,Geocarto International,,,2018-10,2018,,,1-28,Closed,Article,"Toure, Sory I.; Stow, Douglas A.; Clarke, Keith; Weeks, John",,"Toure, Sory I. (San Diego State University); Stow, Douglas A. (San Diego State University); Clarke, Keith (University of California, Santa Barbara); Weeks, John (San Diego State University)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1106385519,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
14,100,pub.1104519362,10.1007/s11252-018-0769-3,,,Gross primary productivity of a large metropolitan region in midsummer using high spatial resolution satellite imagery,Urban Ecosystems,,,2018-10,2018,21,5,831-850,"All OA; Green, Accepted & Submitted",Article,"Miller, David L.; Roberts, Dar A.; Clarke, Keith C.; Lin, Yang; Menzer, Olaf; Peters, Emily B.; McFadden, Joseph P.","Miller, David L.","Miller, David L. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara); Lin, Yang (University of California, Berkeley); Menzer, Olaf (University of California, Santa Barbara); Peters, Emily B. (Minnesota Department of Natural Resources); McFadden, Joseph P. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt4bf9299r/qt4bf9299r.pdf?t=phrmwn,https://app.dimensions.ai/details/publication/pub.1104519362,0501 Ecological Applications; 05 Environmental Sciences; 0602 Ecology; 06 Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,0602 Ecology,06 Biological Sciences,
15,100,pub.1106941675,10.5194/isprs-annals-iv-4-w6-3-2018,,,ASSESSING THE ACCURACY AND PRECISION OF IMPERFECT POINT CLOUDS FOR 3D INDOOR MAPPING AND MODELING,ISPRS Annals of Photogrammetry Remote Sensing and Spatial Information Sciences,,,2018-09-12,2018,IV-4-W6,,3-10,All OA; Gold,Article,"Chen, J.; Mora, O. E.; Clarke, K. C.",,"Chen, J. (University of California, Santa Barbara); Mora, O. E. (California State Polytechnic University); Clarke, K. C. (University of California, Santa Barbara)",0,0,,,https://www.isprs-ann-photogramm-remote-sens-spatial-inf-sci.net/IV-4-W6/3/2018/isprs-annals-IV-4-W6-3-2018.pdf,https://app.dimensions.ai/details/publication/pub.1106941675,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
