,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Lee Hannah. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113849181,10.24259/fs.v3i1.6067,,,The Manokwari Declaration: Challenges ahead in conserving 70% of Tanah Papua’s forests,Forest and Society,,,2019-04-07,2019,3,1,148-151,All OA; Gold,Article,"Cámara-Leret, Rodrigo; Schuiteman, Andre; Utteridge, Timothy; Bramley, Gemma; Deverell, Richard; Fisher, Larry A.; McLeod, Jonathan; Hannah, Lee; Roehrdanz, Patrick; Laman, Timothy G.; Scholes, Edwin; de Fretes, Yance; Heatubun, Charlie",,"Cámara-Leret, Rodrigo (Royal Botanic Gardens); Schuiteman, Andre (Royal Botanic Gardens); Utteridge, Timothy (Royal Botanic Gardens); Bramley, Gemma (Royal Botanic Gardens); Deverell, Richard (Royal Botanic Gardens); Fisher, Larry A. (University of Arizona); McLeod, Jonathan (University of Arizona); Hannah, Lee (University of California, Santa Barbara); Roehrdanz, Patrick (University of California, Santa Barbara); Laman, Timothy G. (Harvard University); Scholes, Edwin (Cornell University); de Fretes, Yance (); Heatubun, Charlie ()",1,1,,,http://journal.unhas.ac.id/index.php/fs/article/download/6067/pdf,https://app.dimensions.ai/details/publication/pub.1113849181,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
2,100,pub.1111154916,10.1016/j.ecolmodel.2018.12.006,,,Designing freshwater protected areas (FPAs) for indiscriminate fisheries,Ecological Modelling,,,2019-02,2019,393,BioScience 58 5 2008,127-134,Closed,Article,"Hannah, Lee; Costello, Christopher; Elliot, Vittoria; Owashi, Brandon; Nam, So; Oyanedel, Rodrigo; Chea, Ratha; Vibol, Ouk; Phen, Chheng; McDonald, Gavin","McDonald, Gavin","Hannah, Lee (); Costello, Christopher (University of California, Santa Barbara); Elliot, Vittoria (); Owashi, Brandon (Norco College); Nam, So (); Oyanedel, Rodrigo (University of Oxford); Chea, Ratha (University of Battambang); Vibol, Ouk (); Phen, Chheng (); McDonald, Gavin (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111154916,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,200,pub.1106284304,10.1126/sciadv.aau9981,30140747,PMC6105300,Avoiding the climate failsafe point,Science Advances,,,2018-08,2018,4,8,eaau9981,All OA; Gold,Article,"Lovejoy, Thomas E; Hannah, Lee",,"Lovejoy, Thomas E (George Mason University; Conservation International); Hannah, Lee (George Mason University; Conservation International)",2,2,,,https://advances.sciencemag.org/content/advances/4/8/eaau9981.full.pdf,https://app.dimensions.ai/details/publication/pub.1106284304,,,,,,
4,500,pub.1106860358,10.1093/conphys/coy056,30364036,PMC6188536,Predicted impacts of climate warming on aerobic performance and upper thermal tolerance of six tropical freshwater fishes spanning three continents,Conservation Physiology,,,2018-01-01,2018,6,1,coy056,All OA; Gold,Article,"Lapointe, Dominique; Cooperman, Michael S; Chapman, Lauren J; Clark, Timothy D; Val, Adalberto L; Ferreira, Marcio S; Balirwa, John S; Mbabazi, Dismas; Mwanja, Matthew; Chhom, Limhong; Hannah, Lee; Kaufman, Les; Farrell, Anthony P; Cooke, Steven J",,"Lapointe, Dominique (St. Lawrence River Institute of Environmental Sciences; Carleton University); Cooperman, Michael S (Conservation International); Chapman, Lauren J (McGill University); Clark, Timothy D (Deakin University); Val, Adalberto L (National Institute of Amazonian Research); Ferreira, Marcio S (National Institute of Amazonian Research); Balirwa, John S (National Agricultural Research Organisation); Mbabazi, Dismas (); Mwanja, Matthew (); Chhom, Limhong (University of Battambang); Hannah, Lee (University of California, Santa Barbara); Kaufman, Les (Boston University); Farrell, Anthony P (University of British Columbia); Cooke, Steven J (Carleton University)",1,1,,,https://academic.oup.com/conphys/article-pdf/6/1/coy056/26106176/coy056.pdf,https://app.dimensions.ai/details/publication/pub.1106860358,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1093080648,10.1016/b978-0-12-809665-9.09971-7,,,Climate Change and Biodiversity: Conservation,,Encyclopedia of the Anthropocene,,2018,2018,,,441-451,Closed,Chapter,"Shahbol, N.; Hannah, L.; Lovejoy, T.E.",,"Shahbol, N. (University of California, Santa Barbara); Hannah, L. (); Lovejoy, T.E. (George Mason University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1093080648,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
6,100,pub.1086233654,10.1016/b978-0-12-409548-9.09971-1,,,Climate Change and Biodiversity: Conservation,,Reference Module in Earth Systems and Environmental Sciences,,2018,2018,,,,Closed,Chapter,"Shahbol, N.; Lovejoy, T.E.; Hannah, L.",,"Shahbol, N. (); Lovejoy, T.E. (); Hannah, L. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1086233654,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
7,500,pub.1091588275,10.1073/pnas.1617940114,28893985,PMC5625888,Coupling of pollination services and coffee suitability under climate change,Proceedings of the National Academy of Sciences,,"Agriculture; Animals; Bees; Climate Change; Coffea; Coffee; Crops, Agricultural; Ecosystem; Farms; Pollination",2017-09-26,2017,114,39,10438-10442,All OA; Gold,Article,"Imbach, Pablo; Fung, Emily; Hannah, Lee; Navarro-Racines, Carlos E.; Roubik, David W.; Ricketts, Taylor H.; Harvey, Celia A.; Donatti, Camila I.; Läderach, Peter; Locatelli, Bruno; Roehrdanz, Patrick R.",,"Imbach, Pablo (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Fung, Emily (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Hannah, Lee (Conservation International); Navarro-Racines, Carlos E. (); Roubik, David W. (Smithsonian Tropical Research Institute); Ricketts, Taylor H. (University of Vermont); Harvey, Celia A. (Conservation International); Donatti, Camila I. (Conservation International); Läderach, Peter (); Locatelli, Bruno (French Agricultural Research Centre for International Development); Roehrdanz, Patrick R. (Conservation International)",9,9,0.28,3.51,https://www.pnas.org/content/pnas/114/39/10438.full.pdf,https://app.dimensions.ai/details/publication/pub.1091588275,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,200,pub.1084025641,10.1007/s10584-017-1920-5,,,"Climate change, ecosystems and smallholder agriculture in Central America: an introduction to the special issue",Climatic Change,,,2017-03,2017,141,1,1-12,All OA; Gold,Article,"Imbach, Pablo; Beardsley, Megan; Bouroncle, Claudia; Medellin, Claudia; Läderach, Peter; Hidalgo, Hugo; Alfaro, Eric; Van Etten, Jacob; Allan, Robert; Hemming, Debbie; Stone, Roger; Hannah, Lee; Donatti, Camila I.","Hannah, Lee","Imbach, Pablo (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Beardsley, Megan (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Bouroncle, Claudia (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Medellin, Claudia (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Läderach, Peter (); Hidalgo, Hugo (University of Costa Rica); Alfaro, Eric (University of Costa Rica); Van Etten, Jacob (); Allan, Robert (Met Office); Hemming, Debbie (Met Office; University of Birmingham); Stone, Roger (University of Southern Queensland); Hannah, Lee (Conservation International); Donatti, Camila I. (Conservation International)",8,7,,,https://link.springer.com/content/pdf/10.1007%2Fs10584-017-1920-5.pdf,https://app.dimensions.ai/details/publication/pub.1084025641,,,,,,
9,100,pub.1014242442,10.1007/s10584-016-1867-y,,,Regional modeling of climate change impacts on smallholder agriculture and ecosystems in Central America,Climatic Change,,,2017-03,2017,141,1,29-45,All OA; Gold,Article,"Hannah, Lee; Donatti, Camila I.; Harvey, Celia A.; Alfaro, Eric; Rodriguez, Daniel Andres; Bouroncle, Claudia; Castellanos, Edwin; Diaz, Freddy; Fung, Emily; Hidalgo, Hugo G.; Imbach, Pablo; Läderach, Peter; Landrum, Jason P.; Solano, Ana Lucía","Hannah, Lee","Hannah, Lee (Conservation International); Donatti, Camila I. (Conservation International); Harvey, Celia A. (Conservation International); Alfaro, Eric (University of Costa Rica); Rodriguez, Daniel Andres (); Bouroncle, Claudia (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Castellanos, Edwin (University of the Valley of Guatemala); Diaz, Freddy (University of the Valley of Guatemala); Fung, Emily (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Hidalgo, Hugo G. (University of Costa Rica); Imbach, Pablo (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie); Läderach, Peter (International Center for Tropical Agriculture); Landrum, Jason P. (American Association For The Advancement of Science); Solano, Ana Lucía (University of the Valley of Guatemala)",12,9,,4.04,https://link.springer.com/content/pdf/10.1007%2Fs10584-016-1867-y.pdf,https://app.dimensions.ai/details/publication/pub.1014242442,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,05 Environmental Sciences,06 Biological Sciences
