,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Leigh Anne Riedman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,300,pub.1112845156,10.1016/j.cub.2019.02.003,30889393,,Evolution: Ancient Fossilized Amoebae Find Their Home in the Tree,Current Biology,,,2019-03,2019,29,6,r212-r215,Closed,Article,"Porter, Susannah M.; Riedman, Leigh Anne","Porter, Susannah M.","Porter, Susannah M. (University of California, Santa Barbara); Riedman, Leigh Anne (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112845156,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences; 06 Biological Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,06 Biological Sciences,,
2,100,pub.1092127820,10.1016/j.precamres.2017.10.008,,,Global species richness record and biostratigraphic potential of early to middle Neoproterozoic eukaryote fossils,Precambrian Research,,,2018-12,2018,319,Precambr. Res. 43 1989,6-18,Closed,Article,"Riedman, Leigh Anne; Sadler, Peter M.","Riedman, Leigh Anne","Riedman, Leigh Anne (Harvard University); Sadler, Peter M. (University of California System)",12,12,,,,https://app.dimensions.ai/details/publication/pub.1092127820,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1091884974,10.1016/j.precamres.2017.09.019,,,"Vase-shaped microfossil biostratigraphy with new data from Tasmania, Svalbard, Greenland, Sweden and the Yukon",Precambrian Research,,,2018-12,2018,319,J. Eukaryot. Microbiol. 59 5 2012,19-36,Closed,Article,"Riedman, Leigh Anne; Porter, Susannah M.; Calver, Clive R.","Riedman, Leigh Anne","Riedman, Leigh Anne (Harvard University); Porter, Susannah M. (University of California System); Calver, Clive R. (University of Tasmania)",14,14,,,,https://app.dimensions.ai/details/publication/pub.1091884974,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,200,pub.1107299780,10.1042/etls-2017-0145c_cor,,,"Correction: It's a protist-eat-protist world: recalcitrance, predation, and evolution in the Tonian–Cryogenian ocean",Emerging Topics in Life Sciences,,,2018-09-28,2018,2,2,325-326,All OA; Gold,Article,"Cohen, Phoebe A.; Riedman, Leigh Anne",,"Cohen, Phoebe A. (); Riedman, Leigh Anne ()",0,0,,,http://www.emergtoplifesci.org/content/ppetls/2/2/325.full.pdf,https://app.dimensions.ai/details/publication/pub.1107299780,,,,,,
5,100,pub.1105858806,10.1042/etls20170145,,,"It's a protist-eat-protist world: recalcitrance, predation, and evolution in the Tonian–Cryogenian ocean",Emerging Topics in Life Sciences,,,2018-09-28,2018,2,2,etls20170145,All OA; Gold,Article,"Cohen, Phoebe A.; Riedman, Leigh Anne",,"Cohen, Phoebe A. (Williams College); Riedman, Leigh Anne (University of California, Santa Barbara)",5,5,,,http://www.emergtoplifesci.org/content/ppetls/2/2/173.full.pdf,https://app.dimensions.ai/details/publication/pub.1105858806,04 Earth Sciences; 0403 Geology; 06 Biological Sciences; 0603 Evolutionary Biology,04 Earth Sciences,0403 Geology,06 Biological Sciences,0603 Evolutionary Biology,
6,100,pub.1105584652,10.1042/etls20170162,,,Anoxic ecosystems and early eukaryotes,Emerging Topics in Life Sciences,,,2018-09-28,2018,2,2,299-309,All OA; Gold,Article,"Porter, Susannah M.; Agić, Heda; Riedman, Leigh Anne",,"Porter, Susannah M. (University of California, Santa Barbara); Agić, Heda (University of California, Santa Barbara); Riedman, Leigh Anne (University of California, Santa Barbara)",8,8,,,http://www.emergtoplifesci.org/content/ppetls/2/2/299.full.pdf,https://app.dimensions.ai/details/publication/pub.1105584652,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,200,pub.1110409522,10.1130/abs/2018am-324964,,,GLOBALLY WIDESPREAD APATITIC SCALE MICROFOSSILS OF THE MID-TONIAN,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Riedman, Leigh Anne; Porter, Susannah M.; Czaja, Andrew D.",,"Riedman, Leigh Anne (); Porter, Susannah M. (); Czaja, Andrew D. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110409522,,,,,,
8,200,pub.1110406761,10.1130/abs/2018am-318646,,,"IT’S A PROTIST-EAT-PROTIST WORLD: RECALCITRANCE, PREDATION, AND EVOLUTION IN THE TONIAN–CRYOGENIAN OCEAN",Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Cohen, Phoebe; Riedman, Leigh Anne",,"Cohen, Phoebe (); Riedman, Leigh Anne ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110406761,,,,,,
9,200,pub.1092443793,10.1007/978-3-319-39193-9_185-1,,,Organic Matter in Fossils,Encyclopedia of Earth Sciences Series,Encyclopedia of Engineering Geology,,2018,2018,,,1-5,All OA; Gold,Chapter,"Muscente, A. D.; Czaja, Andrew D.; Riedman, Leigh Anne; Colleary, Caitlin",,"Muscente, A. D. (Harvard University); Czaja, Andrew D. (University of Cincinnati); Riedman, Leigh Anne (Harvard University); Colleary, Caitlin ()",1,1,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-39193-9_185-1.pdf,https://app.dimensions.ai/details/publication/pub.1092443793,,,,,,
