,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Leila M V Carvalho. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1121910120,10.3390/s19204499,31627275,,"Causality of Biodiversity Loss: Climate, Vegetation, and Urbanization in China and America.",Sensors,,,2019-10-17,2019,19,20,4499,All OA; Gold,Article,"Cai, Danlu; Fraedrich, Klaus; Guan, Yanning; Guo, Shan; Zhang, Chunyan; Carvalho, Leila M V; Zhu, Xiuhua",,"Cai, Danlu (Institute of Remote Sensing and Digital Earth); Fraedrich, Klaus (Max Planck Institute for Meteorology); Guan, Yanning (Institute of Remote Sensing and Digital Earth); Guo, Shan (Institute of Remote Sensing and Digital Earth); Zhang, Chunyan (Institute of Remote Sensing and Digital Earth); Carvalho, Leila M V (University of California, Santa Barbara); Zhu, Xiuhua (University of Hamburg)",0,0,,,http://dx.doi.org/10.3390/s19204499,https://app.dimensions.ai/details/publication/pub.1121910120,09 Engineering; 0906 Electrical and Electronic Engineering; 0301 Analytical Chemistry; 03 Chemical Sciences,09 Engineering,0906 Electrical and Electronic Engineering,0301 Analytical Chemistry,03 Chemical Sciences,
2,100,pub.1116839675,10.1007/s40641-019-00135-w,,,Current and Future Variations of the Monsoons of the Americas in a Warming Climate,Current Climate Change Reports,,,2019-09,2019,5,3,125-144,Closed,Article,"Pascale, Salvatore; Carvalho, Leila M. V.; Adams, David K.; Castro, Christopher L.; Cavalcanti, Iracema F. A.","Pascale, Salvatore","Pascale, Salvatore (Princeton University; Geophysical Fluid Dynamics Laboratory); Carvalho, Leila M. V. (University of California, Santa Barbara); Adams, David K. (National Autonomous University of Mexico); Castro, Christopher L. (University of Arizona); Cavalcanti, Iracema F. A. (National Institute for Space Research)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116839675,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
3,100,pub.1112971821,10.3390/atmos10030155,,,Simulating Sundowner Winds in Coastal Santa Barbara: Model Validation and Sensitivity,Atmosphere,,,2019-03-22,2019,10,3,155,All OA; Gold,Article,"Duine, Gert-Jan; Jones, Charles; Carvalho, Leila M.V.; Fovell, Robert G.",,"Duine, Gert-Jan (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M.V. (University of California, Santa Barbara); Fovell, Robert G. (University at Albany, State University of New York)",0,0,,,https://www.mdpi.com/2073-4433/10/3/155/pdf,https://app.dimensions.ai/details/publication/pub.1112971821,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
4,100,pub.1104296039,10.1007/s00382-018-4277-1,,,The poleward shift of South Atlantic Convergence Zone in recent decades,Climate Dynamics,,,2019-03,2019,52,5-6,2545-2563,Closed,Article,"Zilli, Marcia T.; Carvalho, Leila M. V.; Lintner, Benjamin R.","Zilli, Marcia T.","Zilli, Marcia T. (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Lintner, Benjamin R. (Rutgers, The State University of New Jersey)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1104296039,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
5,100,pub.1111093615,10.1029/2018jd029634,,,"The South American Low‐Level Jet: A New Climatology, Variability, and Changes",Journal of Geophysical Research Atmospheres,,,2019-02-16,2019,124,3,1200-1218,Closed,Article,"Montini, Tessa L.; Jones, Charles; Carvalho, Leila M. V.",,"Montini, Tessa L. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1111093615,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
6,100,pub.1101169675,10.1007/s00382-018-4133-3,,,Deciphering the contrasting climatic trends between the central Himalaya and Karakoram with 36 years of WRF simulations,Climate Dynamics,,,2019-01,2019,52,1-2,159-180,Closed,Article,"Norris, Jesse; Carvalho, Leila M. V.; Jones, Charles; Cannon, Forest","Norris, Jesse","Norris, Jesse (University of California, Santa Barbara; University of California Los Angeles); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Cannon, Forest (University of California, Santa Barbara; Scripps Institution of Oceanography)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1101169675,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
7,100,pub.1107670645,10.1038/s41612-018-0050-8,,,The influence of the Atlantic multidecadal oscillation on the eastern Andes low-level jet and precipitation in South America,npj Climate and Atmospheric Science,,,2018-12,2018,1,1,40,All OA; Gold,Article,"Jones, Charles; Carvalho, Leila M. V.","Jones, Charles","Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara)",5,5,,,https://www.nature.com/articles/s41612-018-0050-8.pdf,https://app.dimensions.ai/details/publication/pub.1107670645,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
8,100,pub.1106072715,10.1175/jcli-d-17-0702.1,,,Reduced Wet-Season Length Detected by Satellite Retrievals of Cloudiness over Brazilian Amazonia: A New Methodology Reduced Wet-Season Length Detected by Satellite Retrievals of Cloudiness over Brazilian Amazonia: A New Methodology,Journal of Climate,,,2018-12,2018,31,24,9941-9964,Closed,Article,"Sena, Elisa T.; Dias, M. A. F. Silva; Carvalho, L. M. V.; Dias, P. L. Silva",,"Sena, Elisa T. (University of Sao Paulo); Dias, M. A. F. Silva (University of Sao Paulo); Carvalho, L. M. V. (University of California, Santa Barbara); Dias, P. L. Silva (University of Sao Paulo)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1106072715,09 Engineering; 0405 Oceanography; 0909 Geomatic Engineering; 04 Earth Sciences; 0401 Atmospheric Sciences,09 Engineering,0405 Oceanography,0909 Geomatic Engineering,04 Earth Sciences,0401 Atmospheric Sciences
9,100,pub.1085182660,10.1007/s00704-017-2138-1,,,Characteristics of southern California atmospheric rivers,Theoretical and Applied Climatology,,,2018-05,2018,132,3-4,965-981,Closed,Article,"Harris, Sarah M.; Carvalho, Leila M. V.","Harris, Sarah M.","Harris, Sarah M. (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1085182660,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
