,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Leonel Romero. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120186654,10.1029/2019gl083408,,,Distribution of Surface Wave Breaking Fronts,Geophysical Research Letters,,,2019-09,2019,46,17-18,10463-10474,Closed,Article,"Romero, Leonel",,"Romero, Leonel (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120186654,0915 Interdisciplinary Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0915 Interdisciplinary Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
2,100,pub.1119736288,10.1175/jpo-d-19-0056.1,,,Coincident observations of dye and drifter relative dispersion over the inner shelf Coincident observations of dye and drifter relative dispersion over the inner shelf,Journal of Physical Oceanography,,,2019-09,2019,49,9,2447-2468,Closed,Article,"Romero, Leonel; Ohlmann, J. Carter; Pallàs-Sanz, Enric; Statom, Nicholas M.; Pérez-Brunius, Paula; Maritorena, Stéphane",,"Romero, Leonel (University of California, Santa Barbara); Ohlmann, J. Carter (University of California, Santa Barbara); Pallàs-Sanz, Enric (); Statom, Nicholas M. (University of California, San Diego); Pérez-Brunius, Paula (); Maritorena, Stéphane (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119736288,0907 Environmental Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0907 Environmental Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
3,100,pub.1117506985,10.1175/jpo-d-18-0066.1,,,"Similarity theory in the surface layer of large-eddy simulations of the wind, wave and buoyancy forced Southern Ocean Similarity theory in the surface layer of large-eddy simulations of the wind, wave and buoyancy forced Southern Ocean",Journal of Physical Oceanography,,,2019-08,2019,49,8,2165-2187,Closed,Article,"Large, William G.; Patton, Edward G.; DuVivier, Alice K.; Sullivan, Peter P.; Romero, Leonel",,"Large, William G. (National Center for Atmospheric Research); Patton, Edward G. (National Center for Atmospheric Research); DuVivier, Alice K. (National Center for Atmospheric Research); Sullivan, Peter P. (National Center for Atmospheric Research); Romero, Leonel (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117506985,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1110517709,10.1175/jpo-d-18-0137.1,,,Observation-based source terms in the third-generation wave model WAVEWATCH III: updates and verification Observation-based source terms in the third-generation wave model WAVEWATCH III: updates and verification,Journal of Physical Oceanography,,,2019-02,2019,49,2,489-517,Closed,Article,"Liu, Qingxiang; Rogers, W. Erick; Babanin, Alexander V.; Young, Ian R.; Romero, Leonel; Zieger, Stefan; Qiao, Fangli; Guan, Changlong",,"Liu, Qingxiang (University of Melbourne); Rogers, W. Erick (United States Naval Research Laboratory); Babanin, Alexander V. (University of Melbourne); Young, Ian R. (University of Melbourne); Romero, Leonel (University of California, Santa Barbara); Zieger, Stefan (Bureau of Meteorology); Qiao, Fangli (Ministry of Natural Resources); Guan, Changlong (Ocean University of China)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1110517709,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
5,100,pub.1111411313,10.1029/2018gl081186,,,Anisotropy in Coastal Ocean Relative Dispersion Observations,Geophysical Research Letters,,,2019-01-28,2019,46,2,879-888,Closed,Article,"Ohlmann, J. C.; Romero, L.; Pallàs‐Sanz, E.; Perez‐Brunius, P.",,"Ohlmann, J. C. (University of California, Santa Barbara); Romero, L. (University of California, Santa Barbara); Pallàs‐Sanz, E. (); Perez‐Brunius, P. ()",2,2,,,,https://app.dimensions.ai/details/publication/pub.1111411313,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,100,pub.1063455697,10.1175/jpo-d-16-0108.1,,,Observations of Surface Wave–Current Interaction,Journal of Physical Oceanography,,,2017-03,2017,47,3,615-632,Closed,Article,"Romero, Leonel; Lenain, Luc; Melville, W. Kendall",,"Romero, Leonel (University of California, Santa Barbara); Lenain, Luc (University of California, San Diego); Melville, W. Kendall (University of California, San Diego)",18,17,,7.87,,https://app.dimensions.ai/details/publication/pub.1063455697,0911 Maritime Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0911 Maritime Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
7,100,pub.1001665273,10.1002/2015jc011323,,,Characterizing storm water dispersion and dilution from small coastal streams,Journal of Geophysical Research Oceans,,,2016-06,2016,121,6,3926-3943,All OA; Gold,Article,"Romero, Leonel; Siegel, David A.; McWilliams, James C.; Uchiyama, Yusuke; Jones, Charles",,"Romero, Leonel (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); McWilliams, James C. (University of California Los Angeles); Uchiyama, Yusuke (Kobe University); Jones, Charles (University of California, Santa Barbara)",13,9,,2.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JC011323,https://app.dimensions.ai/details/publication/pub.1001665273,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
8,100,pub.1004038071,10.1175/jpo-d-13-011.1,,,Simulations of Nearshore Particle-Pair Dispersion in Southern California,Journal of Physical Oceanography,,,2013-09,2013,43,9,130702142740003,Closed,Article,"Romero, Leonel; Uchiyama, Yusuke; Ohlmann, J. Carter; McWilliams, James C.; Siegel, David A.",,"Romero, Leonel (); Uchiyama, Yusuke (); Ohlmann, J. Carter (); McWilliams, James C. (); Siegel, David A. ()",26,14,,7.19,,https://app.dimensions.ai/details/publication/pub.1004038071,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
9,100,pub.1042503783,10.1175/jpo-d-12-025.1,,,Transient Evolution of Langmuir Turbulence in Ocean Boundary Layers Driven by Hurricane Winds and Waves,Journal of Physical Oceanography,,,2012-11,2012,42,11,1959-1980,"All OA; Green, Accepted & Submitted",Article,"Sullivan, Peter P.; Romero, Leonel; McWilliams, James C.; Melville, W. Kendall",,"Sullivan, Peter P. (); Romero, Leonel (); McWilliams, James C. (); Melville, W. Kendall ()",50,17,,16.89,http://www2.mmm.ucar.edu/people/sullivan/talks/papers/paper_hurr.pdf,https://app.dimensions.ai/details/publication/pub.1042503783,0911 Maritime Engineering; 0915 Interdisciplinary Engineering; 09 Engineering,0911 Maritime Engineering,0915 Interdisciplinary Engineering,09 Engineering,,
