,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Lorraine E Lisiecki. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113047176,10.1016/j.epsl.2019.03.017,,,Why estimates of deglacial ice loss should be biased low,Earth and Planetary Science Letters,,,2019-06,2019,515,Science 298 5599 Nov. 2002,112-124,Closed,Article,"Gebbie, Geoffrey; Simms, Alexander R.; Lisiecki, Lorraine E.","Gebbie, Geoffrey","Gebbie, Geoffrey (Woods Hole Oceanographic Institution); Simms, Alexander R. (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113047176,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
2,500,pub.1112765320,10.1126/science.aav5300,30872536,,Arc-continent collisions in the tropics set Earth’s climate state,Science,,,2019-03-14,2019,364,6436,eaav5300,"All OA; Green, Accepted & Submitted",Article,"Macdonald, Francis A.; Swanson-Hysell, Nicholas L.; Park, Yuem; Lisiecki, Lorraine; Jagoutz, Oliver",,"Macdonald, Francis A. (University of California, Santa Barbara); Swanson-Hysell, Nicholas L. (University of California, Berkeley); Park, Yuem (University of California, Berkeley); Lisiecki, Lorraine (University of California, Santa Barbara); Jagoutz, Oliver (Massachusetts Institute of Technology)",6,6,,,https://escholarship.org/content/qt4k06c637/qt4k06c637.pdf?t=pq1ral,https://app.dimensions.ai/details/publication/pub.1112765320,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
3,100,pub.1110805466,10.1016/j.quascirev.2018.12.018,,,Balancing the last glacial maximum (LGM) sea-level budget,Quaternary Science Reviews,,,2019-02,2019,205,Geophys. J. Int. 192 2013,143-153,Closed,Article,"Simms, Alexander R.; Lisiecki, Lorraine; Gebbie, Geoffrey; Whitehouse, Pippa L.; Clark, Jordan F.","Simms, Alexander R.","Simms, Alexander R. (University of California, Santa Barbara); Lisiecki, Lorraine (University of California, Santa Barbara); Gebbie, Geoffrey (Woods Hole Oceanographic Institution); Whitehouse, Pippa L. (Durham University); Clark, Jordan F. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1110805466,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
4,100,pub.1106194002,10.5194/cp-14-1229-2018,,,Deglacial carbon cycle changes observed in a compilation of 127 benthic δ13C time series (20–6 ka),Climate of the Past,,,2018-08-16,2018,14,8,1229-1252,All OA; Gold,Article,"Peterson, Carlye D.; Lisiecki, Lorraine E.",,"Peterson, Carlye D. (University of California, Riverside; University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara)",2,2,,,https://www.clim-past.net/14/1229/2018/cp-14-1229-2018.pdf,https://app.dimensions.ai/details/publication/pub.1106194002,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1101547047,10.5194/cp-2018-25,,,Deglacial carbon cycle changes observed in a compilation of 117 benthic δ13C time series (20–6 ka),Climate of the Past Discussions,,,2018-03-15,2018,,,1-37,All OA; Gold,Article,"Peterson, Carlye; Lisiecki, Lorraine",,"Peterson, Carlye (University of California, Riverside; University of California, Santa Barbara); Lisiecki, Lorraine (University of California, Santa Barbara)",0,0,,,https://doi.org/10.5194/cp-2018-25,https://app.dimensions.ai/details/publication/pub.1101547047,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
6,100,pub.1093137005,10.1016/j.earscirev.2017.11.022,,,The accuracy of mid-Pliocene δ18O-based ice volume and sea level reconstructions,Earth-Science Reviews,,,2018-02,2018,177,Geophys. Res. Lett. 28 2001,291-302,"All OA; Green, Accepted & Submitted",Article,"Raymo, Maureen E.; Kozdon, Reinhard; Evans, David; Lisiecki, Lorraine; Ford, Heather L.","Raymo, Maureen E.","Raymo, Maureen E. (Lamont-Doherty Earth Observatory); Kozdon, Reinhard (Lamont-Doherty Earth Observatory); Evans, David (University of St Andrews); Lisiecki, Lorraine (University of California, Santa Barbara); Ford, Heather L. (University of Cambridge)",6,6,,,https://research-repository.st-andrews.ac.uk/bitstream/10023/16606/1/Evans_2017_ESR_IceVolume_AAM.pdf,https://app.dimensions.ai/details/publication/pub.1093137005,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,0402 Geochemistry,
7,100,pub.1092352456,10.1002/2016pa003057,,,The Role of Uncertainty in Estimating Lead/Lag Relationships in Marine Sedimentary Archives: A Case Study From the Tropical Pacific,Paleoceanography and Paleoclimatology,,,2017-11,2017,32,11,1275-1290,Closed,Article,"Khider, D.; Ahn, S.; Lisiecki, L. E.; Lawrence, C. E.; Kienast, M.",,"Khider, D. (University of Southern California; University of California, Santa Barbara); Ahn, S. (); Lisiecki, L. E. (University of California, Santa Barbara); Lawrence, C. E. (); Kienast, M. (Dalhousie University)",3,3,,1.15,,https://app.dimensions.ai/details/publication/pub.1092352456,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1085457643,10.1002/2016pa003072,,,Calibration of the carbon isotope composition (δ13C) of benthic foraminifera,Paleoceanography and Paleoclimatology,,,2017-06,2017,32,6,512-530,All OA; Gold,Article,"Schmittner, Andreas; Bostock, Helen C.; Cartapanis, Olivier; Curry, William B.; Filipsson, Helena L.; Galbraith, Eric D.; Gottschalk, Julia; Herguera, Juan Carlos; Hoogakker, Babette; Jaccard, Samuel L.; Lisiecki, Lorraine E.; Lund, David C.; Martínez‐Méndez, Gema; Lynch‐Stieglitz, Jean; Mackensen, Andreas; Michel, Elisabeth; Mix, Alan C.; Oppo, Delia W.; Peterson, Carlye D.; Repschläger, Janne; Sikes, Elisabeth L.; Spero, Howard J.; Waelbroeck, Claire",,"Schmittner, Andreas (Oregon State University); Bostock, Helen C. (National Institute of Water and Atmospheric Research); Cartapanis, Olivier (University of Bern; McGill University); Curry, William B. (Bermuda Institute of Ocean Sciences; Woods Hole Oceanographic Institution); Filipsson, Helena L. (Lund University); Galbraith, Eric D. (McGill University; Autonomous University of Barcelona; Catalan Institution for Research and Advanced Studies); Gottschalk, Julia (University of Bern); Herguera, Juan Carlos (Center for Scientific Research and Higher Education at Ensenada); Hoogakker, Babette (Heriot-Watt University); Jaccard, Samuel L. (University of Bern); Lisiecki, Lorraine E. (University of California, Santa Barbara); Lund, David C. (University of Connecticut); Martínez‐Méndez, Gema (University of Bremen); Lynch‐Stieglitz, Jean (Georgia Institute of Technology); Mackensen, Andreas (Alfred Wegener Institute for Polar and Marine Research); Michel, Elisabeth (); Mix, Alan C. (Oregon State University); Oppo, Delia W. (Woods Hole Oceanographic Institution); Peterson, Carlye D. (University of California, Davis); Repschläger, Janne (Max Planck Institute for Chemistry); Sikes, Elisabeth L. (Rutgers, The State University of New Jersey); Spero, Howard J. (University of California, Davis); Waelbroeck, Claire ()",19,18,,5.9,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016PA003072,https://app.dimensions.ai/details/publication/pub.1085457643,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
9,100,pub.1086221160,10.1093/climsys/dzx002,,,A probabilistic Pliocene-Pleistocene stack of benthic δ18O using a profile hidden Markov model,Dynamics and Statistics of the Climate System,,,2017,2017,2,1,dzx002-,All OA; Gold,Article,"Ahn, Seonmin; Khider, Deborah; Lisiecki, Lorraine; Lawrence, Charles E.",,"Ahn, Seonmin (Brown University); Khider, Deborah (University of California, Santa Barbara); Lisiecki, Lorraine (University of California, Santa Barbara); Lawrence, Charles E. (Brown University)",7,6,,2.73,https://academic.oup.com/climatesystem/article-pdf/2/1/dzx002/19522643/dzx002.pdf,https://app.dimensions.ai/details/publication/pub.1086221160,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
10,100,pub.1039236418,10.1002/2016pa003002,,,Regional and global benthic δ18O stacks for the last glacial cycle,Paleoceanography and Paleoclimatology,,,2016-10,2016,31,10,1368-1394,Closed,Article,"Lisiecki, Lorraine E.; Stern, Joseph V.",,"Lisiecki, Lorraine E. (University of California, Santa Barbara); Stern, Joseph V. (University of California, Santa Barbara)",27,23,,6.94,,https://app.dimensions.ai/details/publication/pub.1039236418,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
11,100,pub.1072665786,10.5194/cp-12-1079-2016,,,A Late Pleistocene sea level stack,Climate of the Past,,,2016-04-26,2016,12,4,1079-1092,All OA; Gold,Article,"Spratt, Rachel M.; Lisiecki, Lorraine E.",,"Spratt, Rachel M. (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara)",83,65,,20.49,https://www.clim-past.net/12/1079/2016/cp-12-1079-2016.pdf,https://app.dimensions.ai/details/publication/pub.1072665786,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,100,pub.1024285559,10.1016/j.quascirev.2015.08.010,,,Global-mean marine δ13C and its uncertainty in a glacial state estimate,Quaternary Science Reviews,,,2015-10,2015,125,,144-159,All OA; Gold,Article,"Gebbie, Geoffrey; Peterson, Carlye D.; Lisiecki, Lorraine E.; Spero, Howard J.","Gebbie, Geoffrey","Gebbie, Geoffrey (Woods Hole Oceanographic Institution); Peterson, Carlye D. (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara); Spero, Howard J. (University of California, Davis)",18,13,,2.85,https://manuscript.elsevier.com/S0277379115300779/pdf/S0277379115300779.pdf,https://app.dimensions.ai/details/publication/pub.1024285559,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
13,100,pub.1020359610,10.1016/j.epsl.2015.05.042,,,An 800-kyr record of global surface ocean δ 18 O and implications for ice volume-temperature coupling,Earth and Planetary Science Letters,,,2015-09,2015,426,Nature 500 2013,58-68,All OA; Gold,Article,"Shakun, Jeremy D.; Lea, David W.; Lisiecki, Lorraine E.; Raymo, Maureen E.","Shakun, Jeremy D.","Shakun, Jeremy D. (Boston College); Lea, David W. (University of California, Santa Barbara); Lisiecki, Lorraine E. (University of California, Santa Barbara); Raymo, Maureen E. (Lamont-Doherty Earth Observatory)",63,37,,12.33,https://manuscript.elsevier.com/S0012821X15003404/pdf/S0012821X15003404.pdf,https://app.dimensions.ai/details/publication/pub.1020359610,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
14,100,pub.1038615760,10.5194/cpd-11-3699-2015,,,A Late Pleistocene sea level stack,Climate of the Past Discussions,,,2015-08-13,2015,11,4,3699-3728,All OA; Gold,Article,"Spratt, R. M.; Lisiecki, L. E.",,"Spratt, R. M. (University of California, Santa Barbara); Lisiecki, L. E. (University of California, Santa Barbara)",13,6,,2.43,https://doi.org/10.5194/cpd-11-3699-2015,https://app.dimensions.ai/details/publication/pub.1038615760,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
