,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Mariah S Carbone. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113612705,10.1016/j.agrformet.2019.04.012,,,Flux Puppy – An open-source software application and portable system design for low-cost manual measurements of CO2 and H2O fluxes,Agricultural and Forest Meteorology,,,2019-08,2019,274,,1-6,All OA; Gold,Article,"Carbone, Mariah S.; Seyednasrollah, Bijan; Rademacher, Tim T.; Basler, David; Le Moine, James M.; Beals, Samuel; Beasley, James; Greene, Andrew; Kelroy, Joseph; Richardson, Andrew D.","Carbone, Mariah S.","Carbone, Mariah S. (Northern Arizona University); Seyednasrollah, Bijan (Northern Arizona University; Harvard University); Rademacher, Tim T. (Northern Arizona University; Harvard University); Basler, David (Harvard University); Le Moine, James M. (Northern Arizona University); Beals, Samuel (Northern Arizona University); Beasley, James (Northern Arizona University); Greene, Andrew (Northern Arizona University); Kelroy, Joseph (Northern Arizona University); Richardson, Andrew D. (Northern Arizona University)",0,0,,,https://doi.org/10.1016/j.agrformet.2019.04.012,https://app.dimensions.ai/details/publication/pub.1113612705,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
2,500,pub.1107569064,10.1111/nph.15462,30368825,PMC6587558,Whole‐tree nonstructural carbohydrate storage and seasonal dynamics in five temperate species,New Phytologist,,,2019-02,2019,221,3,1466-1477,All OA; Gold,Article,"Furze, Morgan E.; Huggett, Brett A.; Aubrecht, Donald M.; Stolz, Claire D.; Carbone, Mariah S.; Richardson, Andrew D.",,"Furze, Morgan E. (Harvard University); Huggett, Brett A. (Bates College); Aubrecht, Donald M. (Harvard University); Stolz, Claire D. (Harvard University); Carbone, Mariah S. (Northern Arizona University); Richardson, Andrew D. (Northern Arizona University)",6,6,,,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/nph.15462,https://app.dimensions.ai/details/publication/pub.1107569064,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,100,pub.1111489633,10.5194/bg-16-177-2019,,,Comparison of CO2 and O2 fluxes demonstrate retention of respired CO2 in tree stems from a range of tree species,Biogeosciences,,,2019-01-17,2019,16,1,177-191,All OA; Gold,Article,"Hilman, Boaz; Muhr, Jan; Trumbore, Susan E.; Kunert, Norbert; Carbone, Mariah S.; Yuval, Päivi; Wright, S. Joseph; Moreno, Gerardo; Pérez-Priego, Oscar; Migliavacca, Mirco; Carrara, Arnaud; Grünzweig, José M.; Osem, Yagil; Weiner, Tal; Angert, Alon",,"Hilman, Boaz (Hebrew University of Jerusalem; Max Planck Institute for Biogeochemistry); Muhr, Jan (Max Planck Institute for Biogeochemistry); Trumbore, Susan E. (Max Planck Institute for Biogeochemistry); Kunert, Norbert (Max Planck Institute for Biogeochemistry); Carbone, Mariah S. (Northern Arizona University); Yuval, Päivi (Hebrew University of Jerusalem; Agricultural Research Organization); Wright, S. Joseph (Smithsonian Tropical Research Institute); Moreno, Gerardo (University of Extremadura); Pérez-Priego, Oscar (Max Planck Institute for Biogeochemistry); Migliavacca, Mirco (Max Planck Institute for Biogeochemistry); Carrara, Arnaud (); Grünzweig, José M. (Hebrew University of Jerusalem); Osem, Yagil (Agricultural Research Organization); Weiner, Tal (Hebrew University of Jerusalem); Angert, Alon (Hebrew University of Jerusalem)",2,2,,,https://www.biogeosciences.net/16/177/2019/bg-16-177-2019.pdf,https://app.dimensions.ai/details/publication/pub.1111489633,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
4,100,pub.1105116799,10.5194/bg-2018-256,,,Comparison of CO<sub>2</sub> and O<sub>2</sub> fluxes demonstrate retention of respired CO<sub>2</sub> in tree stems from a range of tree species,Biogeosciences Discussions,,,2018-06-25,2018,,,1-30,All OA; Gold,Article,"Hilman, Boaz; Muhr, Jan; Trumbore, Susan E.; Carbone, Mariah S.; Yuval, Päivi; Wright, S. Joseph; Moreno, Gerardo; Pérez-Priego, Oscar; Migliavacca ‫‎, Mirco; Carrara, Arnaud; Grünzweig, José M.; Osem, Yagil; Weiner, Tal; Angert, Alon",,"Hilman, Boaz (); Muhr, Jan (); Trumbore, Susan E. (); Carbone, Mariah S. (); Yuval, Päivi (); Wright, S. Joseph (); Moreno, Gerardo (); Pérez-Priego, Oscar (); Migliavacca ‫‎, Mirco (); Carrara, Arnaud (); Grünzweig, José M. (); Osem, Yagil (); Weiner, Tal (); Angert, Alon ()",1,1,,,https://doi.org/10.5194/bg-2018-256,https://app.dimensions.ai/details/publication/pub.1105116799,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
5,100,pub.1000542686,10.1002/2016jg003386,,,Constrained partitioning of autotrophic and heterotrophic respiration reduces model uncertainties of forest ecosystem carbon fluxes but not stocks,Journal of Geophysical Research Biogeosciences,,,2016-09,2016,121,9,2476-2492,All OA; Gold,Article,"Carbone, Mariah S.; Richardson, Andrew D.; Chen, Min; Davidson, Eric A.; Hughes, Holly; Savage, Kathleen E.; Hollinger, David Y.",,"Carbone, Mariah S. (University of New Hampshire); Richardson, Andrew D. (Harvard University); Chen, Min (Harvard University); Davidson, Eric A. (University of Maryland Center For Environmental Sciences); Hughes, Holly (Woods Hole Research Center); Savage, Kathleen E. (Woods Hole Research Center); Hollinger, David Y. (Northern Research Station)",16,12,,4.83,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JG003386,https://app.dimensions.ai/details/publication/pub.1000542686,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
6,400,pub.1041161580,10.1111/nph.13273,25558814,PMC4405048,Distribution and mixing of old and new nonstructural carbon in two temperate trees,New Phytologist,,"Carbohydrate Metabolism; Carbon; Carbon Radioisotopes; Models, Biological; Photosynthesis; Plant Roots; Plant Stems; Starch; Trees; Wood",2015-04,2015,206,2,590-597,All OA; Gold,Article,"Richardson, Andrew D.; Carbone, Mariah S.; Huggett, Brett A.; Furze, Morgan E.; Czimczik, Claudia I.; Walker, Jennifer C.; Xu, Xiaomei; Schaberg, Paul G.; Murakami, Paula",,"Richardson, Andrew D. (Harvard University); Carbone, Mariah S. (Harvard University; University of New Hampshire); Huggett, Brett A. (Harvard University; Bates College); Furze, Morgan E. (Harvard University); Czimczik, Claudia I. (University of California, Irvine); Walker, Jennifer C. (University of California, Irvine); Xu, Xiaomei (University of California, Irvine); Schaberg, Paul G. (Northern Research Station); Murakami, Paula (Northern Research Station)",47,24,2.38,,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/nph.13273,https://app.dimensions.ai/details/publication/pub.1041161580,06 Biological Sciences; 07 Agricultural and Veterinary Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,,
7,400,pub.1050861932,10.1146/annurev-arplant-050213-040054,24274032,,Nonstructural Carbon in Woody Plants,Annual Review of Plant Biology,,"Carbon; Models, Biological; Plant Development; Plants; Wood",2014-04-29,2014,65,1,667-687,"All OA; Green, Published",Article,"Dietze, Michael C.; Sala, Anna; Carbone, Mariah S.; Czimczik, Claudia I.; Mantooth, Joshua A.; Richardson, Andrew D.; Vargas, Rodrigo",,"Dietze, Michael C. (Boston University); Sala, Anna (University of Montana); Carbone, Mariah S. (University of New Hampshire); Czimczik, Claudia I. (University of California, Irvine); Mantooth, Joshua A. (Boston University); Richardson, Andrew D. (Harvard University); Vargas, Rodrigo (University of Delaware)",213,99,8.8,41.03,https://escholarship.org/content/qt67w7336q/qt67w7336q.pdf?t=ntg13k,https://app.dimensions.ai/details/publication/pub.1050861932,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
8,200,pub.1069251104,10.21769/bioprotoc.1169,,,Extraction of Nonstructural Carbon and Cellulose from Wood for Radiocarbon Analysis,Bio-protocol,,,2014,2014,4,13,,Closed,Article,"Czimczik, Claudia; Trumbore, Susan; Xu, Xiaomei; Carbone, Mariah; Richardson, Andrew",,"Czimczik, Claudia (); Trumbore, Susan (); Xu, Xiaomei (); Carbone, Mariah (); Richardson, Andrew ()",2,1,,,,https://app.dimensions.ai/details/publication/pub.1069251104,,,,,,
9,400,pub.1039203894,10.1111/nph.12448,24032647,,"Age, allocation and availability of nonstructural carbon in mature red maple trees",New Phytologist,,"Acer; Biomass; Carbon; Carbon Dioxide; Carbon Isotopes; Cellulose; Models, Biological; Plant Stems; Principal Component Analysis; Time Factors; Trees",2013-12,2013,200,4,1145-1155,"All OA; Green, Accepted & Submitted",Article,"Carbone, Mariah S.; Czimczik, Claudia I.; Keenan, Trevor F.; Murakami, Paula F.; Pederson, Neil; Schaberg, Paul G.; Xu, Xiaomei; Richardson, Andrew D.",,"Carbone, Mariah S. (Harvard University); Czimczik, Claudia I. (University of California, Irvine); Keenan, Trevor F. (Harvard University); Murakami, Paula F. (Northern Research Station); Pederson, Neil (Lamont-Doherty Earth Observatory); Schaberg, Paul G. (Northern Research Station); Xu, Xiaomei (University of California, Irvine); Richardson, Andrew D. (Harvard University)",89,42,2.3,18.35,https://academiccommons.columbia.edu/doi/10.7916/D8B56VSS/download,https://app.dimensions.ai/details/publication/pub.1039203894,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
