,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Matthew Potoski. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120478077,10.1016/j.fishres.2019.105340,,,Collaborative research reveals cryptic declines within the multispecies California rock crab fishery,Fisheries Research,,,2019-12,2019,220,,105340,Closed,Article,"Fitzgerald, Sean P.; Lenihan, Hunter S.; Wilson, Jono R.; Culver, Carolynn S.; Potoski, Matthew","Fitzgerald, Sean P.","Fitzgerald, Sean P. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Wilson, Jono R. (University of California, Santa Barbara); Culver, Carolynn S. (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120478077,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
2,100,pub.1113217406,10.1111/puar.13048,,,Measuring and Managing Ex Ante Transaction Costs in Public Sector Contracting,Public Administration Review,,,2019-09,2019,79,5,641-650,Closed,Article,"Petersen, Ole Helby; Baekkeskov, Erik; Potoski, Matthew; Brown, Trevor L.",,"Petersen, Ole Helby (Roskilde University); Baekkeskov, Erik (University of Melbourne); Potoski, Matthew (University of California, Santa Barbara); Brown, Trevor L. (The Ohio State University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1113217406,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
3,100,pub.1111909647,10.1002/smj.3008,,,Value creation and value appropriation in public and nonprofit organizations,Strategic Management Journal,,,2019-02-04,2019,40,4,465-475,Closed,Article,"Cabral, Sandro; Mahoney, Joseph T.; McGahan, Anita M.; Potoski, Matthew",,"Cabral, Sandro (Institute of Education and Research); Mahoney, Joseph T. (University of Illinois at Urbana Champaign); McGahan, Anita M. (University of Toronto); Potoski, Matthew (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1111909647,"1503 Business and Management; 15 Commerce, Management, Tourism and Services",1503 Business and Management,"15 Commerce, Management, Tourism and Services",,,
4,100,pub.1104908191,10.1111/puar.12959,,,Complex Contracting: Management Challenges and Solutions,Public Administration Review,,,2018-09,2018,78,5,739-747,Closed,Article,"Brown, Trevor L.; Potoski, Matthew; Van Slyke, David M.",,"Brown, Trevor L. (The Ohio State University); Potoski, Matthew (University of California, Santa Barbara); Van Slyke, David M. (Syracuse University)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1104908191,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
5,100,pub.1105101748,10.1002/ecs2.2314,,,Biotic disturbance mitigates effects of multiple stressors in a marine benthic community,Ecosphere,,,2018-06,2018,9,6,e02314,All OA; Gold,Article,"Lenihan, Hunter S.; Peterson, Charles H.; Miller, Robert J.; Kayal, Mohsen; Potoski, Matthew",,"Lenihan, Hunter S. (University of California, Santa Barbara); Peterson, Charles H. (University of North Carolina at Chapel Hill); Miller, Robert J. (University of California, Santa Barbara); Kayal, Mohsen (University of California, Santa Barbara); Potoski, Matthew (University of California, Santa Barbara)",0,0,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2314,https://app.dimensions.ai/details/publication/pub.1105101748,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
6,100,pub.1092403089,10.1016/j.jclepro.2017.10.252,,,Peer communication improves environmental employee engagement programs: Evidence from a quasi-experimental field study,Journal of Cleaner Production,,,2018-01,2018,172,,1486-1500,Closed,Article,"Potoski, Matthew; Callery, Patrick J.","Callery, Patrick J.","Potoski, Matthew (University of California, Santa Barbara); Callery, Patrick J. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1092403089,0915 Interdisciplinary Engineering; 09 Engineering; 0910 Manufacturing Engineering; 0907 Environmental Engineering,0915 Interdisciplinary Engineering,09 Engineering,0910 Manufacturing Engineering,0907 Environmental Engineering,
7,100,pub.1091339012,10.1111/rego.12166,,,Institutional design of ecolabels: Sponsorship signals rule strength,Regulation & Governance,,,2017-12,2017,11,4,438-450,Closed,Article,"Darnall, Nicole; Ji, Hyunjung; Potoski, Matthew",,"Darnall, Nicole (Arizona State University); Ji, Hyunjung (University of Alabama, Tuscaloosa); Potoski, Matthew (University of California, Santa Barbara)",8,8,,11.85,,https://app.dimensions.ai/details/publication/pub.1091339012,1801 Law; 16 Studies in Human Society; 1606 Political Science; 18 Law and Legal Studies; 1605 Policy and Administration,1801 Law,16 Studies in Human Society,1606 Political Science,18 Law and Legal Studies,1605 Policy and Administration
8,200,pub.1117597819,10.4324/9781315095097-9,,,"Managing Public Service Contracts: Aligning Values, Institutions, and Markets*",,Debating Public Administration,,2017-09-25,2017,,,155-175,Closed,Chapter,"Brown, Trevor L.; Potoski, Matthew; Van Slyke, David M.",,"Brown, Trevor L. (); Potoski, Matthew (); Van Slyke, David M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117597819,,,,,,
9,100,pub.1005186325,10.1007/s10584-015-1517-9,,,Green clubs in building block climate change regimes,Climatic Change,,,2017-09,2017,144,1,53-63,Closed,Article,"Potoski, Matthew","Potoski, Matthew","Potoski, Matthew (University of California, Santa Barbara)",8,3,,8.5,,https://app.dimensions.ai/details/publication/pub.1005186325,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
