,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Michelle A O'Malley. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1121497125,10.1016/j.copbio.2019.08.015,31593910,,Nature’s recyclers: anaerobic microbial communities drive crude biomass deconstruction,Current Opinion in Biotechnology,,,2020-04,2020,62,,38-47,Closed,Article,"Lillington, Stephen P; Leggieri, Patrick A; Heom, Kellie A; O’Malley, Michelle A",,"Lillington, Stephen P (University of California, Santa Barbara); Leggieri, Patrick A (University of California, Santa Barbara); Heom, Kellie A (University of California, Santa Barbara); O’Malley, Michelle A (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121497125,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
2,500,pub.1113384090,10.1016/j.mec.2019.e00091,31016136,PMC6475669,Heterologous transporters from anaerobic fungi bolster fluoride tolerance in Saccharomyces cerevisiae,Metabolic Engineering Communications,,,2019-12,2019,9,Nucleic Acids Res. 40 2012,e00091,All OA; Gold,Article,"Seppälä, Susanna; Yoo, Justin I.; Yur, Daniel; O'Malley, Michelle A.","O'Malley, Michelle A.","Seppälä, Susanna (University of California, Santa Barbara); Yoo, Justin I. (University of California, Santa Barbara); Yur, Daniel (University of California, Santa Barbara); O'Malley, Michelle A. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.mec.2019.e00091,https://app.dimensions.ai/details/publication/pub.1113384090,0605 Microbiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0605 Microbiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
3,500,pub.1114221624,10.1007/s10295-019-02188-0,31089985,,Co-cultivation of the anaerobic fungus Anaeromyces robustus with Methanobacterium bryantii enhances transcription of carbohydrate active enzymes,Journal of Industrial Microbiology & Biotechnology,,,2019-10,2019,46,9-10,1427-1433,Closed,Article,"Swift, Candice L.; Brown, Jennifer L.; Seppälä, Susanna; O’Malley, Michelle A.","O’Malley, Michelle A.","Swift, Candice L. (University of California, Santa Barbara); Brown, Jennifer L. (University of California, Santa Barbara); Seppälä, Susanna (University of California, Santa Barbara); O’Malley, Michelle A. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1114221624,09 Engineering; 10 Technology; 0908 Food Sciences; 1003 Industrial Biotechnology,09 Engineering,10 Technology,0908 Food Sciences,1003 Industrial Biotechnology,
4,500,pub.1121183537,10.1038/s41579-019-0255-9,31548653,,Common principles and best practices for engineering microbiomes,Nature Reviews Microbiology,,,2019-09-23,2019,,,1-17,Closed,Article,"Lawson, Christopher E.; Harcombe, William R.; Hatzenpichler, Roland; Lindemann, Stephen R.; Löffler, Frank E.; O’Malley, Michelle A.; García Martín, Héctor; Pfleger, Brian F.; Raskin, Lutgarde; Venturelli, Ophelia S.; Weissbrodt, David G.; Noguera, Daniel R.; McMahon, Katherine D.","Lawson, Christopher E.","Lawson, Christopher E. (University of Wisconsin–Madison); Harcombe, William R. (University of Minnesota); Hatzenpichler, Roland (Montana State University); Lindemann, Stephen R. (Purdue University West Lafayette); Löffler, Frank E. (University of Tennessee at Knoxville; Oak Ridge National Laboratory); O’Malley, Michelle A. (University of California, Santa Barbara; Joint BioEnergy Institute); García Martín, Héctor (Joint BioEnergy Institute; Lawrence Berkeley National Laboratory; Basque Center for Applied Mathematics); Pfleger, Brian F. (University of Wisconsin–Madison); Raskin, Lutgarde (University of Michigan); Venturelli, Ophelia S. (University of Wisconsin–Madison); Weissbrodt, David G. (Delft University of Technology); Noguera, Daniel R. (University of Wisconsin–Madison; Great Lakes Bioenergy Research Center); McMahon, Katherine D. (University of Wisconsin–Madison)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121183537,1108 Medical Microbiology; 11 Medical and Health Sciences; 0605 Microbiology; 06 Biological Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,0605 Microbiology,06 Biological Sciences,
5,500,pub.1120631196,10.1021/acssynbio.9b00271,31461261,,Top-Down Enrichment Guides in Formation of Synthetic Microbial Consortia for Biomass Degradation.,ACS Synthetic Biology,,,2019-09-20,2019,8,9,2174-2185,Closed,Article,"Gilmore, Sean P; Lankiewicz, Thomas S; Wilken, St Elmo; Brown, Jennifer L; Sexton, Jessica A; Henske, John K; Theodorou, Michael K; Valentine, David L; O'Malley, Michelle A",,"Gilmore, Sean P (University of California, Santa Barbara); Lankiewicz, Thomas S (University of California, Santa Barbara); Wilken, St Elmo (University of California, Santa Barbara); Brown, Jennifer L (University of California, Santa Barbara); Sexton, Jessica A (University of California, Santa Barbara); Henske, John K (University of California, Santa Barbara); Theodorou, Michael K (Harper Adams University); Valentine, David L (University of California, Santa Barbara); O'Malley, Michelle A (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120631196,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
6,500,pub.1112849841,10.1146/annurev-chembioeng-060718-030340,30883214,,Harnessing Nature's Anaerobes for Biotechnology and Bioprocessing,Annual Review of Chemical and Biomolecular Engineering,,,2019-06-07,2019,10,1,1-24,All OA; Gold,Article,"Podolsky, Igor A; Seppälä, Susanna; Lankiewicz, Thomas S; Brown, Jennifer L; Swift, Candice L; O'Malley, Michelle A",,"Podolsky, Igor A (University of California, Santa Barbara); Seppälä, Susanna (University of California, Santa Barbara); Lankiewicz, Thomas S (University of California, Santa Barbara); Brown, Jennifer L (University of California, Santa Barbara); Swift, Candice L (University of California, Santa Barbara); O'Malley, Michelle A (University of California, Santa Barbara)",3,3,,,https://www.annualreviews.org/doi/pdf/10.1146/annurev-chembioeng-060718-030340,https://app.dimensions.ai/details/publication/pub.1112849841,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
7,100,pub.1112089669,10.1016/j.coisb.2019.02.001,,,Linking “omics” to function unlocks the biotech potential of non-model fungi,Current Opinion in Systems Biology,,,2019-04,2019,14,Nucleic Acids Research 42 2014,9-17,Closed,Article,"St. Elmo Wilken; Swift, Candice L.; Podolsky, Igor A.; Lankiewicz, Tom S.; Seppälä, Susanna; O’Malley, Michelle A.","O’Malley, Michelle A.","St. Elmo Wilken (University of California, Santa Barbara); Swift, Candice L. (University of California, Santa Barbara); Podolsky, Igor A. (University of California, Santa Barbara); Lankiewicz, Tom S. (University of California, Santa Barbara); Seppälä, Susanna (University of California, Santa Barbara); O’Malley, Michelle A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112089669,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
8,200,pub.1112162276,10.1016/j.bpj.2018.11.329,,,Dimerization of Human Adenosine A2AReceptor - Impact of the C-Terminus,Biophysical Journal,,,2019-02,2019,116,3,52a-53a,Closed,Article,"Nguyen, Khanh D.; Seppala, Susanna; Vigers, Michael; Schonenbach, Nicole S.; Han, Songi; O'Malley, Michelle A.",,"Nguyen, Khanh D. (University of California, Santa Barbara); Seppala, Susanna (University of California, Santa Barbara); Vigers, Michael (University of California, Santa Barbara); Schonenbach, Nicole S. (University of California, Santa Barbara); Han, Songi (University of California, Santa Barbara); O'Malley, Michelle A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112162276,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
9,500,pub.1106997247,10.1016/j.fgb.2018.09.004,30223087,,Catabolic repression in early-diverging anaerobic fungi is partially mediated by natural antisense transcripts,Fungal Genetics and Biology,,"Anaerobiosis; Gene Expression Regulation, Fungal; Hydrolysis; Lignin; Metabolism; Neocallimastigomycota; RNA, Antisense; RNA, Plant; Transcriptome",2018-12,2018,121,Genome Biol. 11 2010,1-9,Closed,Article,"Solomon, Kevin V.; Henske, John K.; Gilmore, Sean P.; Lipzen, Anna; Grigoriev, Igor V.; Thompson, Dawn; O'Malley, Michelle A.","O'Malley, Michelle A.","Solomon, Kevin V. (University of California, Santa Barbara); Henske, John K. (University of California, Santa Barbara); Gilmore, Sean P. (University of California, Santa Barbara); Lipzen, Anna (Joint Genome Institute); Grigoriev, Igor V. (Joint Genome Institute; University of California, Berkeley); Thompson, Dawn (Ginkgo BioWorks (United States)); O'Malley, Michelle A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1106997247,0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
