,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Noah P Molotch. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1114504530,10.1061/9780784482346.029,,,Hydro-Climate and Climate Change Symposium,,World Environmental and Water Resources Congress 2019,,2019-05-16,2019,,,287-295,Closed,Proceeding,"Heldmyer, Aaron; Livneh, Ben; Molotch, Noah",,"Heldmyer, Aaron (); Livneh, Ben (); Molotch, Noah ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1114504530,,,,,,
2,200,pub.1114504523,10.1061/9780784482346.022,,,Hydro-Climate and Climate Change Symposium,,World Environmental and Water Resources Congress 2019,,2019-05-16,2019,,,215-225,Closed,Proceeding,"Badger, Andrew M.; Livneh, Ben; Molotch, Noah P.",,"Badger, Andrew M. (); Livneh, Ben (); Molotch, Noah P. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1114504523,,,,,,
3,100,pub.1112755178,10.1002/hyp.13439,,,Snowfall interception in a deciduous Nothofagus forest and implications for spatial snowpack distribution,Hydrological Processes,,,2019-04-23,2019,33,13,1818-1834,Closed,Article,"Huerta, Marlene L.; Molotch, Noah P.; McPhee, James",,"Huerta, Marlene L. (University of Chile); Molotch, Noah P. (University of Colorado Boulder); McPhee, James (University of Chile)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112755178,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
4,100,pub.1112562359,10.5194/hess-2019-82,,,The sensitivity of modeled snow accumulation and melt to precipitation phase methods across a climatic gradient,Hydrology and Earth System Sciences Discussions,,,2019-03-05,2019,,,1-33,All OA; Gold,Article,"Jennings, Keith S.; Molotch, Noah P.",,"Jennings, Keith S. (University of Colorado Boulder; Institute of Arctic and Alpine Research; University of Nevada Reno; Desert Research Institute); Molotch, Noah P. (University of Colorado Boulder; Institute of Arctic and Alpine Research; Jet Propulsion Lab)",0,0,,,https://www.hydrol-earth-syst-sci-discuss.net/hess-2019-82/hess-2019-82.pdf,https://app.dimensions.ai/details/publication/pub.1112562359,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1110575797,10.3390/w10121824,,,Event-Response Ellipses: A Method to Quantify and Compare the Role of Dynamic Storage at the Catchment Scale in Snowmelt-Dominated Systems,Water,,,2018-12-11,2018,10,12,1824,All OA; Gold,Article,"Driscoll, Jessica M.; Meixner, Thomas; Molotch, Noah P.; Ferre, Ty P. A.; Williams, Mark W.; Sickman, James O.",,"Driscoll, Jessica M. (United States Geological Survey; University of Arizona); Meixner, Thomas (University of Arizona); Molotch, Noah P. (University of Colorado Boulder; Jet Propulsion Lab); Ferre, Ty P. A. (University of Arizona); Williams, Mark W. (Institute of Arctic and Alpine Research); Sickman, James O. (University of California, Riverside)",1,1,,,http://dx.doi.org/10.3390/w10121824,https://app.dimensions.ai/details/publication/pub.1110575797,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
6,500,pub.1110584148,10.1038/s41598-018-36065-0,30568298,PMC6299282,Reevaluating growing season length controls on net ecosystem production in evergreen conifer forests,Scientific Reports,,"Coniferophyta; Ecosystem; Forests; Models, Theoretical; Seasons; Trees",2018-12,2018,8,1,17973,All OA; Gold,Article,"Barnard, David M.; Knowles, John F.; Barnard, Holly R.; Goulden, Michael L.; Hu, Jia; Litvak, Marcy E.; Molotch, Noah P.","Barnard, David M.","Barnard, David M. (Institute of Arctic and Alpine Research); Knowles, John F. (Institute of Arctic and Alpine Research; University of Arizona); Barnard, Holly R. (Institute of Arctic and Alpine Research; University of Colorado Boulder); Goulden, Michael L. (University of California, Irvine); Hu, Jia (University of Arizona); Litvak, Marcy E. (University of New Mexico); Molotch, Noah P. (Institute of Arctic and Alpine Research; University of Colorado Boulder; Jet Propulsion Lab)",2,2,,,https://doi.org/10.1038/s41598-018-36065-0,https://app.dimensions.ai/details/publication/pub.1110584148,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
7,500,pub.1101582149,10.1038/s41467-018-03629-7,29559636,PMC5861046,Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere,Nature Communications,,,2018-12,2018,9,1,1148,All OA; Gold,Article,"Jennings, Keith S.; Winchell, Taylor S.; Livneh, Ben; Molotch, Noah P.","Jennings, Keith S.","Jennings, Keith S. (University of Colorado Boulder; Institute of Arctic and Alpine Research); Winchell, Taylor S. (Institute of Arctic and Alpine Research; University of Colorado Boulder); Livneh, Ben (University of Colorado Boulder; Cooperative Institute for Research in Environmental Sciences); Molotch, Noah P. (University of Colorado Boulder; Institute of Arctic and Alpine Research; Jet Propulsion Lab)",31,31,,,https://www.nature.com/articles/s41467-018-03629-7.pdf,https://app.dimensions.ai/details/publication/pub.1101582149,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
8,100,pub.1108032555,10.1029/2018wr022680,,,Combining Ground‐Penetrating Radar With Terrestrial LiDAR Scanning to Estimate the Spatial Distribution of Liquid Water Content in Seasonal Snowpacks,Water Resources Research,,,2018-12,2018,54,12,"10,339-10,349",Closed,Article,"Webb, R. W.; Jennings, K. S.; Fend, M.; Molotch, N. P.",,"Webb, R. W. (Institute of Arctic and Alpine Research; University of New Mexico); Jennings, K. S. (Institute of Arctic and Alpine Research; University of Colorado Boulder); Fend, M. (UNAVCO); Molotch, N. P. (Institute of Arctic and Alpine Research; University of Colorado Boulder)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1108032555,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
9,100,pub.1104401044,10.1016/j.rse.2018.05.029,,,Spatial snow water equivalent estimation for mountainous areas using wireless-sensor networks and remote-sensing products,Remote Sensing of Environment,,,2018-09,2018,215,"Water Resour. Res. 42 2006, Aug",44-56,Closed,Article,"Zheng, Zeshi; Molotch, Noah P.; Oroza, Carlos A.; Conklin, Martha H.; Bales, Roger C.","Zheng, Zeshi","Zheng, Zeshi (University of California, Berkeley); Molotch, Noah P. (Institute of Arctic and Alpine Research); Oroza, Carlos A. (University of California, Berkeley); Conklin, Martha H. (University of California, Merced); Bales, Roger C. (University of California, Berkeley; University of California, Merced)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1104401044,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
10,100,pub.1109773497,10.1109/igarss.2018.8517777,,,Nasa Snowex'17 in SITU Measurements and Ground-Based Remote Sensing,,IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium,,2018-07,2018,00,,6266-6268,Closed,Proceeding,"Brucker, Ludovic; Hiemstra, Christopher; Marshall, Hans-Peter; Elder, Kelly; De Roo, Roger; Mousavi, Mohammad; Bliven, Francis; Peterson, Walt; Deems, Jeffrey; Gadomski, Peter; Gelvin, Arthur; Spaete, Lucas; Barnhart, Theodore; Brandt, Ty; Burkhart, John; Crawford, Christopher; Datta, Tri; Erikstrod, Havard; Glenn, Nancy; Hale, Katherine; Holben, Brent; Houser, Paul; Jennings, Keith; Kelly, Richard; Kraft, Jason; Langlois, Alexandre; McGrath, Daniel; Merriman, Chelsea; Molotch, Noah; Nolin, Anne; Polashenski, Chris; Raleigh, Mark; Rittger, Karl; Rodriguez, Chago; Roy, Alexandre; Skiles, McKenzie; Small, Eric; Tedesco, Marco; Tennant, Chris; Thompson, Aaron; Uhlmann, Zach; Webb, Ryan; Wingo, Matt",,"Brucker, Ludovic (); Hiemstra, Christopher (); Marshall, Hans-Peter (Boise State University); Elder, Kelly (US Forest Service); De Roo, Roger (University of Michigan); Mousavi, Mohammad (University of Michigan); Bliven, Francis (); Peterson, Walt (Marshall Space Flight Center); Deems, Jeffrey (); Gadomski, Peter (); Gelvin, Arthur (); Spaete, Lucas (Boise State University); Barnhart, Theodore (); Brandt, Ty (); Burkhart, John (University of Oslo); Crawford, Christopher (); Datta, Tri (Columbia University); Erikstrod, Havard (University of Oslo); Glenn, Nancy (Boise State University); Hale, Katherine (); Holben, Brent (); Houser, Paul (George Mason University); Jennings, Keith (); Kelly, Richard (University of Waterloo); Kraft, Jason (); Langlois, Alexandre (); McGrath, Daniel (Colorado State University); Merriman, Chelsea (Boise State University); Molotch, Noah (); Nolin, Anne (Oregon State University); Polashenski, Chris (Dartmouth College); Raleigh, Mark (); Rittger, Karl (); Rodriguez, Chago (Boise State University); Roy, Alexandre (); Skiles, McKenzie (Utah State University); Small, Eric (); Tedesco, Marco (Columbia University); Tennant, Chris (University of Waterloo); Thompson, Aaron (Boise State University); Uhlmann, Zach (); Webb, Ryan (); Wingo, Matt (Marshall Space Flight Center)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109773497,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
