,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Patricia Ann Holden. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1117610130,10.7717/peerj.7228,31293839,PMC6599668,Impact of metal oxide nanoparticles on in vitro DNA amplification,PeerJ,,,2019-06-27,2019,7,,e7228,All OA; Gold,Article,"Gao, Chun-Hui; Mortimer, Monika; Zhang, Ming; Holden, Patricia A.; Cai, Peng; Wu, Shan; Xin, Yuexing; Wu, Yichao; Huang, Qiaoyun",,"Gao, Chun-Hui (Huazhong Agricultural University); Mortimer, Monika (University of California, Santa Barbara); Zhang, Ming (Huazhong Agricultural University); Holden, Patricia A. (University of California, Santa Barbara); Cai, Peng (Huazhong Agricultural University); Wu, Shan (Huazhong Agricultural University); Xin, Yuexing (Huazhong Agricultural University); Wu, Yichao (Huazhong Agricultural University); Huang, Qiaoyun (Huazhong Agricultural University)",0,0,,,https://peerj.com/articles/7228.pdf,https://app.dimensions.ai/details/publication/pub.1117610130,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
2,500,pub.1113468434,10.1039/c8en01378k,31579514,PMC6774209,Strategies for robust and accurate experimental approaches to quantify nanomaterial bioaccumulation across a broad range of organisms,Environmental Science Nano,,,2019-06-13,2019,6,6,1619-1656,Closed,Article,"Petersen, Elijah J.; Mortimer, Monika; Burgess, Robert M.; Handy, Richard; Hanna, Shannon; Ho, Kay T.; Johnson, Monique; Loureiro, Susana; Selck, Henriette; Scott-Fordsmand, Janeck J.; Spurgeon, David; Unrine, Jason; van den Brink, Nico W.; Wang, Ying; White, Jason; Holden, Patricia",,"Petersen, Elijah J. (); Mortimer, Monika (University of California System); Burgess, Robert M. (Environmental Protection Agency); Handy, Richard (Plymouth University); Hanna, Shannon (); Ho, Kay T. (Environmental Protection Agency); Johnson, Monique (); Loureiro, Susana (University of Aveiro); Selck, Henriette (Roskilde University); Scott-Fordsmand, Janeck J. (Aarhus University); Spurgeon, David (Centre for Ecology and Hydrology); Unrine, Jason (University of Kentucky); van den Brink, Nico W. (Wageningen University & Research); Wang, Ying (University of California System); White, Jason (); Holden, Patricia (University of California System)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1113468434,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
3,100,pub.1116061468,10.1016/b978-0-12-814835-8.00003-0,,,Chapter 3 Fate of engineered nanomaterials in natural environments and impacts on ecosystems,,Exposure to Engineered Nanomaterials in the Environment,,2019,2019,,,61-103,Closed,Chapter,"Mortimer, Monika; Holden, Patricia A.",,"Mortimer, Monika (University of California, Santa Barbara); Holden, Patricia A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116061468,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
4,100,pub.1115027019,10.1071/en19047,,,Effects of carbonaceous nanomaterials on soil-grown soybeans under combined heat and insect stresses,Environmental Chemistry,,,2019,2019,16,6,482-493,All OA; Gold,Article,"Wang, Ying; Welch, Zoe S.; Ramirez, Aaron R.; Bouchard, Dermont C.; Schimel, Joshua P.; Gardea-Torresdey, Jorge L.; Holden, Patricia A.",,"Wang, Ying (University of California, Santa Barbara); Welch, Zoe S. (University of California, Santa Barbara); Ramirez, Aaron R. (Reed College); Bouchard, Dermont C. (Environmental Protection Agency); Schimel, Joshua P. (University of California, Santa Barbara); Gardea-Torresdey, Jorge L. (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A. (University of California, Santa Barbara)",1,1,,,http://dx.doi.org/10.1071/en19047,https://app.dimensions.ai/details/publication/pub.1115027019,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
5,100,pub.1105967271,10.1016/j.coesh.2018.07.012,,,Engineered Nanomaterials and Symbiotic Dinitrogen Fixation in Legumes,Current Opinion in Environmental Science & Health,,,2018-12,2018,6,Environ Sci Technol 50 2016,54-59,Closed,Article,"Holden, Patricia A.; Mortimer, Monika; Wang, Ying","Holden, Patricia A.","Holden, Patricia A. (University of California, Santa Barbara); Mortimer, Monika (University of California, Santa Barbara); Wang, Ying (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105967271,0703 Crop and Pasture Production; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
6,500,pub.1103768439,10.1021/acs.est.8b00937,29719150,,Carbonaceous Nanomaterials Have Higher Effects on Soybean Rhizosphere Prokaryotic Communities During the Reproductive Growth Phase than During Vegetative Growth.,Environmental Science & Technology,,"Nanostructures; Nanotubes, Carbon; Rhizosphere; Soil Microbiology; Soybeans",2018-06-05,2018,52,11,6636-6646,Closed,Article,"Ge, Yuan; Shen, Congcong; Wang, Ying; Sun, Yao-Qin; Schimel, Joshua P; Gardea-Torresdey, Jorge L; Holden, Patricia A",,"Ge, Yuan (Research Center for Eco-Environmental Sciences; University of California, Santa Barbara); Shen, Congcong (Research Center for Eco-Environmental Sciences); Wang, Ying (University of California, Santa Barbara); Sun, Yao-Qin (Research Center for Eco-Environmental Sciences); Schimel, Joshua P (University of California, Santa Barbara); Gardea-Torresdey, Jorge L (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1103768439,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
7,500,pub.1101104022,10.1021/acsnano.7b08977,29455524,,"Multiwall Carbon Nanotubes Induce More Pronounced Transcriptomic Responses in Pseudomonas aeruginosa PG201 than Graphene, Exfoliated Boron Nitride, or Carbon Black.",ACS Nano,,,2018-03-27,2018,12,3,2728-2740,"All OA; Green, Published",Article,"Mortimer, Monika; Devarajan, Naresh; Li, Dong; Holden, Patricia A",,"Mortimer, Monika (); Devarajan, Naresh (); Li, Dong (); Holden, Patricia A ()",4,4,,,https://escholarship.org/content/qt948763rj/qt948763rj.pdf?t=pn687v,https://app.dimensions.ai/details/publication/pub.1101104022,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
8,500,pub.1100734425,10.3390/nano8020076,29385723,PMC5853708,"Alginic Acid-Aided Dispersion of Carbon Nanotubes, Graphene, and Boron Nitride Nanomaterials for Microbial Toxicity Testing",Nanomaterials,,,2018-01-30,2018,8,2,76,All OA; Gold,Article,"Wang, Ying; Mortimer, Monika; Chang, Chong Hyun; Holden, Patricia A",,"Wang, Ying (University of California, Santa Barbara); Mortimer, Monika (University of California, Santa Barbara); Chang, Chong Hyun (University of California Los Angeles); Holden, Patricia A (University of California, Santa Barbara)",8,8,,,https://www.mdpi.com/2079-4991/8/2/76/pdf,https://app.dimensions.ai/details/publication/pub.1100734425,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
9,500,pub.1084895675,10.1016/j.watres.2017.04.028,28433878,,Effect of freshwater sediment characteristics on the persistence of fecal indicator bacteria and genetic markers within a Southern California watershed,Water Research,,Bacteria; California; Feces; Fresh Water; Genetic Markers; Geologic Sediments; Humans,2017-08,2017,119,J. Appl. Microbiol. 117 1 2014,1-11,Closed,Article,"Zimmer-Faust, Amity G.; Thulsiraj, Vanessa; Marambio-Jones, Catalina; Cao, Yiping; Griffith, John F.; Holden, Patricia A.; Jay, Jennifer A.","Jay, Jennifer A.","Zimmer-Faust, Amity G. (University of California Los Angeles); Thulsiraj, Vanessa (University of California Los Angeles); Marambio-Jones, Catalina (University of California Los Angeles); Cao, Yiping (Southern California Coastal Water Research Project); Griffith, John F. (Southern California Coastal Water Research Project); Holden, Patricia A. (University of California, Santa Barbara); Jay, Jennifer A. (University of California Los Angeles)",8,8,0.81,2.4,,https://app.dimensions.ai/details/publication/pub.1084895675,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
