,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Peter M Homyak. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1105777067,10.1016/j.scitotenv.2018.07.320,30235611,,Quantifying atmospheric N deposition in dryland ecosystems: A Test of the Integrated Total Nitrogen Input (ITNI) method,The Science of The Total Environment,,,2019-01,2019,646,,1253-1264,Closed,Article,"Sickman, James O.; James, Amanda E.; Fenn, Mark E.; Bytnerowicz, Andrzej; Lucero, Delores M.; Homyak, Peter M.","Sickman, James O.","Sickman, James O. (University of California, Riverside); James, Amanda E. (University of California, Riverside); Fenn, Mark E. (Pacific Southwest Research Station); Bytnerowicz, Andrzej (Pacific Southwest Research Station); Lucero, Delores M. (University of California, Riverside); Homyak, Peter M. (University of California, Riverside)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105777067,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
2,100,pub.1110035750,10.1029/2018jg004629,,,Wet Spots as Hotspots: Moisture Responses of Nitric and Nitrous Oxide Emissions From Poorly Drained Agricultural Soils,Journal of Geophysical Research Biogeosciences,,,2018-12,2018,123,12,3589-3602,Closed,Article,"Hall, S. J.; Reyes, L.; Huang, W.; Homyak, P. M.",,"Hall, S. J. (Iowa State University); Reyes, L. (Iowa State University); Huang, W. (Iowa State University); Homyak, P. M. (University of California, Riverside)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110035750,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
3,500,pub.1105852732,10.1002/ecy.2473,30047578,,Effects of altered dry season length and plant inputs on soluble soil carbon,Ecology,,Biomass; Carbon; Carbon Cycle; Seasons; Soil,2018-10,2018,99,10,2348-2362,Closed,Article,"Homyak, Peter M.; Blankinship, Joseph C.; Slessarev, Eric W.; Schaeffer, Sean M.; Manzoni, Stefano; Schimel, Joshua P.",,"Homyak, Peter M. (University of California, Riverside); Blankinship, Joseph C. (University of Arizona); Slessarev, Eric W. (University of California, Santa Barbara); Schaeffer, Sean M. (University of Tennessee at Knoxville); Manzoni, Stefano (Stockholm University); Schimel, Joshua P. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1105852732,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
4,100,pub.1093152970,10.1002/2017jg004146,,,Effects of Drought Manipulation on Soil Nitrogen Cycling: A Meta‐Analysis,Journal of Geophysical Research Biogeosciences,,,2017-12,2017,122,12,3260-3272,All OA; Gold,Article,"Homyak, Peter M.; Allison, Steven D.; Huxman, Travis E.; Goulden, Michael L.; Treseder, Kathleen K.",,"Homyak, Peter M. (University of California, Irvine); Allison, Steven D. (University of California, Irvine); Huxman, Travis E. (University of California, Irvine); Goulden, Michael L. (University of California, Irvine); Treseder, Kathleen K. (University of California, Irvine)",14,14,,5.96,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2017JG004146,https://app.dimensions.ai/details/publication/pub.1093152970,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
5,100,pub.1091900535,10.1016/j.soilbio.2017.09.005,,,Linking NO and N2O emission pulses with the mobilization of mineral and organic N upon rewetting dry soils,Soil Biology and Biochemistry,,,2017-12,2017,115,Soil Biology Biochemistry 41 2009,461-466,Closed,Article,"Leitner, Sonja; Homyak, Peter M.; Blankinship, Joseph C.; Eberwein, Jennifer; Jenerette, G. Darrel; Zechmeister-Boltenstern, Sophie; Schimel, Joshua P.","Leitner, Sonja","Leitner, Sonja (University of Natural Resources and Life Sciences; University of California, Santa Barbara); Homyak, Peter M. (University of California, Santa Barbara; University of California, Irvine); Blankinship, Joseph C. (University of California, Santa Barbara; University of Arizona); Eberwein, Jennifer (University of California, Riverside); Jenerette, G. Darrel (University of California, Riverside); Zechmeister-Boltenstern, Sophie (University of Natural Resources and Life Sciences); Schimel, Joshua P. (University of California, Santa Barbara)",12,12,,4.96,,https://app.dimensions.ai/details/publication/pub.1091900535,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
6,100,pub.1091200679,10.1016/j.soilbio.2017.08.009,,,Soil carbon and nitrogen dynamics throughout the summer drought in a California annual grassland,Soil Biology and Biochemistry,,,2017-12,2017,115,,54-62,Closed,Article,"Schaeffer, Sean M.; Homyak, Peter M.; Boot, Claudia M.; Roux-Michollet, Dad; Schimel, Joshua P.","Schaeffer, Sean M.","Schaeffer, Sean M. (University of California, Santa Barbara); Homyak, Peter M. (University of California, Santa Barbara; University of California, Irvine); Boot, Claudia M. (University of California, Santa Barbara; Colorado State University); Roux-Michollet, Dad (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",13,12,,5.37,,https://app.dimensions.ai/details/publication/pub.1091200679,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
7,500,pub.1018871551,10.1111/gcb.13507,27643755,,Acidity and organic matter promote abiotic nitric oxide production in drying soils,Global Change Biology,,Nevada; Nitric Oxide; Soil; Soil Microbiology,2017-04,2017,23,4,1735-1747,All OA; Gold,Article,"Homyak, Peter M.; Kamiyama, Matthew; Sickman, James O.; Schimel, Joshua P.",,"Homyak, Peter M. (University of California, Santa Barbara); Kamiyama, Matthew (University of California, Riverside); Sickman, James O. (University of California, Riverside); Schimel, Joshua P. (University of California, Santa Barbara)",9,6,0.73,3.72,https://doi.org/10.1111/gcb.13507,https://app.dimensions.ai/details/publication/pub.1018871551,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
8,400,pub.1050166541,10.1073/pnas.1520496113,27114523,PMC4868446,Aridity and plant uptake interact to make dryland soils hotspots for nitric oxide (NO) emissions,Proceedings of the National Academy of Sciences,,Air Pollutants; Desert Climate; Ecosystem; Humidity; Nitric Oxide; Plants; Poaceae; Soil Pollutants,2016-05-10,2016,113,19,e2608-e2616,"All OA; Green, Published",Article,"Homyak, Peter M.; Blankinship, Joseph C.; Marchus, Kenneth; Lucero, Delores M.; Sickman, James O.; Schimel, Joshua P.",,"Homyak, Peter M. (University of California, Santa Barbara); Blankinship, Joseph C. (University of California, Santa Barbara); Marchus, Kenneth (University of California, Santa Barbara); Lucero, Delores M. (University of California, Riverside); Sickman, James O. (University of California, Riverside); Schimel, Joshua P. (University of California, Santa Barbara)",34,20,1.74,9.33,http://europepmc.org/articles/pmc4868446?pdf=render,https://app.dimensions.ai/details/publication/pub.1050166541,06 Biological Sciences; 0503 Soil Sciences; 0602 Ecology; 05 Environmental Sciences,06 Biological Sciences,0503 Soil Sciences,0602 Ecology,05 Environmental Sciences,
9,200,pub.1069052876,10.2136/sssaj2015.02.0061n,,,Improving Nitrite Analysis in Soils: Drawbacks of the Conventional 2 M KCl Extraction,Soil Science Society of America Journal,,,2015,2015,79,4,1237,"All OA; Green, Published",Article,"Homyak, Peter M.; Vasquez, Krystal T.; Sickman, James O.; Parker, David R.; Schimel, Joshua P.",,"Homyak, Peter M. (); Vasquez, Krystal T. (); Sickman, James O. (); Parker, David R. (); Schimel, Joshua P. ()",12,8,,,https://escholarship.org/content/qt23j0k29h/qt23j0k29h.pdf?t=o6yh3q,https://app.dimensions.ai/details/publication/pub.1069052876,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
10,100,pub.1025869297,10.1007/s10021-014-9792-2,,,Assessing Nitrogen-Saturation in a Seasonally Dry Chaparral Watershed: Limitations of Traditional Indicators of N-Saturation,Ecosystems,,,2014-11,2014,17,7,1286-1305,"All OA; Green, Accepted & Submitted",Article,"Homyak, Peter M.; Sickman, James O.; Miller, Amy E.; Melack, John M.; Meixner, Thomas; Schimel, Joshua P.","Homyak, Peter M.","Homyak, Peter M. (University of California, Santa Barbara; University of California, Riverside); Sickman, James O. (University of California, Riverside); Miller, Amy E. (National Park Service); Melack, John M. (University of California, Santa Barbara); Meixner, Thomas (University of Arizona); Schimel, Joshua P. (University of California, Santa Barbara)",31,17,,6.11,https://escholarship.org/content/qt2b55v1s6/qt2b55v1s6.pdf?t=o6yhix,https://app.dimensions.ai/details/publication/pub.1025869297,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
