,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Peter S Alagona. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1113444527,10.1525/9780520962170-009,,,FIVE. Population and Land Use,,Ecosystems of California,,2019-12-31,2019,,,75-94,Closed,Chapter,"Alagona, Peter S.; Paulson, Tim; Esch, Andrew B.; Marter-Kenyon, Jessica",,"Alagona, Peter S. (); Paulson, Tim (); Esch, Andrew B. (); Marter-Kenyon, Jessica ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113444527,,,,,,
2,100,pub.1113234210,10.1007/s13412-019-00545-0,,,What is marine justice?,Journal of Environmental Studies and Sciences,,,2019-06,2019,9,2,234-243,Closed,Article,"Martin, Jennifer A.; Gray, Summer; Aceves-Bueno, Eréndira; Alagona, Peter; Elwell, Tammy L.; Garcia, Angela; Horton, Zach; Lopez-Carr, David; Marter-Kenyon, Jessica; Miller, Karly Marie; Severen, Christopher; Shewry, Teresa; Twohey, Becky","Martin, Jennifer A.","Martin, Jennifer A. (University of California, Santa Barbara); Gray, Summer (University of California, Santa Barbara); Aceves-Bueno, Eréndira (Duke University; University of California, Santa Barbara); Alagona, Peter (University of California, Santa Barbara); Elwell, Tammy L. (University of California, Santa Barbara); Garcia, Angela (Arizona State University); Horton, Zach (University of Pittsburgh); Lopez-Carr, David (University of California, Santa Barbara); Marter-Kenyon, Jessica (University of Georgia); Miller, Karly Marie (University of California, Santa Barbara); Severen, Christopher (); Shewry, Teresa (University of California System); Twohey, Becky (Coral Reef Alliance)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113234210,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,100,pub.1012273204,10.1016/j.geoforum.2012.11.022,,,"Contradictions at the confluence of commerce, consumption and conservation; or, an REI shopper camps in the forest, does anyone notice?",Geoforum,,,2013-03,2013,45,,325-336,Closed,Article,"Simon, Gregory L.; Alagona, Peter S.","Simon, Gregory L.","Simon, Gregory L. (University of Colorado Denver); Alagona, Peter S. (University of California, Santa Barbara)",6,3,,1.12,,https://app.dimensions.ai/details/publication/pub.1012273204,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
4,100,pub.1013343414,10.1007/978-94-007-6707-2_2,,,History and Recent Trends,Landscape Series,Mediterranean Oak Woodland Working Landscapes,,2013,2013,16,,25-58,Closed,Chapter,"Alagona, Peter S.; Linares, Antonio; Campos, Pablo; Huntsinger, Lynn","Alagona, Peter S.","Alagona, Peter S. (University of California, Santa Barbara); Linares, Antonio (University of Extremadura); Campos, Pablo (Instituto de Políticas y Bienes Públicos); Huntsinger, Lynn (University of California, Berkeley)",4,3,,1.43,,https://app.dimensions.ai/details/publication/pub.1013343414,21 History and Archaeology; 0501 Ecological Applications; 2103 Historical Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,21 History and Archaeology,0501 Ecological Applications,2103 Historical Studies,05 Environmental Sciences,0502 Environmental Science and Management
5,100,pub.1048005054,10.3160/0038-3872-111.3.163,,,"A History of Steelhead and Rainbow Trout (Oncorhynchus mykiss) in the Santa Ynez River Watershed, Santa Barbara County, California",Bulletin Southern California Academy of Sciences,,,2012-12,2012,111,3,163-222,"All OA; Green, Accepted & Submitted",Article,"Alagona, Peter S.; Cooper, Scott D.; Capelli, Mark; Stoecker, Matthew; Beedle, Peggy H.",,"Alagona, Peter S. (University of California, Santa Barbara); Cooper, Scott D. (University of California, Santa Barbara); Capelli, Mark (); Stoecker, Matthew (); Beedle, Peggy H. (University of California, Santa Barbara)",5,2,,0.6,https://scholar.oxy.edu/cgi/viewcontent.cgi?article=1016&context=scas,https://app.dimensions.ai/details/publication/pub.1048005054,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,400,pub.1004850840,10.1007/s10739-011-9298-0,21847602,,A Sanctuary for Science: The Hastings Natural History Reservation and the Origins of the University of California’s Natural Reserve System,Journal of the History of Biology,,,2012-11,2012,45,4,651-680,Closed,Article,"Alagona, Peter S.","Alagona, Peter S.","Alagona, Peter S. (University of California, Santa Barbara)",6,2,0.15,12.21,,https://app.dimensions.ai/details/publication/pub.1004850840,2103 Historical Studies; 21 History and Archaeology,2103 Historical Studies,21 History and Archaeology,,,
7,100,pub.1042562878,10.1093/envhis/emr040,,,Introduction: Fifty Years of Wildlife in America,Environmental History,,,2011-07-01,2011,16,3,391-397,All OA; Gold,Article,"Alagona, Peter S.",,"Alagona, Peter S. (University of California, Santa Barbara)",1,0,,1.95,https://academic.oup.com/envhis/article-pdf/16/3/391/1245748/emr040.pdf,https://app.dimensions.ai/details/publication/pub.1042562878,2103 Historical Studies; 21 History and Archaeology,2103 Historical Studies,21 History and Archaeology,,,
8,100,pub.1053818163,10.1177/105382590903200302,,,The Role of Field Study in Humanistic and Interdisciplinary Environmental Education,Journal of Experiential Education,,,2010-05,2010,32,3,191-206,Closed,Article,"Alagona, Peter S.; Simon, Gregory L.",,"Alagona, Peter S. (); Simon, Gregory L. ()",10,5,,3.73,,https://app.dimensions.ai/details/publication/pub.1053818163,1302 Curriculum and Pedagogy; 13 Education,1302 Curriculum and Pedagogy,13 Education,,,
9,200,pub.1072650561,10.5193/jee.32.3.191,,,The Role of Field Study in Humanistic and Interdisciplinary Environmental Education,Journal of Experiential Education,,,2010-01-01,2010,32,3,191-206,Closed,Article,"Alagona, Peter S.; Simon, Gregory L.",,"Alagona, Peter S. (); Simon, Gregory L. ()",5,0,,,,https://app.dimensions.ai/details/publication/pub.1072650561,13 Education,13 Education,,,,
