,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Phillip B Gans. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1112546592,10.1130/ges01698e.1,,,ERRATUM: Stratigraphy and geochronology of the Nacientes del Teno and Río Damas Formations: Insights into Middle to Late Jurassic Andean volcanism,Geosphere,,,2019-03-11,2019,,,,All OA; Gold,Article,"Junkin, William D.; Gans, Phillip B.",,"Junkin, William D. (); Gans, Phillip B. ()",0,0,,,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/15/2/605/4670023/605.pdf,https://app.dimensions.ai/details/publication/pub.1112546592,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
2,100,pub.1111329635,10.1130/ges01698.1,,,Stratigraphy and geochronology of the Nacientes del Teno and Río Damas Formations: Insights into Middle to Late Jurassic Andean volcanism,Geosphere,,,2019-03-05,2019,,,,All OA; Gold,Article,"Junkin, William D.; Gans, Phillip B.",,"Junkin, William D. (University of California, Santa Barbara); Gans, Phillip B. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1130/ges01698.1,https://app.dimensions.ai/details/publication/pub.1111329635,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1105556348,10.1130/b31998.1,,,"Late Cretaceous to Miocene volcanism, sedimentation, and upper-crustal faulting and folding in the Principal Cordillera, central Chile: Field and geochronological evidence for protracted arc volcanism and transpressive deformation",Geological Society of America Bulletin,,,2018-07-12,2018,,,,Closed,Article,"Mosolf, Jesse G.; Gans, Phillip B.; Wyss, Andre R.; Cottle, John M.; Flynn, John J.",,"Mosolf, Jesse G. (University of California, Santa Barbara; Montana Tech of the University of Montana); Gans, Phillip B. (University of California, Santa Barbara); Wyss, Andre R. (University of California, Santa Barbara); Cottle, John M. (University of California, Santa Barbara); Flynn, John J. (American Museum of Natural History)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1105556348,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,200,pub.1112258175,10.5962/bhl.title.156684,,,"Chlorocyon phantasma, a late Eocene borhyaenoid (Mammalia, Metatheria, Sparassodonta) from the Los Helados locality, Andean Main Range, central Chile /",,,,2018,2018,,,,All OA; Gold,Monograph,"Engelman, Russell K.; Croft, Darin A.; Flynn, John J.; Gans, Phillip B.; Wyss, André R",,"Engelman, Russell K. (); Croft, Darin A. (); Flynn, John J. (); Gans, Phillip B. (); Wyss, André R ()",0,0,,,https://doi.org/10.5962/bhl.title.156684,https://app.dimensions.ai/details/publication/pub.1112258175,,,,,,
5,200,pub.1104690206,10.1130/abs/2018rm-314196,,,LARAMIDE MAGMATISM AND EXTENSIONAL EXHUMATION RECORDED IN MIOCENE METAMORPHIC CORE COMPLEXES IN WEST-CENTRAL ARIZONA,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Singleton, John S.; Wong, Martin S.; Strickland, Evan D.; Prior, Michael G.; Wrobel, Alexander J.; Pollard, Brittney M.; Stockli, Daniel F.; Gans, Phillip B.; Seymour, Nikki M.",,"Singleton, John S. (); Wong, Martin S. (); Strickland, Evan D. (); Prior, Michael G. (); Wrobel, Alexander J. (); Pollard, Brittney M. (); Stockli, Daniel F. (); Gans, Phillip B. (); Seymour, Nikki M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104690206,,,,,,
6,200,pub.1095874877,10.1130/abs/2017cd-292651,,,INSIGHTS INTO MIDDLE-LATE JURASSIC ANDEAN BACKARC VOLCANISM--GEOLOGY AND GEOCHRONOLOGY OF THE NACIENTES DEL TENO FORMATION (35°10'S),Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Junkin, William; Gans, Phillip B.",,"Junkin, William (); Gans, Phillip B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1095874877,,,,,,
7,200,pub.1095874444,10.1130/abs/2017cd-293072,,,"EXPLORING THE GEOCHEMICAL CHARACTER OF VOLCANISM IN THE WHIPPLE MOUNTAINS REGION, CA AND AZ; DID CRUSTAL MELTING PLAY A ROLE IN THE EXTENSIONAL COLLAPSE OF THE COLORADO RIVER EXTENSIONAL CORRIDOR?",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Fidler, Mary Kate; Gans, Phillip B.",,"Fidler, Mary Kate (); Gans, Phillip B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1095874444,,,,,,
8,200,pub.1095874175,10.1130/abs/2017cd-292942,,,"CHARACTERIZING PRE-MIOCENE LOWER PLATE STRUCTURES OF THE NORTHERN SNAKE RANGE METAMORPHIC CORE COMPLEX, EASTERN NEVADA: INSIGHTS INTO THE ROLE OF TECTONIC HEREDITY IN METAMORPHIC CORE COMPLEX EVOLUTION",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Wrobel, Alexander J.; Gans, Phillip B.",,"Wrobel, Alexander J. (); Gans, Phillip B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1095874175,,,,,,
9,100,pub.1000910835,10.1002/2016tc004215,,,"Dike emplacement, footwall rotation, and the transition from magmatic to tectonic extension in the Whipple Mountains metamorphic core complex, southeastern California",Tectonics,,,2016-11,2016,35,11,2564-2608,Closed,Article,"Gans, Phillip B.; Gentry, Beau J.",,"Gans, Phillip B. (University of California, Santa Barbara); Gentry, Beau J. (University of California, Santa Barbara)",8,7,,2.14,,https://app.dimensions.ai/details/publication/pub.1000910835,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
10,200,pub.1108096262,10.1130/abs/2016am-286435,,,"GEOLOGIC MAP OF THE WESTERN WHIPPLE MOUNTAINS AND EASTERN MOPAH RANGE, SOUTHEAST CALIFORNIA: UNRAVELING THE ERUPTIVE AND STRUCTURAL HISTORY OF A SYNEXTENSIONAL MIOCENE VOLCANIC PROVINCE",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Fidler, Mary Kate; Gans, Phillip B.; Gentry, Beau; Lackey, Jade Star",,"Fidler, Mary Kate (); Gans, Phillip B. (); Gentry, Beau (); Lackey, Jade Star ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108096262,,,,,,
11,100,pub.1005552191,10.1002/2013tc003517,,,"Timing, rate, and magnitude of slip on the Buckskin‐Rawhide detachment fault, west central Arizona",Tectonics,,,2014-08,2014,33,8,1596-1615,All OA; Gold,Article,"Singleton, John S.; Stockli, Daniel F.; Gans, Phillip B.; Prior, Michael G.",,"Singleton, John S. (George Mason University; The University of Texas at Austin); Stockli, Daniel F. (The University of Texas at Austin); Gans, Phillip B. (University of California, Santa Barbara); Prior, Michael G. (The University of Texas at Austin)",18,12,,3.04,http://onlinelibrary.wiley.com/doi/10.1002/2013TC003517/pdf,https://app.dimensions.ai/details/publication/pub.1005552191,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
12,100,pub.1019941680,10.1002/2014tc003598,,,"Eocene and Oligocene basins and ridges of the Coral Sea‐New Caledonia region: Tectonic link between Melanesia, Fiji, and Zealandia",Tectonics,,,2014-07,2014,33,7,1386-1407,All OA; Gold,Article,"Mortimer, Nick; Gans, Phillip B.; Palin, J. Michael; Herzer, Richard H.; Pelletier, Bernard; Monzier, Michel",,"Mortimer, Nick (GNS Science); Gans, Phillip B. (University of California, Santa Barbara); Palin, J. Michael (University of Otago); Herzer, Richard H. (GNS Science); Pelletier, Bernard (Institute of Research for the Development); Monzier, Michel (Institute of Research for the Development)",11,8,,1.85,http://onlinelibrary.wiley.com/doi/10.1002/2014TC003598/pdf,https://app.dimensions.ai/details/publication/pub.1019941680,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
13,100,pub.1041187126,10.1016/j.tecto.2013.06.030,,,"Crustal exhumation of the Western Gneiss Region UHP terrane, Norway: 40Ar/39Ar thermochronology and fault-slip analysis",Tectonophysics,,,2013-11,2013,608,Tectonophysics 285 1998,1159-1179,Closed,Article,"Walsh, Emily O.; Hacker, Bradley R.; Gans, Phillip B.; Wong, Martin S.; Andersen, Torgeir B.","Walsh, Emily O.","Walsh, Emily O. (University of California, Santa Barbara; Cornell College); Hacker, Bradley R. (University of California, Santa Barbara); Gans, Phillip B. (University of California, Santa Barbara); Wong, Martin S. (University of California, Santa Barbara; Colgate University); Andersen, Torgeir B. ()",16,6,,2.44,,https://app.dimensions.ai/details/publication/pub.1041187126,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1043767022,10.1002/ggge.20199,,,Revised and updated paleomagnetic results from Costa Rica,Geochemistry Geophysics Geosystems,,,2013-09,2013,14,9,3379-3388,All OA; Gold,Article,"Cromwell, G.; Constable, C. G.; Staudigel, H.; Tauxe, L.; Gans, P.",,"Cromwell, G. (University of California, San Diego); Constable, C. G. (Scripps Institution of Oceanography); Staudigel, H. (Scripps Institution of Oceanography); Tauxe, L. (); Gans, P. (University of California, Santa Barbara)",8,3,,1.22,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ggge.20199,https://app.dimensions.ai/details/publication/pub.1043767022,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
15,100,pub.1008124707,10.1206/3737.2,,,"New Leontiniid Notoungulata (Mammalia) from Chile and Argentina: Comparative Anatomy, Character Analysis, and Phylogenetic Hypotheses",American Museum Novitates,,,2012-02,2012,2012,3737,1-64,"All OA; Green, Accepted & Submitted",Article,"Shockey, Bruce J.; Flynn, John J.; Croft, Darin A.; Gans, Phillip; Wyss, André R.",,"Shockey, Bruce J. (Manhattan College); Flynn, John J. (); Croft, Darin A. (Case Western Reserve University); Gans, Phillip (University of California, Santa Barbara); Wyss, André R. (University of California, Santa Barbara)",18,8,,15.91,http://digitallibrary.amnh.org/bitstream/2246/6161/1/N3737.pdf,https://app.dimensions.ai/details/publication/pub.1008124707,2102 Curatorial and Related Studies; 21 History and Archaeology,2102 Curatorial and Related Studies,21 History and Archaeology,,,
16,200,pub.1014406273,10.1144/0016-76492010-075,,,Structure and 40Ar/39Ar thermochronology of an ultrahigh-pressure transition in western Norway,Journal of the Geological Society,,,2011-07,2011,168,4,887-898,Closed,Article,"Young, D.J.; Hacker, B.R.; Andersen, T.B.; Gans, P.B.",,"Young, D.J. (); Hacker, B.R. (); Andersen, T.B. (); Gans, P.B. ()",18,3,,2.56,,https://app.dimensions.ai/details/publication/pub.1014406273,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
17,100,pub.1036444942,10.1029/2009jb007032,,,"The 40Ar/39Ar thermochronology of core complexes and other basement rocks in Sonora, Mexico: Implications for Cenozoic tectonic evolution of northwestern Mexico",Journal of Geophysical Research,,,2010,2010,115,B7,,All OA; Gold,Article,"Wong, Martin S.; Gans, Phillip B.; Scheier, Jeremy",,"Wong, Martin S. (Colgate University); Gans, Phillip B. (University of California, Santa Barbara); Scheier, Jeremy (Colgate University)",12,2,,1.25,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009JB007032,https://app.dimensions.ai/details/publication/pub.1036444942,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
