,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Raul K Suarez. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1101367821,10.1242/jeb.176305,29514889,,"The many, exciting sequels to the story of fat",Journal of Experimental Biology,,Adipose Tissue; Animals; Birds; Fishes; Humans; Mammals,2018-03-07,2018,221,Suppl 1,jeb176305,All OA; Gold,Article,"Suarez, Raul K; Hoppeler, Hans H",,"Suarez, Raul K (University of British Columbia); Hoppeler, Hans H (University of Bern)",0,0,,,http://jeb.biologists.org/content/jexbio/221/Suppl_1/jeb176305.full.pdf,https://app.dimensions.ai/details/publication/pub.1101367821,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
2,500,pub.1090608966,10.3390/nu9070743,28704953,PMC5537857,Sugar Metabolism in Hummingbirds and Nectar Bats,Nutrients,,"Animals; Birds; Carbohydrate Metabolism; Chiroptera; Diet; Energy Metabolism; Flight, Animal; Fructose; Glucose; Intestinal Absorption; Lipid Metabolism; Models, Biological; Muscle, Skeletal; Oxidation-Reduction; Plant Nectar",2017-07-12,2017,9,7,743,All OA; Gold,Article,"Suarez, Raul K; Welch, Kenneth C",,"Suarez, Raul K (University of British Columbia); Welch, Kenneth C (University of Toronto)",6,6,0.84,1.59,https://www.mdpi.com/2072-6643/9/7/743/pdf,https://app.dimensions.ai/details/publication/pub.1090608966,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
3,400,pub.1049788420,10.1098/rspb.2014.2232,25652831,PMC4344142,Setting the pace of life: membrane composition of flight muscle varies with metabolic rate of hovering orchid bees,Proceedings of The Royal Society B Biological Sciences,,"Animals; Bees; Body Size; Cell Membrane; Energy Metabolism; Fatty Acids, Unsaturated; Flight, Animal; Muscles; Phospholipids; Phylogeny",2015-03-07,2015,282,1802,20142232,All OA; Gold,Article,"Rodríguez, Enrique; Weber, Jean-Michel; Pagé, Benoît; Roubik, David W; Suarez, Raul K; Darveau, Charles-A",,"Rodríguez, Enrique (University of Ottawa); Weber, Jean-Michel (University of Ottawa); Pagé, Benoît (University of Ottawa); Roubik, David W (Smithsonian Tropical Research Institute); Suarez, Raul K (University of California, Santa Barbara); Darveau, Charles-A (University of Ottawa)",10,6,0.61,2.65,http://rspb.royalsocietypublishing.org/content/282/1802/20142232.full.pdf,https://app.dimensions.ai/details/publication/pub.1049788420,0606 Physiology; 06 Biological Sciences,0606 Physiology,06 Biological Sciences,,,
4,200,pub.1036926245,10.1242/jeb.103697,24622890,,Precious papers from ‘non-research-intensive’ countries,Journal of Experimental Biology,,Authorship; Bibliometrics; Biological Science Disciplines; Editorial Policies; Periodicals as Topic; Research,2014-03-15,2014,217,6,818-819,All OA; Gold,Article,"Suarez, Raul K",,"Suarez, Raul K (University of California, Santa Barbara)",1,1,0,,http://jeb.biologists.org/content/217/6/818.full.pdf,https://app.dimensions.ai/details/publication/pub.1036926245,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
5,400,pub.1043573543,10.1242/jeb.068825,23580719,,Very low force-generating ability and unusually high temperature dependency in hummingbird flight muscle fibers,Journal of Experimental Biology,,"Animals; Birds; Flight, Animal; Muscle Contraction; Muscle Fibers, Skeletal; Pectoralis Muscles; Rats; Rats, Sprague-Dawley; Songbirds; Temperature",2013-06-15,2013,216,12,2247-2256,All OA; Gold,Article,"Reiser, Peter J.; Welch, Kenneth C.; Suarez, Raul K.; Altshuler, Douglas L.",,"Reiser, Peter J. (The Ohio State University); Welch, Kenneth C. (University of California, Riverside); Suarez, Raul K. (University of California, Santa Barbara); Altshuler, Douglas L. (University of California, Riverside; University of British Columbia)",10,4,0.54,1.92,http://jeb.biologists.org/content/216/12/2247.full.pdf,https://app.dimensions.ai/details/publication/pub.1043573543,1109 Neurosciences; 11 Medical and Health Sciences,1109 Neurosciences,11 Medical and Health Sciences,,,
6,100,pub.1059489645,10.1093/czoolo/59.3.371,,,Premigratory fat metabolism in hummingbirds: A Rumsfeldian approach,Current Zoology,,,2013-06-01,2013,59,3,371-380,All OA; Gold,Article,"Suarez, Raul K.",,"Suarez, Raul K. (University of California, Santa Barbara)",2,2,,0.5,https://academic.oup.com/cz/article-pdf/59/3/371/5067484/czoolo59-0371.pdf,https://app.dimensions.ai/details/publication/pub.1059489645,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
7,400,pub.1050437371,10.1002/cphy.c110009,23720257,,Energy and Metabolism,,Comprehensive Physiology,"Adenosine Triphosphate; Animals; Basal Metabolism; Biological Evolution; Body Size; Body Temperature Regulation; Energy Metabolism; Models, Biological; Oceans and Seas; Systems Biology",2012-10,2012,2,4,2527-40,Closed,Chapter,"Suarez, Raul K.",,"Suarez, Raul K. ()",10,4,0.33,1.01,,https://app.dimensions.ai/details/publication/pub.1050437371,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
8,400,pub.1045037361,10.1242/jeb.059725,22723473,,Metabolism in the age of ‘omes’,Journal of Experimental Biology,,"Animals; Basal Metabolism; Energy Metabolism; Humans; Metabolome; Protein Biosynthesis; Protein Processing, Post-Translational; Proteolysis; RNA, Messenger",2012-07-15,2012,215,14,2351-2357,All OA; Gold,Article,"Suarez, Raul K.; Moyes, Christopher D.",,"Suarez, Raul K. (University of California, Santa Barbara); Moyes, Christopher D. (Queen's University)",44,6,1.45,4.43,http://jeb.biologists.org/content/215/14/2351.full.pdf,https://app.dimensions.ai/details/publication/pub.1045037361,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
9,200,pub.1043239688,10.1242/jeb.063792,,,Oxidation of dietary sugar during hovering flight in small vertebrate nectarivores,Journal of Experimental Biology,,,2011-10-01,2011,214,19,3324-3324,All OA; Gold,Article,"Welch, K. C.; M., L. G. Herrera; Suarez, R. K.",,"Welch, K. C. (); M., L. G. Herrera (); Suarez, R. K. ()",0,0,,,http://jeb.biologists.org/content/214/19/3324.full.pdf,https://app.dimensions.ai/details/publication/pub.1043239688,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
