,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Robin S Matoza. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1119817512,10.1029/2018jb017073,,,"Three‐Dimensional Acoustic Multipole Waveform Inversion at Yasur Volcano, Vanuatu",Journal of Geophysical Research Solid Earth,,,2019-08-17,2019,124,8,8679-8703,Closed,Article,"Iezzi, A. M.; Fee, D.; Kim, K.; Jolly, A. D.; Matoza, R. S.",,"Iezzi, A. M. (University of Alaska Fairbanks); Fee, D. (University of Alaska Fairbanks); Kim, K. (Lawrence Livermore National Laboratory); Jolly, A. D. (GNS Science); Matoza, R. S. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119817512,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
2,200,pub.1113679784,10.1121/1.5101897,,,Exploring the use of exploding oxy-acetylene balloons for field-scale infrasound,The Journal of the Acoustical Society of America,,,2019-03,2019,145,3,1901-1902,Closed,Article,"Neilsen, Tracianne B.; Maher, Sean; Lysenko, Eric J.; Escobedo, Julio A.; Shaw, Sarah A.; McKay, Margaret G.; Hawkes, Menley R.; Lopez, Christian A.; Butts, Carla; Matoza, Robin S.",,"Neilsen, Tracianne B. (Brigham Young University); Maher, Sean (University of California, Santa Barbara); Lysenko, Eric J. (Brigham Young University); Escobedo, Julio A. (Brigham Young University); Shaw, Sarah A. (Brigham Young University); McKay, Margaret G. (Brigham Young University); Hawkes, Menley R. (Brigham Young University); Lopez, Christian A. (Brigham Young University); Butts, Carla (Brigham Young University); Matoza, Robin S. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113679784,,,,,,
3,200,pub.1113679767,10.1121/1.5101754,,,Preliminary analyses of seismo-acoustic wave propagation in outdoor field-scale analog volcanic explosions,The Journal of the Acoustical Society of America,,,2019-03,2019,145,3,1869-1869,Closed,Article,"Neilsen, Tracianne B.; Matoza, Robin S.; Maher, Sean; McKay, Margaret G.; Sanderson, Richard; Valentine, Greg A.; Sonder, Ingo; Harp, Andrew G.",,"Neilsen, Tracianne B. (Brigham Young University); Matoza, Robin S. (); Maher, Sean (); McKay, Margaret G. (Brigham Young University); Sanderson, Richard (University of California, Santa Barbara); Valentine, Greg A. (); Sonder, Ingo (); Harp, Andrew G. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113679767,,,,,,
4,100,pub.1110092405,10.1029/2018gl080802,,,"High‐Broadband Seismoacoustic Signature of Vulcanian Explosions at Popocatépetl Volcano, Mexico",Geophysical Research Letters,,,2019-01-16,2019,46,1,148-157,All OA; Gold,Article,"Matoza, Robin S.; Arciniega‐Ceballos, Alejandra; Sanderson, Richard W.; Mendo‐Pérez, Gerardo; Rosado‐Fuentes, Alejandro; Chouet, Bernard A.",,"Matoza, Robin S. (University of California, Santa Barbara); Arciniega‐Ceballos, Alejandra (National Autonomous University of Mexico); Sanderson, Richard W. (University of California, Santa Barbara); Mendo‐Pérez, Gerardo (National Autonomous University of Mexico); Rosado‐Fuentes, Alejandro (National Autonomous University of Mexico); Chouet, Bernard A. ()",0,0,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018GL080802,https://app.dimensions.ai/details/publication/pub.1110092405,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
5,200,pub.1120885844,10.1121/2.0001034,,,A prototype soundproof box for isolating ground-air seismo-acoustic signals,Proceedings of meetings on acoustics.,5th International Conference on the Effects of Noise on Aquatic Life,,2019,2019,37,,045002,Closed,Proceeding,"Lysenko, Eric J.; Neilsen, Tracianne B.; Matoza, Robin S.",,"Lysenko, Eric J. (); Neilsen, Tracianne B. (); Matoza, Robin S. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120885844,,,,,,
6,100,pub.1107870622,10.1007/978-3-319-75140-5_33,,,Volcano Infrasound and the International Monitoring System,,Infrasound Monitoring for Atmospheric Studies,,2019,2019,,,1023-1077,"All OA; Green, Published",Chapter,"Matoza, Robin; Fee, David; Green, David; Mialle, Pierrick","Matoza, Robin","Matoza, Robin (University of California, Santa Barbara); Fee, David (University of Alaska Fairbanks); Green, David (); Mialle, Pierrick ()",11,11,,,https://escholarship.org/content/qt80b905sp/qt80b905sp.pdf?t=pig38f,https://app.dimensions.ai/details/publication/pub.1107870622,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
7,100,pub.1107870600,10.1007/978-3-319-75140-5_13,,,Systematic Array Processing of a Decade of Global IMS Infrasound Data,,Infrasound Monitoring for Atmospheric Studies,,2019,2019,,,471-482,Closed,Chapter,"Ceranna, Lars; Matoza, Robin; Hupe, Patrick; Le Pichon, Alexis; Landès, Matthieu","Ceranna, Lars","Ceranna, Lars (Federal Institute For Geosciences and Natural Resources); Matoza, Robin (University of California, Santa Barbara); Hupe, Patrick (Federal Institute For Geosciences and Natural Resources); Le Pichon, Alexis (); Landès, Matthieu ()",6,6,,,,https://app.dimensions.ai/details/publication/pub.1107870600,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
8,100,pub.1107079073,10.1016/j.jvolgeores.2018.09.007,,,Seismic and acoustic signatures of surficial mass movements at volcanoes,Journal of Volcanology and Geothermal Research,,,2018-09,2018,364,J. Geophys. Res. Solid Earth 110 2005,76-106,"All OA; Green, Accepted & Submitted",Article,"Allstadt, Kate E.; Matoza, Robin S.; Lockhart, Andrew; Moran, Seth C.; Caplan-Auerbach, Jacqueline; Haney, Matthew; Thelen, Weston A.; Malone, Stephen D.","Allstadt, Kate E.","Allstadt, Kate E. (); Matoza, Robin S. (University of California, Santa Barbara); Lockhart, Andrew (); Moran, Seth C. (); Caplan-Auerbach, Jacqueline (Western Washington University); Haney, Matthew (United States Geological Survey); Thelen, Weston A. (); Malone, Stephen D. (University of Washington)",5,5,,,https://escholarship.org/content/qt2gd0d3wk/qt2gd0d3wk.pdf?t=phdb88,https://app.dimensions.ai/details/publication/pub.1107079073,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1105873875,10.1029/2017jb015132,,,Infrasound Signal Detection and Back Azimuth Estimation Using Ground‐Coupled Airwaves on a Seismo‐Acoustic Sensor Pair,Journal of Geophysical Research Solid Earth,,,2018-08-22,2018,123,8,6826-6844,"All OA; Green, Published",Article,"McKee, Kathleen; Fee, David; Haney, Matthew; Matoza, Robin S.; Lyons, John",,"McKee, Kathleen (University of Alaska Fairbanks; Carnegie Institution for Science); Fee, David (University of Alaska Fairbanks); Haney, Matthew (Alaska Volcano Observatory); Matoza, Robin S. (University of California, Santa Barbara); Lyons, John (Alaska Volcano Observatory)",0,0,,,https://escholarship.org/content/qt00d940gg/qt00d940gg.pdf?t=pfnvq9,https://app.dimensions.ai/details/publication/pub.1105873875,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
10,100,pub.1101356306,10.1002/2017jb015182,,,"Local, Regional, and Remote Seismo‐acoustic Observations of the April 2015 VEI 4 Eruption of Calbuco Volcano, Chile",Journal of Geophysical Research Solid Earth,,,2018-05,2018,123,5,3814-3827,"All OA; Green, Published",Article,"Matoza, Robin S.; Fee, David; Green, David N.; Le Pichon, Alexis; Vergoz, Julien; Haney, Matthew M.; Mikesell, T. Dylan; Franco, Luis; Valderrama, O. Alberto; Kelley, Megan R.; McKee, Kathleen; Ceranna, Lars",,"Matoza, Robin S. (University of California, Santa Barbara); Fee, David (University of Alaska Fairbanks); Green, David N. (Atomic Weapons Establishment); Le Pichon, Alexis (); Vergoz, Julien (); Haney, Matthew M. (Alaska Volcano Observatory); Mikesell, T. Dylan (Boise State University); Franco, Luis (); Valderrama, O. Alberto (); Kelley, Megan R. (University of California, Santa Barbara; University of California, Santa Cruz); McKee, Kathleen (University of Alaska Fairbanks); Ceranna, Lars (Federal Institute For Geosciences and Natural Resources)",9,9,,,https://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=1226&context=cgiss_facpubs,https://app.dimensions.ai/details/publication/pub.1101356306,1005 Communications Technologies; 10 Technology,1005 Communications Technologies,10 Technology,,,
11,200,pub.1099891050,10.1093/gji/ggx554,,,Seismic equivalents of volcanic jet scaling laws and multipoles in acoustics,Geophysical Journal International,,,2018-04-01,2018,213,1,623-636,All OA; Gold,Article,"Haney, Matthew M; Matoza, Robin S; Fee, David; Aldridge, David F",,"Haney, Matthew M (United States Geological Survey); Matoza, Robin S (University of California, Santa Barbara); Fee, David (Alaska Volcano Observatory); Aldridge, David F (Sandia National Laboratories)",3,3,,,https://academic.oup.com/gji/article-pdf/213/1/623/23994300/ggx554.pdf,https://app.dimensions.ai/details/publication/pub.1099891050,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
