,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Samantha Stevenson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1121794468,10.1029/2019gl084377,,,The Influence of Volcanic Aerosol Meridional Structure on Monsoon Responses over the Last Millennium,Geophysical Research Letters,,,2019-10-15,2019,,,,Closed,Article,"Fasullo, John T.; Otto‐Bliesner, Bette L.; Stevenson, Samantha",,"Fasullo, John T. (National Center for Atmospheric Research); Otto‐Bliesner, Bette L. (National Center for Atmospheric Research); Stevenson, Samantha (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121794468,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1120252863,10.1029/2019pa003625,,,Volcanic Eruption Signatures in the Isotope‐Enabled Last Millennium Ensemble,Paleoceanography and Paleoclimatology,,,2019-08,2019,34,8,1534-1552,Closed,Article,"Stevenson, S.; Otto‐Bliesner, B. L.; Brady, E. C.; Nusbaumer, J.; Tabor, C.; Tomas, R.; Noone, D. C.; Liu, Z.",,"Stevenson, S. (University of California, Santa Barbara); Otto‐Bliesner, B. L. (Climate and Global Dynamics Laboratory); Brady, E. C. (Climate and Global Dynamics Laboratory); Nusbaumer, J. (Columbia University); Tabor, C. (University of Connecticut); Tomas, R. (Climate and Global Dynamics Laboratory); Noone, D. C. (Oregon State University); Liu, Z. (The Ohio State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120252863,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
3,100,pub.1117693457,10.1029/2019ms001663,,,The Connected Isotopic Water Cycle in the Community Earth System Model Version 1,Journal of Advances in Modeling Earth Systems,,,2019-08,2019,11,8,2547-2566,All OA; Gold,Article,"Brady, E.; Stevenson, S.; Bailey, D.; Liu, Z.; Noone, D.; Nusbaumer, J.; Otto‐Bliesner, B. L.; Tabor, C.; Tomas, R.; Wong, T.; Zhang, J.; Zhu, J.",,"Brady, E. (Climate and Global Dynamics Laboratory); Stevenson, S. (University of California, Santa Barbara); Bailey, D. (Climate and Global Dynamics Laboratory); Liu, Z. (The Ohio State University); Noone, D. (Oregon State University); Nusbaumer, J. (Columbia University); Otto‐Bliesner, B. L. (Climate and Global Dynamics Laboratory); Tabor, C. (University of Connecticut); Tomas, R. (Climate and Global Dynamics Laboratory); Wong, T. (University of Colorado Boulder); Zhang, J. (Los Alamos National Laboratory); Zhu, J. (University of Michigan)",2,2,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2019MS001663,https://app.dimensions.ai/details/publication/pub.1117693457,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,0402 Geochemistry,
4,100,pub.1084021250,10.1007/s00382-017-3573-5,,,Forced changes to twentieth century ENSO diversity in a last Millennium context,Climate Dynamics,,,2019-06,2019,52,12,7359-7374,Closed,Article,"Stevenson, Samantha; Capotondi, Antonietta; Fasullo, John; Otto-Bliesner, Bette","Stevenson, Samantha","Stevenson, Samantha (National Center for Atmospheric Research); Capotondi, Antonietta (National Oceanic and Atmospheric Administration); Fasullo, John (National Center for Atmospheric Research); Otto-Bliesner, Bette (National Center for Atmospheric Research)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1084021250,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1100861316,10.1007/s00382-018-4111-9,,,Holocene lowering of the Laurentide ice sheet affects North Atlantic gyre circulation and climate,Climate Dynamics,,,2018-11,2018,51,9-10,3797-3813,All OA; Gold,Article,"Gregoire, Lauren J.; Ivanovic, Ruza F.; Maycock, Amanda C.; Valdes, Paul J.; Stevenson, Samantha","Gregoire, Lauren J.","Gregoire, Lauren J. (University of Leeds); Ivanovic, Ruza F. (University of Leeds); Maycock, Amanda C. (University of Leeds); Valdes, Paul J. (University of Bristol); Stevenson, Samantha (University of California, Santa Barbara)",7,7,,,https://link.springer.com/content/pdf/10.1007%2Fs00382-018-4111-9.pdf,https://app.dimensions.ai/details/publication/pub.1100861316,0403 Geology; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,
6,100,pub.1106275792,10.1029/2018gl079022,,,"ENSO's Changing Influence on Temperature, Precipitation, and Wildfire in a Warming Climate",Geophysical Research Letters,,,2018-09-16,2018,45,17,9216-9225,All OA; Gold,Article,"Fasullo, J. T.; Otto‐Bliesner, B. L.; Stevenson, S.",,"Fasullo, J. T. (National Center for Atmospheric Research); Otto‐Bliesner, B. L. (National Center for Atmospheric Research); Stevenson, S. (University of California, Santa Barbara)",9,9,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018GL079022,https://app.dimensions.ai/details/publication/pub.1106275792,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 0401 Atmospheric Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,06 Biological Sciences
7,100,pub.1103501106,10.1029/2017pa003304,,,Twentieth Century Seawater δ18O Dynamics and Implications for Coral‐Based Climate Reconstruction,Paleoceanography and Paleoclimatology,,,2018-06,2018,33,6,606-625,Closed,Article,"Stevenson, S.; Powell, B.; Cobb, K. M.; Nusbaumer, J.; Merrifield, M.; Noone, D.",,"Stevenson, S. (University of California, Santa Barbara); Powell, B. (University of Hawaii at Manoa); Cobb, K. M. (Georgia Institute of Technology); Nusbaumer, J. (Goddard Institute for Space Studies); Merrifield, M. (University of California, San Diego); Noone, D. (Oregon State University)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1103501106,04 Earth Sciences; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0405 Oceanography,0402 Geochemistry,,
8,100,pub.1101116585,10.1175/jcli-d-17-0407.1,,,"Climate Variability, Volcanic Forcing, and Last Millennium Hydroclimate Extremes",Journal of Climate,,,2018-06,2018,31,11,4309-4327,"All OA; Green, Accepted & Submitted",Article,"Stevenson, Samantha; Overpeck, Jonathan T.; Fasullo, John; Coats, Sloan; Parsons, Luke; Otto-Bliesner, Bette; Ault, Toby; Loope, Garrison; Cole, Julia",,"Stevenson, Samantha (National Center for Atmospheric Research); Overpeck, Jonathan T. (University of Michigan); Fasullo, John (National Center for Atmospheric Research); Coats, Sloan (National Center for Atmospheric Research); Parsons, Luke (University of Arizona); Otto-Bliesner, Bette (National Center for Atmospheric Research); Ault, Toby (Cornell University); Loope, Garrison (University of Arizona); Cole, Julia (University of Michigan)",8,8,,,https://repository.arizona.edu/bitstream/10150/628324/1/jcli-d-17-0407.1.pdf,https://app.dimensions.ai/details/publication/pub.1101116585,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
9,100,pub.1092017551,10.1175/jcli-d-17-0154.1,,,A Robust Null Hypothesis for the Potential Causes of Megadrought in Western North America,Journal of Climate,,,2018-01,2018,31,1,3-24,Closed,Article,"Ault, Toby R.; St. George, Scott; Smerdon, Jason E.; Coats, Sloan; Mankin, Justin S.; Carrillo, Carlos M.; Cook, Benjamin I.; Stevenson, Samantha",,"Ault, Toby R. (Cornell University); St. George, Scott (University of Minnesota); Smerdon, Jason E. (Lamont-Doherty Earth Observatory); Coats, Sloan (National Center for Atmospheric Research); Mankin, Justin S. (Lamont-Doherty Earth Observatory; Goddard Institute for Space Studies; Dartmouth College); Carrillo, Carlos M. (Cornell University); Cook, Benjamin I. (Lamont-Doherty Earth Observatory; Goddard Institute for Space Studies); Stevenson, Samantha (University of California, Santa Barbara)",18,18,,,,https://app.dimensions.ai/details/publication/pub.1092017551,09 Engineering; 0405 Oceanography; 0909 Geomatic Engineering; 04 Earth Sciences; 0401 Atmospheric Sciences,09 Engineering,0405 Oceanography,0909 Geomatic Engineering,04 Earth Sciences,0401 Atmospheric Sciences
